rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,2,13,100,3304.0,712.0,304.0,398.0,2900,304,358
1,2,16,100,1065.0,309.0,27.0,97.0,889,27,68
2,2,16,200,4619.0,1485.0,242.0,526.0,3622,242,388
3,2,20,101,6017.0,4945.0,0.0,283.0,4334,0,127
4,2,20,102,5606.0,4180.0,219.0,192.0,4121,118,99
5,2,20,201,4743.0,3767.0,179.0,505.0,3203,167,233
6,2,20,202,6657.0,5543.0,0.0,479.0,4779,0,301
7,2,20,203,11668.0,9769.0,162.0,883.0,8055,162,703
8,2,20,204,3727.0,3074.0,28.0,132.0,2957,28,106
9,2,20,300,8736.0,6160.0,1015.0,1668.0,5772,715,1029
10,2,20,400,5505.0,3699.0,1045.0,677.0,3540,614,450
11,2,20,500,1941.0,908.0,173.0,132.0,1483,173,96
12,2,20,600,6520.0,1931.0,568.0,789.0,4461,397,571
13,2,20,701,5981.0,3180.0,462.0,740.0,4377,300,348
14,2,20,702,5476.0,2891.0,913.0,395.0,4012,633,252
15,2,20,703,5893.0,2250.0,548.0,424.0,4352,487,259
16,2,20,801,7481.0,2772.0,572.0,1059.0,5111,385,587
17,2,20,802,4884.0,2366.0,432.0,579.0,3781,337,312
18,2,20,901,5501.0,1951.0,706.0,537.0,3904,443,419
19,2,20,902,3225.0,1437.0,494.0,228.0,2508,325,127
20,2,20,1000,3416.0,2157.0,400.0,323.0,2988,252,257
21,2,20,1100,924.0,527.0,113.0,65.0,880,108,65
22,2,20,1200,3763.0,3179.0,122.0,127.0,3420,95,122
23,2,20,1300,3213.0,2845.0,11.0,265.0,2540,0,151
24,2,20,1400,4957.0,2812.0,817.0,511.0,4020,528,380
25,2,20,1500,4999.0,3433.0,166.0,260.0,4093,166,216
26,2,20,1601,4255.0,2185.0,338.0,406.0,2984,271,309
27,2,20,1602,4481.0,3050.0,158.0,337.0,3637,153,245
28,2,20,1701,7195.0,4027.0,923.0,490.0,5463,748,311
29,2,20,1702,5260.0,3524.0,456.0,482.0,3903,366,314
30,2,20,1731,6036.0,3382.0,632.0,359.0,4533,539,225
31,2,20,1732,6296.0,3979.0,611.0,340.0,4624,427,284
32,2,20,1801,4738.0,3186.0,322.0,258.0,3734,189,197
33,2,20,1802,5306.0,2680.0,273.0,539.0,4089,273,363
34,2,20,1900,4145.0,1588.0,139.0,414.0,3187,112,333
35,2,20,2000,3504.0,1879.0,216.0,515.0,2842,162,310
36,2,20,2100,3979.0,2418.0,165.0,115.0,3026,165,99
37,2,20,2201,5082.0,3039.0,35.0,343.0,4024,35,275
38,2,20,2202,3137.0,1930.0,120.0,505.0,2502,113,267
39,2,20,2301,7247.0,5455.0,195.0,376.0,5378,114,208
40,2,20,2302,5134.0,3667.0,277.0,369.0,3765,179,269
41,2,20,2303,8620.0,5489.0,439.0,817.0,6271,347,436
42,2,20,2400,3043.0,2195.0,123.0,133.0,2490,93,90
43,2,20,2501,5003.0,3397.0,113.0,628.0,3956,104,369
44,2,20,2502,5282.0,3253.0,52.0,753.0,4126,52,448
45,2,20,2601,5402.0,3107.0,208.0,563.0,4165,208,367
46,2,20,2602,6375.0,3443.0,535.0,558.0,4660,336,468
47,2,20,2603,6126.0,4285.0,20.0,308.0,4562,20,176
48,2,20,2702,10181.0,7711.0,152.0,689.0,7793,144,517
49,2,20,2711,6208.0,4554.0,108.0,378.0,4761,76,209
50,2,20,2712,8806.0,5100.0,418.0,1055.0,6258,396,533
51,2,20,2811,6694.0,3793.0,389.0,857.0,5138,264,611
52,2,20,2812,8077.0,6570.0,546.0,448.0,5783,289,238
53,2,20,2813,5069.0,4525.0,1.0,172.0,4098,1,79
54,2,20,2821,5189.0,4280.0,136.0,514.0,3953,136,355
55,2,20,2822,4004.0,3617.0,0.0,49.0,3121,0,40
56,2,20,2823,5742.0,4826.0,266.0,311.0,4148,201,145
57,2,20,2900,2658.0,2344.0,0.0,356.0,2206,0,208
58,2,50,100,9888.0,212.0,4.0,68.0,6071,4,30
59,2,50,200,6370.0,1728.0,134.0,232.0,4377,103,124
60,2,50,300,1518.0,196.0,4.0,25.0,984,4,10
61,2,60,100,970.0,547.0,5.0,69.0,730,5,34
62,2,68,100,2060.0,1799.0,13.0,54.0,1648,13,45
63,2,70,100,2644.0,152.0,4.0,3.0,1758,4,3
64,2,70,200,2335.0,780.0,13.0,141.0,1641,13,71
65,2,90,100,1769.0,1294.0,24.0,156.0,1509,24,156
66,2,90,200,3412.0,2216.0,137.0,182.0,2664,111,108
67,2,90,300,4397.0,1907.0,631.0,329.0,3323,562,149
68,2,90,400,4740.0,3137.0,107.0,365.0,3582,99,320
69,2,90,500,3010.0,1808.0,381.0,585.0,2327,175,445
70,2,90,600,4353.0,2963.0,272.0,106.0,3351,240,73
71,2,90,700,4363.0,2900.0,249.0,498.0,3406,247,364
72,2,90,800,5927.0,4079.0,380.0,793.0,4487,288,413
73,2,90,900,5602.0,4685.0,22.0,177.0,4183,22,80
74,2,90,1000,1521.0,1253.0,28.0,4.0,1197,27,3
75,2,90,1100,8546.0,5845.0,1252.0,1496.0,5538,799,987
76,2,90,1200,6858.0,6052.0,24.0,332.0,5349,24,332
77,2,90,1300,6725.0,5729.0,70.0,126.0,5701,70,115
78,2,90,1400,7632.0,6515.0,38.0,510.0,5401,38,258
79,2,90,1500,11450.0,9602.0,91.0,689.0,8288,91,365
80,2,90,1600,5055.0,3766.0,373.0,219.0,3597,315,159
