rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,5,1,480100,1534.0,1405.0,129.0,5.0,1279,125,5
1,5,1,480200,1466.0,1319.0,128.0,0.0,1261,124,0
2,5,1,480300,2607.0,1607.0,962.0,143.0,2020,643,101
3,5,1,480400,2905.0,757.0,2120.0,113.0,2079,1400,88
4,5,1,480500,4120.0,3408.0,544.0,96.0,3039,402,86
5,5,1,480600,1662.0,1576.0,67.0,13.0,1287,62,13
6,5,1,480700,3075.0,2264.0,735.0,138.0,2305,488,53
7,5,1,480800,1362.0,1222.0,126.0,38.0,1109,104,16
8,5,3,960100,1990.0,1294.0,655.0,81.0,1465,443,52
9,5,3,960200,2646.0,2233.0,280.0,109.0,2046,187,68
10,5,3,960300,4995.0,3474.0,1216.0,481.0,3831,938,271
11,5,3,960400,1469.0,965.0,468.0,9.0,1179,331,9
12,5,3,960500,2751.0,2365.0,250.0,113.0,2077,185,84
13,5,3,960600,5373.0,3493.0,1878.0,285.0,4103,1368,177
14,5,3,960700,2005.0,1213.0,770.0,0.0,1521,582,0
15,5,5,950100,4769.0,4556.0,16.0,283.0,3787,16,182
16,5,5,950200,4010.0,3917.0,1.0,38.0,3378,1,31
17,5,5,950300,4719.0,4600.0,11.0,143.0,3737,11,116
18,5,5,950400,3166.0,2970.0,48.0,1.0,2574,45,1
19,5,5,950500,5317.0,5085.0,51.0,97.0,4239,26,80
20,5,5,950600,4010.0,3929.0,0.0,6.0,3463,0,6
21,5,5,950700,3346.0,3259.0,0.0,58.0,2893,0,24
22,5,5,950800,6215.0,6018.0,0.0,92.0,5538,0,68
23,5,5,950900,5488.0,5373.0,8.0,80.0,4192,8,43
24,5,7,20101,5690.0,5320.0,49.0,173.0,4128,45,141
25,5,7,20102,6097.0,5524.0,162.0,604.0,4291,54,431
26,5,7,20201,4506.0,3941.0,129.0,1357.0,3343,93,842
27,5,7,20203,3446.0,3035.0,31.0,581.0,2695,31,507
28,5,7,20205,6572.0,5755.0,0.0,3334.0,4417,0,1939
29,5,7,20206,7264.0,5805.0,89.0,4011.0,4725,57,2505
30,5,7,20301,3844.0,3292.0,52.0,1681.0,2671,30,980
31,5,7,20302,4226.0,4075.0,59.0,1678.0,2894,59,854
32,5,7,20304,3696.0,3093.0,153.0,776.0,2886,111,449
33,5,7,20305,4050.0,3547.0,10.0,1311.0,2816,10,682
