rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,4,1,942600,1512.0,0.0,0.0,0.0,1025,0,0
1,4,1,942700,4699.0,52.0,0.0,19.0,3380,0,9
2,4,1,944000,5999.0,232.0,204.0,105.0,4144,50,62
3,4,1,944100,5916.0,263.0,24.0,99.0,3917,24,66
4,4,1,944201,4382.0,393.0,33.0,125.0,2509,33,31
5,4,1,944202,3999.0,121.0,16.0,133.0,2842,16,104
6,4,1,944300,7294.0,89.0,6.0,50.0,4811,5,35
7,4,1,944901,3771.0,148.0,32.0,66.0,2679,32,48
8,4,1,944902,4938.0,81.0,0.0,108.0,3567,0,39
9,4,1,945001,5043.0,205.0,8.0,58.0,3930,8,46
10,4,1,945002,4070.0,36.0,7.0,121.0,3079,7,63
11,4,1,945100,2438.0,84.0,12.0,68.0,1590,12,29
12,4,1,970200,4600.0,4037.0,17.0,603.0,3616,17,504
13,4,1,970300,4369.0,3180.0,47.0,1515.0,3362,47,1054
14,4,1,970501,5201.0,4611.0,27.0,1089.0,3130,10,543
15,4,1,970502,3893.0,3230.0,9.0,388.0,3106,9,236
16,4,3,100,1540.0,1166.0,7.0,503.0,1290,0,352
17,4,3,201,3248.0,2387.0,0.0,1420.0,2487,0,1056
18,4,3,202,4072.0,3350.0,26.0,2301.0,3086,26,1584
19,4,3,203,2600.0,2212.0,0.0,399.0,2264,0,252
20,4,3,301,3729.0,3371.0,24.0,968.0,3003,6,728
21,4,3,302,4750.0,4644.0,4.0,276.0,3729,2,232
22,4,3,303,3430.0,3360.0,0.0,317.0,2587,0,233
23,4,3,400,2133.0,1879.0,0.0,467.0,1761,0,317
24,4,3,500,10469.0,8512.0,1224.0,3725.0,9842,1207,3569
25,4,3,600,3365.0,2415.0,59.0,2591.0,2775,59,2034
26,4,3,700,3762.0,3025.0,3.0,3501.0,2317,3,2084
27,4,3,800,3521.0,2399.0,25.0,2839.0,2503,25,1964
28,4,3,901,2257.0,1494.0,0.0,2162.0,1567,0,1498
29,4,3,902,1535.0,861.0,25.0,1313.0,1065,25,909
30,4,3,1000,1472.0,1230.0,52.0,296.0,1356,52,256
31,4,3,1100,3631.0,2932.0,1.0,1862.0,2747,1,1150
32,4,3,1200,2955.0,2335.0,12.0,1552.0,2210,12,987
33,4,3,1300,5543.0,4360.0,137.0,1126.0,4167,84,762
34,4,3,1401,4750.0,3884.0,433.0,555.0,3760,335,449
35,4,3,1402,1109.0,721.0,103.0,262.0,636,26,118
36,4,3,1501,3263.0,2052.0,218.0,1203.0,2434,176,693
37,4,3,1502,4454.0,3149.0,212.0,1621.0,3027,75,1007
38,4,3,1601,5423.0,4128.0,221.0,2321.0,3760,162,1290
39,4,3,1602,2953.0,2260.0,308.0,823.0,2358,154,617
40,4,3,1701,3892.0,2538.0,201.0,1362.0,2907,201,663
41,4,3,1702,4064.0,3038.0,243.0,1387.0,2801,174,743
42,4,3,1703,4932.0,3725.0,317.0,1026.0,3654,288,575
43,4,3,1800,8918.0,7234.0,688.0,1478.0,7328,494,965
44,4,3,1900,6369.0,5240.0,327.0,893.0,5099,279,577
45,4,3,2001,5194.0,4408.0,28.0,1377.0,3938,27,898
46,4,3,2002,4747.0,4497.0,64.0,1204.0,3666,64,833
47,4,3,2100,5567.0,4938.0,61.0,830.0,4247,59,571
48,4,5,100,3675.0,3110.0,16.0,302.0,2798,16,197
49,4,5,200,3624.0,3216.0,14.0,711.0,2956,14,481
50,4,5,300,7036.0,3855.0,280.0,2555.0,4759,113,1453
51,4,5,400,5409.0,3811.0,107.0,1205.0,3909,107,775
52,4,5,500,4444.0,3108.0,68.0,1449.0,3138,44,875
53,4,5,600,5756.0,4654.0,123.0,429.0,4495,123,355
54,4,5,700,3437.0,2781.0,16.0,439.0,2584,16,291
55,4,5,800,5243.0,3634.0,198.0,820.0,4839,162,695
56,4,5,900,6663.0,5125.0,94.0,1118.0,5097,79,849
57,4,5,1000,9913.0,7586.0,477.0,1647.0,9602,477,1631
58,4,5,1101,4750.0,3740.0,243.0,596.0,3825,227,463
59,4,5,1102,7095.0,4891.0,62.0,1829.0,5910,62,1273
60,4,5,1200,2656.0,2413.0,36.0,515.0,2221,36,388
61,4,5,1301,5199.0,4468.0,50.0,712.0,4048,50,485
62,4,5,1302,5448.0,4852.0,167.0,878.0,3904,53,515
63,4,5,1500,2956.0,2690.0,0.0,254.0,2483,0,114
64,4,5,1600,3079.0,2917.0,0.0,90.0,2919,0,90
65,4,5,1700,3688.0,3158.0,35.0,948.0,2735,35,550
66,4,5,2000,2194.0,1892.0,0.0,41.0,1721,0,41
