rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,6,1,400100,2952.0,2125.0,106.0,99.0,2591,106,85
1,6,1,400200,1984.0,1591.0,29.0,180.0,1676,29,118
2,6,1,400300,5377.0,3557.0,691.0,370.0,4521,664,353
3,6,1,400400,4105.0,2925.0,454.0,372.0,3540,432,326
4,6,1,400500,3651.0,2258.0,888.0,518.0,3216,807,510
5,6,1,400600,1665.0,636.0,658.0,205.0,1461,563,196
6,6,1,400700,4544.0,2031.0,1831.0,591.0,3736,1586,399
7,6,1,400800,3527.0,1507.0,1234.0,442.0,3120,1016,294
8,6,1,400900,2175.0,1015.0,864.0,116.0,1726,731,82
9,6,1,401000,5987.0,2337.0,2382.0,1176.0,5188,1933,1029
10,6,1,401100,4210.0,2412.0,948.0,638.0,3780,858,391
11,6,1,401200,2496.0,1497.0,378.0,453.0,2197,348,302
12,6,1,401300,4018.0,1338.0,1443.0,537.0,3784,1350,447
13,6,1,401400,4190.0,1152.0,1888.0,988.0,3292,1483,584
14,6,1,401500,2213.0,875.0,923.0,207.0,1979,808,159
15,6,1,401600,1966.0,805.0,738.0,290.0,1520,547,148
16,6,1,401700,2806.0,1240.0,832.0,779.0,2308,619,577
17,6,1,401800,1947.0,503.0,1041.0,375.0,1348,620,252
18,6,1,402200,2452.0,936.0,865.0,528.0,1987,693,345
19,6,1,402400,2958.0,482.0,1862.0,258.0,2343,1368,202
20,6,1,402500,1907.0,317.0,1176.0,321.0,1166,705,207
21,6,1,402600,1234.0,225.0,313.0,46.0,1118,280,35
22,6,1,402700,1831.0,605.0,846.0,300.0,1499,644,207
23,6,1,402800,3520.0,1179.0,1453.0,283.0,3232,1357,236
24,6,1,402900,1458.0,387.0,251.0,164.0,1389,231,149
25,6,1,403000,2704.0,232.0,66.0,67.0,2480,66,67
26,6,1,403100,1831.0,553.0,321.0,245.0,1706,309,233
27,6,1,403300,4118.0,1165.0,369.0,195.0,3737,369,176
28,6,1,403400,4361.0,1661.0,822.0,546.0,4057,756,456
29,6,1,403501,4562.0,1667.0,1314.0,754.0,3880,1198,454
30,6,1,403502,2195.0,1270.0,420.0,202.0,2051,371,202
31,6,1,403600,4484.0,1888.0,1275.0,484.0,3886,1064,327
32,6,1,403701,2812.0,1671.0,483.0,257.0,2588,420,224
33,6,1,403702,1918.0,1308.0,198.0,178.0,1779,198,178
34,6,1,403800,3372.0,2460.0,206.0,271.0,3009,179,257
35,6,1,403900,3983.0,2103.0,835.0,135.0,3408,659,124
36,6,1,404000,2812.0,1822.0,178.0,459.0,2600,178,427
37,6,1,404101,2986.0,2261.0,82.0,186.0,2673,82,150
38,6,1,404102,2522.0,1485.0,234.0,264.0,2310,180,198
39,6,1,404200,3634.0,2586.0,317.0,202.0,2751,229,124
40,6,1,404300,3397.0,2404.0,167.0,300.0,2681,156,190
41,6,1,404400,5292.0,3815.0,214.0,379.0,4261,169,274
42,6,1,404501,1772.0,1301.0,63.0,88.0,1358,44,78
43,6,1,404502,5433.0,4184.0,227.0,415.0,4365,210,215
44,6,1,404600,4314.0,3158.0,198.0,179.0,3666,198,149
45,6,1,404700,2135.0,1640.0,146.0,109.0,1739,140,65
46,6,1,404800,2911.0,1271.0,620.0,369.0,2266,434,276
