rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,8,1,7801,3930.0,1894.0,487.0,1955.0,2622,347,1235
1,8,1,7802,4388.0,2248.0,964.0,2793.0,2694,626,1501
2,8,1,7900,5961.0,3159.0,884.0,3584.0,4146,657,2166
3,8,1,8000,6470.0,3685.0,1224.0,3380.0,4456,921,2043
4,8,1,8100,1254.0,1005.0,45.0,238.0,1208,45,209
5,8,1,8200,5148.0,3380.0,968.0,1917.0,3647,685,1106
6,8,1,8308,5545.0,3081.0,1249.0,2420.0,3795,779,1509
7,8,1,8309,3795.0,2032.0,584.0,2372.0,2367,362,1320
8,8,1,8353,6167.0,4432.0,854.0,2457.0,4443,499,1497
9,8,1,8401,4240.0,3903.0,20.0,605.0,3179,16,389
10,8,1,8402,4839.0,4540.0,0.0,359.0,3246,0,210
11,8,1,8505,6989.0,6190.0,125.0,1842.0,5492,96,1354
12,8,1,8506,6022.0,5565.0,115.0,2249.0,4712,97,1342
13,8,1,8507,7215.0,5920.0,58.0,2755.0,5373,47,1683
14,8,1,8508,5725.0,4873.0,276.0,1387.0,4082,220,881
15,8,1,8523,7017.0,6368.0,279.0,1438.0,5311,169,976
16,8,1,8524,7815.0,6820.0,132.0,1638.0,5399,52,1021
17,8,1,8526,7199.0,6203.0,185.0,1113.0,5123,87,697
18,8,1,8529,7433.0,6363.0,121.0,1606.0,5773,91,1151
19,8,1,8533,7790.0,7062.0,100.0,1862.0,5745,87,1071
20,8,1,8534,4733.0,4206.0,6.0,1441.0,3441,6,986
21,8,1,8535,3553.0,3168.0,26.0,1275.0,2328,17,660
22,8,1,8536,2648.0,2305.0,15.0,611.0,1870,6,400
23,8,1,8537,6420.0,5703.0,60.0,2184.0,4188,60,1215
24,8,1,8538,6252.0,5010.0,346.0,1042.0,4183,346,614
25,8,1,8539,9265.0,7290.0,674.0,3085.0,5804,342,1795
26,8,1,8540,6977.0,5948.0,218.0,1474.0,4853,159,1058
27,8,1,8541,4641.0,4184.0,53.0,207.0,3692,18,112
28,8,1,8542,7358.0,6239.0,314.0,1268.0,4810,140,950
29,8,1,8543,8262.0,7557.0,38.0,2662.0,5852,38,1721
30,8,1,8544,4515.0,3899.0,44.0,475.0,2973,33,339
31,8,1,8545,7296.0,6132.0,152.0,1034.0,5282,108,608
32,8,1,8546,2956.0,2643.0,0.0,698.0,2262,0,479
33,8,1,8547,4021.0,3817.0,0.0,936.0,2976,0,615
34,8,1,8548,1488.0,1363.0,18.0,452.0,1064,9,257
35,8,1,8549,4437.0,3905.0,23.0,1345.0,3012,23,873
36,8,1,8550,7932.0,6610.0,82.0,1164.0,5787,82,965
37,8,1,8551,1400.0,1173.0,37.0,265.0,977,27,156
38,8,1,8603,2219.0,1967.0,24.0,1492.0,1549,17,955
39,8,1,8604,5160.0,4264.0,231.0,2876.0,3995,217,2082
40,8,1,8605,3638.0,3345.0,0.0,1019.0,2692,0,672
41,8,1,8606,6745.0,5755.0,2.0,4597.0,4889,2,2976
42,8,1,8705,5217.0,4533.0,94.0,3014.0,3766,56,2013
43,8,1,8706,5245.0,4583.0,134.0,3610.0,3747,34,2447
44,8,1,8709,8642.0,6825.0,470.0,5760.0,5593,179,3299
45,8,1,8801,5650.0,5000.0,123.0,3957.0,3546,54,2204
46,8,1,8802,4617.0,3844.0,129.0,2727.0,3148,109,1793
47,8,1,8901,2354.0,2040.0,160.0,1321.0,1685,98,810
48,8,1,9001,4776.0,3611.0,218.0,2800.0,3371,91,1779
49,8,1,9002,9920.0,8233.0,164.0,6390.0,6805,164,3990
50,8,1,9101,4652.0,4304.0,54.0,2269.0,3288,36,1394
51,8,1,9103,3433.0,3084.0,0.0,2250.0,2297,0,1230
52,8,1,9104,5922.0,5116.0,119.0,3120.0,3909,43,1723
53,8,1,9202,4592.0,3989.0,56.0,2762.0,3076,48,1567
54,8,1,9203,3809.0,3046.0,60.0,1984.0,2842,60,1338
55,8,1,9204,7168.0,5433.0,244.0,2695.0,5339,116,1854
56,8,1,9206,2135.0,1656.0,0.0,718.0,1591,0,500
57,8,1,9207,4316.0,3524.0,41.0,1941.0,3220,33,1249
58,8,1,9304,6756.0,5453.0,9.0,3242.0,4871,9,2085
59,8,1,9306,3807.0,3293.0,0.0,2242.0,2843,0,1413
60,8,1,9307,4157.0,3669.0,43.0,2469.0,3032,43,1692
61,8,1,9308,4644.0,3835.0,0.0,3750.0,3376,0,2587
62,8,1,9309,3663.0,2704.0,34.0,1411.0,2878,34,960
63,8,1,9310,5917.0,5280.0,52.0,3713.0,4291,15,2453
64,8,1,9316,6901.0,6022.0,5.0,3997.0,4917,5,2337
65,8,1,9318,6465.0,5491.0,87.0,4439.0,4149,63,2543
66,8,1,9319,2669.0,2480.0,20.0,1598.0,1800,20,926
67,8,1,9320,2819.0,2416.0,49.0,1580.0,2046,49,1024
68,8,1,9321,3740.0,2980.0,90.0,1690.0,2771,56,1056
69,8,1,9322,4294.0,3776.0,15.0,1913.0,2994,15,1043
70,8,1,9323,3935.0,3498.0,116.0,1264.0,2878,85,781
71,8,1,9325,5016.0,4386.0,168.0,768.0,4197,81,524
72,8,1,9326,2552.0,2123.0,134.0,308.0,2132,104,195
73,8,1,9327,3886.0,3273.0,44.0,836.0,3149,44,612
74,8,1,9401,5292.0,4209.0,42.0,1692.0,3999,34,1123
75,8,1,9406,4635.0,3781.0,160.0,1105.0,3545,101,664
76,8,1,9407,5691.0,4336.0,45.0,2306.0,4335,45,1553
77,8,1,9408,4343.0,3650.0,89.0,538.0,3235,78,343
78,8,1,9409,5674.0,4748.0,53.0,765.0,4391,53,633
79,8,1,9410,2993.0,2719.0,32.0,376.0,2436,32,283
80,8,1,9411,2990.0,2771.0,19.0,689.0,2460,19,518
81,8,1,9501,3182.0,2422.0,17.0,2021.0,2186,7,1136
82,8,1,9502,4452.0,3649.0,10.0,2891.0,3468,10,2017
83,8,1,9553,2989.0,2247.0,59.0,1769.0,2282,59,1206
84,8,1,9603,5849.0,5080.0,163.0,1529.0,4285,163,1053
85,8,1,9604,4430.0,3640.0,118.0,1664.0,3601,116,1187
86,8,1,9606,2867.0,2466.0,11.0,1930.0,2136,11,1371
87,8,1,9607,5282.0,4202.0,62.0,2370.0,3864,49,1453
88,8,1,9608,3078.0,2569.0,24.0,851.0,2592,0,700
89,8,1,9751,3631.0,3251.0,27.0,1947.0,2914,27,1351
90,8,1,9752,2991.0,2196.0,74.0,1828.0,2283,25,1352
91,8,1,15000,2892.0,2658.0,0.0,1253.0,2169,0,738
92,8,1,60000,5000.0,4405.0,65.0,533.0,3479,49,372
93,8,1,60100,7242.0,6075.0,170.0,1081.0,5145,115,533
94,8,1,60200,3571.0,2963.0,51.0,740.0,2802,43,474
95,8,1,61200,1605.0,1509.0,8.0,126.0,1121,8,86
96,8,1,988700,0.0,0.0,0.0,0.0,0,0,0
97,8,3,960000,1487.0,1359.0,0.0,409.0,1230,0,282
98,8,3,960100,2938.0,2668.0,0.0,1200.0,2057,0,747
99,8,3,960200,7078.0,6205.0,156.0,2626.0,5502,70,2031
100,8,3,960300,4766.0,3927.0,147.0,3192.0,3418,112,2182
101,8,5,4951,2060.0,1519.0,106.0,580.0,1947,96,509
102,8,5,4952,2684.0,1918.0,194.0,551.0,2386,154,451
103,8,5,5551,3581.0,2023.0,222.0,1980.0,2635,68,1373
104,8,5,5552,2516.0,1948.0,0.0,1059.0,1972,0,681
105,8,5,5553,3796.0,3057.0,300.0,1133.0,2909,148,783
106,8,5,5611,4830.0,4346.0,80.0,295.0,3689,28,159
107,8,5,5612,3834.0,3506.0,10.0,387.0,2848,10,244
108,8,5,5614,3364.0,3143.0,26.0,256.0,2570,26,166
109,8,5,5619,4589.0,4307.0,0.0,557.0,3702,0,376
110,8,5,5620,2745.0,2519.0,17.0,383.0,2399,17,280
111,8,5,5621,3203.0,3072.0,0.0,302.0,2498,0,256
112,8,5,5622,2349.0,2198.0,28.0,63.0,1855,28,42
113,8,5,5623,4121.0,3958.0,1.0,157.0,3237,1,109
114,8,5,5624,2344.0,2135.0,141.0,56.0,1883,109,50
115,8,5,5625,3000.0,2839.0,15.0,485.0,2358,15,270
116,8,5,5626,3736.0,3540.0,0.0,305.0,2880,0,199
117,8,5,5627,4509.0,4249.0,1.0,124.0,3493,1,91
118,8,5,5628,5661.0,5266.0,41.0,215.0,4615,41,184
119,8,5,5629,2413.0,2309.0,12.0,0.0,1838,12,0
120,8,5,5630,5263.0,5018.0,124.0,358.0,4170,43,211
121,8,5,5631,3337.0,3122.0,36.0,347.0,2619,36,165
122,8,5,5632,3317.0,2951.0,205.0,194.0,2639,156,141
123,8,5,5633,3177.0,2945.0,29.0,122.0,2542,29,98
124,8,5,5634,3089.0,2893.0,25.0,126.0,2765,25,116
125,8,5,5635,5209.0,4855.0,96.0,217.0,4088,96,138
126,8,5,5636,2000.0,1931.0,25.0,72.0,1476,10,30
127,8,5,5700,3628.0,3105.0,64.0,1083.0,2936,64,664
128,8,5,5800,2417.0,2098.0,67.0,252.0,2059,67,165
129,8,5,5951,4399.0,3766.0,120.0,300.0,3816,120,249
130,8,5,5952,3133.0,2683.0,142.0,309.0,2624,89,217
131,8,5,6000,2714.0,2189.0,0.0,479.0,2241,0,285
132,8,5,6100,2895.0,2567.0,210.0,348.0,2339,136,222
133,8,5,6200,3102.0,2700.0,6.0,266.0,2475,6,179
134,8,5,6300,2416.0,2209.0,20.0,265.0,2043,20,222
135,8,5,6400,3328.0,2443.0,57.0,1059.0,2648,43,748
136,8,5,6501,2144.0,1827.0,37.0,244.0,1833,37,181
137,8,5,6502,3460.0,3288.0,35.0,462.0,2784,9,309
138,8,5,6601,5339.0,4343.0,267.0,1326.0,4281,246,791
139,8,5,6603,3511.0,3203.0,16.0,443.0,2770,8,262
140,8,5,6604,4111.0,3823.0,33.0,674.0,3320,33,427
141,8,5,6704,4509.0,3928.0,209.0,75.0,3101,90,58
142,8,5,6705,1820.0,1730.0,20.0,30.0,1252,15,30
143,8,5,6706,5022.0,4537.0,0.0,355.0,3759,0,240
144,8,5,6707,5232.0,4512.0,164.0,242.0,3981,73,161
145,8,5,6708,5063.0,4721.0,43.0,340.0,3868,43,243
146,8,5,6709,5618.0,5052.0,0.0,338.0,4221,0,238
147,8,5,6711,4032.0,3568.0,27.0,175.0,2997,19,124
148,8,5,6712,1436.0,1361.0,0.0,101.0,1061,0,54
149,8,5,6713,1410.0,922.0,38.0,198.0,1226,38,198
150,8,5,6808,5807.0,5388.0,53.0,218.0,3999,39,109
151,8,5,6815,4283.0,3008.0,127.0,819.0,3124,127,484
152,8,5,6854,2684.0,2197.0,147.0,338.0,2150,147,262
153,8,5,6855,5529.0,4064.0,0.0,402.0,3977,0,237
154,8,5,6856,7654.0,5516.0,605.0,911.0,5839,430,498
155,8,5,6857,2261.0,2025.0,0.0,72.0,1752,0,51
156,8,5,6858,4631.0,3733.0,87.0,590.0,3940,87,475
157,8,5,7101,5026.0,4705.0,29.0,314.0,3889,29,237
158,8,5,7103,1684.0,1478.0,20.0,147.0,1334,20,128
159,8,5,7104,5467.0,3517.0,821.0,978.0,3528,491,437
160,8,5,7105,4384.0,2755.0,410.0,1145.0,3068,286,615
161,8,5,7106,5103.0,4001.0,417.0,573.0,3506,372,305
162,8,5,7107,6880.0,5579.0,449.0,893.0,4495,353,501
163,8,5,7201,3989.0,1949.0,835.0,1816.0,2874,618,1160
164,8,5,7202,4419.0,2621.0,702.0,2358.0,2920,432,1433
165,8,5,7301,2351.0,1146.0,544.0,1119.0,1774,411,784
166,8,5,7302,5737.0,2749.0,950.0,2953.0,3954,792,1892
167,8,5,7400,5574.0,3375.0,499.0,3582.0,3662,318,2060
168,8,5,7500,2678.0,1679.0,346.0,1418.0,1940,255,903
169,8,5,7600,3523.0,2151.0,609.0,1680.0,2581,522,1006
170,8,5,7702,4013.0,2455.0,505.0,1823.0,3177,461,1159
171,8,5,7703,4440.0,2413.0,889.0,1759.0,3215,549,1093
172,8,5,7704,4670.0,2041.0,1728.0,1635.0,3313,1105,1083
173,8,5,15100,2560.0,2318.0,103.0,180.0,2032,88,118
174,8,5,80000,3261.0,1733.0,716.0,898.0,2450,496,550
175,8,5,80100,4493.0,2674.0,1158.0,1175.0,3513,900,795
176,8,5,80200,5388.0,3222.0,1096.0,1198.0,4383,862,821
177,8,5,80300,5441.0,3968.0,502.0,657.0,4405,425,420
178,8,5,80400,4762.0,3620.0,633.0,380.0,3873,466,266
179,8,5,80500,3607.0,2502.0,404.0,435.0,3050,365,299
180,8,5,80600,3166.0,2101.0,400.0,741.0,2673,328,501
181,8,5,80700,5507.0,2705.0,986.0,1605.0,4158,667,1025
182,8,5,80800,3368.0,2086.0,573.0,1800.0,2144,329,984
183,8,5,80900,4426.0,2641.0,476.0,1686.0,3205,262,1047
184,8,5,81000,6329.0,3036.0,1412.0,2850.0,4282,1036,1610
185,8,5,81100,5742.0,2070.0,2349.0,1366.0,4470,1730,924
186,8,5,81200,4416.0,2062.0,1249.0,1169.0,3220,928,668
187,8,5,81300,3172.0,1452.0,919.0,1073.0,2375,656,709
188,8,5,81400,4080.0,2986.0,403.0,664.0,3262,288,314
189,8,5,81500,2982.0,2843.0,39.0,58.0,2982,39,58
190,8,5,81600,5009.0,3543.0,377.0,883.0,3918,290,532
191,8,5,81700,2930.0,2344.0,188.0,60.0,2232,160,60
192,8,5,81800,5601.0,3263.0,553.0,3693.0,3614,487,1953
193,8,5,81900,6442.0,3765.0,1475.0,2767.0,4576,1048,1743
194,8,5,82000,3921.0,1850.0,1230.0,1448.0,2925,893,913
195,8,5,82100,7065.0,3983.0,1178.0,2169.0,4943,790,1335
196,8,5,82200,6143.0,3545.0,1384.0,1482.0,4584,1025,914
197,8,5,82300,3675.0,2196.0,599.0,1107.0,2686,457,592
198,8,5,82400,4626.0,2461.0,810.0,1509.0,3404,599,849
199,8,5,82500,2332.0,1779.0,378.0,520.0,1706,239,303
200,8,5,82600,5114.0,2073.0,1408.0,1304.0,3589,1042,701
201,8,5,82700,3490.0,2226.0,930.0,389.0,2713,665,257
202,8,5,82800,4964.0,3262.0,724.0,1178.0,3796,522,720
203,8,5,82900,4650.0,3066.0,745.0,1267.0,3283,561,832
204,8,5,83000,3538.0,2199.0,675.0,404.0,2714,444,263
205,8,5,83100,6368.0,4191.0,994.0,1130.0,4734,563,939
206,8,5,83200,9285.0,6542.0,1001.0,925.0,6084,552,568
207,8,5,83300,4754.0,3517.0,483.0,937.0,3741,404,572
208,8,5,83400,7134.0,4716.0,1024.0,1509.0,5035,768,971
209,8,5,83500,5821.0,2722.0,968.0,1499.0,4171,639,1029
210,8,5,83600,3655.0,2727.0,562.0,395.0,2836,336,339
211,8,5,83700,4565.0,3395.0,636.0,226.0,3379,395,149
