rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,9,1,10101,4536.0,4159.0,34.0,247.0,3473,34,193
1,9,1,10102,4003.0,3547.0,109.0,103.0,2951,55,65
2,9,1,10201,3344.0,2874.0,157.0,226.0,2407,100,144
3,9,1,10202,5346.0,4536.0,22.0,551.0,3892,22,420
4,9,1,10300,4077.0,3600.0,47.0,309.0,3033,47,232
5,9,1,10400,5571.0,4648.0,326.0,413.0,4419,167,275
6,9,1,10500,5571.0,4303.0,328.0,1073.0,4413,256,779
7,9,1,10600,1796.0,1478.0,149.0,231.0,1625,123,222
8,9,1,10700,3915.0,3375.0,236.0,453.0,3116,236,280
9,9,1,10800,3472.0,2996.0,85.0,322.0,2596,78,205
10,9,1,10900,5211.0,4132.0,202.0,868.0,3688,158,535
11,9,1,11000,5470.0,4886.0,37.0,460.0,3565,37,290
12,9,1,11100,4675.0,4212.0,53.0,207.0,3067,53,86
13,9,1,11200,1624.0,1540.0,2.0,172.0,1197,2,122
14,9,1,11300,3823.0,2696.0,167.0,1587.0,2804,99,1109
15,9,1,20100,3755.0,2171.0,1044.0,741.0,3229,868,491
16,9,1,20200,3692.0,3274.0,92.0,247.0,2767,73,179
17,9,1,20300,7340.0,6405.0,320.0,430.0,5531,259,322
18,9,1,20400,4028.0,3458.0,103.0,695.0,2994,84,478
19,9,1,20500,4988.0,4346.0,228.0,463.0,3990,228,308
20,9,1,20600,4900.0,4101.0,315.0,548.0,3890,192,455
21,9,1,20700,4564.0,4044.0,102.0,516.0,3580,90,350
22,9,1,20800,2872.0,2457.0,86.0,212.0,2215,59,156
23,9,1,20900,5118.0,3271.0,593.0,836.0,3765,424,582
24,9,1,21000,3175.0,2474.0,219.0,261.0,2551,192,243
25,9,1,21100,5750.0,3921.0,592.0,1280.0,4409,321,948
26,9,1,21200,4455.0,3422.0,323.0,533.0,3486,287,359
27,9,1,21300,4525.0,2631.0,950.0,1126.0,3678,718,891
28,9,1,21400,6446.0,2543.0,1671.0,2845.0,4975,1345,1868
29,9,1,21500,6112.0,1674.0,1936.0,3011.0,4427,1296,2118
30,9,1,21600,7332.0,3547.0,751.0,1282.0,6052,676,838
31,9,1,21700,7117.0,3475.0,955.0,1819.0,5892,815,1176
32,9,1,21801,4592.0,2549.0,704.0,1308.0,3487,379,887
33,9,1,21802,5141.0,2394.0,1611.0,1409.0,4111,1254,1020
34,9,1,21900,5911.0,3623.0,1019.0,1984.0,4582,614,1667
35,9,1,22000,3005.0,1557.0,559.0,1086.0,2299,333,875
36,9,1,22100,8486.0,3467.0,1620.0,4334.0,6825,1185,3381
37,9,1,22200,4448.0,1867.0,805.0,2519.0,3346,586,1749
38,9,1,22300,6470.0,2275.0,1862.0,2936.0,4914,1363,2030
39,9,1,22400,2370.0,2100.0,32.0,305.0,1806,32,220
40,9,1,30100,3726.0,3625.0,12.0,187.0,2418,12,94
41,9,1,30200,3838.0,3554.0,0.0,73.0,2489,0,59
42,9,1,30300,4026.0,3863.0,0.0,71.0,2648,0,64
43,9,1,30400,4165.0,3603.0,53.0,139.0,2916,53,102
44,9,1,30500,5637.0,5114.0,25.0,188.0,3650,25,106
45,9,1,35100,7755.0,6981.0,292.0,495.0,5538,166,209
46,9,1,35200,3225.0,3049.0,62.0,116.0,2227,51,82
47,9,1,35300,4030.0,3750.0,6.0,247.0,2713,6,138
48,9,1,35400,5209.0,4925.0,14.0,83.0,3295,14,65
49,9,1,42500,4166.0,3422.0,389.0,424.0,3195,230,240
50,9,1,42600,4278.0,3610.0,241.0,598.0,3569,168,441
51,9,1,42700,4788.0,3774.0,271.0,314.0,4041,248,281
52,9,1,42800,5017.0,4202.0,379.0,584.0,3952,267,505
53,9,1,42900,1665.0,1562.0,30.0,74.0,1360,30,60
54,9,1,43000,3297.0,2634.0,507.0,370.0,2668,437,205
55,9,1,43100,4922.0,4110.0,224.0,575.0,3882,182,444
56,9,1,43200,3040.0,1953.0,636.0,719.0,2439,494,535
57,9,1,43300,3567.0,2953.0,530.0,1243.0,2805,437,848
58,9,1,43400,4358.0,2594.0,1206.0,1316.0,3582,816,1095
59,9,1,43500,2620.0,2242.0,269.0,233.0,2055,182,163
60,9,1,43600,3096.0,2397.0,391.0,605.0,2516,299,427
61,9,1,43700,2073.0,1446.0,416.0,846.0,1792,306,710
62,9,1,43800,7759.0,4805.0,1290.0,2424.0,6248,1035,1844
63,9,1,43900,6049.0,4682.0,740.0,1918.0,4651,600,1403
64,9,1,44000,5898.0,3902.0,1215.0,3042.0,4784,991,2260
65,9,1,44100,3284.0,2199.0,848.0,1252.0,2778,667,990
66,9,1,44200,3827.0,2517.0,983.0,954.0,3377,913,703
67,9,1,44300,3867.0,3316.0,226.0,654.0,3194,158,507
68,9,1,44400,3677.0,2148.0,1164.0,1718.0,2934,957,1231
69,9,1,44500,3079.0,914.0,1569.0,1422.0,2507,1345,1118
70,9,1,44600,3374.0,3342.0,17.0,75.0,2473,17,36
71,9,1,45101,4275.0,3941.0,26.0,46.0,2835,26,32
72,9,1,45102,5874.0,5140.0,73.0,303.0,4084,73,117
73,9,1,45200,2326.0,2132.0,15.0,76.0,1703,10,65
74,9,1,45300,2658.0,2430.0,0.0,16.0,1787,0,8
75,9,1,45400,3510.0,3037.0,49.0,60.0,2555,49,40
76,9,1,50100,4264.0,3803.0,14.0,112.0,3007,14,74
77,9,1,50200,4082.0,3596.0,28.0,131.0,2847,28,82
78,9,1,50300,8161.0,7570.0,11.0,453.0,5772,11,343
79,9,1,50400,2447.0,2270.0,97.0,146.0,1862,79,85
80,9,1,50500,4917.0,4588.0,55.0,220.0,3529,55,128
81,9,1,50600,3472.0,3018.0,15.0,124.0,2455,12,72
82,9,1,55100,5831.0,5248.0,96.0,473.0,4056,53,307
83,9,1,55200,4542.0,4225.0,21.0,197.0,2952,21,119
84,9,1,60100,4310.0,3810.0,161.0,363.0,3618,140,264
85,9,1,60200,4279.0,3739.0,10.0,230.0,3142,10,122
86,9,1,60300,3970.0,3703.0,99.0,292.0,2950,81,145
87,9,1,60400,4469.0,4304.0,36.0,125.0,3124,36,81
88,9,1,60500,2877.0,2742.0,21.0,139.0,1945,21,72
89,9,1,60600,2377.0,2225.0,18.0,58.0,1892,18,36
90,9,1,60700,7837.0,7067.0,231.0,527.0,6098,212,396
91,9,1,60800,2127.0,2048.0,0.0,38.0,1562,0,26
92,9,1,60900,2587.0,2438.0,0.0,145.0,1901,0,97
93,9,1,61000,3916.0,3518.0,121.0,235.0,3050,102,176
94,9,1,61100,3902.0,3595.0,37.0,74.0,2663,35,35
95,9,1,61200,2230.0,1845.0,14.0,153.0,1691,14,79
96,9,1,61300,3317.0,2436.0,14.0,209.0,2537,14,127
97,9,1,61400,2913.0,1963.0,195.0,565.0,2371,177,386
98,9,1,61500,4603.0,4113.0,20.0,293.0,3271,20,158
99,9,1,61600,5302.0,5058.0,8.0,71.0,3864,8,26
100,9,1,70100,4460.0,3604.0,219.0,576.0,3775,219,436
101,9,1,70200,4356.0,1487.0,1697.0,1508.0,3495,1266,1241
102,9,1,70300,1199.0,270.0,463.0,808.0,568,190,403
103,9,1,70400,1625.0,822.0,317.0,193.0,1458,276,153
104,9,1,70500,2228.0,485.0,939.0,1023.0,1588,516,665
105,9,1,70600,2292.0,983.0,779.0,907.0,2087,731,761
106,9,1,70900,2585.0,942.0,898.0,1490.0,1932,637,1093
107,9,1,71000,4077.0,1038.0,1655.0,1899.0,2854,1164,1288
108,9,1,71100,4746.0,1279.0,2232.0,1563.0,3613,1585,1115
109,9,1,71200,5466.0,1700.0,2098.0,2710.0,3828,1528,1799
110,9,1,71300,3817.0,1468.0,1428.0,1957.0,2791,982,1401
111,9,1,71400,3944.0,1895.0,783.0,1862.0,2986,488,1359
112,9,1,71600,2485.0,820.0,917.0,1498.0,1478,565,817
113,9,1,71900,5037.0,1603.0,1994.0,2077.0,3934,1508,1572
114,9,1,72000,3750.0,1614.0,1400.0,1433.0,2792,994,926
115,9,1,72100,5314.0,3382.0,1280.0,1581.0,4353,877,1181
116,9,1,72200,4086.0,2572.0,883.0,1262.0,3315,708,968
117,9,1,72300,6306.0,3052.0,1571.0,2655.0,4947,1260,1969
118,9,1,72400,2856.0,894.0,841.0,1564.0,2067,596,1024
119,9,1,72500,6349.0,3819.0,1961.0,1605.0,5113,1515,1162
120,9,1,72600,8042.0,5871.0,1435.0,1158.0,6851,989,925
121,9,1,72700,3758.0,1477.0,1565.0,1093.0,3051,1186,900
122,9,1,72800,5847.0,1098.0,3280.0,1944.0,4112,2313,1160
123,9,1,72900,5006.0,1737.0,2449.0,1507.0,3903,1841,1100
124,9,1,73000,1904.0,914.0,688.0,685.0,1294,409,464
125,9,1,73100,5010.0,2077.0,2113.0,1681.0,3983,1499,1341
126,9,1,73200,2446.0,1088.0,744.0,573.0,2002,676,359
127,9,1,73300,3401.0,893.0,1818.0,1251.0,2455,1226,922
128,9,1,73400,4568.0,1583.0,1912.0,1941.0,3211,1281,1264
129,9,1,73500,3197.0,840.0,1248.0,1927.0,2236,871,1353
130,9,1,73600,2544.0,734.0,843.0,1600.0,1659,502,1039
131,9,1,73700,4880.0,1340.0,2134.0,2357.0,3603,1676,1526
132,9,1,73800,2559.0,672.0,873.0,1572.0,1772,598,1064
133,9,1,73900,3433.0,1434.0,885.0,2364.0,2297,558,1595
134,9,1,74000,1858.0,712.0,716.0,1135.0,1248,477,764
135,9,1,74300,3858.0,988.0,2032.0,1647.0,2702,1418,1001
136,9,1,74400,4407.0,881.0,2335.0,1864.0,3120,1661,1199
137,9,1,80100,4494.0,2740.0,790.0,1169.0,3625,639,831
138,9,1,80200,4552.0,2842.0,1175.0,1226.0,3503,871,829
139,9,1,80400,5703.0,1911.0,3079.0,1166.0,4488,2334,847
140,9,1,80500,3085.0,3000.0,30.0,179.0,2665,30,121
141,9,1,80600,2263.0,1760.0,345.0,319.0,1864,230,236
142,9,1,80700,2136.0,1721.0,308.0,237.0,1721,183,156
143,9,1,80800,4933.0,4311.0,283.0,382.0,3811,184,258
