rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,11,1,100,5209.0,4784.0,66.0,546.0,4262,66,501
1,11,1,201,3685.0,2653.0,295.0,334.0,3658,288,334
2,11,1,202,4817.0,4082.0,358.0,284.0,4343,327,258
3,11,1,300,6095.0,5149.0,363.0,414.0,5343,269,319
4,11,1,400,1578.0,1265.0,89.0,254.0,1296,89,168
5,11,1,501,3502.0,2855.0,155.0,510.0,3153,155,369
6,11,1,502,2973.0,2560.0,124.0,308.0,2606,124,256
7,11,1,600,4722.0,3824.0,475.0,558.0,3983,475,437
8,11,1,701,5245.0,4030.0,357.0,225.0,4765,328,225
9,11,1,702,3316.0,2779.0,175.0,240.0,3102,153,240
10,11,1,801,6575.0,5215.0,363.0,697.0,5480,344,637
11,11,1,802,3153.0,2350.0,342.0,463.0,2518,195,356
12,11,1,901,7790.0,6400.0,630.0,935.0,6694,606,796
13,11,1,902,2455.0,2193.0,66.0,349.0,1705,44,177
14,11,1,1001,7894.0,6587.0,211.0,823.0,5922,188,543
15,11,1,1002,3497.0,2780.0,194.0,248.0,3198,194,177
16,11,1,1100,4817.0,3820.0,493.0,376.0,3844,375,228
17,11,1,1200,4908.0,3967.0,308.0,329.0,4061,250,277
18,11,1,1301,4016.0,3152.0,486.0,210.0,3441,432,147
19,11,1,1302,7591.0,5702.0,573.0,803.0,7071,526,701
20,11,1,1401,3369.0,2740.0,260.0,305.0,2606,260,231
21,11,1,1402,3328.0,2414.0,370.0,337.0,2671,323,240
22,11,1,1500,6350.0,5247.0,697.0,239.0,4558,567,125
23,11,1,1600,4175.0,1114.0,2881.0,294.0,3379,2402,194
24,11,1,1702,3083.0,1265.0,1495.0,372.0,2671,1286,329
25,11,1,1803,4042.0,374.0,2612.0,1088.0,3006,2073,655
26,11,1,1804,5619.0,970.0,3607.0,1878.0,4423,3076,1269
27,11,1,1901,3997.0,648.0,2906.0,648.0,3151,2327,459
28,11,1,1902,2337.0,281.0,1696.0,445.0,1975,1506,331
29,11,1,2001,2848.0,843.0,1239.0,831.0,2307,1038,614
30,11,1,2002,3911.0,1014.0,2179.0,813.0,3133,1846,592
31,11,1,2101,5859.0,556.0,3870.0,1722.0,4487,2908,1320
32,11,1,2102,4921.0,551.0,3568.0,791.0,4064,2976,555
33,11,1,2201,3704.0,395.0,2668.0,519.0,3073,2237,389
34,11,1,2202,3974.0,291.0,2555.0,1096.0,2977,1905,776
35,11,1,2301,3220.0,780.0,1782.0,491.0,2644,1466,412
36,11,1,2302,1711.0,669.0,813.0,61.0,1619,750,61
37,11,1,2400,4257.0,1034.0,2296.0,988.0,3650,2045,775
38,11,1,2501,2648.0,982.0,1447.0,570.0,2158,1241,427
39,11,1,2502,5852.0,1691.0,2820.0,2156.0,4673,2278,1489
40,11,1,2600,2573.0,1327.0,812.0,269.0,2156,717,218
41,11,1,2701,5428.0,3635.0,757.0,1525.0,4448,740,1012
42,11,1,2702,6300.0,4233.0,1297.0,1717.0,5413,1155,1307
43,11,1,2801,4033.0,1193.0,1701.0,1398.0,3169,1367,888
44,11,1,2802,4750.0,2222.0,1006.0,2235.0,3858,746,1714
45,11,1,2900,4567.0,2224.0,1247.0,1210.0,3884,1014,923
46,11,1,3000,3534.0,1602.0,1657.0,317.0,2814,1095,257
47,11,1,3100,3350.0,1229.0,951.0,1441.0,2778,790,1080
48,11,1,3200,4997.0,1821.0,2572.0,1406.0,4198,2193,1095
49,11,1,3301,3619.0,1781.0,1369.0,313.0,3291,1233,278
50,11,1,3302,2338.0,965.0,1092.0,134.0,2012,907,127
51,11,1,3400,4716.0,1331.0,3071.0,443.0,4369,2825,320
52,11,1,3500,5603.0,1157.0,4043.0,403.0,5102,3690,317
53,11,1,3600,5036.0,2719.0,1735.0,596.0,4593,1618,442
54,11,1,3700,5860.0,2723.0,2215.0,1466.0,4860,1668,1071
55,11,1,3800,4969.0,3484.0,727.0,894.0,4596,710,743
56,11,1,3900,4492.0,3493.0,506.0,366.0,4285,492,366
57,11,1,4001,4120.0,3498.0,126.0,468.0,3763,126,347
58,11,1,4002,2998.0,2570.0,177.0,245.0,2791,133,214
59,11,1,4100,2759.0,2283.0,117.0,329.0,2479,97,259
60,11,1,4201,3625.0,2966.0,234.0,186.0,3476,221,117
61,11,1,4202,2635.0,2145.0,82.0,213.0,2527,79,191
62,11,1,4300,3720.0,2377.0,992.0,594.0,3301,824,444
63,11,1,4400,5702.0,4089.0,935.0,419.0,5320,836,396
64,11,1,4600,2947.0,1014.0,1581.0,250.0,2406,1288,165
65,11,1,4701,4478.0,801.0,3107.0,199.0,3494,2219,116
66,11,1,4702,2558.0,1383.0,958.0,157.0,2368,801,146
67,11,1,4801,2223.0,861.0,1055.0,147.0,2021,932,147
68,11,1,4802,3548.0,1145.0,1731.0,461.0,3063,1410,363
69,11,1,4901,2600.0,1125.0,1074.0,407.0,2127,805,300
70,11,1,4902,2842.0,1468.0,609.0,605.0,2565,511,498
71,11,1,5001,2116.0,1492.0,289.0,305.0,1936,289,223
72,11,1,5002,6051.0,3369.0,1207.0,1390.0,5639,1207,1093
73,11,1,5201,6224.0,4884.0,227.0,796.0,6096,227,796
74,11,1,5301,4999.0,4053.0,162.0,276.0,4720,155,274
