rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,10,1,40100,6492.0,5746.0,483.0,281.0,5127,443,231
1,10,1,40201,5203.0,3832.0,1022.0,123.0,3887,822,60
2,10,1,40202,14528.0,9464.0,4058.0,718.0,10483,2801,522
3,10,1,40203,5796.0,3687.0,2028.0,149.0,4280,1404,87
4,10,1,40501,4692.0,2409.0,1825.0,374.0,3682,1295,209
5,10,1,40502,2026.0,1159.0,665.0,198.0,1678,459,96
6,10,1,40700,4478.0,2028.0,1869.0,255.0,3452,1237,223
7,10,1,40900,2804.0,1614.0,984.0,95.0,2548,904,81
8,10,1,41000,6595.0,3706.0,2411.0,1126.0,5244,1762,735
9,10,1,41100,3820.0,2840.0,407.0,564.0,2583,309,344
10,10,1,41200,4734.0,2250.0,1391.0,217.0,3347,1017,120
11,10,1,41300,2247.0,892.0,1122.0,224.0,1615,608,158
12,10,1,41400,3622.0,1701.0,1354.0,626.0,2958,1101,492
13,10,1,41500,4255.0,2430.0,1486.0,123.0,3285,1013,93
14,10,1,41600,1989.0,1447.0,292.0,50.0,1559,279,18
15,10,1,41701,5981.0,4339.0,990.0,271.0,4733,807,157
16,10,1,41702,5014.0,3182.0,1509.0,194.0,3679,1055,87
17,10,1,41801,10086.0,6245.0,2830.0,586.0,7524,2036,335
18,10,1,41802,5407.0,3564.0,1130.0,503.0,3965,716,332
19,10,1,41900,5186.0,4487.0,561.0,463.0,4055,303,251
20,10,1,42000,2953.0,2681.0,96.0,52.0,2334,66,52
21,10,1,42100,4035.0,3462.0,388.0,320.0,3005,259,134
22,10,1,42201,10556.0,6959.0,2328.0,993.0,7772,1716,527
23,10,1,42202,9243.0,7046.0,1333.0,263.0,6776,1035,234
24,10,1,42500,3201.0,1524.0,1391.0,533.0,2377,945,378
25,10,1,42800,7156.0,5764.0,1053.0,433.0,5378,633,344
26,10,1,42900,4888.0,4186.0,534.0,178.0,3840,416,152
27,10,1,43000,5632.0,4107.0,1101.0,158.0,4090,790,79
28,10,1,43100,2783.0,2540.0,176.0,86.0,2173,159,51
29,10,1,43202,3551.0,3086.0,324.0,183.0,2815,288,91
30,10,1,43300,5926.0,2105.0,3185.0,329.0,5201,2925,246
31,10,1,43400,4630.0,3443.0,885.0,428.0,3629,663,233
32,10,1,990000,0.0,0.0,0.0,0.0,0,0,0
33,10,3,200,6581.0,1201.0,4696.0,615.0,4788,3286,335
34,10,3,300,2949.0,493.0,2238.0,161.0,2161,1630,125
35,10,3,400,2901.0,1315.0,1513.0,145.0,2518,1269,123
36,10,3,500,3040.0,405.0,2524.0,103.0,2407,1910,70
37,10,3,601,3076.0,175.0,2731.0,105.0,2211,1939,74
38,10,3,602,3386.0,346.0,2855.0,100.0,2674,2205,100
39,10,3,900,1921.0,57.0,1766.0,152.0,1352,1246,92
40,10,3,1100,3151.0,2408.0,569.0,194.0,2922,483,194
41,10,3,1200,1627.0,1469.0,82.0,150.0,1530,82,131
42,10,3,1300,3617.0,3393.0,72.0,34.0,2955,72,27
43,10,3,1400,2390.0,1586.0,683.0,321.0,1966,494,227
44,10,3,1500,1932.0,913.0,845.0,56.0,1668,705,56
45,10,3,1600,2154.0,472.0,1440.0,307.0,1785,1150,261
46,10,3,1902,1772.0,354.0,1225.0,33.0,1381,892,33
47,10,3,2100,2054.0,103.0,1713.0,198.0,1448,1133,166
48,10,3,2200,2931.0,650.0,1380.0,1359.0,1922,837,941
49,10,3,2300,3273.0,878.0,1878.0,1139.0,2301,1387,582
50,10,3,2400,4871.0,2839.0,1763.0,1002.0,3707,1103,743
51,10,3,2500,3014.0,1865.0,763.0,766.0,2360,594,484
52,10,3,2600,4040.0,1138.0,1834.0,1437.0,2723,1133,975
53,10,3,2700,2449.0,1003.0,1126.0,579.0,1927,814,431
54,10,3,2800,1643.0,900.0,607.0,93.0,1405,436,90
55,10,3,2900,3616.0,172.0,3344.0,201.0,2438,2218,90
56,10,3,3002,3161.0,620.0,2390.0,206.0,2337,1629,119
57,10,3,10101,4365.0,1732.0,1831.0,278.0,3168,1180,189
58,10,3,10104,3859.0,2258.0,1275.0,200.0,2863,911,132
59,10,3,10200,2014.0,1450.0,406.0,111.0,1652,358,59
60,10,3,10300,3174.0,2069.0,781.0,252.0,2248,494,126
61,10,3,10400,4592.0,3744.0,507.0,39.0,3654,370,32
62,10,3,10502,6308.0,5045.0,880.0,364.0,4865,580,244
63,10,3,10702,5451.0,3124.0,1672.0,306.0,4117,1211,199
64,10,3,10800,5025.0,4153.0,413.0,274.0,4023,365,134
65,10,3,10900,2557.0,2450.0,39.0,140.0,2050,39,64
66,10,3,11000,3139.0,2731.0,219.0,192.0,2542,219,105
67,10,3,11100,2789.0,2511.0,183.0,30.0,2326,158,23
68,10,3,11201,2321.0,1709.0,69.0,31.0,1881,64,20
69,10,3,11202,4329.0,3385.0,140.0,163.0,3468,109,110
70,10,3,11203,4513.0,2838.0,964.0,9.0,3723,790,9
71,10,3,11204,3257.0,2841.0,249.0,68.0,2594,206,41
72,10,3,11205,2026.0,1826.0,128.0,58.0,1535,109,27
73,10,3,11206,4360.0,3778.0,287.0,97.0,3340,243,29
74,10,3,11300,2192.0,1980.0,93.0,45.0,1758,75,21
75,10,3,11400,3277.0,2843.0,169.0,56.0,2622,130,41
76,10,3,11500,2946.0,2377.0,69.0,104.0,2253,48,48
77,10,3,11600,3461.0,2924.0,148.0,81.0,2597,80,54
78,10,3,11700,3916.0,3730.0,26.0,103.0,3083,26,64
79,10,3,11800,3949.0,3555.0,25.0,1.0,3241,25,1
80,10,3,11900,3473.0,2821.0,87.0,505.0,2535,56,254
81,10,3,12000,4737.0,3884.0,609.0,1050.0,3691,579,486
82,10,3,12100,2771.0,2397.0,243.0,426.0,2109,99,258
83,10,3,12200,4659.0,3815.0,635.0,1208.0,3531,507,586
84,10,3,12300,2896.0,2334.0,224.0,774.0,2215,180,503
85,10,3,12400,4438.0,3948.0,226.0,957.0,3322,153,616
86,10,3,12500,5446.0,4239.0,864.0,886.0,4288,587,635
87,10,3,12600,2622.0,2426.0,119.0,513.0,2066,75,307
88,10,3,12700,4144.0,3282.0,612.0,431.0,3496,588,247
89,10,3,12900,4668.0,2815.0,1314.0,1341.0,3304,772,796
90,10,3,13000,1790.0,1616.0,93.0,140.0,1454,78,89
91,10,3,13100,2118.0,1841.0,51.0,296.0,1737,35,206
