rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,12,1,200,7555.0,5775.0,1171.0,818.0,7346,1071,762
1,12,1,301,3335.0,1804.0,1218.0,213.0,2763,902,135
2,12,1,302,2628.0,1584.0,584.0,303.0,2229,487,202
3,12,1,400,5688.0,1828.0,3449.0,564.0,3729,2015,370
4,12,1,500,4978.0,3785.0,934.0,354.0,4207,742,249
5,12,1,600,4091.0,294.0,3598.0,49.0,2814,2447,17
6,12,1,700,6905.0,1392.0,5453.0,124.0,5288,4066,124
7,12,1,806,2090.0,1457.0,322.0,266.0,2014,322,266
8,12,1,808,4258.0,2343.0,859.0,496.0,3783,674,424
9,12,1,809,1303.0,760.0,398.0,93.0,1156,285,93
10,12,1,901,4774.0,3348.0,560.0,724.0,4653,510,716
11,12,1,902,6542.0,4915.0,617.0,945.0,6399,593,933
12,12,1,1000,6023.0,5731.0,65.0,827.0,5590,50,827
13,12,1,1100,6831.0,5788.0,498.0,478.0,5531,238,297
14,12,1,1201,2953.0,2239.0,212.0,426.0,2333,199,295
15,12,1,1202,6760.0,4971.0,1228.0,581.0,5405,702,370
16,12,1,1203,3803.0,2723.0,544.0,345.0,3167,444,276
17,12,1,1400,4090.0,1377.0,2480.0,95.0,3511,2124,90
18,12,1,1514,1355.0,847.0,388.0,172.0,1289,334,172
19,12,1,1515,5087.0,2828.0,960.0,698.0,4787,719,698
20,12,1,1516,1803.0,1082.0,325.0,210.0,1701,305,198
21,12,1,1517,4665.0,2877.0,1030.0,560.0,4450,938,542
22,12,1,1519,2730.0,1379.0,591.0,232.0,2554,591,207
23,12,1,1520,2097.0,1415.0,371.0,454.0,2014,371,435
24,12,1,1521,4144.0,2601.0,856.0,713.0,3730,704,687
25,12,1,1603,1526.0,1146.0,290.0,212.0,1353,199,165
26,12,1,1604,8456.0,6449.0,1085.0,884.0,7958,1005,836
27,12,1,1701,6208.0,4384.0,1187.0,619.0,5317,1115,531
28,12,1,1702,5189.0,4335.0,261.0,492.0,4283,231,333
29,12,1,1801,7024.0,5851.0,978.0,303.0,5482,807,228
30,12,1,1802,2539.0,1670.0,665.0,112.0,2026,510,81
31,12,1,1803,6207.0,3893.0,1741.0,299.0,4877,1218,223
32,12,1,1805,1483.0,1304.0,105.0,154.0,1211,100,86
33,12,1,1806,9134.0,7673.0,965.0,753.0,7056,760,482
34,12,1,1811,6845.0,5698.0,207.0,956.0,5608,160,738
35,12,1,1813,3161.0,2416.0,153.0,225.0,2365,56,166
36,12,1,1814,3343.0,2681.0,339.0,454.0,2436,203,219
37,12,1,1902,3020.0,1420.0,1463.0,113.0,2330,931,57
38,12,1,1907,2823.0,2534.0,192.0,173.0,2424,169,163
39,12,1,1908,4034.0,3229.0,580.0,72.0,3148,368,63
40,12,1,2000,5780.0,4296.0,1329.0,87.0,4520,962,60
41,12,1,2101,1915.0,1458.0,340.0,84.0,1549,285,67
42,12,1,2102,921.0,769.0,133.0,34.0,745,101,19
43,12,1,2201,4467.0,3703.0,485.0,177.0,3451,298,155
44,12,1,2202,5966.0,5345.0,424.0,154.0,4651,318,135
45,12,1,2204,11217.0,8127.0,770.0,816.0,8235,592,733
46,12,1,2205,9915.0,8363.0,447.0,875.0,7846,265,731
47,12,1,2207,3613.0,2936.0,187.0,405.0,2788,141,313
48,12,1,2208,2572.0,2346.0,66.0,248.0,1961,51,210
49,12,1,2209,8242.0,6662.0,649.0,782.0,6169,458,414
50,12,1,2210,4352.0,3084.0,1076.0,409.0,3141,596,255
51,12,1,2217,5520.0,2748.0,2240.0,644.0,3984,1378,498
52,12,1,2218,2401.0,1052.0,1306.0,146.0,1486,701,137
53,12,1,2219,5768.0,3762.0,1476.0,824.0,4253,1027,522
54,12,1,2220,2002.0,1298.0,542.0,151.0,1599,424,127
55,12,1,110800,2087.0,1837.0,188.0,151.0,1854,149,86
56,12,3,40101,6861.0,6220.0,438.0,136.0,5009,278,67
57,12,3,40102,7580.0,6293.0,1227.0,175.0,5677,767,175
58,12,3,40201,7283.0,4996.0,2010.0,283.0,5622,1784,196
59,12,3,40202,5411.0,5140.0,263.0,44.0,4061,172,28
60,12,5,201,4776.0,4610.0,0.0,66.0,3436,0,58
61,12,5,202,5942.0,5304.0,110.0,0.0,4657,40,0
62,12,5,300,7605.0,7085.0,210.0,190.0,6005,202,178
63,12,5,400,8472.0,8063.0,76.0,240.0,6385,37,149
64,12,5,500,6034.0,5012.0,413.0,451.0,4829,316,337
65,12,5,600,1355.0,1282.0,14.0,48.0,1259,14,48
66,12,5,700,3128.0,2200.0,416.0,406.0,1895,283,210
67,12,5,803,5183.0,3608.0,1050.0,229.0,3751,578,90
68,12,5,804,2101.0,1635.0,351.0,121.0,1626,231,97
69,12,5,805,4583.0,3305.0,732.0,255.0,3725,576,198
70,12,5,806,4317.0,3217.0,545.0,306.0,3295,455,232
71,12,5,900,4448.0,3474.0,721.0,143.0,3737,631,113
72,12,5,1000,2312.0,1455.0,700.0,81.0,1851,567,54
73,12,5,1100,4442.0,2887.0,859.0,275.0,3392,641,123
74,12,5,1200,3455.0,2169.0,1023.0,232.0,2674,681,144
75,12,5,1301,5658.0,4937.0,394.0,227.0,4176,258,151
76,12,5,1302,7205.0,5959.0,915.0,442.0,5508,847,227
77,12,5,1402,7566.0,6217.0,1081.0,92.0,5746,976,83
78,12,5,1403,2191.0,1857.0,268.0,65.0,1530,125,59
79,12,5,1404,6922.0,6098.0,393.0,328.0,5547,337,220
80,12,5,1501,5419.0,4492.0,599.0,397.0,4244,573,252
81,12,5,1502,5574.0,4916.0,227.0,246.0,4652,227,217
82,12,5,1600,4176.0,1432.0,2561.0,187.0,3112,1850,178
83,12,5,1700,3257.0,1234.0,1557.0,317.0,2420,1172,169
84,12,5,1800,1537.0,990.0,266.0,14.0,1195,139,14
85,12,5,1900,4164.0,3690.0,32.0,210.0,3443,32,105
86,12,5,2000,1673.0,1240.0,253.0,7.0,1495,238,7
87,12,5,2200,4702.0,3295.0,1072.0,892.0,3133,571,414
88,12,5,2300,4038.0,3523.0,297.0,278.0,3210,191,142
89,12,5,2400,4434.0,3557.0,608.0,785.0,3377,365,455
90,12,5,2500,3081.0,2673.0,75.0,114.0,2489,54,103
91,12,5,2601,2543.0,2096.0,246.0,206.0,2095,193,180
92,12,5,2603,2296.0,2224.0,38.0,118.0,1836,27,96
93,12,5,2604,6906.0,6522.0,201.0,152.0,5436,161,90
94,12,5,2605,1023.0,1002.0,12.0,81.0,966,12,81
95,12,5,2606,1642.0,1528.0,6.0,65.0,1514,6,65
96,12,5,2607,1070.0,1050.0,9.0,16.0,941,9,16
97,12,5,2608,2471.0,2391.0,0.0,83.0,2022,0,52
98,12,5,2701,4219.0,3617.0,167.0,402.0,3706,124,325
99,12,5,2702,2697.0,2579.0,14.0,35.0,2245,14,35
100,12,5,2703,3301.0,2853.0,179.0,296.0,2614,149,202
101,12,5,2704,5419.0,4848.0,62.0,350.0,4530,62,315
102,12,5,2705,2016.0,1784.0,129.0,181.0,1747,129,181
103,12,7,100,5537.0,3382.0,1876.0,18.0,4173,1300,18
104,12,7,200,8307.0,6342.0,1809.0,508.0,6840,1561,508
105,12,7,300,7819.0,7253.0,431.0,165.0,6228,380,79
106,12,7,400,5560.0,4146.0,1341.0,339.0,4582,1206,277
107,12,9,60101,3720.0,2700.0,748.0,175.0,3115,619,152
108,12,9,60102,3015.0,2951.0,0.0,13.0,2542,0,13
109,12,9,60200,5527.0,4647.0,642.0,250.0,4651,532,181
110,12,9,60300,5069.0,4381.0,406.0,249.0,3920,311,158
111,12,9,60400,4474.0,3270.0,927.0,373.0,3759,743,354
112,12,9,60500,4871.0,3987.0,686.0,139.0,4034,387,113
113,12,9,60600,4968.0,3524.0,1207.0,325.0,4034,764,299
114,12,9,60700,2579.0,835.0,1454.0,230.0,1847,1069,126
115,12,9,61001,5114.0,3693.0,927.0,341.0,3965,567,203
116,12,9,61002,3162.0,2824.0,131.0,314.0,2554,47,157
117,12,9,61100,5821.0,5203.0,422.0,249.0,4929,374,164
118,12,9,61201,7044.0,5757.0,781.0,438.0,5711,513,313
119,12,9,61202,3462.0,2946.0,62.0,262.0,2970,62,139
120,12,9,62103,7607.0,6675.0,528.0,392.0,6291,451,303
121,12,9,62104,6834.0,6039.0,462.0,569.0,5665,411,428
122,12,9,62106,3396.0,2854.0,120.0,372.0,2724,82,206
123,12,9,62107,2840.0,2663.0,127.0,74.0,2406,127,52
124,12,9,62108,5787.0,4789.0,453.0,523.0,4490,317,314
125,12,9,62109,4733.0,3908.0,720.0,261.0,3858,632,221
126,12,9,62301,3739.0,1316.0,2026.0,268.0,2796,1420,182
127,12,9,62302,3063.0,2153.0,569.0,425.0,2231,471,203
128,12,9,62400,6686.0,5113.0,1118.0,1240.0,5075,805,728
129,12,9,62500,4247.0,2710.0,1369.0,271.0,3436,992,196
130,12,9,62600,3438.0,1017.0,1993.0,824.0,2373,1462,515
131,12,9,62800,3936.0,3622.0,131.0,295.0,3218,90,272
132,12,9,62900,5123.0,2738.0,2025.0,312.0,3917,1388,185
133,12,9,63000,4205.0,3271.0,389.0,470.0,3358,346,296
134,12,9,63102,8553.0,7186.0,688.0,568.0,6775,524,430
