rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,13,1,950100,3410.0,3311.0,67.0,0.0,2438,56,0
1,13,1,950200,4665.0,2354.0,2055.0,536.0,3314,1417,225
2,13,1,950300,4871.0,3612.0,759.0,587.0,3971,642,485
3,13,1,950400,1453.0,1005.0,448.0,27.0,1066,277,14
4,13,1,950500,4018.0,3839.0,150.0,573.0,2972,103,281
5,13,3,960100,2085.0,1254.0,420.0,541.0,1501,325,295
6,13,3,960200,4902.0,3080.0,962.0,1327.0,3431,716,807
7,13,3,960300,1307.0,1207.0,47.0,142.0,1003,33,98
8,13,5,970100,3088.0,2795.0,117.0,295.0,2368,88,175
9,13,5,970201,4010.0,2620.0,942.0,397.0,2940,550,315
10,13,5,970202,4124.0,3331.0,619.0,187.0,3146,516,187
11,13,7,960100,2209.0,908.0,1249.0,42.0,1679,901,30
12,13,7,960200,1083.0,755.0,320.0,22.0,947,291,22
13,13,9,970100,5214.0,3309.0,1745.0,123.0,3992,1320,43
14,13,9,970200,6524.0,3738.0,2444.0,238.0,5273,1873,103
15,13,9,970300,6361.0,3492.0,2373.0,213.0,4700,1543,164
16,13,9,970400,4926.0,2584.0,2034.0,113.0,4026,1382,113
17,13,9,970500,6391.0,4057.0,2065.0,177.0,5739,1679,177
18,13,9,970600,3651.0,1282.0,2271.0,0.0,2977,1735,0
19,13,9,970701,2985.0,962.0,1977.0,0.0,2236,1300,0
20,13,9,970702,2325.0,960.0,1325.0,29.0,1966,1119,29
21,13,9,970800,7418.0,4614.0,2764.0,79.0,5924,2318,79
22,13,11,970100,5269.0,5103.0,32.0,573.0,3924,32,302
23,13,11,970200,5013.0,4515.0,226.0,99.0,3725,115,44
24,13,11,970300,4166.0,3943.0,150.0,22.0,3315,96,2
25,13,11,970400,3888.0,3568.0,84.0,464.0,3009,84,343
26,13,13,180103,4674.0,4061.0,130.0,246.0,3379,72,116
27,13,13,180104,1976.0,1669.0,176.0,185.0,1358,86,82
28,13,13,180105,2802.0,2095.0,198.0,232.0,1982,99,136
29,13,13,180106,2831.0,2327.0,324.0,258.0,2134,243,123
30,13,13,180107,3853.0,2919.0,335.0,523.0,2926,159,364
31,13,13,180108,3202.0,2703.0,153.0,177.0,2426,96,106
32,13,13,180203,3421.0,2034.0,845.0,693.0,2499,568,521
33,13,13,180204,2732.0,1648.0,850.0,327.0,1931,490,249
34,13,13,180205,4389.0,3116.0,800.0,269.0,3156,565,160
35,13,13,180206,2716.0,2430.0,32.0,140.0,2128,32,94
36,13,13,180301,2167.0,2045.0,47.0,118.0,1635,38,58
37,13,13,180302,5507.0,5271.0,129.0,324.0,4057,66,121
38,13,13,180303,4323.0,3739.0,321.0,428.0,3015,207,234
39,13,13,180401,5468.0,4629.0,422.0,201.0,3896,333,110
40,13,13,180402,6093.0,4499.0,1541.0,749.0,4574,1187,493
41,13,13,180501,5718.0,4343.0,1069.0,732.0,4093,698,567
42,13,13,180502,4548.0,4009.0,252.0,311.0,3367,196,197
43,13,13,180503,5592.0,4437.0,714.0,904.0,3740,517,387
44,13,15,960101,1474.0,1474.0,0.0,21.0,1239,0,21
45,13,15,960102,9218.0,8614.0,507.0,437.0,7010,448,292
