rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,15,1,20100,4877.0,1652.0,41.0,464.0,3938,35,320
1,15,1,20202,2108.0,727.0,74.0,208.0,1856,74,167
2,15,1,20300,3908.0,899.0,28.0,411.0,3221,12,343
3,15,1,20400,3959.0,791.0,113.0,1051.0,2728,66,479
4,15,1,20500,5117.0,1080.0,38.0,717.0,4421,36,576
5,15,1,20600,6282.0,678.0,57.0,510.0,4647,57,320
6,15,1,20701,4335.0,490.0,16.0,211.0,3572,16,159
7,15,1,20702,5389.0,685.0,56.0,785.0,4472,32,548
8,15,1,20801,4886.0,846.0,0.0,327.0,3774,0,234
9,15,1,20802,6234.0,1468.0,0.0,521.0,4966,0,410
10,15,1,20900,5191.0,1134.0,17.0,432.0,3940,17,279
11,15,1,21003,7157.0,1985.0,65.0,1511.0,5369,53,893
12,15,1,21005,11440.0,3673.0,236.0,2383.0,9171,236,1206
13,15,1,21010,6843.0,3285.0,38.0,1270.0,5362,38,694
14,15,1,21011,3656.0,1661.0,0.0,519.0,2761,0,296
15,15,1,21013,5028.0,947.0,3.0,365.0,3976,3,261
16,15,1,21101,3117.0,2068.0,0.0,339.0,2790,0,277
17,15,1,21106,7109.0,2242.0,71.0,1302.0,5233,71,721
18,15,1,21202,7942.0,2636.0,15.0,1214.0,5938,15,518
19,15,1,21300,7017.0,2672.0,7.0,268.0,5468,7,226
20,15,1,21402,4251.0,1025.0,24.0,458.0,3340,15,263
21,15,1,21502,4445.0,1970.0,30.0,479.0,3660,30,267
22,15,1,21504,4867.0,776.0,46.0,440.0,3252,46,202
23,15,1,21507,10954.0,5949.0,0.0,1865.0,8672,0,1060
24,15,1,21509,5678.0,3024.0,0.0,643.0,4245,0,304
25,15,1,21601,7769.0,3684.0,26.0,792.0,6772,26,642
26,15,1,21604,7500.0,3492.0,134.0,1286.0,5980,106,691
27,15,1,21702,11118.0,3741.0,168.0,786.0,7555,110,570
28,15,1,21704,7713.0,4083.0,14.0,433.0,5946,14,314
29,15,1,21800,6490.0,1477.0,5.0,803.0,4839,5,516
30,15,1,21902,4171.0,1480.0,2.0,268.0,3285,2,160
31,15,1,22000,3270.0,1014.0,0.0,160.0,2468,0,98
32,15,1,22102,1661.0,593.0,0.0,223.0,1258,0,155
33,15,1,990300,0.0,0.0,0.0,0.0,0,0,0
34,15,3,106,7923.0,2355.0,141.0,631.0,6732,141,486
35,15,3,107,2790.0,654.0,0.0,88.0,2133,0,65
36,15,3,108,3096.0,1255.0,74.0,144.0,2577,74,74
37,15,3,110,4339.0,1475.0,0.0,148.0,3464,0,118
38,15,3,111,4784.0,762.0,0.0,201.0,3784,0,147
39,15,3,112,5081.0,1328.0,40.0,202.0,3999,40,131
40,15,3,114,1403.0,539.0,0.0,35.0,1157,0,31
41,15,3,200,5829.0,1197.0,22.0,296.0,4446,22,195
42,15,3,301,3181.0,614.0,13.0,132.0,2595,13,59
43,15,3,302,2838.0,460.0,0.0,105.0,2272,0,85
44,15,3,401,2587.0,657.0,7.0,63.0,2064,7,34
45,15,3,402,3734.0,989.0,0.0,182.0,3120,0,152
46,15,3,500,3537.0,1394.0,15.0,168.0,2785,15,100
47,15,3,600,1335.0,518.0,0.0,0.0,1065,0,0
48,15,3,700,2913.0,168.0,13.0,211.0,2398,13,101
49,15,3,800,3820.0,390.0,22.0,92.0,3165,22,64
50,15,3,901,2717.0,508.0,0.0,46.0,2186,0,46
51,15,3,902,3973.0,1329.0,30.0,397.0,3286,22,273
52,15,3,903,2858.0,574.0,19.0,191.0,2440,19,112
53,15,3,1000,3305.0,629.0,55.0,382.0,2837,30,255
54,15,3,1100,4084.0,350.0,17.0,264.0,3224,17,196
55,15,3,1201,3038.0,196.0,0.0,307.0,2465,0,136
56,15,3,1202,2870.0,231.0,0.0,259.0,2428,0,192
57,15,3,1300,4730.0,646.0,17.0,205.0,4160,17,160
58,15,3,1400,2584.0,331.0,48.0,47.0,2174,25,31
59,15,3,1500,3556.0,654.0,0.0,96.0,3081,0,77
60,15,3,1600,3829.0,729.0,31.0,192.0,3220,23,151
61,15,3,1700,2084.0,1245.0,36.0,117.0,1893,14,76
62,15,3,1801,1278.0,497.0,22.0,126.0,1152,22,116
63,15,3,1803,2845.0,1126.0,263.0,264.0,2749,263,247
64,15,3,1804,1706.0,791.0,35.0,112.0,1476,35,87
65,15,3,1901,355.0,208.0,8.0,32.0,355,8,32
66,15,3,1903,3193.0,1309.0,0.0,173.0,2924,0,130
67,15,3,1904,3295.0,1740.0,46.0,181.0,3177,46,181
68,15,3,2003,2418.0,1235.0,130.0,170.0,2245,130,170
69,15,3,2004,1304.0,591.0,0.0,60.0,1258,0,56
70,15,3,2005,1797.0,896.0,102.0,176.0,1697,102,126
71,15,3,2006,1671.0,794.0,42.0,66.0,1583,42,66
72,15,3,2100,3638.0,642.0,68.0,272.0,3142,68,233
73,15,3,2201,3531.0,651.0,8.0,115.0,2982,8,115
74,15,3,2202,3292.0,1027.0,20.0,129.0,2891,20,129
75,15,3,2300,4980.0,785.0,32.0,441.0,4242,32,349
76,15,3,2401,3333.0,403.0,237.0,215.0,2623,83,179
77,15,3,2402,3170.0,422.0,0.0,36.0,2807,0,36
78,15,3,2500,4563.0,511.0,33.0,302.0,3906,33,285
79,15,3,2600,4214.0,798.0,15.0,214.0,3696,15,160
80,15,3,2701,5035.0,1372.0,28.0,266.0,4749,15,266
81,15,3,2702,5054.0,1094.0,48.0,208.0,4420,48,189
82,15,3,2800,3842.0,1094.0,6.0,252.0,3198,6,146
83,15,3,2900,2446.0,857.0,10.0,62.0,1885,10,62
84,15,3,3000,4919.0,1531.0,0.0,200.0,4038,0,173
85,15,3,3101,3954.0,651.0,21.0,79.0,3319,21,64
86,15,3,3102,3602.0,786.0,0.0,6.0,2978,0,6
87,15,3,3200,836.0,297.0,9.0,24.0,676,9,6
88,15,3,3300,1178.0,166.0,5.0,33.0,1033,5,22
89,15,3,3403,5785.0,1260.0,179.0,527.0,5105,179,319
90,15,3,3404,4764.0,717.0,25.0,328.0,4266,25,272
91,15,3,3405,3483.0,1029.0,27.0,231.0,3019,27,218
92,15,3,3406,5786.0,925.0,41.0,556.0,4770,41,330
93,15,3,3407,815.0,212.0,0.0,18.0,749,0,6
94,15,3,3501,2276.0,439.0,77.0,71.0,2028,77,71
95,15,3,3502,3713.0,379.0,16.0,115.0,3202,16,115
96,15,3,3601,3999.0,874.0,74.0,289.0,3420,61,206
97,15,3,3603,3100.0,500.0,0.0,55.0,2712,0,55
98,15,3,3604,2216.0,376.0,42.0,60.0,1925,21,38
99,15,3,3700,5828.0,1874.0,8.0,163.0,5259,8,151
100,15,3,3800,3814.0,928.0,54.0,114.0,3332,38,114
101,15,3,3900,330.0,80.0,38.0,15.0,330,38,15
