rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,19,1,960100,2865.0,2826.0,27.0,42.0,2180,27,38
1,19,1,960200,1567.0,1539.0,0.0,9.0,1293,0,5
2,19,1,960300,2994.0,2947.0,0.0,63.0,2352,0,16
3,19,3,950100,1705.0,1671.0,1.0,11.0,1309,1,11
4,19,3,950200,2187.0,2117.0,26.0,20.0,1765,26,7
5,19,5,960100,1975.0,1930.0,4.0,39.0,1621,0,31
6,19,5,960200,2659.0,2623.0,0.0,0.0,2016,0,0
7,19,5,960300,3946.0,3836.0,0.0,43.0,3134,0,20
8,19,5,960400,2346.0,2298.0,30.0,3.0,1940,30,1
9,19,5,960500,3134.0,2905.0,65.0,680.0,2191,44,355
10,19,7,950100,2925.0,2866.0,4.0,30.0,2211,4,12
11,19,7,950200,1748.0,1741.0,2.0,8.0,1408,2,8
12,19,7,950300,2523.0,2346.0,26.0,115.0,2175,26,63
13,19,7,950400,3443.0,3403.0,11.0,43.0,2496,11,43
14,19,7,950500,2030.0,1991.0,0.0,6.0,1598,0,6
15,19,9,70100,1939.0,1901.0,10.0,20.0,1501,6,13
16,19,9,70200,2217.0,2141.0,1.0,29.0,1746,1,1
17,19,9,70300,1713.0,1690.0,8.0,0.0,1391,0,0
18,19,11,960100,2981.0,2933.0,40.0,0.0,2230,23,0
19,19,11,960200,3147.0,3057.0,0.0,82.0,2514,0,43
20,19,11,960300,5388.0,5280.0,12.0,2.0,4185,11,1
21,19,11,960400,3116.0,3104.0,12.0,0.0,2341,12,0
22,19,11,960500,5781.0,5602.0,117.0,39.0,4128,0,20
23,19,11,960600,2732.0,2663.0,0.0,103.0,2011,0,25
24,19,11,960700,2658.0,2587.0,0.0,112.0,1943,0,0
25,19,13,100,1670.0,968.0,613.0,92.0,1325,426,49
26,19,13,200,3099.0,1977.0,686.0,339.0,2117,586,228
27,19,13,300,2993.0,1900.0,556.0,285.0,2250,361,247
28,19,13,400,1543.0,1426.0,52.0,16.0,1257,49,12
29,19,13,500,1928.0,1099.0,577.0,154.0,1272,326,113
30,19,13,700,1580.0,526.0,768.0,512.0,951,396,238
31,19,13,800,3741.0,3037.0,338.0,615.0,2872,165,338
32,19,13,900,1856.0,1476.0,246.0,188.0,1505,159,81
33,19,13,1000,3720.0,3226.0,160.0,104.0,2815,52,54
34,19,13,1100,3006.0,2405.0,282.0,584.0,2052,125,209
35,19,13,1200,2363.0,2253.0,38.0,60.0,1977,19,28
36,19,13,1301,3948.0,3317.0,248.0,252.0,3200,114,176
37,19,13,1302,3971.0,3318.0,352.0,77.0,3007,167,35
38,19,13,1400,4651.0,4097.0,369.0,130.0,3394,253,87
39,19,13,1501,3165.0,2519.0,328.0,137.0,2450,131,81
40,19,13,1502,4170.0,3804.0,180.0,86.0,3104,108,37
41,19,13,1503,3860.0,3631.0,29.0,29.0,3308,29,29
42,19,13,1600,2708.0,1981.0,470.0,99.0,2111,373,41
43,19,13,1701,2240.0,641.0,1501.0,119.0,1657,1088,65
44,19,13,1702,2451.0,1629.0,720.0,158.0,1989,561,125
45,19,13,1800,1674.0,220.0,1435.0,45.0,1176,984,40
46,19,13,1900,2306.0,1212.0,916.0,211.0,1718,667,133
47,19,13,2000,5352.0,4873.0,209.0,130.0,4320,146,20
48,19,13,2200,4437.0,4197.0,153.0,45.0,3714,119,45
