rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,16,1,100,3944.0,3461.0,9.0,320.0,3506,6,177
1,16,1,201,3246.0,3135.0,46.0,56.0,2544,35,36
2,16,1,202,5525.0,5128.0,71.0,292.0,4452,33,222
3,16,1,302,3361.0,3006.0,10.0,183.0,2734,10,100
4,16,1,303,1767.0,1594.0,23.0,246.0,1618,23,193
5,16,1,304,6693.0,5748.0,336.0,401.0,5058,151,262
6,16,1,400,5614.0,5015.0,56.0,457.0,4415,34,288
7,16,1,500,5975.0,5602.0,44.0,373.0,4665,44,182
8,16,1,600,5415.0,5130.0,21.0,564.0,4421,21,361
9,16,1,701,4533.0,4229.0,21.0,161.0,3836,21,114
10,16,1,702,3019.0,2741.0,23.0,98.0,2305,23,65
11,16,1,802,5601.0,5181.0,24.0,296.0,4370,0,98
12,16,1,803,4575.0,4000.0,141.0,110.0,3654,141,65
13,16,1,804,6677.0,5600.0,300.0,150.0,5865,300,128
14,16,1,805,3099.0,2856.0,0.0,88.0,2380,0,51
15,16,1,900,6023.0,5243.0,114.0,773.0,5290,83,538
16,16,1,1000,6816.0,6015.0,42.0,436.0,5578,42,368
17,16,1,1100,4261.0,3646.0,19.0,1232.0,3143,19,728
18,16,1,1201,3403.0,3108.0,16.0,219.0,2750,16,208
19,16,1,1202,6770.0,5950.0,331.0,671.0,5602,216,560
20,16,1,1400,4938.0,4032.0,4.0,772.0,4127,4,506
21,16,1,1500,3571.0,3495.0,0.0,293.0,2829,0,267
22,16,1,1600,4457.0,4002.0,0.0,211.0,3575,0,170
23,16,1,1700,5492.0,4798.0,190.0,588.0,4264,76,334
24,16,1,1800,4336.0,3969.0,45.0,144.0,3645,45,115
25,16,1,1900,4927.0,4510.0,59.0,381.0,3840,25,252
26,16,1,2000,4276.0,3436.0,400.0,711.0,3447,217,431
27,16,1,2100,2148.0,1981.0,1.0,121.0,1734,1,77
28,16,1,2221,8680.0,8112.0,63.0,430.0,6577,32,294
29,16,1,2222,5820.0,5006.0,76.0,416.0,4193,76,252
30,16,1,2223,4908.0,4696.0,0.0,149.0,3277,0,59
31,16,1,2224,6515.0,5775.0,107.0,420.0,4588,107,238
32,16,1,2302,9738.0,8787.0,170.0,1863.0,7268,88,1164
33,16,1,2310,10876.0,9518.0,64.0,1579.0,8244,64,837
34,16,1,2312,5245.0,4636.0,133.0,704.0,3952,65,428
35,16,1,2313,4198.0,3649.0,32.0,557.0,3276,22,337
36,16,1,2410,6987.0,6516.0,25.0,579.0,5303,25,395
37,16,1,2411,5174.0,4841.0,0.0,377.0,4091,0,217
38,16,1,2412,3795.0,3712.0,0.0,148.0,3063,0,83
39,16,1,2413,8953.0,8115.0,169.0,697.0,6604,61,278
40,16,1,10100,5987.0,5616.0,46.0,133.0,4133,16,94
41,16,1,10201,10054.0,9581.0,68.0,668.0,6996,34,426
42,16,1,10221,6819.0,6409.0,0.0,281.0,5056,0,144
43,16,1,10223,6521.0,6188.0,19.0,336.0,5108,19,258
44,16,1,10224,4593.0,4410.0,0.0,56.0,3265,0,37
45,16,1,10225,8907.0,8436.0,0.0,468.0,6833,0,269
46,16,1,10313,21220.0,20376.0,155.0,1234.0,14980,155,789
47,16,1,10321,7045.0,6534.0,20.0,956.0,5123,19,495
48,16,1,10322,7059.0,6687.0,104.0,886.0,5366,82,574
49,16,1,10331,20638.0,19053.0,107.0,422.0,14088,107,422
50,16,1,10332,14154.0,12694.0,54.0,1166.0,9288,54,707
51,16,1,10333,11217.0,10146.0,692.0,664.0,7971,311,349
52,16,1,10334,6524.0,6169.0,38.0,491.0,4438,25,315
53,16,1,10335,23739.0,22375.0,85.0,1657.0,16417,0,1128
54,16,1,10401,22147.0,20773.0,0.0,1369.0,14516,0,651
55,16,1,10402,11308.0,10197.0,38.0,692.0,7829,14,434
56,16,1,10501,6406.0,5779.0,64.0,1225.0,5818,64,1142
57,16,1,10503,4477.0,3767.0,0.0,228.0,3215,0,86
58,16,1,10504,7335.0,6442.0,66.0,632.0,4862,66,390
59,16,3,950100,1474.0,1387.0,0.0,110.0,1137,0,42
60,16,3,950200,2406.0,2356.0,0.0,10.0,2001,0,10
61,16,5,200,3802.0,3684.0,10.0,20.0,2739,10,11
62,16,5,300,9253.0,8533.0,11.0,833.0,6332,11,501
63,16,5,400,5451.0,5096.0,9.0,313.0,3544,0,165
64,16,5,500,1948.0,1866.0,0.0,127.0,1513,0,67
65,16,5,600,3974.0,3416.0,19.0,177.0,3125,19,129
66,16,5,700,4116.0,3744.0,88.0,288.0,3600,88,269
67,16,5,800,2592.0,2079.0,107.0,398.0,2098,107,243
68,16,5,900,2556.0,2360.0,57.0,146.0,1870,57,137
69,16,5,1000,3385.0,3140.0,12.0,302.0,2469,0,156
70,16,5,1101,7510.0,7097.0,0.0,722.0,5357,0,509
71,16,5,1102,3655.0,3220.0,115.0,432.0,2517,72,202
72,16,5,1200,3136.0,2982.0,37.0,238.0,2113,19,148
73,16,5,1300,2578.0,2325.0,12.0,454.0,1943,12,211
74,16,5,1400,3981.0,3446.0,28.0,351.0,2995,22,251
75,16,5,1500,5835.0,5530.0,0.0,328.0,3941,0,157
76,16,5,1601,2647.0,2400.0,19.0,441.0,2074,19,282
77,16,5,1602,3689.0,3365.0,59.0,241.0,2552,38,172
78,16,5,1603,3016.0,2686.0,12.0,153.0,2437,12,111
79,16,5,1700,3305.0,3150.0,10.0,114.0,2533,10,20
80,16,5,1900,4653.0,4508.0,20.0,101.0,3420,3,60
81,16,5,940000,2276.0,746.0,0.0,263.0,1682,0,140
82,16,5,981800,246.0,236.0,0.0,0.0,182,0,0
83,16,7,950100,3516.0,3329.0,9.0,157.0,2496,9,122
84,16,7,950200,2423.0,2365.0,19.0,88.0,1847,16,55
85,16,9,940000,4510.0,3439.0,30.0,237.0,3486,17,114
86,16,9,950100,4578.0,4448.0,13.0,54.0,3561,13,54
87,16,11,940000,2736.0,378.0,0.0,282.0,1996,0,163
88,16,11,950100,8257.0,7819.0,42.0,823.0,5450,16,556
89,16,11,950200,3691.0,3414.0,0.0,342.0,2594,0,208
90,16,11,950300,5585.0,4785.0,0.0,1580.0,3749,0,855
91,16,11,950400,6641.0,6197.0,4.0,1098.0,4687,4,710
92,16,11,950500,7560.0,6822.0,54.0,1484.0,5107,15,889
93,16,11,950600,5644.0,5165.0,13.0,1504.0,3876,9,906
94,16,11,950700,5293.0,4677.0,20.0,921.0,3412,0,472
95,16,13,960100,4919.0,4502.0,6.0,870.0,3606,6,493
96,16,13,960200,9952.0,8515.0,6.0,2996.0,7194,0,1908
97,16,13,960300,3537.0,3399.0,1.0,263.0,3022,1,188
98,16,13,960500,2901.0,2720.0,6.0,233.0,2490,6,122
99,16,15,950200,6885.0,6555.0,37.0,245.0,5566,31,157
100,16,17,950100,1955.0,1869.0,0.0,26.0,1691,0,8
101,16,17,950200,9073.0,8656.0,44.0,284.0,6993,44,245
102,16,17,950300,3448.0,3351.0,2.0,155.0,2651,2,56
103,16,17,950400,6896.0,6674.0,0.0,213.0,5545,0,120
104,16,17,950500,3471.0,3311.0,0.0,127.0,2575,0,95
105,16,17,950600,2032.0,1880.0,0.0,67.0,1869,0,67
106,16,17,950700,4661.0,4415.0,0.0,27.0,3764,0,8
107,16,17,950800,5564.0,5242.0,26.0,8.0,4363,26,8
108,16,17,950900,3966.0,3827.0,0.0,195.0,3161,0,104
109,16,19,970100,4992.0,4948.0,2.0,141.0,3616,0,102
110,16,19,970300,6758.0,6427.0,0.0,433.0,4549,0,229
111,16,19,970401,2499.0,2156.0,42.0,202.0,1757,42,98
112,16,19,970402,3799.0,3780.0,0.0,185.0,2512,0,92
113,16,19,970403,11764.0,9283.0,136.0,2786.0,6972,52,1458
114,16,19,970501,7951.0,7340.0,42.0,940.0,4988,24,380
115,16,19,970502,5160.0,4671.0,27.0,386.0,3414,18,178
116,16,19,970503,4987.0,4772.0,7.0,354.0,3111,7,268
117,16,19,970601,2947.0,2685.0,0.0,495.0,2012,0,222
118,16,19,970602,5485.0,4623.0,34.0,733.0,3871,34,485
119,16,19,970603,2029.0,1989.0,9.0,153.0,1576,9,92
120,16,19,970700,5645.0,4695.0,10.0,1457.0,4430,10,873
121,16,19,970800,3822.0,3705.0,44.0,225.0,2732,44,148
122,16,19,970900,4712.0,4465.0,18.0,299.0,3323,18,122
123,16,19,971000,5367.0,5018.0,1.0,642.0,3955,0,475
124,16,19,971100,3263.0,2990.0,56.0,248.0,2534,40,169
125,16,19,971200,4310.0,3523.0,22.0,902.0,3305,22,609
126,16,19,971301,7044.0,6397.0,10.0,1036.0,4704,0,500
127,16,19,971302,4856.0,4246.0,31.0,621.0,3469,11,354
128,16,19,971400,8723.0,8016.0,0.0,838.0,6025,0,470
129,16,19,971500,1675.0,1521.0,0.0,240.0,1202,0,121
130,16,21,970100,5557.0,5289.0,2.0,216.0,4336,0,160
131,16,21,970200,5404.0,5019.0,24.0,241.0,4029,15,141
132,16,23,970100,2653.0,2465.0,53.0,162.0,1993,53,99
133,16,25,970100,1052.0,983.0,0.0,119.0,788,0,56
134,16,27,20100,1003.0,884.0,11.0,130.0,863,5,82
135,16,27,20200,4139.0,3426.0,32.0,1956.0,2618,25,1064
136,16,27,20300,4926.0,4136.0,10.0,1732.0,3465,10,1158
137,16,27,20401,9293.0,7566.0,215.0,3518.0,5934,215,1659
138,16,27,20402,5456.0,4806.0,95.0,1128.0,3986,7,778
139,16,27,20501,3723.0,3431.0,11.0,732.0,2458,0,338
140,16,27,20503,3415.0,3074.0,10.0,231.0,2359,6,186
141,16,27,20504,5914.0,5429.0,0.0,1005.0,4320,0,545
142,16,27,20601,5677.0,5266.0,0.0,905.0,3456,0,621
143,16,27,20602,7413.0,6535.0,14.0,2171.0,5368,0,1453
144,16,27,20700,3415.0,3288.0,0.0,344.0,2582,0,260
145,16,27,20901,12919.0,11972.0,0.0,2543.0,8751,0,1365
146,16,27,20902,14696.0,13262.0,0.0,2252.0,10302,0,1276
147,16,27,21001,14189.0,12886.0,32.0,4761.0,9034,18,2500
148,16,27,21002,9722.0,8925.0,80.0,2246.0,7387,19,1420
149,16,27,21100,15945.0,14508.0,51.0,2513.0,10764,51,1408
150,16,27,21200,7096.0,5493.0,0.0,2997.0,4892,0,1681
151,16,27,21300,2739.0,2395.0,38.0,1680.0,1935,36,998
152,16,27,21500,4832.0,4206.0,92.0,1074.0,3677,80,595
153,16,27,21600,4030.0,3626.0,21.0,1220.0,3075,15,747
154,16,27,21700,12160.0,11698.0,136.0,5225.0,8587,136,3268
155,16,27,21800,5763.0,5503.0,0.0,1004.0,4230,0,604
156,16,27,21901,5710.0,5105.0,0.0,596.0,3831,0,300
157,16,27,21903,9846.0,9484.0,0.0,460.0,7164,0,231
158,16,27,21904,3814.0,3630.0,0.0,1568.0,2403,0,748
159,16,27,22100,5173.0,4631.0,0.0,1277.0,3807,0,873
160,16,27,22200,5443.0,4920.0,0.0,1722.0,3729,0,1082
161,16,27,22300,6026.0,5828.0,0.0,1309.0,4356,0,900
162,16,27,22400,4444.0,4336.0,30.0,341.0,3332,16,228
163,16,29,960100,4004.0,3909.0,7.0,314.0,2775,0,213
164,16,29,960200,2804.0,2789.0,0.0,49.0,2089,0,33
165,16,31,950100,3289.0,3164.0,0.0,502.0,2084,0,335
166,16,31,950200,3216.0,2850.0,7.0,605.0,2144,7,396
167,16,31,950300,4734.0,4420.0,30.0,1042.0,3209,30,527
168,16,31,950400,4179.0,3704.0,7.0,2063.0,2861,7,1198
169,16,31,950500,5337.0,5100.0,0.0,1088.0,3722,0,645
170,16,31,950600,2614.0,2335.0,0.0,829.0,1718,0,502
171,16,33,950100,901.0,855.0,0.0,373.0,635,0,258
172,16,35,940000,5562.0,5147.0,11.0,245.0,4699,11,232
173,16,35,970100,2998.0,2903.0,3.0,65.0,2527,3,55
174,16,37,960200,4234.0,4127.0,0.0,113.0,3466,0,113
175,16,39,960100,2570.0,2399.0,0.0,441.0,1923,0,252
176,16,39,960200,9150.0,7896.0,85.0,1587.0,6805,65,904
177,16,39,960300,3846.0,3182.0,93.0,406.0,2991,93,275
178,16,39,960400,7419.0,6426.0,155.0,1558.0,5268,155,963
179,16,39,960500,3190.0,2307.0,300.0,217.0,2205,212,141
180,16,41,970100,6030.0,5631.0,10.0,383.0,3926,10,169
181,16,41,970200,6884.0,6816.0,0.0,500.0,4549,0,336
182,16,43,970100,1267.0,1226.0,0.0,15.0,919,0,12
183,16,43,970200,3456.0,3156.0,36.0,579.0,2588,36,336
184,16,43,970300,8222.0,7746.0,10.0,1004.0,5725,10,563
185,16,45,960100,4126.0,3955.0,0.0,152.0,3456,0,152
186,16,45,960200,5370.0,5053.0,0.0,331.0,4083,0,136
187,16,45,960300,7235.0,6770.0,0.0,858.0,5394,0,499
188,16,47,960100,7263.0,6265.0,0.0,2091.0,5152,0,1166
189,16,47,960200,7970.0,6902.0,11.0,2290.0,5706,11,1425
190,16,49,940000,4518.0,3935.0,0.0,157.0,3438,0,70
191,16,49,960100,2062.0,1961.0,0.0,61.0,1795,0,33
192,16,49,960200,6282.0,6197.0,1.0,160.0,4992,1,121
193,16,49,960300,2192.0,1967.0,23.0,110.0,1707,20,73
194,16,49,960400,1258.0,1251.0,0.0,18.0,1058,0,18
195,16,51,960100,3695.0,3310.0,33.0,1199.0,2406,13,713
196,16,51,960200,4200.0,3851.0,0.0,304.0,3034,0,233
197,16,51,960300,7523.0,7244.0,19.0,352.0,4562,19,138
198,16,51,960400,11374.0,10607.0,0.0,916.0,7387,0,486
199,16,53,970100,3194.0,2976.0,19.0,898.0,2298,19,573
200,16,53,970200,4287.0,4034.0,0.0,1775.0,2919,0,1065
201,16,53,970300,5128.0,4603.0,0.0,1315.0,3481,0,750
202,16,53,970400,3293.0,2786.0,0.0,1937.0,2022,0,930
203,16,53,970500,6751.0,6387.0,0.0,1633.0,4806,0,991
204,16,55,100,6301.0,5999.0,0.0,192.0,4958,0,122
205,16,55,200,8657.0,8251.0,10.0,177.0,6783,10,132
206,16,55,301,5703.0,5346.0,26.0,306.0,4119,0,258
207,16,55,302,6761.0,6396.0,32.0,488.0,4664,32,357
208,16,55,401,6056.0,5502.0,13.0,456.0,4330,13,289
209,16,55,402,7633.0,7131.0,42.0,208.0,5486,25,104
210,16,55,500,11853.0,11544.0,26.0,408.0,8376,22,168
211,16,55,601,4491.0,4433.0,0.0,287.0,3445,0,183
212,16,55,602,6000.0,5600.0,81.0,251.0,4672,26,185
213,16,55,700,16498.0,15001.0,0.0,927.0,12618,0,478
214,16,55,800,4529.0,4168.0,47.0,110.0,3647,35,110
215,16,55,900,4897.0,4553.0,0.0,123.0,3998,0,111
216,16,55,1001,6622.0,6390.0,66.0,64.0,5157,27,49
217,16,55,1002,4341.0,4235.0,0.0,95.0,3157,0,42
218,16,55,1100,2059.0,2005.0,0.0,63.0,1662,0,32
219,16,55,1200,6955.0,6699.0,64.0,247.0,5147,38,183
220,16,55,1300,4591.0,4382.0,4.0,513.0,3318,0,242
221,16,55,1400,2811.0,2620.0,32.0,135.0,2495,20,83
222,16,55,1500,3107.0,2953.0,0.0,181.0,2449,0,113
223,16,55,1600,2932.0,2790.0,25.0,39.0,2262,24,16
224,16,55,1700,4747.0,4530.0,11.0,266.0,3799,11,163
225,16,55,1800,8577.0,8427.0,15.0,220.0,6528,0,152
226,16,55,1900,2584.0,2503.0,35.0,67.0,2144,35,26
227,16,55,2000,3687.0,3470.0,0.0,130.0,3068,0,83
228,16,55,940000,2654.0,1959.0,0.0,108.0,2181,0,64
229,16,57,5100,8362.0,7712.0,0.0,377.0,7135,0,273
230,16,57,5200,6437.0,6018.0,0.0,130.0,4891,0,76
231,16,57,5300,6583.0,6253.0,96.0,404.0,5248,60,328
232,16,57,5400,6451.0,5665.0,134.0,407.0,5890,134,377
