rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,17,1,100,4558.0,4253.0,101.0,219.0,3675,58,164
1,17,1,201,1900.0,1788.0,56.0,16.0,1593,51,14
2,17,1,202,2666.0,2454.0,43.0,60.0,2025,43,25
3,17,1,400,3399.0,2946.0,381.0,9.0,2719,283,9
4,17,1,500,2415.0,1821.0,547.0,38.0,1861,398,38
5,17,1,600,3759.0,3554.0,142.0,9.0,2819,49,0
6,17,1,700,1243.0,972.0,161.0,15.0,1127,155,15
7,17,1,800,2929.0,2346.0,438.0,131.0,2114,238,41
8,17,1,900,2603.0,2368.0,133.0,0.0,2001,121,0
9,17,1,1001,3737.0,3638.0,58.0,37.0,2736,44,37
10,17,1,1002,3645.0,3390.0,102.0,92.0,2772,40,46
11,17,1,1100,8076.0,7345.0,157.0,31.0,6207,102,31
12,17,1,10100,4333.0,4299.0,12.0,91.0,3299,12,50
13,17,1,10200,3524.0,3416.0,4.0,40.0,2788,4,24
14,17,1,10300,6083.0,6014.0,34.0,73.0,4659,17,48
15,17,1,10400,3219.0,3213.0,0.0,23.0,2439,0,23
16,17,1,10500,3040.0,2925.0,62.0,0.0,2430,46,0
17,17,1,10600,5952.0,5720.0,108.0,59.0,4569,107,16
18,17,3,957600,2392.0,1893.0,392.0,21.0,1884,352,21
19,17,3,957700,1893.0,1638.0,217.0,66.0,1426,122,31
20,17,3,957800,1733.0,651.0,1028.0,21.0,1243,663,6
21,17,3,957900,1346.0,356.0,898.0,10.0,1044,675,10
22,17,5,951200,2868.0,2701.0,138.0,0.0,2289,135,0
23,17,5,951300,6790.0,5582.0,746.0,385.0,5471,741,336
24,17,5,951400,3179.0,3100.0,52.0,81.0,2523,52,60
25,17,5,951500,4476.0,4329.0,26.0,121.0,3566,26,90
26,17,7,10100,8308.0,5921.0,255.0,3487.0,5824,184,1949
27,17,7,10200,5898.0,5575.0,16.0,1216.0,4371,16,762
28,17,7,10300,6648.0,5729.0,133.0,1154.0,4887,94,691
29,17,7,10400,7076.0,6167.0,152.0,1169.0,5179,73,645
30,17,7,10500,9811.0,8644.0,498.0,774.0,7513,292,549
31,17,7,10601,4030.0,3598.0,12.0,864.0,3070,4,587
32,17,7,10602,12080.0,11438.0,125.0,2310.0,8554,125,1389
33,17,9,970400,2976.0,2724.0,0.0,56.0,2429,0,56
34,17,9,970500,3883.0,2627.0,1145.0,230.0,3385,1138,230
35,17,11,964700,2960.0,2860.0,2.0,24.0,2330,0,2
36,17,11,964800,3546.0,3519.0,9.0,163.0,2596,9,92
37,17,11,964900,2498.0,2452.0,22.0,19.0,2067,15,19
38,17,11,965000,3829.0,3331.0,8.0,1375.0,2804,7,888
39,17,11,965100,4115.0,3771.0,55.0,542.0,3177,49,291
40,17,11,965200,3391.0,3057.0,87.0,304.0,2743,45,208
41,17,11,965300,3422.0,3384.0,3.0,11.0,2749,0,8
42,17,11,965400,3551.0,3332.0,10.0,186.0,2854,10,129
43,17,11,965500,3905.0,3836.0,0.0,185.0,2912,0,76
44,17,11,965600,2898.0,2820.0,7.0,72.0,2293,5,28
45,17,13,951200,2725.0,2661.0,3.0,9.0,2120,3,3
46,17,13,951300,2274.0,2243.0,3.0,6.0,1837,3,4
47,17,15,960100,3459.0,3274.0,21.0,145.0,2793,13,72
48,17,15,960200,2085.0,2059.0,0.0,0.0,1775,0,0
49,17,15,960300,3105.0,2829.0,135.0,271.0,2393,83,202
50,17,15,960400,2194.0,2127.0,10.0,21.0,1771,10,15
51,17,15,960500,2576.0,2504.0,8.0,22.0,2027,1,10
52,17,15,960600,1507.0,1498.0,9.0,35.0,1213,8,19
53,17,17,960100,2429.0,2343.0,36.0,54.0,1852,36,29
54,17,17,960200,2435.0,2330.0,17.0,106.0,1919,10,47
55,17,17,960300,3018.0,2769.0,154.0,387.0,2423,131,265
56,17,17,960400,2590.0,2180.0,127.0,828.0,1880,70,502
57,17,17,960500,2782.0,2234.0,130.0,1058.0,1935,100,609
58,17,19,200,1484.0,305.0,1105.0,55.0,1146,862,32
59,17,19,301,4682.0,3438.0,377.0,317.0,4656,377,305
60,17,19,302,3411.0,1258.0,131.0,268.0,3411,131,268
61,17,19,401,4989.0,3623.0,274.0,175.0,4944,268,175
62,17,19,402,4292.0,3430.0,271.0,294.0,4283,271,285
63,17,19,500,3862.0,2984.0,338.0,118.0,3455,338,91
64,17,19,700,3450.0,1844.0,1183.0,928.0,2511,740,601
65,17,19,800,5880.0,2213.0,1825.0,371.0,4567,1307,335
66,17,19,901,4477.0,1712.0,2325.0,344.0,3007,1482,112
67,17,19,902,6870.0,4997.0,1137.0,183.0,5102,782,168
68,17,19,1000,4507.0,3316.0,774.0,43.0,3598,299,43
69,17,19,1100,4002.0,3547.0,242.0,327.0,3039,154,164
70,17,19,1201,6554.0,3726.0,1730.0,476.0,4998,984,300
71,17,19,1203,4854.0,3922.0,437.0,80.0,3899,337,64
72,17,19,1204,3853.0,2938.0,66.0,77.0,2766,44,72
73,17,19,1205,6257.0,4306.0,467.0,393.0,4667,390,224
74,17,19,1206,1764.0,1575.0,76.0,16.0,1531,71,12
75,17,19,1301,5979.0,5155.0,336.0,202.0,4858,271,177
76,17,19,1302,3962.0,3209.0,221.0,110.0,3402,205,87
77,17,19,1400,6518.0,4658.0,362.0,520.0,5443,362,370
78,17,19,5300,6374.0,2174.0,1956.0,280.0,6131,1742,266
79,17,19,5401,3983.0,2920.0,677.0,674.0,3306,517,352
80,17,19,5402,3296.0,2931.0,92.0,231.0,2560,60,131
81,17,19,5500,5255.0,3921.0,835.0,76.0,4330,590,45
82,17,19,5600,6423.0,4010.0,1832.0,289.0,4720,1073,140
83,17,19,5701,4477.0,3108.0,515.0,144.0,3686,412,144
84,17,19,5702,3268.0,2493.0,595.0,18.0,2775,495,18
85,17,19,5800,4068.0,3251.0,238.0,317.0,3567,212,156
86,17,19,5900,6099.0,3832.0,511.0,456.0,6031,511,456
87,17,19,6000,3573.0,1666.0,347.0,164.0,3296,331,164
88,17,19,10100,4787.0,3263.0,922.0,666.0,3362,629,348
89,17,19,10204,4550.0,3323.0,832.0,687.0,3324,588,345
90,17,19,10300,3995.0,2342.0,1404.0,322.0,2673,784,186
91,17,19,10400,4640.0,4420.0,135.0,161.0,3668,123,90
92,17,19,10500,4511.0,4455.0,5.0,11.0,3443,0,11
93,17,19,10601,6131.0,6110.0,0.0,307.0,4264,0,193
94,17,19,10603,7149.0,6465.0,315.0,141.0,5138,97,87
95,17,19,10604,2601.0,2286.0,123.0,40.0,2141,73,30
96,17,19,10700,8091.0,7811.0,2.0,95.0,5731,2,56
97,17,19,10800,4614.0,4510.0,30.0,74.0,3559,21,62
98,17,19,10900,10004.0,9435.0,251.0,445.0,7658,187,338
99,17,19,11000,3858.0,2989.0,553.0,195.0,3402,369,133
100,17,19,11100,2372.0,1128.0,55.0,313.0,2316,46,304
101,17,21,958100,2782.0,2760.0,7.0,20.0,2226,1,20
102,17,21,958200,3923.0,3763.0,0.0,149.0,3003,0,111
103,17,21,958300,4052.0,4052.0,0.0,0.0,3341,0,0
104,17,21,958400,3887.0,3810.0,23.0,5.0,2951,23,5
105,17,21,958500,2738.0,2624.0,23.0,27.0,2097,7,27
106,17,21,958600,2259.0,2222.0,14.0,114.0,1672,0,50
107,17,21,958700,4738.0,4077.0,421.0,98.0,3952,405,98
108,17,21,958800,2954.0,2929.0,11.0,14.0,2266,11,14
109,17,21,958900,2614.0,2488.0,73.0,0.0,2017,18,0
110,17,21,959000,4253.0,4235.0,4.0,98.0,3311,4,39
111,17,23,60100,4828.0,4622.0,6.0,92.0,3667,6,49
112,17,23,60200,4099.0,3999.0,22.0,28.0,3144,22,20
113,17,23,60300,5360.0,5230.0,19.0,97.0,4144,15,65
114,17,23,60400,1872.0,1868.0,4.0,4.0,1472,4,4
115,17,25,971900,2492.0,2470.0,8.0,120.0,1958,8,102
116,17,25,972000,2670.0,2627.0,25.0,3.0,2156,25,3
117,17,25,972100,5320.0,5109.0,39.0,0.0,3909,39,0
118,17,25,972200,3100.0,3070.0,2.0,64.0,2455,2,28
119,17,27,900100,6224.0,6066.0,13.0,113.0,4789,13,74
120,17,27,900200,2117.0,2097.0,11.0,3.0,1662,11,0
121,17,27,900300,6903.0,6695.0,7.0,208.0,5434,7,120
122,17,27,900401,1293.0,1268.0,0.0,74.0,1041,0,29
123,17,27,900402,5263.0,4840.0,216.0,152.0,4076,195,95
124,17,27,900500,7027.0,5967.0,869.0,336.0,5879,852,302
125,17,27,900601,2431.0,2400.0,0.0,28.0,1825,0,16
126,17,27,900602,6671.0,6275.0,191.0,220.0,5028,172,113
127,17,29,100,3009.0,2976.0,0.0,80.0,2336,0,48
128,17,29,200,6198.0,6098.0,73.0,118.0,4774,69,28
129,17,29,300,4403.0,4271.0,67.0,60.0,3497,67,26
130,17,29,400,2426.0,2335.0,25.0,6.0,2048,13,6
131,17,29,500,6684.0,6336.0,68.0,76.0,5428,68,61
132,17,29,600,3645.0,3561.0,15.0,29.0,2814,15,29
133,17,29,700,6577.0,5718.0,451.0,286.0,5810,415,219
134,17,29,800,5145.0,3917.0,745.0,300.0,4827,672,277
135,17,29,900,4400.0,4079.0,175.0,72.0,3689,164,63
136,17,29,1000,3536.0,3373.0,24.0,89.0,2883,24,44
137,17,29,1100,3513.0,3230.0,189.0,47.0,2752,82,47
138,17,29,1200,3501.0,3395.0,3.0,46.0,2598,3,6
139,17,31,10100,4106.0,2186.0,1586.0,475.0,3316,1252,289
140,17,31,10201,7229.0,3388.0,3295.0,1990.0,5570,2405,1483
141,17,31,10202,2304.0,1178.0,674.0,609.0,1919,581,406
142,17,31,10300,6077.0,3478.0,1546.0,979.0,5259,1321,760
143,17,31,10400,5011.0,3743.0,660.0,417.0,4441,540,336
144,17,31,10501,3837.0,2503.0,1038.0,234.0,3408,795,179
145,17,31,10502,3413.0,1980.0,609.0,509.0,3044,562,442
146,17,31,10503,2080.0,1425.0,198.0,346.0,1986,189,286
147,17,31,10600,6558.0,3960.0,1773.0,1779.0,5368,1502,1264
148,17,31,10701,3999.0,2427.0,706.0,1541.0,2904,481,958
149,17,31,10702,5163.0,3194.0,1001.0,2415.0,3811,848,1466
150,17,31,20100,3899.0,1633.0,1198.0,516.0,2833,712,401
151,17,31,20200,6634.0,4050.0,810.0,668.0,4740,556,393
152,17,31,20301,5142.0,4156.0,331.0,456.0,3743,220,299
153,17,31,20302,4886.0,3289.0,669.0,884.0,3849,529,640
154,17,31,20400,4518.0,2733.0,688.0,873.0,3377,550,649
155,17,31,20500,5794.0,2627.0,1190.0,1511.0,4391,799,1040
156,17,31,20601,6330.0,4115.0,373.0,649.0,4521,234,433
157,17,31,20602,4113.0,1975.0,400.0,990.0,3004,191,676
158,17,31,20701,1635.0,1052.0,16.0,206.0,1276,16,155
159,17,31,20702,7833.0,4807.0,312.0,1358.0,5957,262,934
160,17,31,20801,4760.0,3244.0,136.0,1439.0,3909,111,988
161,17,31,20802,7508.0,2979.0,445.0,1127.0,5744,413,912
162,17,31,20901,5004.0,2354.0,1078.0,1507.0,3612,657,864
163,17,31,20902,4155.0,2585.0,731.0,488.0,3280,547,310
164,17,31,30101,3613.0,2341.0,743.0,697.0,3382,743,534
165,17,31,30102,2880.0,1620.0,657.0,434.0,2696,599,432
166,17,31,30103,2347.0,1299.0,395.0,381.0,2213,389,310
167,17,31,30104,3487.0,2028.0,433.0,370.0,3393,410,340
168,17,31,30200,4978.0,4522.0,170.0,827.0,4295,123,645
169,17,31,30300,3231.0,2134.0,334.0,1257.0,2589,297,834
170,17,31,30400,2632.0,1891.0,348.0,842.0,2129,296,568
171,17,31,30500,6160.0,5001.0,352.0,1755.0,5180,338,1116
172,17,31,30601,3788.0,2334.0,1031.0,319.0,3456,1010,214
173,17,31,30603,1991.0,835.0,683.0,171.0,1656,470,141
174,17,31,30604,2910.0,1574.0,602.0,96.0,2670,581,96
175,17,31,30701,1721.0,965.0,322.0,223.0,1515,276,197
176,17,31,30702,1457.0,1083.0,134.0,25.0,1404,134,25
177,17,31,30703,2736.0,1893.0,455.0,230.0,2476,444,230
178,17,31,30706,3578.0,2076.0,736.0,245.0,3209,495,245
179,17,31,30800,4176.0,3059.0,189.0,512.0,3616,172,316
180,17,31,30900,3188.0,2199.0,363.0,534.0,2821,343,459
181,17,31,31000,3801.0,2933.0,198.0,497.0,3247,163,389
182,17,31,31100,4510.0,3177.0,189.0,1013.0,4204,189,828
183,17,31,31200,5063.0,2643.0,1511.0,495.0,4540,1359,465
184,17,31,31300,7796.0,3412.0,2589.0,740.0,6758,1905,678
185,17,31,31400,5114.0,3960.0,535.0,546.0,4831,520,463
186,17,31,31501,3653.0,1677.0,1231.0,166.0,3119,818,150
187,17,31,31502,4027.0,1555.0,1807.0,280.0,3381,1382,256
188,17,31,31700,6726.0,4221.0,1642.0,839.0,5925,1397,679
189,17,31,31800,1766.0,1581.0,39.0,373.0,1525,39,285
190,17,31,31900,2361.0,2008.0,85.0,320.0,2047,55,310
191,17,31,32100,6797.0,5550.0,597.0,705.0,6232,520,687
192,17,31,40100,4045.0,3354.0,333.0,869.0,3333,279,592
193,17,31,40201,6314.0,4749.0,205.0,1334.0,5218,153,1091
194,17,31,40202,6801.0,4442.0,199.0,1358.0,5588,184,1148
195,17,31,40300,2912.0,1871.0,85.0,294.0,2505,39,217
196,17,31,40401,3009.0,2279.0,105.0,583.0,2468,105,439
197,17,31,40402,5042.0,3703.0,217.0,1027.0,4208,217,699
198,17,31,40600,2696.0,2508.0,70.0,457.0,2227,70,340
199,17,31,40700,3383.0,2855.0,65.0,729.0,2909,56,664
200,17,31,40800,1876.0,1488.0,69.0,172.0,1550,69,118
201,17,31,40900,2152.0,1937.0,4.0,114.0,1884,4,91
202,17,31,50100,2564.0,2258.0,83.0,435.0,2144,59,366
