rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,18,1,30100,4708.0,4535.0,9.0,124.0,3497,0,40
1,18,1,30200,4654.0,4530.0,12.0,546.0,3754,3,298
2,18,1,30300,5653.0,5328.0,181.0,389.0,4155,46,339
3,18,1,30400,3369.0,3354.0,0.0,146.0,2424,0,64
4,18,1,30500,5882.0,5863.0,0.0,19.0,3273,0,16
5,18,1,30600,3379.0,3258.0,25.0,202.0,2462,14,103
6,18,1,30700,6997.0,6921.0,15.0,84.0,4229,0,62
7,18,3,100,2493.0,2221.0,131.0,287.0,1838,41,133
8,18,3,300,3231.0,2809.0,179.0,175.0,2337,125,99
9,18,3,400,2353.0,2186.0,133.0,58.0,1807,105,24
10,18,3,500,2644.0,1716.0,195.0,221.0,2029,153,203
11,18,3,600,1825.0,1476.0,145.0,195.0,1291,77,132
12,18,3,701,3286.0,2967.0,100.0,132.0,2335,84,93
13,18,3,704,2589.0,2163.0,147.0,181.0,1935,91,137
14,18,3,800,3926.0,3435.0,227.0,141.0,3040,121,81
15,18,3,900,3270.0,2757.0,250.0,395.0,2598,210,234
16,18,3,1000,1049.0,965.0,15.0,63.0,741,15,49
17,18,3,1100,1779.0,1534.0,131.0,64.0,1592,119,64
18,18,3,1200,971.0,772.0,118.0,83.0,888,98,37
19,18,3,1300,1904.0,926.0,696.0,115.0,1687,553,81
20,18,3,1600,2316.0,1132.0,689.0,419.0,1563,478,301
21,18,3,1700,1882.0,709.0,1026.0,548.0,1134,699,231
22,18,3,2000,2866.0,1655.0,911.0,332.0,2221,604,219
23,18,3,2100,2417.0,1874.0,241.0,523.0,1686,142,312
24,18,3,2200,4194.0,3030.0,580.0,681.0,2984,383,347
25,18,3,2300,4646.0,1285.0,2259.0,1026.0,3260,1602,621
26,18,3,2500,3263.0,2562.0,289.0,525.0,2235,249,261
27,18,3,2600,3747.0,2275.0,892.0,490.0,2389,396,355
28,18,3,2800,2375.0,586.0,1534.0,590.0,1420,966,285
29,18,3,2900,2279.0,652.0,1212.0,500.0,1496,863,207
30,18,3,3000,3793.0,1001.0,2013.0,1265.0,2591,1375,836
31,18,3,3100,3086.0,1698.0,879.0,812.0,1797,546,383
32,18,3,3200,5682.0,4586.0,562.0,822.0,4059,422,450
33,18,3,3301,2917.0,2423.0,138.0,122.0,2110,138,97
34,18,3,3304,3790.0,2680.0,469.0,323.0,2768,256,203
35,18,3,3400,4465.0,3829.0,403.0,160.0,3127,190,90
36,18,3,3500,4195.0,2675.0,694.0,110.0,3199,499,43
37,18,3,3600,6069.0,2401.0,2697.0,596.0,4320,1864,476
38,18,3,3700,2561.0,2067.0,407.0,141.0,1963,186,80
39,18,3,3800,2862.0,2090.0,621.0,98.0,2371,398,64
40,18,3,3901,3404.0,3127.0,114.0,325.0,2707,98,196
41,18,3,3902,2769.0,1847.0,538.0,317.0,2058,415,120
42,18,3,4000,3280.0,745.0,2173.0,643.0,2244,1478,380
43,18,3,4101,2227.0,1636.0,448.0,71.0,1724,260,47
44,18,3,4103,5472.0,4070.0,429.0,237.0,4289,314,168
45,18,3,4300,2714.0,771.0,1227.0,593.0,2071,1070,280
46,18,3,4400,3502.0,1129.0,1684.0,929.0,2115,1034,528
47,18,3,10100,5123.0,5070.0,26.0,83.0,3549,26,54
48,18,3,10201,6917.0,6654.0,94.0,114.0,4799,94,55
49,18,3,10202,6271.0,5986.0,77.0,221.0,4478,73,94
50,18,3,10304,6620.0,6314.0,83.0,28.0,4796,83,28
51,18,3,10305,6320.0,5302.0,321.0,162.0,4353,187,55
52,18,3,10306,6050.0,5896.0,18.0,154.0,4270,18,91
53,18,3,10307,5495.0,4654.0,170.0,157.0,3683,134,104
54,18,3,10308,5790.0,5237.0,137.0,421.0,3897,83,231
55,18,3,10400,3792.0,3681.0,26.0,87.0,2774,14,69
56,18,3,10500,2638.0,2495.0,9.0,43.0,2023,9,38
57,18,3,10601,3480.0,3060.0,135.0,180.0,2635,78,129
58,18,3,10602,4017.0,3746.0,120.0,367.0,3041,109,205
59,18,3,10603,1639.0,1555.0,0.0,6.0,1312,0,6
60,18,3,10604,2848.0,2624.0,0.0,609.0,2016,0,280
61,18,3,10705,4837.0,4290.0,255.0,384.0,3914,195,224
62,18,3,10706,4712.0,3773.0,341.0,229.0,3574,266,97
63,18,3,10707,5106.0,4486.0,226.0,123.0,4063,217,103
64,18,3,10803,5135.0,4531.0,269.0,180.0,3816,156,96
65,18,3,10804,4265.0,3558.0,183.0,92.0,3218,112,61
66,18,3,10807,4447.0,3906.0,367.0,206.0,3407,255,122
67,18,3,10808,5202.0,4489.0,226.0,167.0,3960,184,106
68,18,3,10809,5443.0,4529.0,588.0,57.0,4111,541,26
69,18,3,10811,5161.0,4723.0,340.0,251.0,4026,282,232
70,18,3,10812,4419.0,4069.0,313.0,78.0,3514,279,71
71,18,3,10813,4246.0,3785.0,228.0,219.0,3286,179,138
72,18,3,10815,4742.0,4288.0,80.0,67.0,3422,71,19
73,18,3,10816,4867.0,4179.0,427.0,9.0,3744,243,9
74,18,3,10817,4442.0,3915.0,362.0,86.0,3285,217,45
75,18,3,10819,4644.0,4185.0,272.0,167.0,3913,249,167
76,18,3,10821,4508.0,3127.0,899.0,53.0,3266,434,53
77,18,3,10900,6665.0,6461.0,11.0,183.0,4422,2,73
78,18,3,11000,2716.0,2716.0,0.0,66.0,2180,0,49
79,18,3,11100,3073.0,3050.0,2.0,0.0,2313,1,0
80,18,3,11201,2120.0,1994.0,32.0,294.0,1573,32,114
81,18,3,11202,3307.0,3025.0,34.0,325.0,2462,34,210
82,18,3,11204,3292.0,2931.0,194.0,313.0,2255,82,115
83,18,3,11205,3313.0,3244.0,29.0,84.0,2618,29,48
84,18,3,11302,5572.0,1581.0,2620.0,394.0,3845,1945,234
85,18,3,11303,2221.0,733.0,627.0,224.0,1573,408,159
86,18,3,11304,5011.0,2098.0,2107.0,691.0,3614,1435,458
87,18,3,11501,4206.0,3396.0,627.0,624.0,3135,385,293
88,18,3,11502,2781.0,2569.0,18.0,31.0,2263,18,24
89,18,3,11603,6476.0,6116.0,106.0,32.0,4808,90,32
90,18,3,11604,4235.0,3997.0,57.0,198.0,3293,57,112
91,18,3,11605,3024.0,2736.0,137.0,110.0,2556,112,110
92,18,3,11606,4824.0,4233.0,103.0,126.0,3538,66,126
93,18,3,11607,5544.0,4620.0,164.0,339.0,4114,148,181
94,18,3,11608,6078.0,4920.0,455.0,225.0,4102,242,112
95,18,3,11609,6528.0,5693.0,90.0,94.0,4584,54,44
96,18,3,11701,3508.0,3245.0,138.0,0.0,2600,84,0
97,18,3,11702,3465.0,3108.0,200.0,401.0,2673,175,240
98,18,3,11801,4024.0,3977.0,1.0,108.0,3337,1,99
99,18,3,11802,1759.0,1726.0,0.0,135.0,1331,0,31
100,18,3,11900,1767.0,1733.0,0.0,44.0,1404,0,20
101,18,3,980001,630.0,381.0,123.0,16.0,630,123,16
102,18,3,980002,45.0,45.0,0.0,0.0,32,0,0
103,18,5,10100,4601.0,3875.0,250.0,454.0,3604,197,249
104,18,5,10200,4241.0,3817.0,81.0,262.0,3249,53,222
105,18,5,10300,3642.0,3332.0,10.0,152.0,2689,6,77
106,18,5,10400,6059.0,4970.0,147.0,483.0,4338,77,241
107,18,5,10500,5162.0,4533.0,166.0,72.0,4051,108,49
108,18,5,10600,5473.0,4840.0,331.0,109.0,4359,220,47
109,18,5,10700,3565.0,2879.0,74.0,140.0,2854,60,129
110,18,5,10800,3982.0,2996.0,128.0,254.0,2803,57,154
111,18,5,10900,5807.0,4869.0,112.0,156.0,4413,92,114
112,18,5,11000,4868.0,4599.0,4.0,0.0,3613,4,0
113,18,5,11100,8255.0,6605.0,10.0,1763.0,6063,10,1023
114,18,5,11200,5585.0,5385.0,36.0,21.0,4251,36,7
115,18,5,11300,5839.0,5662.0,92.0,109.0,4428,92,43
116,18,5,11400,4045.0,3681.0,13.0,320.0,3131,10,212
117,18,5,11500,8364.0,7157.0,125.0,661.0,6181,78,425
118,18,7,100100,3412.0,3374.0,3.0,80.0,2401,2,34
119,18,7,100200,3027.0,2929.0,62.0,109.0,2370,34,93
120,18,7,100300,2313.0,2259.0,9.0,269.0,1786,9,139
121,18,9,975100,3243.0,3207.0,0.0,57.0,2483,0,14
122,18,9,975200,2563.0,2419.0,0.0,0.0,2001,0,0
123,18,9,975300,2986.0,2938.0,0.0,52.0,2187,0,37
124,18,9,975400,3684.0,3593.0,72.0,68.0,3043,72,57
125,18,11,810100,3679.0,3479.0,2.0,127.0,2700,0,44
126,18,11,810200,3842.0,3790.0,0.0,119.0,2924,0,59
127,18,11,810300,6083.0,5952.0,99.0,4.0,4637,99,4
128,18,11,810400,5734.0,5593.0,114.0,304.0,4380,50,148
129,18,11,810500,6414.0,6041.0,32.0,270.0,5093,14,161
130,18,11,810601,6078.0,5524.0,213.0,81.0,4074,127,46
131,18,11,810603,12749.0,11637.0,129.0,182.0,8402,91,143
132,18,11,810604,5590.0,5250.0,31.0,125.0,3962,31,101
133,18,11,810605,5623.0,5213.0,130.0,202.0,4241,80,146
134,18,11,810700,4719.0,4673.0,0.0,125.0,3713,0,58
135,18,13,974600,2641.0,2556.0,0.0,6.0,2254,0,6
136,18,13,974700,3402.0,3294.0,0.0,10.0,2654,0,10
137,18,13,974800,4167.0,3961.0,46.0,43.0,3418,20,10
138,18,13,974900,4801.0,4788.0,3.0,162.0,3681,0,98
139,18,15,959300,3261.0,3258.0,0.0,8.0,2508,0,8
140,18,15,959400,2610.0,2545.0,0.0,12.0,2017,0,12
141,18,15,959500,2338.0,2288.0,2.0,12.0,1943,2,12
142,18,15,959600,3258.0,3151.0,33.0,513.0,2538,33,339
