rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,20,1,952600,2133.0,2108.0,4.0,63.0,1630,4,49
1,20,1,952700,2201.0,2086.0,0.0,21.0,1691,0,18
2,20,1,952800,3595.0,3318.0,137.0,4.0,2860,110,4
3,20,1,952900,2661.0,2461.0,54.0,167.0,1888,49,75
4,20,1,953000,2491.0,2253.0,28.0,147.0,1940,22,115
5,20,3,953600,4793.0,4465.0,4.0,26.0,3576,4,7
6,20,3,953700,3103.0,3048.0,5.0,9.0,2323,4,8
7,20,5,81600,4213.0,4062.0,22.0,86.0,3284,20,48
8,20,5,81700,5782.0,4995.0,362.0,332.0,4493,227,214
9,20,5,81800,3092.0,2856.0,168.0,32.0,2376,168,24
10,20,5,81900,3546.0,3152.0,129.0,24.0,2534,123,14
11,20,7,968100,3042.0,2927.0,1.0,131.0,2381,1,55
12,20,7,968200,1728.0,1650.0,15.0,29.0,1309,9,26
13,20,9,971100,4090.0,3939.0,25.0,192.0,3224,15,99
14,20,9,971200,1724.0,1696.0,1.0,6.0,1392,0,4
15,20,9,971300,2950.0,2818.0,30.0,89.0,2155,29,37
16,20,9,971400,2984.0,2728.0,118.0,140.0,2181,118,107
17,20,9,971500,3699.0,3343.0,188.0,386.0,2732,151,200
18,20,9,971600,3826.0,3691.0,52.0,480.0,2998,37,295
19,20,9,971700,3382.0,2669.0,47.0,1493.0,2280,30,757
20,20,9,971800,4744.0,4293.0,5.0,1051.0,3720,5,670
21,20,11,955600,2621.0,2528.0,7.0,32.0,1877,7,15
22,20,11,955700,2107.0,1953.0,1.0,5.0,1450,1,2
23,20,11,955800,3721.0,3575.0,111.0,106.0,3077,111,106
24,20,11,955900,3584.0,3178.0,294.0,183.0,2570,190,52
25,20,11,956000,2779.0,2553.0,109.0,18.0,2101,86,3
26,20,13,480600,3041.0,2290.0,73.0,102.0,2181,41,43
27,20,13,480700,3526.0,3242.0,74.0,123.0,2763,74,78
28,20,13,480800,3313.0,2965.0,26.0,141.0,2460,14,89
29,20,15,20100,6560.0,5758.0,431.0,230.0,5159,399,169
30,20,15,20201,6835.0,6436.0,232.0,333.0,5286,232,234
31,20,15,20202,8038.0,7572.0,224.0,436.0,5769,120,291
32,20,15,20203,6579.0,6113.0,11.0,304.0,4595,11,169
33,20,15,20300,3586.0,3408.0,28.0,143.0,2768,28,87
34,20,15,20400,2544.0,2435.0,9.0,89.0,1969,8,62
35,20,15,20500,5505.0,5331.0,42.0,387.0,3795,42,250
36,20,15,20600,7413.0,6801.0,251.0,118.0,5400,139,56
37,20,15,20700,4083.0,3909.0,0.0,147.0,3003,0,97
38,20,15,20800,3000.0,2682.0,25.0,313.0,2189,25,186
39,20,15,20901,4343.0,4104.0,21.0,164.0,3290,21,69
40,20,15,20902,3889.0,3684.0,72.0,167.0,2809,49,99
41,20,15,20903,3717.0,3607.0,4.0,50.0,2757,4,35
42,20,17,960600,2722.0,2607.0,24.0,107.0,2106,24,53
43,20,19,964600,3520.0,3111.0,20.0,58.0,2789,13,48
44,20,21,958100,2706.0,2451.0,0.0,46.0,2084,0,9
45,20,21,958200,2076.0,1895.0,0.0,18.0,1555,0,5
46,20,21,958300,4097.0,3798.0,0.0,138.0,3345,0,90
47,20,21,958400,3828.0,3326.0,112.0,8.0,2748,112,8
48,20,21,958500,3846.0,3740.0,7.0,109.0,2829,7,109
49,20,21,958600,4399.0,3699.0,0.0,152.0,3270,0,45
50,20,23,950200,2682.0,2540.0,0.0,174.0,2120,0,95
51,20,25,967100,2145.0,1966.0,22.0,260.0,1640,14,146
52,20,27,458100,3930.0,3860.0,27.0,140.0,3032,0,61
53,20,27,458200,4491.0,4284.0,24.0,74.0,3327,24,26
54,20,29,977100,2354.0,2350.0,0.0,32.0,1807,0,8
55,20,29,977200,2304.0,2116.0,3.0,56.0,1817,3,56
56,20,29,977300,3298.0,3044.0,37.0,173.0,2649,37,96
57,20,29,977400,1383.0,1359.0,0.0,43.0,1083,0,24
58,20,31,966100,2707.0,2620.0,28.0,47.0,2083,21,24
59,20,31,966200,2879.0,2776.0,16.0,50.0,2177,9,30
60,20,31,966300,2872.0,2738.0,22.0,109.0,2267,22,62
61,20,33,967600,2010.0,1969.0,0.0,86.0,1508,0,66
62,20,35,493100,2745.0,2623.0,0.0,65.0,2132,0,38
63,20,35,493200,3185.0,3018.0,50.0,64.0,2394,10,37
64,20,35,493300,2489.0,2350.0,64.0,25.0,1941,39,25
65,20,35,493400,2391.0,2189.0,71.0,149.0,1914,44,73
66,20,35,493500,5345.0,4474.0,295.0,626.0,4218,295,368
67,20,35,493600,4353.0,3578.0,174.0,241.0,3207,68,158
68,20,35,493700,3698.0,3332.0,98.0,664.0,2932,98,506
69,20,35,493800,4557.0,3786.0,297.0,932.0,3235,137,411
70,20,35,493900,3309.0,3023.0,14.0,63.0,2464,14,22
71,20,35,494000,2178.0,1676.0,71.0,359.0,1737,71,197
72,20,35,494100,1829.0,1599.0,9.0,424.0,1221,9,287
73,20,37,956600,4234.0,4086.0,0.0,41.0,3240,0,33
74,20,37,956700,4008.0,3943.0,2.0,163.0,3068,0,73
75,20,37,956800,3339.0,3177.0,26.0,180.0,2611,13,130
76,20,37,956900,4001.0,3849.0,0.0,301.0,3087,0,244
77,20,37,957000,3526.0,3396.0,30.0,262.0,2571,30,92
78,20,37,957100,2497.0,2119.0,43.0,269.0,1703,36,126
79,20,37,957200,2310.0,2252.0,23.0,59.0,1643,23,29
80,20,37,957300,3331.0,2837.0,133.0,142.0,2689,106,86
81,20,37,957400,2187.0,2005.0,66.0,233.0,1721,35,158
82,20,37,957500,2235.0,1838.0,113.0,115.0,1819,108,44
