rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,21,1,970100,1427.0,1376.0,0.0,18.0,1122,0,13
1,21,1,970200,1589.0,1501.0,67.0,12.0,1261,58,8
2,21,1,970300,3108.0,3052.0,0.0,0.0,2439,0,0
3,21,1,970401,4438.0,4139.0,227.0,92.0,3643,219,56
4,21,1,970402,4735.0,4395.0,208.0,203.0,3722,192,118
5,21,1,970500,2206.0,2121.0,13.0,0.0,1743,13,0
6,21,1,970600,1349.0,1336.0,13.0,21.0,1005,0,21
7,21,3,920100,3313.0,3141.0,80.0,9.0,2622,62,9
8,21,3,920200,2866.0,2850.0,0.0,104.0,1995,0,54
9,21,3,920300,4504.0,4454.0,50.0,6.0,3532,40,6
10,21,3,920400,4699.0,4535.0,112.0,92.0,3574,40,19
11,21,3,920500,1567.0,1362.0,34.0,102.0,1188,34,102
12,21,3,920600,3406.0,3304.0,0.0,56.0,2554,0,34
13,21,5,950100,8231.0,7814.0,406.0,76.0,6121,255,44
14,21,5,950201,5304.0,5077.0,51.0,83.0,4051,51,23
15,21,5,950202,3633.0,3483.0,0.0,35.0,2697,0,14
16,21,5,950300,2140.0,2050.0,7.0,82.0,1665,7,55
17,21,5,950400,2453.0,2383.0,43.0,50.0,1803,31,0
18,21,7,950100,4425.0,4197.0,169.0,40.0,3511,111,40
19,21,7,950200,1507.0,1457.0,20.0,28.0,1116,6,5
20,21,7,950300,2324.0,2137.0,90.0,33.0,1807,72,23
21,21,9,950100,3411.0,3337.0,46.0,0.0,2589,45,0
22,21,9,950200,3794.0,3384.0,253.0,63.0,2879,143,37
23,21,9,950300,3097.0,2694.0,302.0,0.0,2313,195,0
24,21,9,950400,5926.0,5115.0,551.0,201.0,4645,497,71
25,21,9,950500,3657.0,3369.0,198.0,52.0,2980,125,42
26,21,9,950600,5982.0,5331.0,418.0,362.0,4572,305,202
27,21,9,950700,6290.0,6215.0,4.0,147.0,4631,2,99
28,21,9,950800,3600.0,3574.0,0.0,121.0,2617,0,76
29,21,9,950900,3615.0,3516.0,0.0,176.0,2857,0,153
30,21,9,951000,3553.0,3441.0,35.0,116.0,2676,19,39
31,21,11,970100,1990.0,1809.0,112.0,37.0,1548,91,12
32,21,11,970200,6240.0,5995.0,84.0,104.0,4534,65,52
33,21,11,970300,3748.0,3707.0,0.0,25.0,2910,0,25
34,21,13,960100,2358.0,2304.0,0.0,0.0,1703,0,0
35,21,13,960200,4872.0,4809.0,11.0,7.0,3850,11,7
36,21,13,960300,2218.0,2213.0,5.0,0.0,1752,5,0
37,21,13,960400,1710.0,1704.0,6.0,0.0,1414,0,0
38,21,13,960500,2377.0,2299.0,68.0,47.0,1814,38,47
39,21,13,960600,4533.0,4045.0,319.0,65.0,3427,234,36
40,21,13,960700,2990.0,2641.0,266.0,1.0,2288,262,0
41,21,13,960800,3844.0,3661.0,84.0,10.0,3048,24,10
42,21,13,961100,3048.0,2878.0,138.0,0.0,2616,138,0
43,21,15,70100,6754.0,6041.0,544.0,471.0,5179,327,346
44,21,15,70200,6506.0,5686.0,307.0,390.0,5068,272,206
45,21,15,70301,5449.0,4585.0,329.0,1086.0,3838,183,579
46,21,15,70305,5855.0,5378.0,85.0,343.0,4700,85,225
47,21,15,70307,12129.0,10957.0,451.0,122.0,8258,260,48
48,21,15,70308,10774.0,9405.0,368.0,425.0,7809,356,266
49,21,15,70309,6363.0,5763.0,104.0,213.0,4372,43,117
50,21,15,70311,2634.0,2478.0,26.0,38.0,2112,11,38
51,21,15,70312,3132.0,2637.0,296.0,67.0,2385,163,50
52,21,15,70313,3124.0,3004.0,0.0,107.0,2349,0,43
53,21,15,70314,4575.0,4144.0,340.0,174.0,3327,219,95
54,21,15,70401,9837.0,8973.0,297.0,134.0,6543,297,66
55,21,15,70402,8434.0,7958.0,246.0,383.0,5981,203,248
56,21,15,70502,4650.0,4620.0,13.0,45.0,3693,0,20
57,21,15,70503,6823.0,6368.0,83.0,300.0,4901,83,163
58,21,15,70504,7658.0,7206.0,85.0,225.0,5397,83,202
59,21,15,70601,2864.0,2864.0,0.0,0.0,2137,0,0
60,21,15,70604,2893.0,2847.0,42.0,42.0,2046,30,15
61,21,15,70605,6010.0,5454.0,11.0,196.0,4277,11,90
62,21,15,70606,4070.0,4000.0,49.0,76.0,2832,22,28
63,21,15,70607,4083.0,3952.0,57.0,21.0,3005,50,7
64,21,15,980100,0.0,0.0,0.0,0.0,0,0,0
65,21,17,30100,4058.0,3212.0,771.0,354.0,3107,587,187
