rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,22,1,960100,6028.0,4161.0,1696.0,205.0,4487,1184,78
1,22,1,960200,5859.0,5559.0,207.0,0.0,4118,207,0
2,22,1,960300,3618.0,3354.0,176.0,21.0,2736,117,5
3,22,1,960400,6786.0,6431.0,209.0,24.0,4878,180,24
4,22,1,960500,6530.0,5706.0,492.0,67.0,4904,330,67
5,22,1,960600,6046.0,4555.0,1254.0,133.0,4456,684,21
6,22,1,960700,4298.0,2367.0,1764.0,15.0,3105,1312,15
7,22,1,960800,4941.0,3896.0,761.0,33.0,3668,545,33
8,22,1,960900,4886.0,1595.0,3042.0,26.0,3406,2095,10
9,22,1,961000,5305.0,4157.0,852.0,644.0,4082,604,468
10,22,1,961100,3933.0,3632.0,191.0,110.0,2719,124,106
11,22,1,961200,3933.0,3679.0,194.0,7.0,2897,145,0
12,22,3,950100,4946.0,4850.0,20.0,7.0,3613,15,7
13,22,3,950200,5594.0,3649.0,1451.0,717.0,4690,1282,704
14,22,3,950300,2632.0,1665.0,723.0,75.0,2176,661,4
15,22,3,950400,4495.0,3520.0,637.0,37.0,3260,422,20
16,22,3,950500,7986.0,4914.0,2304.0,175.0,6063,1729,129
17,22,5,30101,7700.0,6617.0,936.0,441.0,5381,666,256
18,22,5,30102,5042.0,4769.0,263.0,466.0,3975,198,403
19,22,5,30103,6096.0,6027.0,38.0,249.0,4425,0,202
20,22,5,30203,11628.0,9879.0,1070.0,163.0,8281,633,103
21,22,5,30204,12379.0,10008.0,1781.0,484.0,8519,1168,370
22,22,5,30205,10738.0,8114.0,1797.0,417.0,7319,1062,277
23,22,5,30206,9532.0,7708.0,1352.0,868.0,6810,1022,403
24,22,5,30300,13698.0,9741.0,3413.0,793.0,9626,2418,356
25,22,5,30401,4819.0,3383.0,1321.0,443.0,3657,870,345
26,22,5,30402,7297.0,3374.0,3723.0,404.0,5604,2786,369
27,22,5,30500,9447.0,8322.0,570.0,247.0,6837,379,141
28,22,5,30600,5347.0,3613.0,1504.0,471.0,3903,960,281
29,22,5,30900,4099.0,1694.0,2389.0,248.0,2994,1654,165
30,22,5,31000,6916.0,1933.0,4952.0,38.0,5372,3719,38
31,22,7,50100,3865.0,1852.0,1974.0,140.0,2916,1439,122
32,22,7,50200,5203.0,5091.0,0.0,0.0,4369,0,0
33,22,7,50300,3574.0,1869.0,1694.0,7.0,2694,1281,7
34,22,7,50400,3293.0,2144.0,1092.0,27.0,2564,904,27
35,22,7,50500,2957.0,1172.0,1654.0,165.0,2115,1055,88
36,22,7,50600,4165.0,3554.0,471.0,205.0,3062,326,135
37,22,9,30100,2558.0,2349.0,157.0,9.0,1896,102,9
38,22,9,30200,2774.0,2737.0,14.0,6.0,2031,14,6
39,22,9,30300,3443.0,2827.0,534.0,89.0,2534,344,73
40,22,9,30400,7169.0,4042.0,2632.0,47.0,5439,1929,43
41,22,9,30500,6847.0,5026.0,1539.0,227.0,5159,1130,112
42,22,9,30600,5022.0,2299.0,2717.0,47.0,3710,1767,47
43,22,9,30700,7984.0,4327.0,3357.0,218.0,6547,2772,155
44,22,9,30800,2683.0,2614.0,16.0,58.0,1949,16,14
45,22,9,30900,2909.0,1520.0,1370.0,4.0,2162,896,4
46,22,11,960100,6279.0,5953.0,22.0,0.0,4536,22,0
47,22,11,960200,4241.0,3887.0,194.0,170.0,3488,194,157
48,22,11,960300,4481.0,2134.0,1986.0,255.0,3231,1323,173
49,22,11,960400,3437.0,1992.0,1287.0,172.0,2625,948,96
50,22,11,960500,5156.0,4117.0,708.0,407.0,3867,595,248
51,22,11,960600,3359.0,2752.0,287.0,237.0,2540,214,91
52,22,11,960700,9306.0,8945.0,293.0,22.0,6802,293,22
53,22,13,970100,3647.0,1321.0,2186.0,54.0,2874,1676,54
54,22,13,970200,1673.0,569.0,1068.0,0.0,1376,843,0
55,22,13,970300,3294.0,1658.0,1547.0,85.0,2458,1034,0
56,22,13,970400,2526.0,2298.0,174.0,71.0,1893,156,71
57,22,13,970500,2837.0,1925.0,888.0,13.0,2160,783,8
58,22,15,10400,1627.0,488.0,1087.0,129.0,1109,644,90
59,22,15,10500,4566.0,3034.0,1399.0,222.0,3547,934,165
60,22,15,10601,7766.0,3169.0,3815.0,1051.0,5266,2383,645
61,22,15,10602,3306.0,2004.0,1109.0,304.0,2586,760,281
62,22,15,10701,3952.0,2218.0,1237.0,329.0,3220,972,246
63,22,15,10702,4124.0,1848.0,1839.0,659.0,2964,1240,341
64,22,15,10801,2916.0,1727.0,807.0,747.0,2147,538,410
65,22,15,10804,7712.0,5597.0,1346.0,291.0,5854,1024,217
66,22,15,10805,3205.0,2183.0,692.0,189.0,2652,464,173
67,22,15,10806,4374.0,3755.0,327.0,113.0,3340,230,56
68,22,15,10900,3854.0,2687.0,641.0,235.0,2686,453,179
69,22,15,11001,7872.0,6458.0,1140.0,414.0,5909,1011,298
70,22,15,11002,4792.0,4306.0,416.0,126.0,3635,306,84
71,22,15,11103,7216.0,6374.0,700.0,271.0,5424,469,171
72,22,15,11105,7232.0,5965.0,555.0,958.0,5486,484,593
73,22,15,11106,8992.0,7251.0,1510.0,371.0,6382,1127,139
74,22,15,11107,2013.0,938.0,983.0,65.0,1454,671,48
75,22,15,11108,13435.0,11197.0,1096.0,638.0,9704,844,329
76,22,15,11109,7805.0,6427.0,953.0,223.0,5818,660,185
77,22,15,11110,8517.0,7232.0,971.0,302.0,6813,799,176
78,22,15,11200,6161.0,3923.0,2152.0,77.0,4942,1717,68
79,22,15,11300,1966.0,349.0,1541.0,126.0,1229,835,96
80,22,17,20500,2660.0,114.0,2517.0,69.0,1980,1871,51
81,22,17,20600,899.0,27.0,850.0,0.0,747,698,0
82,22,17,20700,934.0,0.0,924.0,0.0,814,804,0
83,22,17,21000,1802.0,1041.0,660.0,106.0,1323,383,39
84,22,17,21100,2667.0,908.0,1715.0,55.0,2140,1266,37
85,22,17,21200,3412.0,2554.0,714.0,110.0,3044,632,82
86,22,17,21300,2566.0,322.0,2051.0,148.0,1795,1355,123
87,22,17,21400,2394.0,1423.0,748.0,230.0,1944,497,173
88,22,17,21500,2292.0,1991.0,233.0,126.0,1815,187,126
89,22,17,21600,3500.0,3075.0,297.0,140.0,2649,147,95
90,22,17,21700,1958.0,371.0,1477.0,27.0,1330,919,22
91,22,17,21800,1472.0,91.0,1368.0,0.0,1087,996,0
92,22,17,21900,1582.0,90.0,1455.0,37.0,1335,1239,37
93,22,17,22000,2044.0,8.0,2002.0,0.0,1463,1426,0
94,22,17,22100,5928.0,75.0,5800.0,30.0,4401,4273,30
95,22,17,22200,5527.0,431.0,5046.0,0.0,3962,3512,0
96,22,17,22300,2492.0,132.0,2353.0,54.0,1839,1700,54
97,22,17,22400,3575.0,416.0,3055.0,0.0,2428,1979,0
98,22,17,22500,5172.0,514.0,4446.0,158.0,3698,3063,140
99,22,17,22600,3255.0,3015.0,153.0,77.0,2498,120,43
100,22,17,22700,2398.0,2375.0,15.0,57.0,1885,15,51
101,22,17,22800,4359.0,4153.0,63.0,90.0,3179,23,66
102,22,17,22900,5132.0,3870.0,747.0,264.0,4058,422,172
103,22,17,23000,4911.0,3972.0,667.0,114.0,3869,552,86
104,22,17,23100,1694.0,1276.0,402.0,8.0,1355,302,8
105,22,17,23200,1533.0,281.0,1171.0,0.0,1141,892,0
106,22,17,23300,2507.0,186.0,2313.0,22.0,1852,1666,14
107,22,17,23400,7302.0,615.0,6474.0,100.0,5022,4370,39
108,22,17,23500,3895.0,0.0,3873.0,0.0,2975,2964,0
109,22,17,23600,3086.0,29.0,3048.0,18.0,2298,2260,18
110,22,17,23700,6317.0,538.0,5714.0,23.0,4275,3785,23
111,22,17,23800,5874.0,1814.0,3781.0,611.0,4567,3051,392
112,22,17,23901,6369.0,4570.0,1386.0,79.0,5082,1008,79
113,22,17,23903,4458.0,3296.0,841.0,246.0,3345,523,123
114,22,17,23904,3025.0,2099.0,663.0,102.0,2438,487,80
115,22,17,23905,4868.0,3347.0,747.0,78.0,3785,654,78
116,22,17,24000,11797.0,10348.0,767.0,400.0,8597,697,259
117,22,17,24102,4063.0,2611.0,1155.0,235.0,3038,798,105
118,22,17,24104,7125.0,2429.0,4296.0,286.0,5331,2735,268
119,22,17,24106,7872.0,3271.0,4413.0,302.0,5729,2924,166
120,22,17,24107,5522.0,2556.0,2741.0,20.0,4133,2114,20
121,22,17,24108,7147.0,4223.0,2761.0,7.0,5395,2006,7
122,22,17,24109,3865.0,2923.0,888.0,131.0,2765,515,77
123,22,17,24201,4011.0,1060.0,2855.0,47.0,3265,2236,40
124,22,17,24202,6874.0,5178.0,1502.0,41.0,5119,805,26
125,22,17,24203,4865.0,3828.0,825.0,93.0,3681,629,93
126,22,17,24301,7409.0,1571.0,5359.0,411.0,5727,3907,272
127,22,17,24303,5722.0,2209.0,3313.0,206.0,4518,2451,178
