rn,D12,R12,D16,R16
0,7434,13986,7161,17619
1,315,4902,261,5565
2,244,1686,230,1956
3,928,9180,1624,17066
4,936,5571,849,6285
5,1539,2877,1374,3303
6,14440,31350,14014,29315
7,940,6190,828,7044
8,3468,4272,5187,6048
9,9156,10493,8608,11528
10,450,2496,344,4168
11,273,2856,272,4172
12,584,4752,480,5208
13,52,462,28,471
14,9729,14697,10524,20340
15,2535,2380,2050,2435
16,6633,19782,5382,20718
17,4860,19404,3592,16468
18,2905,14065,2570,15070
19,5064,24108,3900,26970
20,4428,18584,5408,19652
21,2824,11628,3448,12492
22,15638,41202,12630,31750
23,3832,14468,4068,15144
24,1248,488,1342,390
25,2636,4728,2488,4704
26,10605,6165,11180,5540
27,548,2640,466,3106
28,4504,9072,4760,10588
29,5920,1576,4992,1488
30,41820,15756,42910,14728
31,3784,2412,3480,2892
32,870,3650,798,6636
33,10236,6438,8982,6606
34,618,1166,636,1665
35,8162,6979,6699,7665
36,274,1504,190,1696
37,1480,7376,1015,7077
38,48,517,37,564
39,3384,12464,2448,13720
40,10577,10059,9880,11328
41,6636,13293,6424,15920
42,5910,6320,8016,9608
43,7434,9254,6440,9184
44,845,5415,465,6330
45,1048,1282,934,1334
46,1512,11640,1712,17320
47,740,5992,580,6132
48,8302,13020,6336,15360
49,3232,13904,5760,17730
50,1385,4775,1240,4905
51,940,3496,744,3892
52,2448,20360,1984,25264
53,9648,3771,7794,3204
54,3906,2058,3864,1998
55,3400,4060,3012,4140
56,1302,8442,1218,9261
57,4991,5824,4781,6055
58,314,90,257,114
59,1902,3489,1722,3108
60,2496,1500,3440,1796
61,1059,1299,1080,1104
62,2872,3940,2772,3592
63,650,944,1095,1299
64,866,698,844,618
65,8312,29776,10160,34296
66,139,191,143,168
67,1839,6216,1932,5368
68,393,126,382,125
69,473,1065,415,1242
70,234,863,173,907
71,1014,4629,1120,7356
72,2656,13900,2580,14604
73,3416,9764,3356,11096
74,2552,6616,2495,8935
75,1472,11868,1764,12856
76,6708,26394,9920,34816
77,3530,19390,3695,18095
78,2517,2688,2136,2772
79,1036,222,1251,279
80,1699,101,1526,87
81,409,4,332,8
82,619,6,522,10
83,185,173,150,150
84,1088,586,942,490
85,1806,906,1564,794
86,1488,218,1370,220
87,922,1080,882,1014
88,1162,2704,1146,2352
89,1995,3780,1980,3087
90,497,40,407,54
91,643,5,501,4
92,2232,46,1768,42
93,1742,12,1468,20
94,10808,364,9376,432
95,2758,452,2418,408
96,2544,138,2204,84
97,901,56,820,64
98,3226,172,2902,158
99,868,1844,756,1600
100,142,603,153,558
101,1524,5655,1410,4707
102,802,2380,1164,2308
103,1022,3702,1052,3122
104,220,808,265,646
105,551,32,475,29
106,716,6,675,15
107,7428,762,6657,612
108,5511,15,4953,72
109,2756,48,2216,62
110,6618,225,5757,231
111,8988,5840,8028,5052
112,1800,7389,2316,6690
113,5208,21282,6144,20928
114,740,1938,872,1778
115,6366,23892,7026,21306
116,1053,4308,1086,4545
117,1818,4374,2396,7208
118,5007,2559,4956,2175
119,6424,5432,6472,4388
120,2460,2062,2388,1678
121,3444,7878,4065,6462
122,1674,5058,1803,4671
123,2150,758,2346,608
124,4424,10688,4140,10352
125,1479,5829,1392,6387
126,112,205,102,185
127,7959,2298,7044,2094
128,2157,4347,2055,4611
