rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,25,1,10100,2962.0,2543.0,102.0,231.0,2799,92,169
1,25,1,10206,3109.0,2976.0,35.0,6.0,2662,35,6
2,25,1,10208,1644.0,1633.0,0.0,47.0,1485,0,47
3,25,1,10304,1975.0,1942.0,0.0,21.0,1844,0,21
4,25,1,10306,2948.0,2808.0,59.0,43.0,2584,38,18
5,25,1,10400,3020.0,2972.0,23.0,98.0,2755,23,86
6,25,1,10500,2839.0,2801.0,8.0,9.0,2494,8,9
7,25,1,10600,3419.0,3162.0,202.0,125.0,3025,93,104
8,25,1,10700,2707.0,2576.0,55.0,12.0,2305,55,12
9,25,1,10800,5114.0,4978.0,51.0,25.0,4451,18,22
10,25,1,10900,4750.0,4606.0,58.0,121.0,3867,21,48
11,25,1,11002,4258.0,3966.0,93.0,113.0,3504,93,75
12,25,1,11100,4560.0,4412.0,17.0,85.0,3744,17,59
13,25,1,11200,3379.0,3115.0,104.0,11.0,3010,104,11
14,25,1,11300,2919.0,2854.0,0.0,152.0,2511,0,16
15,25,1,11400,3065.0,2963.0,82.0,54.0,2696,19,34
16,25,1,11500,3837.0,3437.0,164.0,13.0,3400,103,13
17,25,1,11600,2377.0,2271.0,88.0,0.0,2138,88,0
18,25,1,11700,1865.0,1792.0,6.0,95.0,1670,6,77
19,25,1,11801,2298.0,2178.0,12.0,24.0,2143,12,24
20,25,1,11802,4062.0,3895.0,50.0,23.0,3387,50,23
21,25,1,12001,6063.0,5916.0,51.0,56.0,5209,51,56
22,25,1,12002,2861.0,2444.0,77.0,80.0,2385,76,39
23,25,1,12101,5470.0,4974.0,197.0,204.0,4607,71,105
24,25,1,12102,2827.0,2562.0,22.0,0.0,2393,9,0
25,25,1,12200,5094.0,4983.0,51.0,56.0,4209,51,56
26,25,1,12502,3135.0,2597.0,198.0,272.0,2848,198,170
27,25,1,12601,3770.0,3335.0,98.0,297.0,3065,92,276
28,25,1,12602,4546.0,3312.0,1005.0,525.0,3400,571,348
29,25,1,12700,4119.0,3942.0,28.0,116.0,3445,28,46
30,25,1,12800,3893.0,3698.0,0.0,13.0,3166,0,13
31,25,1,12900,4076.0,3939.0,9.0,130.0,3309,9,74
32,25,1,13002,3096.0,3038.0,30.0,44.0,2747,30,35
33,25,1,13100,5227.0,5024.0,1.0,11.0,4330,1,11
34,25,1,13200,4774.0,4656.0,32.0,126.0,3876,32,101
35,25,1,13300,3277.0,3180.0,0.0,97.0,2870,0,41
36,25,1,13400,4000.0,3852.0,0.0,65.0,3189,0,42
37,25,1,13500,6649.0,6481.0,1.0,76.0,5100,1,32
38,25,1,13600,6599.0,6554.0,0.0,185.0,4793,0,185
39,25,1,13700,4306.0,3995.0,169.0,73.0,3595,137,46
40,25,1,13800,5001.0,4768.0,93.0,125.0,3996,42,64
41,25,1,13900,5396.0,5095.0,131.0,94.0,4507,62,49
42,25,1,14002,4173.0,3792.0,145.0,127.0,3616,113,80
43,25,1,14100,869.0,723.0,65.0,202.0,559,53,99
44,25,1,14300,4371.0,4177.0,12.0,153.0,3602,12,73
45,25,1,14402,6642.0,5957.0,256.0,58.0,5318,174,34
46,25,1,14500,5717.0,5003.0,480.0,159.0,4513,249,116
47,25,1,14600,4143.0,3374.0,289.0,56.0,3459,164,31
48,25,1,14700,3590.0,3170.0,143.0,30.0,3110,109,0
49,25,1,14800,3353.0,2818.0,167.0,42.0,2979,146,42
50,25,1,14900,3734.0,3614.0,0.0,32.0,3177,0,32
51,25,1,15001,4645.0,3810.0,56.0,35.0,3582,56,13
52,25,1,15002,3367.0,2945.0,104.0,34.0,2891,84,34
53,25,1,15100,3771.0,3412.0,148.0,278.0,3078,130,164
54,25,1,15200,2244.0,2165.0,0.0,109.0,2002,0,50
55,25,1,15300,2861.0,2059.0,303.0,283.0,2532,261,231
56,25,1,990000,0.0,0.0,0.0,0.0,0,0,0
57,25,3,900100,3092.0,2435.0,351.0,371.0,2520,333,227
58,25,3,900200,4076.0,3364.0,229.0,313.0,3198,227,182
59,25,3,900300,2655.0,2416.0,156.0,125.0,2208,132,61
60,25,3,900400,5143.0,4290.0,254.0,419.0,3803,127,153
61,25,3,900500,3288.0,3133.0,69.0,73.0,2781,57,35
62,25,3,900600,3725.0,2708.0,757.0,199.0,2848,516,98
63,25,3,900700,2838.0,2746.0,60.0,39.0,2389,60,25
64,25,3,900800,4948.0,4701.0,160.0,44.0,4082,93,33
65,25,3,900900,5358.0,4568.0,408.0,489.0,4241,210,307
66,25,3,901100,3670.0,3380.0,60.0,90.0,3127,60,90
67,25,3,911100,3027.0,2901.0,49.0,0.0,2322,49,0
68,25,3,912100,6709.0,6504.0,39.0,166.0,5431,19,132
69,25,3,913100,5026.0,4730.0,42.0,136.0,4100,18,103
70,25,3,914100,5878.0,5649.0,58.0,173.0,4897,7,142
71,25,3,920101,4365.0,3772.0,144.0,260.0,3600,120,180
72,25,3,920102,3240.0,2667.0,155.0,180.0,2835,112,178
73,25,3,921300,4777.0,4339.0,111.0,247.0,4192,111,231
74,25,3,921400,1792.0,1717.0,0.0,40.0,1551,0,26
75,25,3,921500,3064.0,3016.0,9.0,116.0,2369,9,57
76,25,3,922100,2466.0,2380.0,14.0,31.0,1929,14,31
77,25,3,922200,3777.0,3692.0,0.0,13.0,3049,0,0
78,25,3,922300,2076.0,2033.0,16.0,33.0,1696,9,21
79,25,3,923100,3196.0,3169.0,17.0,20.0,2569,17,10
80,25,3,924100,2062.0,1883.0,53.0,47.0,1789,53,23
81,25,3,925100,6975.0,5982.0,132.0,953.0,5705,62,739
82,25,3,926100,3220.0,3164.0,12.0,12.0,2671,12,12
83,25,3,931100,1606.0,1589.0,5.0,2.0,1297,0,0
84,25,3,931300,1514.0,1400.0,57.0,29.0,1205,41,13
85,25,3,931400,1777.0,1714.0,7.0,22.0,1453,2,9
86,25,3,932200,2294.0,2221.0,19.0,35.0,2010,11,33
87,25,3,932300,2093.0,2042.0,17.0,11.0,1661,5,7
88,25,3,933200,1265.0,1219.0,15.0,12.0,1090,15,12
89,25,3,933300,1481.0,1408.0,13.0,21.0,1236,1,15
90,25,3,933400,2394.0,2279.0,13.0,38.0,2005,11,26
91,25,3,934200,1195.0,1062.0,22.0,8.0,1004,20,8
92,25,3,934300,1758.0,1657.0,32.0,24.0,1537,30,19
93,25,3,935100,2509.0,2416.0,12.0,19.0,2090,11,8
94,25,3,935200,5133.0,4801.0,29.0,212.0,3984,28,100
95,25,3,935300,3826.0,3569.0,22.0,58.0,3177,22,33
96,25,5,600100,4054.0,3721.0,176.0,0.0,3116,176,0
97,25,5,600202,4720.0,4063.0,288.0,121.0,3817,171,107
98,25,5,600203,5561.0,5259.0,122.0,250.0,4060,104,144
99,25,5,600204,3985.0,3535.0,290.0,51.0,2858,214,44
100,25,5,610100,5391.0,4785.0,106.0,335.0,4075,89,204
101,25,5,610202,5332.0,5009.0,101.0,114.0,3860,61,63
102,25,5,610203,6698.0,5919.0,238.0,40.0,4899,190,23
103,25,5,610204,6061.0,5365.0,94.0,408.0,4110,56,288
104,25,5,611101,4477.0,4271.0,14.0,7.0,3367,14,7
105,25,5,611102,5231.0,4723.0,191.0,158.0,4485,191,158
106,25,5,611201,2946.0,2886.0,16.0,25.0,2171,7,11
107,25,5,611202,6708.0,6510.0,20.0,0.0,5348,20,0
