rn,state,cid,tract,pop,white,black,hispanic
0,24,1,100,3442.0,3283.0,103.0,34.0
1,24,1,200,4285.0,3206.0,867.0,344.0
2,24,1,300,2626.0,2547.0,49.0,0.0
3,24,1,400,2823.0,2475.0,244.0,8.0
4,24,1,500,2543.0,2097.0,182.0,26.0
5,24,1,600,2768.0,2552.0,121.0,34.0
6,24,1,700,3464.0,3083.0,312.0,75.0
7,24,1,800,2257.0,1992.0,78.0,78.0
8,24,1,1000,2457.0,2282.0,147.0,79.0
9,24,1,1100,1481.0,1363.0,83.0,0.0
10,24,1,1200,3133.0,2784.0,127.0,8.0
11,24,1,1300,5201.0,2760.0,2181.0,131.0
12,24,1,1401,4012.0,3880.0,26.0,23.0
13,24,1,1402,1548.0,1468.0,52.0,8.0
14,24,1,1502,1901.0,1858.0,10.0,61.0
15,24,1,1503,2016.0,1966.0,28.0,10.0
16,24,1,1600,1784.0,1749.0,23.0,13.0
17,24,1,1700,4880.0,4553.0,59.0,34.0
18,24,1,1800,4969.0,3601.0,1086.0,94.0
19,24,1,1900,3002.0,2932.0,10.0,0.0
20,24,1,2000,5809.0,5683.0,56.0,77.0
21,24,1,2100,3369.0,3286.0,46.0,42.0
22,24,1,2200,3779.0,3760.0,8.0,5.0
23,24,3,701101,4045.0,3939.0,58.0,173.0
24,24,3,701102,8083.0,7251.0,149.0,647.0
25,24,3,701200,8779.0,8237.0,143.0,212.0
26,24,3,701300,7553.0,6589.0,656.0,92.0
27,24,3,701400,3375.0,3060.0,287.0,48.0
28,24,3,702100,7021.0,6501.0,397.0,148.0
29,24,3,702204,4318.0,3668.0,227.0,302.0
30,24,3,702205,5485.0,4396.0,695.0,125.0
31,24,3,702206,6414.0,4760.0,815.0,395.0
32,24,3,702208,7177.0,4667.0,1707.0,264.0
33,24,3,702209,4540.0,3905.0,313.0,277.0
34,24,3,702300,5577.0,5315.0,82.0,148.0
35,24,3,702402,6555.0,5513.0,233.0,683.0
36,24,3,702500,6733.0,2898.0,2813.0,1224.0
37,24,3,702601,5512.0,4526.0,822.0,192.0
38,24,3,702602,5614.0,4503.0,614.0,252.0
39,24,3,702701,5480.0,4575.0,572.0,298.0
40,24,3,702702,3671.0,3294.0,185.0,115.0
41,24,3,706101,3589.0,2790.0,656.0,258.0
42,24,3,706301,4237.0,3120.0,731.0,342.0
43,24,3,706302,3167.0,2892.0,129.0,156.0
44,24,3,706401,7294.0,3755.0,1110.0,3453.0
45,24,3,706402,2917.0,1935.0,895.0,394.0
46,24,3,706500,5439.0,3909.0,1293.0,713.0
47,24,3,706600,5340.0,3743.0,1256.0,756.0
48,24,3,706700,5827.0,4298.0,542.0,450.0
49,24,3,707001,6595.0,5481.0,1061.0,181.0
50,24,3,707002,4812.0,4435.0,214.0,162.0
51,24,3,708001,3753.0,3487.0,110.0,77.0
52,24,3,708004,5847.0,4488.0,836.0,407.0
53,24,3,730100,8997.0,7146.0,1135.0,406.0
54,24,3,730203,6110.0,4191.0,1361.0,1087.0
55,24,3,730204,6289.0,3892.0,1678.0,186.0
56,24,3,730300,3274.0,2788.0,200.0,365.0
57,24,3,730401,5088.0,3319.0,1208.0,406.0
58,24,3,730402,6472.0,4029.0,1631.0,449.0
59,24,3,730502,5545.0,3633.0,1360.0,200.0
60,24,3,730504,7517.0,4075.0,2269.0,522.0
61,24,3,730505,4866.0,1744.0,2159.0,637.0
62,24,3,730506,3934.0,1327.0,2145.0,304.0
63,24,3,730601,7203.0,6430.0,0.0,507.0
64,24,3,730603,2916.0,2532.0,141.0,1.0
65,24,3,730604,6724.0,5977.0,345.0,35.0
66,24,3,730700,7474.0,6714.0,320.0,258.0
67,24,3,730800,2480.0,2404.0,4.0,44.0
68,24,3,730901,2539.0,2146.0,319.0,67.0
69,24,3,730902,4059.0,3762.0,158.0,332.0
70,24,3,731002,3390.0,2931.0,267.0,293.0
71,24,3,731003,4193.0,3936.0,68.0,252.0
72,24,3,731004,4449.0,4071.0,57.0,292.0
73,24,3,731102,7650.0,6994.0,205.0,405.0
