rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,23,1,10100,1725.0,1352.0,91.0,46.0,1403,30,41
1,23,1,10200,4653.0,4397.0,8.0,20.0,3725,8,20
2,23,1,10300,2207.0,1795.0,97.0,96.0,1436,43,38
3,23,1,10400,2405.0,2322.0,9.0,39.0,1814,0,5
4,23,1,10500,2082.0,1854.0,22.0,39.0,1483,15,15
5,23,1,10600,2853.0,2768.0,1.0,22.0,2225,0,22
6,23,1,10700,3195.0,2912.0,13.0,66.0,2517,13,45
7,23,1,10800,3796.0,3551.0,26.0,60.0,3049,21,60
8,23,1,20100,1303.0,1039.0,192.0,48.0,959,81,29
9,23,1,20200,1221.0,1037.0,21.0,9.0,935,21,9
10,23,1,20300,6574.0,5338.0,458.0,448.0,5370,213,257
11,23,1,20400,3027.0,2445.0,279.0,192.0,2011,119,78
12,23,1,20500,4174.0,3957.0,38.0,74.0,3429,37,30
13,23,1,20600,2560.0,2477.0,0.0,31.0,2232,0,31
14,23,1,20700,5314.0,4941.0,1.0,153.0,4286,1,66
15,23,1,20800,7520.0,6830.0,25.0,0.0,6190,19,0
16,23,1,20900,4663.0,4270.0,127.0,74.0,3725,71,68
17,23,1,30100,4385.0,4143.0,7.0,21.0,3367,3,21
18,23,1,30200,4510.0,4284.0,16.0,28.0,3332,10,23
19,23,1,40000,3902.0,3704.0,5.0,0.0,3044,5,0
20,23,1,41000,5464.0,5085.0,13.0,21.0,4192,5,21
21,23,1,41500,5603.0,5450.0,12.0,108.0,4207,12,76
22,23,1,42000,5725.0,5490.0,55.0,117.0,4474,38,75
23,23,1,43000,2028.0,1992.0,0.0,12.0,1608,0,8
24,23,1,44000,3149.0,3029.0,0.0,39.0,2385,0,0
25,23,1,45000,2030.0,1920.0,0.0,12.0,1560,0,12
26,23,1,46000,4349.0,4209.0,0.0,25.0,3364,0,25
27,23,1,46500,6976.0,6712.0,0.0,27.0,5343,0,19
28,23,3,950100,2422.0,2314.0,21.0,34.0,2059,9,24
29,23,3,950200,2731.0,2678.0,7.0,31.0,2272,0,27
30,23,3,950300,3930.0,3841.0,5.0,0.0,3337,5,0
31,23,3,950400,1539.0,1503.0,0.0,5.0,1288,0,2
32,23,3,950600,4032.0,3816.0,14.0,26.0,3360,14,23
33,23,3,950700,2711.0,2644.0,6.0,26.0,2303,4,12
34,23,3,950900,2172.0,2127.0,0.0,15.0,1733,0,3
35,23,3,951000,3446.0,3314.0,6.0,87.0,2694,6,49
36,23,3,951100,2794.0,2753.0,0.0,5.0,2206,0,2
37,23,3,951200,2690.0,2436.0,107.0,50.0,2143,90,18
38,23,3,951300,3199.0,2961.0,103.0,54.0,2562,47,34
39,23,3,951400,2071.0,1977.0,3.0,43.0,1701,3,21
40,23,3,951600,2084.0,1917.0,82.0,67.0,1554,74,36
41,23,3,951700,4576.0,4492.0,0.0,57.0,3513,0,39
42,23,3,951800,3967.0,3752.0,27.0,4.0,3130,25,0
43,23,3,951900,2875.0,2816.0,2.0,24.0,2427,1,11
44,23,3,952000,2536.0,2228.0,47.0,36.0,2026,46,27
45,23,3,952100,2956.0,2861.0,20.0,18.0,2361,8,13
46,23,3,952300,2513.0,2326.0,2.0,33.0,1985,1,24
47,23,3,952400,3888.0,3452.0,13.0,76.0,3152,11,74
48,23,3,952500,2109.0,2014.0,0.0,31.0,1803,0,11
49,23,3,952600,3137.0,3052.0,9.0,10.0,2441,9,9
50,23,3,952700,2553.0,2464.0,24.0,26.0,2080,19,12
51,23,3,952900,3074.0,2967.0,22.0,9.0,2513,7,9
52,23,5,100,2246.0,2057.0,31.0,40.0,1962,31,21
53,23,5,200,2515.0,2329.0,89.0,35.0,2165,49,35
54,23,5,300,2589.0,2206.0,237.0,111.0,2431,165,88
55,23,5,500,2451.0,1365.0,757.0,249.0,1817,428,181
56,23,5,600,3144.0,2387.0,613.0,187.0,2525,296,187
57,23,5,1000,2609.0,2063.0,451.0,44.0,2434,383,44
58,23,5,1100,2755.0,2521.0,140.0,65.0,2485,79,65
59,23,5,1200,1563.0,1325.0,158.0,73.0,1300,103,44
60,23,5,1300,3376.0,2926.0,309.0,65.0,2956,199,65
61,23,5,1500,3615.0,3270.0,31.0,145.0,3046,31,114
62,23,5,1700,4462.0,4149.0,116.0,65.0,3566,49,46
