rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,26,1,100,1770.0,1750.0,0.0,3.0,1569,0,3
1,26,1,970100,2378.0,2300.0,16.0,21.0,2108,16,15
2,26,1,970400,2821.0,2766.0,2.0,27.0,2313,2,18
3,26,1,970500,1981.0,1924.0,4.0,79.0,1746,4,45
4,26,1,970600,1600.0,1550.0,7.0,13.0,1386,7,13
5,26,3,100,3934.0,3568.0,5.0,40.0,3289,5,29
6,26,3,200,2607.0,2403.0,19.0,44.0,2163,19,18
7,26,3,300,2935.0,2154.0,709.0,39.0,2535,709,30
8,26,5,30200,3316.0,3240.0,5.0,120.0,2697,5,108
9,26,5,30300,7485.0,7068.0,0.0,255.0,5360,0,164
10,26,5,30401,7546.0,7268.0,30.0,359.0,5537,30,239
11,26,5,30402,5069.0,4953.0,0.0,0.0,3512,0,0
12,26,5,30500,7354.0,6986.0,27.0,120.0,5404,18,84
13,26,5,30600,5022.0,4855.0,12.0,26.0,3665,11,8
14,26,5,30702,4862.0,4668.0,6.0,171.0,3663,0,111
15,26,5,30703,2466.0,2269.0,42.0,667.0,1789,39,376
16,26,5,30704,4889.0,4634.0,39.0,860.0,3370,3,467
17,26,5,30800,4976.0,4728.0,13.0,236.0,3979,9,136
18,26,5,30901,2895.0,2738.0,24.0,349.0,2173,24,169
19,26,5,30902,2576.0,2444.0,3.0,293.0,2048,3,154
20,26,5,31000,6013.0,5053.0,553.0,1043.0,4415,339,627
21,26,5,31100,6394.0,6192.0,99.0,172.0,5117,4,119
22,26,5,31200,5600.0,4988.0,462.0,280.0,4179,378,152
23,26,5,31300,4917.0,4701.0,22.0,432.0,3679,7,263
24,26,5,31800,4493.0,4302.0,0.0,52.0,3368,0,44
25,26,5,31900,5073.0,4965.0,16.0,230.0,3912,16,73
26,26,5,32000,5261.0,5226.0,6.0,45.0,4041,6,34
27,26,5,32100,4546.0,4345.0,69.0,86.0,3570,53,48
28,26,5,32200,5037.0,4467.0,213.0,601.0,3838,69,280
29,26,5,32401,1794.0,1533.0,67.0,956.0,1179,42,559
30,26,5,32402,3898.0,3782.0,0.0,382.0,2829,0,227
31,26,5,32600,1355.0,1187.0,6.0,126.0,1178,6,126
32,26,7,100,4555.0,4430.0,6.0,54.0,3654,6,48
33,26,7,200,4272.0,4165.0,19.0,48.0,3412,19,18
34,26,7,300,3186.0,3085.0,17.0,12.0,2592,16,11
35,26,7,400,3015.0,2945.0,5.0,19.0,2241,0,14
36,26,7,500,1866.0,1736.0,10.0,31.0,1497,10,14
37,26,7,600,3330.0,3231.0,37.0,40.0,2758,37,40
38,26,7,700,2896.0,2854.0,19.0,40.0,2411,15,33
39,26,7,800,3062.0,2876.0,41.0,66.0,2464,18,10
40,26,7,900,2886.0,2796.0,11.0,53.0,2327,11,53
41,26,9,960100,2530.0,2428.0,29.0,63.0,2095,21,48
42,26,9,960200,3420.0,3332.0,5.0,57.0,2670,2,34
43,26,9,960300,2683.0,2645.0,1.0,7.0,2260,1,4
44,26,9,960400,3286.0,3139.0,24.0,31.0,2740,24,21
45,26,9,960500,3268.0,3025.0,15.0,143.0,2678,0,78
46,26,9,960600,3158.0,2993.0,1.0,79.0,2669,1,65
47,26,9,960700,4922.0,4792.0,0.0,70.0,3657,0,57
48,26,11,970100,2386.0,2332.0,3.0,105.0,2017,3,44
49,26,11,970200,3218.0,3119.0,35.0,34.0,2683,20,23
50,26,11,970300,2820.0,2750.0,7.0,54.0,2183,7,50
51,26,11,970400,2806.0,2751.0,4.0,28.0,2338,4,23
52,26,11,970500,4194.0,3925.0,26.0,60.0,3301,24,48
53,26,13,100,4036.0,3702.0,41.0,36.0,3161,38,12
54,26,13,200,4654.0,2709.0,1566.0,77.0,4130,1556,55
55,26,15,10100,5668.0,5343.0,0.0,292.0,4352,0,212
56,26,15,10200,5652.0,5482.0,9.0,161.0,4107,9,129
57,26,15,10300,7882.0,7762.0,80.0,180.0,5624,43,78
58,26,15,10401,3318.0,3221.0,0.0,159.0,2732,0,89
59,26,15,10402,4073.0,4008.0,0.0,0.0,3225,0,0
60,26,15,10500,3393.0,3242.0,40.0,140.0,2828,36,105
61,26,15,10600,6617.0,6456.0,1.0,33.0,5118,1,1
62,26,15,10700,5184.0,4980.0,86.0,80.0,4090,28,48
63,26,15,10800,3128.0,3036.0,17.0,55.0,2577,17,37
64,26,15,11300,7855.0,7682.0,20.0,174.0,5839,20,127
65,26,15,11400,6377.0,5788.0,35.0,225.0,4921,35,64
66,26,17,280300,1284.0,1136.0,36.0,124.0,942,22,69
67,26,17,280400,2939.0,2554.0,135.0,508.0,2301,127,321
68,26,17,280500,3409.0,3244.0,3.0,217.0,2630,3,139
69,26,17,280600,2765.0,2554.0,58.0,410.0,2101,52,212
70,26,17,280700,2885.0,2591.0,155.0,158.0,2181,142,150
71,26,17,280800,3887.0,3629.0,59.0,292.0,2835,59,199
72,26,17,280900,2937.0,2663.0,156.0,231.0,2214,99,190
73,26,17,281000,4064.0,3876.0,51.0,301.0,3168,24,246
74,26,17,281300,2983.0,2846.0,73.0,211.0,2324,57,101
75,26,17,285100,3432.0,3200.0,93.0,173.0,2604,75,122
76,26,17,285201,5851.0,5595.0,110.0,266.0,4800,110,118
77,26,17,285202,3694.0,3664.0,23.0,88.0,2967,19,79
78,26,17,285300,4497.0,4430.0,6.0,275.0,3603,0,139
79,26,17,285400,3563.0,3322.0,57.0,33.0,2904,46,33
80,26,17,285500,6772.0,6737.0,0.0,92.0,5524,0,70
81,26,17,285600,7149.0,6840.0,1.0,212.0,5508,1,81
82,26,17,285700,3886.0,3568.0,1.0,175.0,3089,1,118
83,26,17,285800,6473.0,5983.0,42.0,103.0,5170,42,66
84,26,17,285900,4757.0,4540.0,73.0,237.0,3888,38,180
85,26,17,286000,3238.0,3104.0,0.0,107.0,2700,0,87
86,26,17,286100,7659.0,7466.0,4.0,126.0,6173,0,92
87,26,17,286200,4844.0,4767.0,0.0,118.0,3940,0,77
88,26,17,286300,3700.0,3591.0,38.0,164.0,2816,24,92
89,26,17,286400,2781.0,2655.0,0.0,98.0,2170,0,65
