rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,27,1,770100,2230.0,2121.0,15.0,13.0,1902,7,11
1,27,1,770200,2065.0,1937.0,3.0,15.0,1681,2,15
2,27,1,770300,3470.0,3347.0,14.0,26.0,2688,14,15
3,27,1,770400,3090.0,2773.0,11.0,100.0,2558,11,49
4,27,1,790501,1865.0,1828.0,9.0,7.0,1560,7,6
5,27,1,790502,3119.0,3053.0,6.0,17.0,2690,6,15
6,27,3,50107,2832.0,2757.0,17.0,13.0,2083,17,0
7,27,3,50108,4931.0,4582.0,6.0,48.0,3651,5,24
8,27,3,50109,5141.0,5011.0,0.0,19.0,3957,0,19
9,27,3,50110,2665.0,2623.0,0.0,32.0,2080,0,26
10,27,3,50111,3819.0,3742.0,0.0,22.0,2955,0,12
11,27,3,50114,2756.0,2650.0,50.0,14.0,2110,39,14
12,27,3,50115,5459.0,4720.0,86.0,486.0,4032,52,246
13,27,3,50116,4522.0,4292.0,5.0,212.0,3282,1,104
14,27,3,50208,3290.0,3009.0,75.0,64.0,2369,40,43
15,27,3,50210,3967.0,3745.0,0.0,48.0,3209,0,36
16,27,3,50215,4123.0,3866.0,1.0,52.0,3089,1,46
17,27,3,50216,5749.0,5574.0,8.0,193.0,4074,8,130
18,27,3,50217,2899.0,2694.0,0.0,93.0,2196,0,52
19,27,3,50218,3248.0,3171.0,0.0,0.0,2516,0,0
20,27,3,50219,3013.0,2707.0,151.0,71.0,2302,111,28
21,27,3,50220,6707.0,5881.0,217.0,223.0,4650,77,140
22,27,3,50221,7057.0,6652.0,102.0,68.0,4583,81,45
23,27,3,50222,5339.0,4803.0,131.0,109.0,3727,82,74
24,27,3,50223,2913.0,2726.0,0.0,50.0,2294,0,42
25,27,3,50224,2981.0,2875.0,1.0,9.0,2320,1,9
26,27,3,50225,6477.0,6089.0,27.0,106.0,4556,27,41
27,27,3,50226,2967.0,2694.0,13.0,62.0,2185,9,47
28,27,3,50227,4473.0,3985.0,48.0,118.0,3118,28,33
29,27,3,50228,5035.0,4426.0,200.0,328.0,3644,120,137
30,27,3,50229,5489.0,4457.0,365.0,206.0,4307,351,135
31,27,3,50230,2387.0,2234.0,0.0,55.0,1610,0,30
32,27,3,50232,3865.0,3631.0,0.0,55.0,2656,0,47
33,27,3,50233,3241.0,3148.0,0.0,0.0,2427,0,0
34,27,3,50234,2908.0,2705.0,47.0,165.0,2230,47,128
35,27,3,50235,2934.0,2738.0,0.0,85.0,2254,0,35
36,27,3,50236,4300.0,4056.0,79.0,113.0,3040,52,20
37,27,3,50237,5402.0,5125.0,63.0,41.0,3802,34,0
38,27,3,50401,2765.0,2507.0,136.0,81.0,2140,67,53
39,27,3,50402,3530.0,3114.0,197.0,31.0,2869,165,25
40,27,3,50501,3372.0,2757.0,175.0,408.0,2694,93,279
41,27,3,50504,2554.0,2244.0,98.0,139.0,1964,26,90
42,27,3,50505,5023.0,4251.0,436.0,230.0,3833,220,142
43,27,3,50602,2555.0,2017.0,340.0,79.0,1942,201,61
44,27,3,50605,5266.0,4752.0,240.0,422.0,4097,135,164
45,27,3,50606,2016.0,1720.0,190.0,21.0,1555,106,21
46,27,3,50607,4854.0,3983.0,150.0,266.0,3657,115,179
47,27,3,50608,4529.0,3746.0,254.0,387.0,3603,137,259
48,27,3,50609,3346.0,3205.0,30.0,26.0,2678,29,21
49,27,3,50610,6688.0,5879.0,256.0,390.0,5249,146,112
