rn,D08,R08,D12,R12,D16,R16
0,692.0,769.0,651.0,789.0,474.0,913.0
1,624.0,539.0,614.0,515.0,402.0,746.0
2,706.0,793.0,668.0,777.0,512.0,908.0
3,937.0,839.0,924.0,796.0,644.0,975.0
4,625.0,592.0,534.0,580.0,334.0,686.0
5,1011.0,1057.0,1021.0,1076.0,768.0,1288.0
6,890.0,1175.0,805.0,1239.0,492.0,1396.0
7,716.0,1047.0,672.0,1119.0,473.0,1301.0
8,869.0,1208.0,815.0,1215.0,555.0,1469.0
9,933.0,1265.0,922.0,1222.0,600.0,1394.0
10,825.0,1108.0,760.0,1159.0,567.0,1258.0
11,608.0,992.0,441.0,868.0,334.0,933.0
12,1126.0,1869.0,1337.0,2109.0,995.0,2420.0
13,857.0,1689.0,841.0,1752.0,631.0,1874.0
14,590.0,841.0,0.0,0.0,0.0,0.0
15,1028.0,1401.0,985.0,1469.0,805.0,1537.0
16,557.0,916.0,709.0,1166.0,554.0,1144.0
17,1329.0,2112.0,1499.0,2649.0,1303.0,2834.0
18,629.0,962.0,572.0,934.0,441.0,1015.0
19,699.0,1236.0,1010.0,1702.0,796.0,1778.0
20,774.0,1098.0,732.0,1103.0,623.0,1069.0
21,1835.0,2541.0,2354.0,3428.0,2112.0,3252.0
22,1024.0,1586.0,1212.0,1870.0,1087.0,1856.0
23,1418.0,2074.0,1511.0,2278.0,1367.0,2107.0
24,1303.0,1933.0,1352.0,2033.0,1239.0,2137.0
25,629.0,958.0,888.0,1269.0,731.0,1487.0
26,1526.0,2215.0,1118.0,1543.0,932.0,1443.0
27,663.0,866.0,674.0,934.0,609.0,965.0
28,656.0,817.0,726.0,884.0,667.0,938.0
29,492.0,523.0,483.0,551.0,352.0,571.0
30,1569.0,1553.0,1459.0,1740.0,1288.0,1644.0
31,1243.0,1602.0,1210.0,1729.0,1103.0,1670.0
32,930.0,1219.0,906.0,1275.0,829.0,1241.0
34,634.0,999.0,646.0,1037.0,485.0,1121.0
35,922.0,1298.0,490.0,699.0,391.0,767.0
36,816.0,1004.0,786.0,1146.0,800.0,972.0
37,1364.0,1703.0,1373.0,1846.0,1359.0,1589.0
38,599.0,603.0,585.0,612.0,470.0,666.0
39,1091.0,947.0,1093.0,915.0,918.0,854.0
40,602.0,549.0,621.0,504.0,482.0,491.0
41,531.0,524.0,568.0,506.0,417.0,482.0
42,1695.0,1544.0,1688.0,1539.0,1390.0,1582.0
43,813.0,758.0,0.0,0.0,0.0,0.0
44,1374.0,1229.0,1931.0,1634.0,1524.0,1580.0
45,778.0,645.0,796.0,658.0,675.0,620.0
46,687.0,575.0,835.0,683.0,621.0,712.0
47,1314.0,1163.0,777.0,778.0,620.0,681.0
48,889.0,994.0,1911.0,2063.0,1570.0,1970.0
49,2343.0,2116.0,1650.0,1506.0,1373.0,1495.0
50,1896.0,1705.0,579.0,536.0,446.0,553.0
51,790.0,653.0,2624.0,2100.0,2018.0,2163.0
52,605.0,517.0,0.0,0.0,0.0,0.0
53,2037.0,2288.0,1824.0,1999.0,1577.0,1803.0
54,0.0,0.0,765.0,651.0,662.0,578.0
55,2230.0,1878.0,1909.0,1399.0,1466.0,1380.0
