rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,28,1,100,7855.0,4415.0,2462.0,1582.0,6365,1822,1582
1,28,1,200,3847.0,679.0,3168.0,55.0,3133,2598,35
2,28,1,300,2303.0,46.0,2233.0,0.0,1815,1778,0
3,28,1,400,2822.0,229.0,2573.0,18.0,1977,1817,18
4,28,1,500,3418.0,1185.0,2143.0,30.0,2668,1547,30
5,28,1,600,2341.0,1112.0,1229.0,0.0,1736,802,0
6,28,1,700,1696.0,981.0,691.0,96.0,1391,504,96
7,28,1,800,3716.0,1288.0,2377.0,0.0,2723,1717,0
8,28,1,900,3981.0,2921.0,881.0,106.0,3354,619,106
9,28,3,950100,5676.0,5514.0,60.0,147.0,4408,60,147
10,28,3,950200,7527.0,5454.0,1641.0,352.0,5798,1204,109
11,28,3,950300,3450.0,2882.0,263.0,292.0,2706,215,230
12,28,3,950400,5464.0,5384.0,0.0,21.0,4130,0,11
13,28,3,950500,6582.0,4302.0,1916.0,267.0,4760,1400,140
14,28,3,950600,4366.0,4137.0,39.0,1.0,3262,39,1
15,28,3,950700,4254.0,3890.0,362.0,58.0,3310,328,43
16,28,5,950100,4278.0,2838.0,1432.0,49.0,3526,1231,3
17,28,5,950200,3706.0,2163.0,1536.0,0.0,2779,1017,0
18,28,5,950300,4856.0,2394.0,2448.0,0.0,3779,1847,0
19,28,7,60100,3294.0,2200.0,1049.0,10.0,2559,759,0
20,28,7,60200,2458.0,1776.0,682.0,12.0,1846,519,12
21,28,7,60300,2845.0,1086.0,1733.0,75.0,2289,1285,59
22,28,7,60400,3093.0,2172.0,881.0,133.0,2365,708,54
23,28,7,60500,3550.0,1668.0,1766.0,42.0,2510,1301,32
24,28,7,60600,3935.0,1747.0,2083.0,81.0,2697,1234,51
25,28,9,950100,5687.0,2861.0,2605.0,128.0,4299,1882,58
26,28,9,950200,2783.0,2305.0,473.0,57.0,2155,389,12
27,28,11,950100,3869.0,554.0,3279.0,60.0,2762,2322,46
28,28,11,950200,2730.0,329.0,2377.0,5.0,2055,1728,5
29,28,11,950300,3235.0,361.0,2776.0,49.0,2244,1950,43
30,28,11,950400,4145.0,1014.0,3045.0,80.0,3256,2330,51
31,28,11,950500,5430.0,2683.0,2361.0,415.0,3832,1579,233
32,28,11,950600,6194.0,5507.0,462.0,50.0,5165,432,50
33,28,11,950701,4637.0,361.0,4188.0,54.0,3319,2893,54
34,28,11,950702,3563.0,388.0,3160.0,0.0,2622,2273,0
35,28,13,950100,3861.0,3345.0,392.0,213.0,3000,305,113
36,28,13,950200,1541.0,863.0,634.0,38.0,1208,450,31
37,28,13,950300,3088.0,2040.0,986.0,32.0,2434,790,15
38,28,13,950400,3401.0,2457.0,605.0,400.0,2477,462,211
39,28,13,950500,2898.0,1398.0,1374.0,147.0,2056,917,56
40,28,15,950100,4967.0,3963.0,906.0,26.0,4134,712,26
41,28,15,950200,5371.0,2739.0,2564.0,17.0,4125,1876,17
42,28,17,950100,4201.0,1255.0,2850.0,78.0,3264,2101,47
43,28,17,950200,3474.0,2415.0,1011.0,69.0,2610,718,45
44,28,17,950300,4440.0,2318.0,2003.0,547.0,3197,1352,337
45,28,17,950400,5276.0,3534.0,1685.0,10.0,3906,1164,0
46,28,19,950100,2683.0,2457.0,226.0,0.0,2195,197,0
47,28,19,950200,3840.0,2201.0,1564.0,35.0,2914,1169,27
48,28,19,950300,1831.0,1003.0,806.0,12.0,1312,539,12
49,28,21,950100,2994.0,616.0,2298.0,0.0,2323,1819,0
50,28,21,950200,1487.0,141.0,1316.0,20.0,1172,1012,20
51,28,21,950300,4849.0,514.0,4304.0,81.0,3754,3245,81
52,28,23,950100,4100.0,3146.0,887.0,33.0,3164,721,20
53,28,23,950200,5874.0,4403.0,1460.0,89.0,4548,1092,24
54,28,23,950300,3580.0,1055.0,2522.0,0.0,2591,1705,0
55,28,23,950400,2808.0,1898.0,862.0,6.0,2215,614,6
56,28,25,950100,5518.0,2911.0,2607.0,166.0,4142,1977,35
57,28,25,950200,2332.0,1000.0,1316.0,0.0,1761,1017,0
58,28,25,950300,3801.0,798.0,2991.0,12.0,2674,1987,12
59,28,25,950400,4883.0,1807.0,3028.0,31.0,3601,2097,31
60,28,25,950500,3745.0,1697.0,1867.0,32.0,3082,1395,32
61,28,27,950100,3713.0,638.0,3036.0,9.0,2711,2207,9
62,28,27,950200,2748.0,1280.0,1325.0,33.0,2142,993,33
63,28,27,950300,3216.0,1040.0,2132.0,34.0,2356,1505,33
64,28,27,950400,3794.0,1709.0,1994.0,0.0,2938,1506,0
65,28,27,950500,5538.0,944.0,4569.0,0.0,3542,2740,0
66,28,27,950600,1148.0,12.0,1136.0,0.0,873,861,0
67,28,27,950700,5097.0,87.0,4975.0,0.0,3512,3425,0
68,28,29,950100,6160.0,1978.0,3913.0,289.0,4550,2710,174
69,28,29,950200,4474.0,2788.0,1648.0,191.0,3661,1265,141
70,28,29,950300,4289.0,1844.0,2380.0,82.0,3403,1836,43
71,28,29,950400,4933.0,875.0,3828.0,194.0,3678,2658,131
72,28,29,950500,5931.0,4322.0,1439.0,52.0,4501,1100,52
73,28,29,950600,3134.0,1509.0,1625.0,0.0,2190,1121,0
74,28,31,950100,5459.0,2171.0,3249.0,88.0,4234,2389,50
75,28,31,950200,1950.0,799.0,1067.0,0.0,1401,777,0
76,28,31,950300,5067.0,2888.0,2039.0,183.0,3542,1358,66
77,28,31,950400,6995.0,6368.0,627.0,143.0,5343,351,80
78,28,33,70101,2966.0,1831.0,1016.0,155.0,2139,669,130
79,28,33,70102,4290.0,2969.0,1074.0,137.0,3241,824,105
80,28,33,70210,6473.0,3287.0,2610.0,478.0,4645,1993,258
81,28,33,70221,4020.0,2882.0,994.0,106.0,3012,572,60
82,28,33,70222,4169.0,2833.0,1192.0,355.0,3300,889,191
83,28,33,70310,3856.0,2620.0,1159.0,395.0,2819,743,253
84,28,33,70322,3867.0,2210.0,1561.0,109.0,2811,1051,84
85,28,33,70323,5619.0,2688.0,2610.0,451.0,3861,1642,192
86,28,33,70324,5471.0,3008.0,2339.0,263.0,3482,1418,163
87,28,33,70325,3034.0,2360.0,434.0,525.0,2156,294,356
88,28,33,70411,1811.0,1512.0,209.0,5.0,1320,128,5
89,28,33,70412,4876.0,3059.0,1347.0,491.0,3405,878,255
90,28,33,70421,2684.0,1930.0,386.0,174.0,1994,279,90
91,28,33,70422,2563.0,1988.0,480.0,97.0,1813,218,48
92,28,33,70520,9969.0,6570.0,2835.0,369.0,7320,1849,287
93,28,33,70521,3683.0,2713.0,600.0,359.0,2674,412,225
94,28,33,70522,4189.0,3206.0,880.0,69.0,3240,676,33
95,28,33,70610,3021.0,1557.0,1405.0,20.0,2221,904,20
96,28,33,70620,7222.0,5580.0,1507.0,68.0,5099,963,22
97,28,33,70630,10294.0,8168.0,1585.0,199.0,7651,1221,115
98,28,33,70710,6151.0,4330.0,1755.0,176.0,4590,1277,145
99,28,33,70721,4363.0,2665.0,1505.0,158.0,3115,967,61
100,28,33,70722,5255.0,4743.0,334.0,128.0,3634,293,80
101,28,33,70811,5581.0,2979.0,2045.0,186.0,4246,1308,143
102,28,33,70812,5979.0,4037.0,1697.0,662.0,4313,960,546
103,28,33,70821,5138.0,4417.0,507.0,62.0,3790,405,62
104,28,33,70822,5037.0,3408.0,1215.0,617.0,3504,911,347
105,28,33,70830,6028.0,4095.0,1523.0,614.0,4401,1122,410
106,28,33,70900,4340.0,3395.0,847.0,57.0,3284,760,16
107,28,33,71000,9328.0,8441.0,537.0,118.0,7023,431,99
108,28,33,71110,6859.0,6332.0,362.0,247.0,4900,348,140
109,28,33,71120,6951.0,5642.0,1262.0,497.0,5265,1150,228
110,28,33,71200,3499.0,2997.0,418.0,54.0,2680,270,39
111,28,35,200,2895.0,1748.0,992.0,142.0,2372,877,66
112,28,35,300,3789.0,1089.0,2503.0,153.0,3080,1897,153
113,28,35,500,1503.0,460.0,979.0,285.0,1025,728,106
114,28,35,600,7259.0,466.0,6674.0,31.0,5240,4674,31
115,28,35,700,2929.0,2316.0,542.0,148.0,2546,387,148
116,28,35,800,5509.0,4116.0,1381.0,30.0,4372,643,30
117,28,35,900,4041.0,2136.0,1617.0,149.0,3847,1480,119
118,28,35,1000,4318.0,2136.0,1853.0,228.0,3595,1278,228
119,28,35,1100,3810.0,847.0,2781.0,42.0,2977,2029,42
120,28,35,10101,6166.0,5263.0,798.0,329.0,4290,520,116
121,28,35,10102,6143.0,5880.0,189.0,149.0,4428,125,33
122,28,35,10200,6824.0,3957.0,2735.0,36.0,5023,1751,36
123,28,35,10300,3933.0,2851.0,584.0,250.0,2819,393,166
124,28,35,10400,3392.0,2713.0,478.0,158.0,2521,278,88
125,28,35,10500,3857.0,1627.0,2171.0,149.0,2932,1655,42
126,28,35,10600,8258.0,7913.0,210.0,183.0,6008,173,133
127,28,35,10700,1641.0,123.0,1423.0,66.0,1346,1146,66
128,28,37,950100,5273.0,3893.0,1368.0,43.0,3943,901,43
129,28,37,950200,2584.0,1104.0,1448.0,0.0,1977,1064,0
130,28,39,950101,5670.0,5472.0,132.0,54.0,4280,36,54
131,28,39,950102,4730.0,4354.0,156.0,124.0,3421,117,49
132,28,39,950200,2995.0,2104.0,741.0,190.0,2160,625,83
133,28,39,950301,6947.0,6144.0,608.0,153.0,5207,480,153
134,28,39,950302,2762.0,2553.0,195.0,0.0,1950,106,0
135,28,41,950100,7836.0,5088.0,2648.0,90.0,6511,2521,90
136,28,41,950200,6293.0,5091.0,999.0,48.0,4710,645,16
137,28,43,950100,6272.0,4115.0,2115.0,0.0,4371,1418,0
138,28,43,950200,4843.0,3396.0,1427.0,0.0,3936,1181,0
139,28,43,950300,2870.0,417.0,2447.0,10.0,2156,1752,10
140,28,43,950400,2782.0,499.0,2275.0,15.0,2129,1672,15
141,28,43,950500,4824.0,3564.0,1153.0,0.0,3822,832,0
142,28,45,30100,4697.0,3882.0,672.0,57.0,3998,608,57
143,28,45,30200,5712.0,4689.0,910.0,102.0,4457,717,65
144,28,45,30300,10514.0,8436.0,1630.0,329.0,7355,794,201
145,28,45,30400,2482.0,1926.0,509.0,94.0,1970,414,84
146,28,45,30500,8359.0,8089.0,91.0,445.0,6611,91,279
147,28,45,30601,7625.0,7006.0,217.0,33.0,5771,125,33
148,28,45,30602,6238.0,5658.0,143.0,577.0,5149,143,450
149,28,47,100,334.0,198.0,23.0,0.0,290,23,0
150,28,47,300,2030.0,377.0,1277.0,189.0,1363,740,110
151,28,47,600,1207.0,1050.0,68.0,37.0,1029,68,37
152,28,47,900,3625.0,2631.0,649.0,367.0,3299,528,366
153,28,47,1201,4466.0,3248.0,627.0,335.0,3353,445,237
154,28,47,1202,6121.0,3746.0,1790.0,604.0,4835,1407,438
155,28,47,1300,2797.0,1609.0,835.0,315.0,2248,572,261
156,28,47,1400,1934.0,1582.0,310.0,81.0,1534,186,57
157,28,47,1501,3535.0,2733.0,762.0,220.0,2806,509,182
158,28,47,1502,5218.0,3790.0,849.0,663.0,4026,600,594
159,28,47,1600,3331.0,3156.0,0.0,66.0,2624,0,41
160,28,47,1700,5464.0,3300.0,1864.0,112.0,4330,1364,34
161,28,47,1800,2500.0,388.0,2098.0,96.0,1775,1479,43
162,28,47,1900,2999.0,2098.0,888.0,415.0,2309,602,396
163,28,47,2000,3346.0,1733.0,1444.0,263.0,2497,1064,179
164,28,47,2300,2046.0,663.0,1295.0,28.0,1547,960,28
165,28,47,2400,3928.0,698.0,3107.0,205.0,2807,2248,126
166,28,47,2500,1879.0,1615.0,140.0,357.0,1435,115,204
167,28,47,2600,3534.0,859.0,2545.0,17.0,2694,1944,17
168,28,47,2700,5843.0,4584.0,804.0,159.0,4383,451,116
169,28,47,2800,2513.0,2283.0,131.0,184.0,1998,103,77
170,28,47,2900,1411.0,1107.0,197.0,76.0,1236,153,43
171,28,47,3000,3692.0,2268.0,1108.0,0.0,2574,709,0
172,28,47,3101,7410.0,5555.0,1444.0,327.0,5671,845,201
173,28,47,3102,7419.0,6417.0,624.0,330.0,5740,498,149
174,28,47,3204,3663.0,2261.0,1390.0,364.0,2837,1156,273
175,28,47,3205,6694.0,4432.0,2172.0,16.0,4923,1623,16
176,28,47,3206,9289.0,5982.0,2552.0,340.0,6185,1698,154
177,28,47,3207,6005.0,3054.0,2542.0,331.0,4515,1755,261
178,28,47,3208,4387.0,2301.0,1756.0,536.0,3283,1188,368
179,28,47,3301,9024.0,6029.0,1686.0,614.0,6865,1186,321
180,28,47,3303,6215.0,4411.0,877.0,443.0,4905,702,382
181,28,47,3304,4196.0,3164.0,546.0,243.0,3464,341,209
182,28,47,3402,12602.0,9609.0,1386.0,251.0,8713,880,166
183,28,47,3403,2029.0,1966.0,0.0,88.0,1513,0,56
184,28,47,3404,5127.0,4843.0,112.0,32.0,3962,88,32
185,28,47,3501,9217.0,8332.0,415.0,154.0,6857,221,128
186,28,47,3502,6047.0,5722.0,132.0,56.0,4290,98,56
187,28,47,3504,6592.0,5423.0,870.0,93.0,5147,516,74
188,28,47,3505,7597.0,5636.0,1701.0,702.0,5570,1156,253
189,28,47,3600,1064.0,352.0,452.0,109.0,815,337,98
190,28,47,3700,3273.0,1924.0,1050.0,367.0,2437,661,254
191,28,47,3800,1255.0,996.0,187.0,133.0,1040,158,91
192,28,47,3900,3314.0,2055.0,928.0,282.0,2629,653,248
193,28,47,980000,96.0,51.0,45.0,43.0,96,45,43
194,28,49,100,4809.0,2865.0,1774.0,40.0,3612,1091,24
