rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,30,1,100,1255.0,1231.0,7.0,33.0,1080,7,28
1,30,1,200,3379.0,3244.0,5.0,76.0,2728,5,76
2,30,1,300,4657.0,4377.0,0.0,236.0,3667,0,151
3,30,3,100,4841.0,2974.0,0.0,425.0,3277,0,221
4,30,3,940400,1709.0,164.0,0.0,54.0,983,0,22
5,30,3,940500,1194.0,426.0,12.0,42.0,779,12,29
6,30,3,940600,3518.0,531.0,0.0,150.0,2307,0,62
7,30,3,940700,1879.0,276.0,0.0,15.0,1415,0,15
8,30,5,100,1309.0,822.0,0.0,11.0,925,0,5
9,30,5,200,2396.0,2260.0,11.0,64.0,1892,11,54
10,30,5,940100,1412.0,41.0,5.0,80.0,862,5,31
11,30,5,940200,1481.0,38.0,0.0,1.0,946,0,1
12,30,7,100,2146.0,1989.0,0.0,59.0,1503,0,49
13,30,7,200,3546.0,3414.0,35.0,30.0,2952,0,30
14,30,9,100,2367.0,2310.0,0.0,55.0,1916,0,38
15,30,9,200,2127.0,2002.0,0.0,100.0,1669,0,88
16,30,9,300,2294.0,2221.0,1.0,74.0,1893,1,21
17,30,9,400,2059.0,2011.0,0.0,6.0,1727,0,6
18,30,9,500,1421.0,1357.0,0.0,12.0,1128,0,11
19,30,11,300,1227.0,1210.0,0.0,8.0,991,0,6
20,30,13,100,2495.0,2320.0,0.0,162.0,2052,0,162
21,30,13,200,3762.0,3414.0,57.0,77.0,2987,57,77
22,30,13,300,3695.0,2985.0,22.0,235.0,2856,22,90
23,30,13,400,1991.0,1580.0,5.0,150.0,1525,5,134
24,30,13,700,2155.0,1446.0,120.0,258.0,1638,120,76
25,30,13,800,1792.0,1544.0,14.0,184.0,1429,14,113
26,30,13,900,3279.0,2782.0,79.0,109.0,2480,79,101
27,30,13,1000,3106.0,2953.0,16.0,9.0,2541,16,9
28,30,13,1100,4396.0,4072.0,74.0,117.0,3378,74,83
29,30,13,1200,3651.0,2861.0,429.0,559.0,2491,304,326
30,30,13,1600,4673.0,4153.0,3.0,199.0,3306,3,147
31,30,13,1700,2216.0,2059.0,0.0,87.0,1785,0,87
32,30,13,1800,3637.0,3157.0,10.0,167.0,2787,10,128
33,30,13,1900,6211.0,5751.0,0.0,17.0,4758,0,0
34,30,13,2100,4722.0,4291.0,4.0,65.0,3759,0,27
35,30,13,2200,6446.0,5743.0,37.0,374.0,5384,12,224
36,30,13,2300,7509.0,7021.0,57.0,145.0,5568,57,58
37,30,13,10100,3653.0,3337.0,0.0,0.0,2795,0,0
38,30,13,10400,1808.0,1755.0,0.0,9.0,1381,0,9
39,30,13,10600,3616.0,3410.0,7.0,57.0,2921,7,44
40,30,13,10700,4360.0,3951.0,33.0,81.0,3485,33,71
41,30,13,10800,2917.0,2189.0,53.0,180.0,2223,53,95
42,30,15,10200,1980.0,1927.0,0.0,11.0,1643,0,11
43,30,15,10300,3875.0,2529.0,4.0,111.0,2738,4,59
44,30,17,961300,2059.0,2003.0,0.0,11.0,1674,0,11
45,30,17,961500,1706.0,1588.0,0.0,68.0,1315,0,48
46,30,17,961600,2389.0,2258.0,8.0,110.0,1827,5,60
