rn,state,cid,tract,bgroup,pop,black,hispanic,total_vap,black_vap,hispanic_vap
0,37,1,20100,1,1360,223,117,1060,147,75
1,37,1,20100,2,1210,94,72,951,69,40
2,37,1,20100,3,825,426,130,565,266,80
3,37,1,20100,4,513,140,109,429,105,78
4,37,1,20200,1,956,240,268,718,175,163
5,37,1,20200,2,670,252,158,523,201,98
6,37,1,20200,3,969,248,320,682,172,172
7,37,1,20200,4,1557,499,475,1149,387,282
8,37,1,20300,1,974,315,296,709,236,172
9,37,1,20300,2,1231,566,223,927,408,123
10,37,1,20300,3,1978,695,538,1446,499,312
11,37,1,20300,4,1580,502,430,1109,323,241
12,37,1,20300,5,2300,491,1099,1528,334,621
13,37,1,20400,1,2011,927,305,1402,654,167
14,37,1,20400,2,1501,825,394,1016,578,206
15,37,1,20400,3,729,544,132,565,440,78
16,37,1,20400,4,796,560,187,625,464,115
17,37,1,20400,5,1022,813,149,793,665,77
18,37,1,20501,1,2146,201,154,1729,144,90
19,37,1,20501,2,1429,317,186,1105,263,108
20,37,1,20502,1,2281,878,546,1515,585,300
21,37,1,20502,2,852,390,144,664,326,76
22,37,1,20502,3,649,292,146,473,223,84
23,37,1,20601,1,921,13,23,770,11,15
24,37,1,20601,2,908,18,16,716,8,11
25,37,1,20601,3,1405,61,47,1129,47,26
26,37,1,20602,1,623,65,78,467,51,42
27,37,1,20602,2,1791,82,37,1516,63,25
28,37,1,20701,1,896,139,63,788,115,41
29,37,1,20701,2,1187,78,55,989,59,33
30,37,1,20701,3,1214,211,75,955,157,47
31,37,1,20701,4,1222,172,45,956,134,34
32,37,1,20702,1,1352,264,190,1054,185,131
33,37,1,20702,2,1100,239,79,859,170,50
34,37,1,20702,3,1314,429,144,961,299,87
35,37,1,20702,4,976,185,56,745,133,36
36,37,1,20801,1,739,176,131,553,108,78
37,37,1,20801,2,711,25,67,590,18,36
38,37,1,20802,1,725,255,160,594,209,115
39,37,1,20802,2,1154,351,402,830,273,237
40,37,1,20802,3,1284,445,262,902,292,149
41,37,1,20802,4,929,331,237,637,215,137
42,37,1,20802,5,674,176,183,506,124,111
43,37,1,20802,6,1091,268,204,840,195,114
44,37,1,20901,1,1089,145,86,873,112,48
