rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,37,1,20100,4108.0,2424.0,939.0,726.0,3255,771,421
1,37,1,20200,3857.0,1588.0,1334.0,961.0,2930,1108,532
2,37,1,20300,7901.0,4329.0,2561.0,2414.0,5717,1836,1308
3,37,1,20400,6540.0,1372.0,3927.0,1199.0,4737,3251,523
4,37,1,20501,3673.0,2508.0,483.0,634.0,3008,378,349
5,37,1,20502,3647.0,1718.0,1170.0,935.0,2652,918,556
6,37,1,20601,2975.0,2887.0,23.0,6.0,2518,23,6
7,37,1,20602,2551.0,2198.0,241.0,128.0,2193,169,128
8,37,1,20701,4361.0,3384.0,521.0,310.0,3536,362,233
9,37,1,20702,4559.0,2485.0,1700.0,407.0,3511,1162,238
10,37,1,20801,1629.0,1212.0,243.0,185.0,1242,120,93
11,37,1,20802,6108.0,3538.0,1912.0,1293.0,4297,1245,810
12,37,1,20901,3694.0,2702.0,317.0,1392.0,2518,243,633
13,37,1,20902,3493.0,2817.0,212.0,577.0,2702,189,400
14,37,1,21000,3644.0,1828.0,1062.0,674.0,2721,783,491
15,37,1,21101,2854.0,1954.0,650.0,279.0,2094,496,123
16,37,1,21102,3531.0,2526.0,629.0,267.0,2651,418,183
17,37,1,21201,5318.0,3063.0,1309.0,1108.0,3866,997,644
18,37,1,21204,4474.0,3539.0,489.0,674.0,3284,424,408
19,37,1,21205,5142.0,3548.0,1262.0,112.0,4084,1015,68
20,37,1,21206,5404.0,3547.0,1204.0,552.0,3803,883,227
21,37,1,21207,3322.0,2662.0,381.0,385.0,2594,290,204
22,37,1,21300,5919.0,3647.0,1750.0,344.0,4589,1450,196
23,37,1,21400,2569.0,2348.0,88.0,112.0,2089,88,65
24,37,1,21500,4815.0,4308.0,223.0,278.0,3794,181,233
25,37,1,21600,7428.0,6236.0,787.0,378.0,6270,698,282
26,37,1,21701,3173.0,2983.0,89.0,81.0,2639,89,54
27,37,1,21702,5118.0,4508.0,437.0,90.0,4385,437,90
28,37,1,21703,5666.0,3778.0,386.0,521.0,4340,386,404
29,37,1,21801,4610.0,4253.0,252.0,123.0,3377,242,97
30,37,1,21802,3766.0,3606.0,71.0,0.0,2852,71,0
31,37,1,21803,2928.0,2766.0,67.0,64.0,2328,59,30
32,37,1,21901,4292.0,3606.0,368.0,246.0,3321,253,75
33,37,1,21902,4373.0,3899.0,332.0,222.0,3421,269,139
34,37,1,22001,3388.0,2869.0,277.0,204.0,2776,253,139
35,37,1,22002,4428.0,3255.0,756.0,551.0,3452,440,412
36,37,3,40100,3387.0,3339.0,40.0,3.0,2518,40,3
37,37,3,40200,3898.0,3860.0,21.0,67.0,3060,21,67
38,37,3,40300,2953.0,2632.0,259.0,16.0,2433,139,16
39,37,3,40400,6945.0,5949.0,724.0,411.0,5474,715,218
40,37,3,40500,7141.0,5939.0,351.0,751.0,5501,273,417
41,37,3,40600,6346.0,5246.0,508.0,254.0,5156,508,163
42,37,3,40700,6488.0,6245.0,175.0,127.0,5063,122,45
43,37,5,950100,4115.0,3922.0,17.0,343.0,3348,12,156
44,37,5,950200,3982.0,3213.0,214.0,590.0,3095,144,411
45,37,5,950300,2814.0,2776.0,6.0,84.0,2428,6,84
46,37,7,920100,2822.0,1646.0,1116.0,0.0,2250,816,0
47,37,7,920200,1689.0,890.0,744.0,0.0,1360,616,0
48,37,7,920300,7954.0,4722.0,2830.0,181.0,6429,2293,165
49,37,7,920400,2932.0,703.0,2138.0,91.0,2338,1730,34
50,37,7,920500,5865.0,2735.0,2945.0,230.0,4480,2077,156
51,37,7,920600,4873.0,1882.0,2984.0,388.0,3849,2357,290
52,37,9,970200,2831.0,2764.0,15.0,23.0,2321,14,22
53,37,9,970300,2476.0,2420.0,3.0,31.0,1956,3,10
54,37,9,970400,4159.0,3932.0,41.0,166.0,3348,31,117
55,37,9,970500,6693.0,5963.0,85.0,773.0,5500,85,566
56,37,9,970700,5826.0,5687.0,18.0,35.0,4833,18,23
57,37,9,970800,5129.0,4771.0,24.0,345.0,4114,24,211
58,37,11,930100,2970.0,2739.0,131.0,60.0,2559,106,47
59,37,11,930200,2899.0,2735.0,28.0,112.0,2503,28,71
60,37,11,930301,3216.0,3004.0,50.0,258.0,2660,44,144
61,37,11,930302,2938.0,2803.0,0.0,24.0,2370,0,18
62,37,11,930400,5672.0,4526.0,529.0,377.0,4754,524,317
63,37,13,930100,5842.0,3483.0,2108.0,787.0,4258,1541,244
64,37,13,930200,6663.0,5171.0,1409.0,569.0,5003,1025,473
65,37,13,930300,4193.0,2028.0,2081.0,200.0,3325,1646,124
66,37,13,930400,4560.0,2445.0,1737.0,690.0,3397,1131,421
67,37,13,930501,4687.0,3248.0,902.0,638.0,3931,717,401
68,37,13,930502,3906.0,2879.0,939.0,119.0,3091,691,105
69,37,13,930600,3318.0,3035.0,241.0,25.0,2614,110,25
70,37,13,930700,2747.0,2588.0,136.0,0.0,2357,136,0
71,37,13,930800,2478.0,1641.0,818.0,24.0,2081,650,24
72,37,13,930900,3930.0,3186.0,689.0,84.0,3405,626,46
73,37,13,931000,5237.0,3620.0,1514.0,370.0,3980,1102,185
74,37,15,960100,5163.0,2623.0,2450.0,21.0,4162,2028,16
75,37,15,960200,3938.0,1463.0,2457.0,14.0,3127,1829,4
76,37,15,960300,3525.0,792.0,2672.0,21.0,2900,2188,12
77,37,15,960400,7892.0,2551.0,5138.0,287.0,6497,4011,278
78,37,17,950100,5731.0,4178.0,1281.0,209.0,4620,1153,140
79,37,17,950200,2984.0,1568.0,1158.0,314.0,2399,872,227
80,37,17,950300,6504.0,4287.0,1398.0,1232.0,4732,980,692
81,37,17,950400,6356.0,2652.0,3426.0,167.0,4917,2394,68
82,37,17,950500,6915.0,4878.0,1851.0,354.0,5371,1354,166
83,37,17,950600,6230.0,2539.0,3114.0,347.0,5053,2510,283
84,37,19,20101,2906.0,1499.0,1181.0,325.0,2220,905,136
85,37,19,20102,3037.0,2359.0,307.0,232.0,2134,269,94
86,37,19,20103,8057.0,6666.0,856.0,594.0,6754,561,474
87,37,19,20104,6238.0,3705.0,1350.0,876.0,4435,915,373
88,37,19,20201,3654.0,2609.0,702.0,229.0,2767,600,127
89,37,19,20202,7107.0,5912.0,711.0,171.0,5722,500,120
90,37,19,20203,2556.0,2188.0,285.0,77.0,1938,213,68
91,37,19,20204,5932.0,5141.0,138.0,441.0,4635,134,289
92,37,19,20303,3000.0,2691.0,205.0,30.0,2517,156,17
93,37,19,20304,5823.0,5687.0,63.0,84.0,5526,63,70
