rn,D12,R12,D16,R16
0,2888,2144,2988,1886
1,5206,1238,4658,1222
2,987,570,996,528
5,1982,596,1831,637
6,526,1318,679,1059
7,2038,3376,2242,2950
8,483,899,523,874
9,550,549,607,569
10,339,755,381,771
11,1770,1078,1664,938
13,924,1731,1054,1800
14,941,432,834,423
15,753,683,741,671
16,667,1147,716,1183
17,1145,995,1047,1061
18,559,1195,602,1314
19,2098,2045,2445,2240
21,950,1459,954,1464
22,1280,880,1142,1037
23,365,1358,327,1448
24,627,1951,577,2043
25,832,1437,995,1485
26,1660,2726,1950,2830
27,881,1380,1036,1160
28,1380,2088,1782,2045
29,429,1936,403,2004
31,488,1661,411,1865
32,425,1593,450,1670
33,1852,3604,1828,3854
34,479,763,550,853
35,1078,1666,1085,1771
36,607,1744,720,2772
37,298,1088,480,2414
38,463,1161,361,1328
39,1085,1753,1680,4017
40,1024,2340,1264,4840
41,1286,4084,2496,9225
42,2006,6590,1804,7200
43,882,2578,706,2816
44,827,1431,1376,3326
45,312,667,795,2229
46,1142,518,798,526
47,412,336,634,475
48,2766,4437,3300,6102
49,1314,399,971,250
50,3630,1862,1984,1086
51,4242,1509,4077,2013
52,3895,8210,3345,9905
53,876,2001,873,2418
54,1320,2772,1112,3154
55,633,1025,579,1204
56,4252,8976,3492,9072
57,1360,2538,1046,3132
58,2788,6860,2696,7680
59,1017,2217,975,2520
60,1380,4264,1068,4500
61,480,3232,264,3508
62,2430,8150,2290,8845
63,2054,2520,2112,2552
64,1492,2372,1432,2564
65,590,252,569,189
66,5664,2847,5844,2961
67,3279,5610,3069,5892
68,736,3544,540,3908
69,2535,8172,1965,9204
70,780,2228,892,2428
71,578,447,460,402
72,2060,1630,1624,1694
73,829,1276,771,1063
74,5256,6320,4212,6244
75,4545,2100,3711,2130
76,3872,632,3330,688
77,3254,1512,2996,1620
78,1180,2118,914,2356
79,1320,1498,1130,1878
80,2754,2852,2372,3224
81,9436,6124,8456,6196
82,3636,5313,3249,5271
83,2306,780,2200,1126
85,3934,3764,4306,5382
86,918,1328,998,1527
87,1270,714,1420,1567
88,675,887,0,0
91,2588,5136,2364,5848
92,665,1325,779,1638
93,989,1916,1510,2390
94,1087,1604,1319,2164
95,744,1050,891,1391
97,558,1060,593,1289
99,1760,3134,1758,3512
100,663,1472,568,1723
102,740,1145,663,1464
103,648,1176,594,1521
104,245,361,129,403
105,1546,2005,1483,2511
106,879,2000,809,2232
107,976,1738,903,2099
109,1023,2137,1070,2300
111,1051,2232,1189,2799
113,363,765,296,925
114,874,1377,748,1703
115,955,687,714,780
117,926,89,1065,98
118,1275,345,1362,427
119,2376,221,1751,150
120,1206,269,1118,187
121,835,234,904,242
122,5188,1158,5336,772
123,3254,598,3596,666
124,823,211,1563,270
125,1325,50,1240,104
126,1206,306,1541,254
127,5274,1116,5998,1158
128,3660,2104,3798,2230
129,1453,350,1428,371
130,3248,2120,3860,2314
131,1104,775,1174,666
132,944,590,1022,494
133,2586,1308,3204,1216
134,2922,1622,3404,1584
135,486,395,493,288
136,3852,2172,3720,2046
137,6280,2430,6636,2124
138,552,1021,1000,936
139,1191,440,1450,436
141,4770,4522,6508,4624
142,3348,3566,3562,3292
143,2598,2172,3300,1946
144,2376,2948,3406,3378
145,3098,3112,3458,3696
146,1141,1707,1214,2141
148,1085,1852,873,1766
149,0,0,200,353
150,4496,5190,4506,4968
151,726,551,847,654
152,3222,4929,3339,5394
153,795,1221,720,1302
154,1400,1677,2532,3052
156,923,1179,764,1241
157,1107,1242,1188,1155
158,2250,2388,2602,2092
159,895,1155,987,1265
160,673,1292,751,1536
161,3036,4188,2732,4890
162,626,970,615,1268
163,8565,7263,8421,7080
164,4314,3084,3196,3186
165,2868,2720,2898,2732
166,5226,4008,5211,3837
167,617,675,637,725
168,1968,1982,2226,1668
169,3486,5254,3248,4766
171,4437,6075,4779,6180
172,452,699,519,866
173,1758,3006,1332,3548
174,984,1334,822,1570
175,5331,5394,4539,6402
176,857,1194,665,1511
177,1564,2438,1124,3274
178,826,404,777,460
179,2236,1740,2076,1968
180,728,1195,596,1454
181,3486,6282,3069,7233
182,3753,7356,3117,8277
183,378,1222,252,1506
184,227,704,188,747
