rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,38,1,965600,2341.0,2183.0,31.0,26.0,1911,31,16
1,38,3,967900,1786.0,1765.0,0.0,4.0,1382,0,0
2,38,3,968000,2723.0,2634.0,11.0,65.0,1994,11,22
3,38,3,968200,3028.0,2641.0,64.0,64.0,2630,64,64
4,38,3,968300,3560.0,3448.0,29.0,41.0,2893,29,23
5,38,5,940100,2519.0,433.0,0.0,72.0,1443,0,29
6,38,5,940200,2134.0,366.0,0.0,70.0,1344,0,22
7,38,5,956500,1227.0,1197.0,0.0,8.0,950,0,3
8,38,5,956600,914.0,906.0,0.0,1.0,747,0,1
9,38,7,963100,969.0,888.0,8.0,42.0,805,8,16
10,38,9,952300,2450.0,2152.0,43.0,52.0,1979,43,35
11,38,9,952400,2279.0,2229.0,0.0,1.0,1851,0,0
12,38,9,952500,1905.0,1852.0,16.0,66.0,1462,12,35
13,38,11,965200,1896.0,1806.0,1.0,112.0,1467,1,54
14,38,11,965300,1325.0,1272.0,3.0,30.0,977,1,17
15,38,13,953300,2208.0,2161.0,1.0,117.0,1633,1,74
16,38,15,10100,3282.0,2920.0,51.0,134.0,2727,51,56
17,38,15,10200,5228.0,4717.0,86.0,51.0,4279,86,43
18,38,15,10300,6701.0,6545.0,43.0,43.0,5425,29,43
19,38,15,10400,3750.0,3563.0,61.0,114.0,3022,29,63
20,38,15,10500,5059.0,4763.0,114.0,29.0,4016,114,29
21,38,15,10600,4592.0,3670.0,43.0,67.0,3413,43,0
22,38,15,10700,4298.0,4166.0,7.0,65.0,3428,7,53
23,38,15,10800,4060.0,3544.0,5.0,33.0,3339,5,25
24,38,15,10900,4626.0,4237.0,100.0,160.0,3940,78,143
25,38,15,11001,5388.0,4792.0,103.0,100.0,4179,103,46
26,38,15,11002,6337.0,5920.0,44.0,119.0,4388,42,46
27,38,15,11101,5371.0,4694.0,45.0,199.0,4356,45,89
28,38,15,11103,3392.0,3180.0,30.0,37.0,2565,30,37
29,38,15,11104,4819.0,4565.0,0.0,41.0,3334,0,41
30,38,15,11105,4198.0,4055.0,0.0,17.0,2959,0,17
31,38,15,11200,6387.0,5936.0,71.0,210.0,5047,69,153
32,38,15,11300,6642.0,6204.0,3.0,79.0,4614,3,46
33,38,15,11400,2491.0,2398.0,0.0,15.0,1888,0,7
34,38,15,11500,1602.0,1571.0,0.0,29.0,1282,0,12
35,38,17,100,4979.0,4789.0,3.0,0.0,3672,0,0
36,38,17,201,3517.0,3311.0,0.0,102.0,2953,0,93
37,38,17,202,3376.0,2929.0,119.0,180.0,2683,100,128
38,38,17,300,5090.0,4351.0,184.0,81.0,4603,152,81
39,38,17,400,3799.0,3478.0,47.0,34.0,3251,47,9
40,38,17,501,3498.0,3196.0,37.0,45.0,3005,37,45
41,38,17,502,3116.0,2709.0,137.0,59.0,2894,137,59
42,38,17,600,5428.0,4435.0,230.0,45.0,4447,163,45
43,38,17,700,1922.0,1586.0,251.0,0.0,1876,217,0
44,38,17,801,3209.0,2924.0,0.0,145.0,2626,0,116
45,38,17,802,4775.0,4037.0,286.0,142.0,3955,208,94
46,38,17,901,5350.0,4839.0,204.0,134.0,3896,32,88
47,38,17,903,3841.0,3288.0,184.0,219.0,3227,140,111
48,38,17,904,3991.0,3738.0,21.0,12.0,3154,21,12
49,38,17,1001,5707.0,4944.0,113.0,375.0,4545,65,99
50,38,17,1002,2739.0,2574.0,71.0,133.0,2324,50,133
51,38,17,10106,4852.0,3684.0,358.0,262.0,4158,225,169
52,38,17,10107,3210.0,2422.0,296.0,227.0,2606,234,114
53,38,17,10108,5811.0,5047.0,476.0,38.0,4623,231,19
54,38,17,10109,4148.0,3694.0,12.0,169.0,3273,12,136
55,38,17,10201,5338.0,5110.0,0.0,9.0,4248,0,9
56,38,17,10203,2872.0,2624.0,115.0,34.0,2228,66,18
57,38,17,10204,7497.0,6515.0,516.0,0.0,5600,233,0
58,38,17,10303,6145.0,5586.0,62.0,189.0,4512,46,83
59,38,17,10305,6807.0,5711.0,640.0,272.0,5001,199,147
60,38,17,10306,4113.0,3615.0,244.0,316.0,3208,125,149
61,38,17,10307,2231.0,2168.0,11.0,10.0,1650,7,10
62,38,17,40100,2010.0,2004.0,0.0,9.0,1532,0,9
63,38,17,40200,2459.0,2401.0,12.0,7.0,1791,3,4
64,38,17,40300,3271.0,3208.0,0.0,8.0,2323,0,8
65,38,17,40400,4076.0,3847.0,116.0,31.0,2878,54,26
66,38,17,40500,30256.0,28674.0,416.0,456.0,21860,266,324
67,38,17,40600,3067.0,3016.0,5.0,62.0,2213,0,39
