rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,31,1,965400,4313.0,4198.0,39.0,63.0,3142,9,30
1,31,1,965500,4017.0,3881.0,82.0,117.0,2997,34,107
2,31,1,965600,5596.0,5276.0,35.0,295.0,4767,35,295
3,31,1,965700,1457.0,1329.0,4.0,356.0,1080,4,212
4,31,1,965800,2187.0,1931.0,0.0,307.0,1579,0,128
5,31,1,965900,4326.0,4149.0,40.0,456.0,3199,0,163
6,31,1,966000,4605.0,4268.0,50.0,322.0,3423,50,163
7,31,1,966100,2471.0,2431.0,13.0,746.0,1991,13,451
8,31,1,966200,2470.0,2384.0,40.0,41.0,1868,40,41
9,31,3,979600,2047.0,2013.0,0.0,106.0,1545,0,69
10,31,3,979700,1690.0,1670.0,4.0,32.0,1309,4,17
11,31,3,979800,2749.0,2685.0,4.0,48.0,2136,4,19
12,31,5,958300,448.0,443.0,0.0,0.0,311,0,0
13,31,7,954000,820.0,798.0,10.0,31.0,681,0,13
14,31,9,972400,551.0,544.0,0.0,0.0,408,0,0
15,31,11,960100,3522.0,3502.0,6.0,70.0,2697,6,37
16,31,11,960200,1851.0,1832.0,1.0,21.0,1429,1,10
17,31,13,951100,2083.0,2060.0,0.0,73.0,1589,0,49
18,31,13,951200,4994.0,4777.0,7.0,542.0,3782,7,348
19,31,13,951300,4233.0,3650.0,6.0,699.0,3073,6,386
20,31,15,975800,2039.0,1978.0,17.0,10.0,1555,0,5
21,31,17,975000,3078.0,3000.0,1.0,16.0,2418,1,10
22,31,19,968900,3525.0,3418.0,0.0,125.0,2565,0,67
23,31,19,969000,4164.0,4126.0,0.0,126.0,3079,0,72
24,31,19,969100,4819.0,4246.0,40.0,931.0,3414,5,596
25,31,19,969202,3743.0,3510.0,83.0,300.0,2983,83,207
26,31,19,969203,5874.0,5760.0,29.0,179.0,4387,21,96
27,31,19,969204,5130.0,4756.0,130.0,207.0,3826,41,111
28,31,19,969300,2299.0,2072.0,14.0,295.0,1716,0,178
29,31,19,969400,4036.0,3717.0,18.0,283.0,3228,18,134
30,31,19,969500,2307.0,2174.0,89.0,290.0,1837,79,160
31,31,19,969600,5798.0,5267.0,133.0,385.0,5053,122,347
32,31,19,969700,6263.0,5679.0,27.0,868.0,4654,27,466
33,31,21,963200,2249.0,2139.0,26.0,3.0,1656,15,3
34,31,21,963300,2451.0,2345.0,36.0,111.0,1862,15,70
35,31,21,963400,1947.0,1875.0,3.0,69.0,1641,3,27
36,31,23,967600,3135.0,3038.0,3.0,78.0,2453,3,48
37,31,23,967700,3131.0,3020.0,21.0,133.0,2316,21,76
38,31,23,967800,1990.0,1936.0,29.0,19.0,1539,12,12
39,31,25,965600,3844.0,3696.0,106.0,142.0,2970,60,85
40,31,25,965700,4705.0,4683.0,5.0,52.0,3490,4,11
41,31,25,965800,3269.0,3195.0,21.0,23.0,2545,0,7
42,31,25,965900,4757.0,4665.0,10.0,39.0,3549,7,18
43,31,25,966000,4179.0,3894.0,36.0,233.0,3193,36,120
44,31,25,966100,4606.0,4419.0,64.0,239.0,3362,64,174
45,31,27,977100,4485.0,4446.0,4.0,81.0,3377,1,40
46,31,27,977200,4190.0,4114.0,3.0,61.0,3145,3,30
47,31,29,961900,3897.0,3822.0,1.0,428.0,2972,0,277
48,31,31,955800,4178.0,3711.0,2.0,90.0,3265,2,85
49,31,31,955900,1592.0,1572.0,0.0,54.0,1293,0,50
50,31,33,954800,2900.0,2697.0,16.0,131.0,2269,2,64
51,31,33,954900,4333.0,4240.0,3.0,355.0,3155,3,199
52,31,33,955000,2844.0,2752.0,3.0,157.0,2229,3,125
53,31,35,962100,3681.0,3553.0,27.0,460.0,2741,13,250
54,31,35,962200,2701.0,2623.0,2.0,91.0,2088,2,54
55,31,37,964600,2405.0,2319.0,14.0,38.0,1940,14,14
56,31,37,964700,1760.0,1602.0,60.0,104.0,1328,60,71
57,31,37,964800,6357.0,5677.0,150.0,4390.0,4142,61,2542
58,31,39,972700,2666.0,2608.0,0.0,69.0,2007,0,47
59,31,39,972800,4300.0,4121.0,0.0,696.0,3202,0,372
60,31,39,972900,2112.0,1986.0,3.0,69.0,1647,3,39
61,31,41,971700,2778.0,2689.0,19.0,39.0,2185,11,21
62,31,41,971800,2786.0,2756.0,7.0,70.0,2145,0,30
63,31,41,971900,3812.0,3715.0,45.0,135.0,2835,11,107
64,31,41,972000,1426.0,1356.0,16.0,20.0,1125,12,6
65,31,43,10100,6574.0,3547.0,826.0,3054.0,4325,489,1779
66,31,43,10200,6707.0,4264.0,12.0,3230.0,4699,5,1861
67,31,43,10300,4114.0,3411.0,14.0,1166.0,3029,14,710
68,31,43,10400,3403.0,3027.0,8.0,275.0,2653,5,163
69,31,45,950600,3137.0,3006.0,11.0,63.0,2579,11,51
70,31,45,950700,5999.0,5153.0,37.0,317.0,4912,34,241
71,31,47,968000,2649.0,2427.0,17.0,348.0,1991,17,191
72,31,47,968100,1399.0,1365.0,0.0,132.0,1114,0,100
73,31,47,968200,3874.0,3794.0,5.0,134.0,2838,1,94
74,31,47,968300,4086.0,3866.0,97.0,591.0,3057,66,336
75,31,47,968400,5442.0,4516.0,347.0,3755.0,3539,180,2285
76,31,47,968500,5257.0,4178.0,656.0,2842.0,3708,491,1760
77,31,47,968600,1362.0,1329.0,0.0,64.0,1081,0,21
78,31,49,955400,1946.0,1867.0,0.0,170.0,1519,0,93
79,31,51,977600,2531.0,2492.0,1.0,83.0,1888,1,38
80,31,51,977800,3335.0,3114.0,22.0,603.0,2492,22,363
81,31,53,963600,4939.0,4702.0,27.0,219.0,3739,4,105
82,31,53,963700,2750.0,2734.0,0.0,0.0,2198,0,0
83,31,53,963800,5012.0,4804.0,4.0,406.0,4075,3,243
84,31,53,963900,4256.0,4166.0,50.0,781.0,3064,20,351
85,31,53,964000,3271.0,3045.0,0.0,470.0,2395,0,222
86,31,53,964100,4452.0,4377.0,0.0,95.0,3539,0,86
87,31,53,964200,4040.0,3721.0,72.0,647.0,3167,72,468
88,31,53,964300,4926.0,4746.0,0.0,533.0,3831,0,366
89,31,53,964400,3079.0,2897.0,27.0,868.0,2070,0,483
90,31,55,200,3394.0,2315.0,834.0,108.0,2545,620,102
91,31,55,300,2225.0,755.0,1242.0,314.0,1522,807,202
92,31,55,400,2151.0,1524.0,183.0,611.0,1437,111,351
93,31,55,500,2172.0,1466.0,466.0,175.0,1905,352,170
94,31,55,600,1223.0,481.0,541.0,65.0,833,385,33
