rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,33,1,965100,3285.0,3059.0,65.0,25.0,2684,65,5
1,33,1,965200,3010.0,2846.0,0.0,164.0,2263,0,33
2,33,1,965300,3315.0,3173.0,92.0,24.0,2626,0,24
3,33,1,965400,2981.0,2974.0,2.0,73.0,2467,2,25
4,33,1,965598,3592.0,3459.0,0.0,73.0,2954,0,13
5,33,1,965600,3779.0,3601.0,0.0,50.0,3147,0,50
6,33,1,965700,4602.0,4584.0,0.0,0.0,3560,0,0
7,33,1,965800,7325.0,7068.0,0.0,271.0,5828,0,242
8,33,1,965900,3827.0,3766.0,0.0,133.0,3165,0,107
9,33,1,966000,5471.0,5281.0,0.0,0.0,4171,0,0
10,33,1,966100,3703.0,3580.0,0.0,83.0,3047,0,83
11,33,1,966200,3074.0,2905.0,94.0,0.0,2478,94,0
12,33,1,966401,1190.0,1170.0,0.0,49.0,1069,0,11
13,33,1,966402,5950.0,5802.0,0.0,0.0,4859,0,0
14,33,1,966500,5295.0,4950.0,75.0,0.0,4125,75,0
15,33,3,955100,3860.0,3775.0,4.0,13.0,3278,4,13
16,33,3,955300,6320.0,6044.0,52.0,81.0,5122,28,14
17,33,3,955400,4059.0,3780.0,0.0,18.0,3217,0,13
18,33,3,955500,2843.0,2773.0,27.0,6.0,2385,20,0
19,33,3,955600,5206.0,5071.0,42.0,9.0,4472,39,5
20,33,3,955800,2654.0,2626.0,4.0,4.0,2190,0,4
21,33,3,955900,4287.0,4168.0,37.0,96.0,3442,16,96
22,33,3,956000,5844.0,5760.0,3.0,121.0,4970,3,95
23,33,3,956100,6234.0,6165.0,1.0,255.0,5173,1,174
24,33,3,956300,4024.0,3937.0,1.0,26.0,3352,1,26
25,33,3,956400,2182.0,2177.0,0.0,14.0,1775,0,6
26,33,5,970100,4218.0,4136.0,24.0,83.0,3425,5,45
27,33,5,970200,3711.0,3576.0,0.0,59.0,2894,0,24
28,33,5,970400,5182.0,5070.0,47.0,70.0,4302,9,65
29,33,5,970500,5371.0,5187.0,0.0,15.0,4231,0,15
30,33,5,970600,5907.0,5530.0,163.0,26.0,4658,106,26
31,33,5,970700,3574.0,3426.0,4.0,32.0,2851,4,23
32,33,5,970800,4115.0,3918.0,61.0,42.0,3280,61,42
33,33,5,970900,7221.0,6885.0,0.0,251.0,5946,0,212
34,33,5,971000,5780.0,5319.0,47.0,128.0,4595,47,43
35,33,5,971100,5375.0,5085.0,56.0,92.0,4461,56,65
36,33,5,971300,3001.0,2842.0,23.0,110.0,2479,23,75
37,33,5,971401,5430.0,5100.0,127.0,92.0,5018,127,73
38,33,5,971402,3817.0,3541.0,0.0,86.0,3146,0,25
39,33,5,971500,5494.0,5438.0,6.0,37.0,4281,6,37
40,33,5,971600,3965.0,3920.0,0.0,90.0,3146,0,31
41,33,5,971700,4269.0,4161.0,0.0,26.0,3318,0,26
42,33,7,950100,1908.0,1849.0,9.0,14.0,1698,6,11
43,33,7,950200,2920.0,2850.0,5.0,40.0,2403,5,21
44,33,7,950300,2070.0,2041.0,2.0,29.0,1734,2,27
45,33,7,950400,3510.0,3378.0,24.0,11.0,2727,18,0
46,33,7,950500,3410.0,3368.0,12.0,8.0,2659,10,0
47,33,7,950600,4138.0,3494.0,453.0,181.0,3474,453,159
48,33,7,950700,3171.0,3123.0,0.0,75.0,2625,0,28
49,33,7,950800,2271.0,2161.0,9.0,17.0,1901,9,17
50,33,7,950900,3110.0,3020.0,0.0,53.0,2531,0,13
51,33,7,951000,2250.0,2208.0,25.0,5.0,1871,5,4
52,33,7,951100,3112.0,2959.0,14.0,44.0,2591,14,44
53,33,9,960100,5929.0,5785.0,28.0,106.0,4692,28,76
54,33,9,960200,4303.0,4091.0,8.0,50.0,3432,8,33
55,33,9,960300,4811.0,4679.0,13.0,42.0,3914,13,34
56,33,9,960400,3663.0,3515.0,28.0,25.0,3080,11,17
57,33,9,960500,2411.0,2344.0,3.0,38.0,2004,3,24
58,33,9,960600,4656.0,4476.0,25.0,48.0,3861,25,37
59,33,9,960700,3220.0,3127.0,4.0,36.0,2610,0,28
60,33,9,960800,4977.0,4722.0,0.0,8.0,4219,0,1
61,33,9,960900,3290.0,3178.0,7.0,85.0,2680,7,34
62,33,9,961000,6825.0,6258.0,109.0,283.0,6011,107,223
63,33,9,961100,4370.0,4248.0,67.0,33.0,3594,67,23
64,33,9,961200,4170.0,4059.0,0.0,26.0,3354,0,22
65,33,9,961300,3378.0,3239.0,76.0,44.0,2638,0,26
66,33,9,961400,3898.0,3764.0,7.0,39.0,3121,7,21
67,33,9,961500,4557.0,4522.0,15.0,71.0,3741,15,46
68,33,9,961601,2988.0,2773.0,0.0,46.0,2277,0,38
69,33,9,961602,8360.0,6736.0,289.0,183.0,7480,289,181
70,33,9,961700,7405.0,6263.0,100.0,347.0,6162,82,237
71,33,9,961800,6130.0,5523.0,0.0,387.0,4933,0,291
72,33,11,101,2837.0,2573.0,61.0,108.0,2246,61,41
73,33,11,102,5085.0,4346.0,176.0,125.0,4557,171,74
74,33,11,202,2358.0,2151.0,91.0,73.0,1770,42,41
75,33,11,203,3133.0,2762.0,133.0,53.0,2882,82,53
76,33,11,204,5000.0,3739.0,362.0,362.0,4089,174,242
77,33,11,300,2775.0,2695.0,0.0,143.0,2175,0,137
78,33,11,600,2005.0,1871.0,71.0,69.0,1786,67,69
79,33,11,700,3054.0,2940.0,38.0,69.0,2533,8,52
80,33,11,800,2719.0,2361.0,145.0,161.0,2132,98,110
81,33,11,901,3414.0,3213.0,201.0,104.0,2746,113,104
82,33,11,902,6065.0,4983.0,491.0,387.0,4372,200,221
83,33,11,1000,5798.0,5396.0,0.0,116.0,4516,0,107
84,33,11,1100,5428.0,4926.0,349.0,198.0,4420,287,192
85,33,11,1200,1819.0,1779.0,9.0,207.0,1472,9,82
86,33,11,1300,2926.0,2441.0,209.0,667.0,2349,161,455
87,33,11,1400,2248.0,1583.0,334.0,419.0,1784,171,329
88,33,11,1500,2835.0,1963.0,390.0,802.0,1875,183,494
89,33,11,1600,4735.0,3471.0,324.0,1000.0,3587,210,676
90,33,11,1700,2251.0,2172.0,34.0,753.0,1649,34,465
