rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,34,1,100,2213.0,999.0,537.0,681.0,1610,417,434
1,34,1,200,3330.0,2115.0,342.0,602.0,2776,215,453
2,34,1,300,4428.0,1973.0,485.0,1693.0,3275,277,1227
3,34,1,400,2801.0,1744.0,349.0,988.0,2346,283,762
4,34,1,500,3199.0,1397.0,234.0,1104.0,2238,184,635
5,34,1,1100,1771.0,178.0,1469.0,153.0,1348,1123,76
6,34,1,1200,3389.0,385.0,2584.0,687.0,2539,2044,382
7,34,1,1300,1817.0,142.0,1464.0,219.0,1441,1163,142
8,34,1,1400,4056.0,727.0,2751.0,1162.0,2175,1540,458
9,34,1,1500,1589.0,194.0,1203.0,149.0,1230,895,136
10,34,1,1900,1757.0,774.0,653.0,784.0,1275,516,510
11,34,1,2300,2680.0,1291.0,218.0,1073.0,1899,137,680
12,34,1,2400,2423.0,1132.0,885.0,634.0,1986,607,477
13,34,1,2500,4094.0,1047.0,2194.0,543.0,3437,1773,525
14,34,1,10101,3297.0,3219.0,11.0,105.0,2730,1,86
15,34,1,10102,1848.0,1768.0,17.0,73.0,1625,17,51
16,34,1,10104,1535.0,1469.0,0.0,140.0,1401,0,89
17,34,1,10105,2667.0,2059.0,267.0,508.0,2300,175,295
18,34,1,10200,5930.0,5534.0,97.0,482.0,4778,97,297
19,34,1,10300,2464.0,1261.0,336.0,430.0,1936,315,270
20,34,1,10401,5455.0,4796.0,224.0,265.0,4178,139,143
21,34,1,10403,7236.0,3639.0,666.0,1365.0,5312,580,829
22,34,1,10501,7270.0,6469.0,346.0,719.0,6234,325,513
23,34,1,10503,8189.0,4398.0,2363.0,1708.0,5883,1442,964
24,34,1,10505,2400.0,2191.0,56.0,173.0,2036,45,112
25,34,1,10506,5261.0,3894.0,356.0,425.0,4173,306,295
26,34,1,10600,4246.0,2336.0,887.0,1302.0,3183,557,952
27,34,1,10700,6156.0,5170.0,430.0,997.0,4955,357,720
28,34,1,10800,3304.0,2809.0,102.0,517.0,2859,97,427
29,34,1,10900,5800.0,4952.0,319.0,1024.0,4531,194,616
30,34,1,11000,2469.0,2093.0,39.0,447.0,1995,39,313
31,34,1,11100,3162.0,2624.0,61.0,805.0,2408,61,569
32,34,1,11201,1891.0,1657.0,168.0,150.0,1463,100,90
33,34,1,11202,7558.0,5715.0,806.0,1045.0,5853,646,680
34,34,1,11300,4566.0,3461.0,157.0,1362.0,3595,147,993
35,34,1,11401,4539.0,4040.0,152.0,552.0,3661,152,412
36,34,1,11403,5735.0,2401.0,1837.0,1205.0,4526,1433,758
37,34,1,11404,10140.0,6217.0,1738.0,1495.0,7861,1397,983
38,34,1,11500,6447.0,4115.0,1706.0,876.0,4724,1058,630
39,34,1,11600,4965.0,4636.0,133.0,235.0,4039,112,165
40,34,1,11701,9478.0,3895.0,1246.0,2137.0,6948,817,1414
41,34,1,11702,3515.0,1612.0,720.0,923.0,2558,522,593
42,34,1,11802,16295.0,11402.0,1500.0,2504.0,12155,1290,1643
43,34,1,11803,4690.0,3294.0,424.0,1272.0,3514,267,691
44,34,1,11804,6874.0,6129.0,44.0,411.0,5128,44,280
45,34,1,11805,2190.0,1835.0,97.0,176.0,1628,61,126
46,34,1,11900,8050.0,3237.0,3072.0,3110.0,5940,2517,2200
47,34,1,12000,4682.0,2527.0,1221.0,1925.0,3587,1063,1233
48,34,1,12100,3137.0,1875.0,860.0,1506.0,2353,673,1015
49,34,1,12200,5191.0,2110.0,2670.0,1871.0,3767,1992,1195
50,34,1,12302,3346.0,2969.0,20.0,375.0,2474,20,237
