rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,35,1,107,2441.0,2313.0,32.0,481.0,2077,32,359
1,35,1,108,2991.0,2360.0,31.0,783.0,2327,31,584
2,35,1,109,2514.0,1903.0,86.0,555.0,2010,51,380
3,35,1,110,4136.0,3311.0,61.0,1372.0,3182,61,964
4,35,1,111,2793.0,2271.0,26.0,685.0,2191,26,562
5,35,1,112,2020.0,1742.0,62.0,375.0,1715,40,223
6,35,1,113,3520.0,2440.0,298.0,1018.0,2711,197,792
7,35,1,114,3210.0,2660.0,120.0,1362.0,2663,33,1097
8,35,1,115,3364.0,2419.0,238.0,978.0,2721,164,721
9,35,1,116,3065.0,2709.0,49.0,813.0,2392,49,517
10,35,1,117,2332.0,1840.0,56.0,690.0,1991,56,545
11,35,1,118,2608.0,2217.0,10.0,625.0,2176,10,596
12,35,1,119,1853.0,1627.0,70.0,504.0,1487,62,344
13,35,1,120,2638.0,1998.0,163.0,936.0,1989,102,624
14,35,1,121,6016.0,4603.0,420.0,2130.0,4788,302,1511
15,35,1,122,4120.0,3463.0,147.0,1471.0,3368,147,1055
16,35,1,123,4418.0,3355.0,116.0,1748.0,3536,116,1220
17,35,1,124,3649.0,2570.0,315.0,1373.0,3020,174,1117
18,35,1,125,3822.0,3282.0,32.0,972.0,3207,16,704
19,35,1,126,2739.0,2249.0,105.0,784.0,2222,88,520
20,35,1,127,3096.0,2437.0,51.0,1189.0,2414,51,829
21,35,1,128,3212.0,2036.0,165.0,1126.0,2497,124,767
22,35,1,129,4244.0,2936.0,404.0,1692.0,3486,339,1208
23,35,1,203,1891.0,1372.0,78.0,583.0,1560,76,443
24,35,1,204,2914.0,2166.0,82.0,1000.0,2388,54,741
25,35,1,205,2832.0,2437.0,108.0,1637.0,2294,108,1170
26,35,1,206,2988.0,2320.0,171.0,1089.0,2271,108,654
27,35,1,207,3093.0,2325.0,181.0,1303.0,2477,68,952
28,35,1,208,2690.0,1999.0,46.0,1524.0,2254,46,1195
29,35,1,300,5574.0,4282.0,95.0,1171.0,4916,73,935
30,35,1,401,4534.0,3509.0,100.0,1218.0,3682,66,895
31,35,1,402,3459.0,3007.0,123.0,836.0,2940,76,714
32,35,1,501,3070.0,1944.0,38.0,1241.0,2632,31,844
33,35,1,502,4611.0,3714.0,178.0,787.0,4215,168,661
34,35,1,601,3644.0,2611.0,301.0,992.0,3074,197,753
35,35,1,603,5581.0,3535.0,95.0,4130.0,3916,41,2851
36,35,1,604,4379.0,2389.0,108.0,2735.0,3399,98,1947
37,35,1,704,3574.0,2712.0,79.0,1446.0,2910,63,1085
38,35,1,707,6300.0,4154.0,464.0,4252.0,4455,414,2745
39,35,1,708,5646.0,3745.0,175.0,2504.0,4316,95,1739
40,35,1,710,6830.0,5395.0,167.0,2274.0,5418,153,1383
41,35,1,711,4740.0,3755.0,56.0,1110.0,3806,56,832
42,35,1,712,4313.0,2918.0,240.0,1648.0,3291,179,1073
43,35,1,713,6574.0,3872.0,715.0,2983.0,4527,513,1977
44,35,1,714,4714.0,3176.0,207.0,1704.0,3773,158,1244
45,35,1,801,4025.0,2939.0,389.0,609.0,2839,322,401
46,35,1,901,7191.0,3729.0,277.0,4970.0,5146,212,3406
47,35,1,903,5422.0,3602.0,382.0,2188.0,4380,330,1595
48,35,1,904,4172.0,2591.0,82.0,2005.0,3405,74,1498
49,35,1,1101,4351.0,3337.0,89.0,1052.0,3697,60,924
50,35,1,1102,3089.0,2263.0,157.0,1389.0,2270,107,842
51,35,1,1200,7195.0,4563.0,349.0,3753.0,5516,335,2421
52,35,1,1300,4415.0,2029.0,83.0,4173.0,3253,83,3032
53,35,1,1400,2782.0,1582.0,11.0,2290.0,2225,11,1736
54,35,1,1500,2395.0,1593.0,71.0,1322.0,1990,65,937
55,35,1,1600,2480.0,1735.0,27.0,529.0,2292,27,471
56,35,1,1700,4697.0,3491.0,75.0,1292.0,4240,75,1137
57,35,1,1800,2169.0,1182.0,76.0,857.0,2137,76,838
58,35,1,1900,1126.0,933.0,29.0,294.0,1046,29,262
59,35,1,2000,2127.0,1324.0,74.0,1269.0,1660,48,891
60,35,1,2100,1188.0,792.0,86.0,394.0,1070,86,352
61,35,1,2200,3145.0,2299.0,31.0,1368.0,2671,31,1038
62,35,1,2300,7944.0,4575.0,133.0,7113.0,5690,57,4990
63,35,1,2401,5114.0,3093.0,165.0,4092.0,3764,80,2908
64,35,1,2402,7184.0,3792.0,335.0,6272.0,5293,136,4617
65,35,1,2500,2600.0,1870.0,28.0,1791.0,2005,28,1338
66,35,1,2600,1022.0,820.0,0.0,535.0,907,0,465
67,35,1,2700,3747.0,2822.0,23.0,1850.0,3186,23,1499
68,35,1,2900,3984.0,2764.0,45.0,2518.0,3178,45,1931
69,35,1,3001,4798.0,3075.0,158.0,2898.0,3686,113,2042
70,35,1,3002,4126.0,3384.0,61.0,2234.0,3406,31,1801
71,35,1,3100,2700.0,2279.0,42.0,1157.0,2195,23,967
72,35,1,3201,2815.0,2276.0,58.0,1651.0,2349,46,1427
73,35,1,3202,6268.0,3525.0,12.0,4666.0,4496,12,3070
74,35,1,3400,4572.0,2793.0,258.0,2795.0,3094,224,1531
75,35,1,3501,5319.0,4465.0,39.0,3014.0,4261,28,2363
76,35,1,3502,5512.0,4711.0,0.0,1990.0,4589,0,1559
77,35,1,3600,6595.0,5423.0,18.0,3652.0,4986,18,2380
78,35,1,3707,4346.0,3430.0,30.0,1429.0,3725,27,1119
79,35,1,3712,5315.0,4401.0,354.0,1585.0,4122,146,1091
80,35,1,3714,7726.0,5686.0,383.0,3442.0,6754,367,3012
81,35,1,3715,3931.0,3367.0,29.0,923.0,3251,23,635
82,35,1,3717,5135.0,3710.0,38.0,1436.0,4212,38,993
83,35,1,3718,2605.0,1945.0,154.0,654.0,2160,148,374
84,35,1,3719,6045.0,4499.0,212.0,1957.0,4981,100,1624
85,35,1,3721,6265.0,5377.0,64.0,869.0,5297,35,632
86,35,1,3722,6579.0,5000.0,113.0,2021.0,4759,58,1402
87,35,1,3723,5775.0,4497.0,581.0,1720.0,4846,459,1222
88,35,1,3724,3427.0,2754.0,221.0,829.0,2778,118,686
