rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,32,1,950100,2598.0,2242.0,64.0,296.0,2096,47,185
1,32,1,950301,3873.0,2949.0,32.0,438.0,2872,32,270
2,32,1,950302,5101.0,4007.0,373.0,800.0,3907,228,489
3,32,1,950400,799.0,589.0,87.0,138.0,479,52,58
4,32,1,950500,1527.0,761.0,1.0,96.0,1162,0,56
5,32,1,950600,4788.0,4217.0,18.0,774.0,3692,18,394
6,32,1,950700,5566.0,5083.0,0.0,640.0,4309,0,442
7,32,3,101,6757.0,3826.0,404.0,4284.0,4975,298,2830
8,32,3,103,5676.0,2775.0,618.0,3589.0,3879,465,2028
9,32,3,105,4043.0,2588.0,101.0,2363.0,3003,57,1663
10,32,3,106,4370.0,3056.0,389.0,1618.0,3662,389,1199
11,32,3,107,3666.0,2267.0,321.0,1173.0,2891,215,859
12,32,3,108,3922.0,2242.0,150.0,2791.0,2834,136,1840
13,32,3,109,3787.0,2294.0,256.0,1950.0,2953,166,1528
14,32,3,201,4356.0,1524.0,1648.0,1875.0,3267,1340,1208
15,32,3,203,4246.0,2283.0,705.0,1576.0,3137,592,880
16,32,3,204,1103.0,740.0,37.0,324.0,893,37,198
17,32,3,301,2626.0,749.0,1279.0,951.0,2134,1088,669
18,32,3,302,4820.0,1017.0,2832.0,1499.0,3242,1912,969
19,32,3,401,2029.0,923.0,569.0,552.0,1794,538,380
20,32,3,402,3057.0,1414.0,424.0,2005.0,2156,353,1271
21,32,3,403,2319.0,993.0,581.0,958.0,1956,549,714
22,32,3,510,4473.0,2149.0,363.0,3658.0,3160,243,2588
23,32,3,513,4024.0,2795.0,270.0,2824.0,2672,234,1549
24,32,3,514,6663.0,2945.0,527.0,4618.0,4331,270,2827
25,32,3,515,4972.0,2952.0,272.0,3795.0,3412,231,2420
26,32,3,516,5509.0,2952.0,571.0,3312.0,3832,440,2049
27,32,3,517,5392.0,3033.0,549.0,3858.0,3741,415,2599
28,32,3,518,5553.0,3257.0,736.0,3408.0,3832,425,2190
29,32,3,519,4732.0,2533.0,118.0,3800.0,3264,85,2436
30,32,3,520,2173.0,1304.0,43.0,1854.0,1470,43,1191
31,32,3,521,3463.0,1690.0,334.0,2506.0,2249,221,1461
32,32,3,522,2667.0,1219.0,214.0,2091.0,1792,137,1340
33,32,3,523,2295.0,962.0,531.0,1177.0,1428,249,656
34,32,3,524,1781.0,893.0,135.0,1330.0,1091,110,747
35,32,3,525,2618.0,1245.0,360.0,2018.0,1949,296,1421
36,32,3,526,3005.0,1521.0,130.0,2334.0,2032,121,1392
37,32,3,527,3859.0,2120.0,449.0,2954.0,2562,242,1921
38,32,3,528,2978.0,1728.0,396.0,2247.0,1851,274,1307
39,32,3,600,2431.0,1148.0,463.0,1068.0,1971,374,738
40,32,3,700,4330.0,1893.0,1434.0,1029.0,4210,1390,960
41,32,3,800,1958.0,1201.0,273.0,576.0,1722,273,499
42,32,3,900,1101.0,762.0,159.0,81.0,1094,159,74
43,32,3,1003,4083.0,2545.0,367.0,1959.0,3204,279,1360
44,32,3,1004,7046.0,4024.0,677.0,2725.0,5691,663,1694
45,32,3,1005,1572.0,1337.0,59.0,203.0,1200,59,115
46,32,3,1006,4067.0,3044.0,369.0,703.0,3231,305,473
47,32,3,1100,2217.0,1143.0,334.0,1118.0,1760,280,777
48,32,3,1200,3821.0,2534.0,236.0,1596.0,2899,204,964
49,32,3,1300,5346.0,3354.0,120.0,3654.0,3945,49,2579
50,32,3,1401,2885.0,2043.0,80.0,1511.0,2106,69,1103
51,32,3,1402,4135.0,2875.0,263.0,2831.0,3173,65,2226
52,32,3,1501,2777.0,1551.0,620.0,961.0,2378,501,728
53,32,3,1502,3753.0,2510.0,307.0,1624.0,3350,307,1221
54,32,3,1607,4899.0,3285.0,409.0,1400.0,3610,336,934
55,32,3,1608,1619.0,973.0,53.0,841.0,1322,53,612
56,32,3,1609,4817.0,3073.0,262.0,3095.0,3738,262,2168
57,32,3,1610,3113.0,1835.0,38.0,1952.0,2159,27,1144
58,32,3,1611,4331.0,2547.0,198.0,2782.0,3323,87,1921
59,32,3,1612,6990.0,3629.0,1322.0,2938.0,5377,987,1927
60,32,3,1613,3956.0,2575.0,279.0,2079.0,2954,273,1365
61,32,3,1706,2938.0,2112.0,155.0,498.0,2583,123,317
62,32,3,1707,1502.0,1160.0,120.0,303.0,1259,99,192
63,32,3,1708,2952.0,1981.0,210.0,789.0,2543,186,638
64,32,3,1709,1542.0,1148.0,128.0,482.0,1202,116,272
65,32,3,1710,3816.0,1975.0,333.0,1745.0,3144,333,1314
66,32,3,1711,3700.0,2577.0,247.0,1018.0,3224,236,730
67,32,3,1712,3996.0,2461.0,586.0,1105.0,3303,414,750
68,32,3,1713,3105.0,2184.0,127.0,1332.0,2465,71,968
69,32,3,1714,3317.0,2528.0,66.0,1623.0,2651,55,1226
70,32,3,1715,2977.0,1609.0,92.0,1843.0,2169,67,1271
71,32,3,1716,1764.0,1152.0,33.0,1054.0,1301,24,696
72,32,3,1717,1412.0,1074.0,20.0,287.0,1168,20,210
73,32,3,1718,2494.0,1500.0,251.0,1381.0,1858,179,987
74,32,3,1801,6640.0,4325.0,492.0,3434.0,5457,414,2366
75,32,3,1803,2632.0,1630.0,209.0,1371.0,2126,164,1058
76,32,3,1804,3723.0,1861.0,283.0,2337.0,2668,189,1482
77,32,3,1901,5922.0,3627.0,353.0,3855.0,4162,252,2465
78,32,3,1902,3865.0,2831.0,208.0,2022.0,3140,148,1541
79,32,3,2000,4122.0,2847.0,464.0,876.0,3694,421,727
80,32,3,2201,4205.0,2658.0,497.0,1621.0,3383,359,1092
81,32,3,2203,5319.0,2061.0,488.0,3408.0,3522,259,1983
82,32,3,2204,4184.0,2540.0,323.0,3078.0,2587,173,1776
83,32,3,2206,3604.0,1828.0,245.0,2180.0,2754,209,1502
84,32,3,2207,4220.0,1289.0,482.0,3222.0,2388,304,1736
85,32,3,2302,905.0,719.0,21.0,155.0,863,21,149
86,32,3,2303,562.0,411.0,10.0,25.0,533,10,25
87,32,3,2403,3701.0,1951.0,839.0,1275.0,3197,721,973
88,32,3,2404,4729.0,2262.0,1393.0,2567.0,3070,924,1419
89,32,3,2405,4669.0,3010.0,618.0,2610.0,3270,442,1490
90,32,3,2406,2995.0,1852.0,480.0,863.0,2618,447,626
91,32,3,2501,6747.0,4442.0,431.0,3412.0,5468,383,2474
92,32,3,2504,3842.0,2657.0,520.0,1169.0,3413,472,940
93,32,3,2505,1734.0,1033.0,150.0,758.0,1374,111,545
94,32,3,2506,3706.0,2059.0,402.0,1562.0,2836,370,1017
95,32,3,2603,3758.0,2266.0,401.0,830.0,3494,374,748
96,32,3,2604,2049.0,1437.0,275.0,827.0,1945,275,770
97,32,3,2605,724.0,475.0,131.0,93.0,674,131,93
98,32,3,2706,3382.0,2375.0,300.0,1726.0,2802,268,1252
99,32,3,2707,3540.0,2703.0,249.0,1647.0,2751,131,1116
100,32,3,2708,2639.0,1035.0,1040.0,904.0,1741,532,651
101,32,3,2808,2009.0,1515.0,187.0,243.0,1706,150,180
102,32,3,2810,3480.0,2249.0,487.0,865.0,2821,453,663
103,32,3,2811,3953.0,3092.0,186.0,570.0,3156,131,371
104,32,3,2814,5110.0,3328.0,417.0,582.0,4305,391,347
105,32,3,2821,4770.0,3043.0,507.0,1274.0,4143,468,1034
106,32,3,2822,3984.0,2707.0,256.0,2299.0,2944,177,1526
107,32,3,2823,3570.0,2081.0,508.0,889.0,2936,377,617
108,32,3,2824,1780.0,1386.0,34.0,306.0,1515,14,203
109,32,3,2825,3141.0,2308.0,249.0,605.0,2601,221,450
110,32,3,2826,2970.0,2161.0,204.0,1023.0,2282,184,639
111,32,3,2827,2585.0,1653.0,306.0,744.0,2271,241,555
112,32,3,2828,3625.0,2486.0,261.0,591.0,2944,261,423
113,32,3,2829,4057.0,2990.0,145.0,1101.0,3220,134,766
114,32,3,2830,6164.0,4474.0,197.0,1549.0,4865,162,998
115,32,3,2831,3847.0,2543.0,274.0,1134.0,3265,257,949
116,32,3,2832,5831.0,4081.0,430.0,1355.0,4806,312,1067
117,32,3,2833,5634.0,3948.0,133.0,1088.0,4248,124,743
118,32,3,2834,6796.0,4853.0,607.0,1501.0,4983,412,900
119,32,3,2835,2628.0,1718.0,249.0,436.0,2206,172,379
120,32,3,2836,3810.0,2365.0,266.0,1295.0,2893,139,881
121,32,3,2837,5886.0,4625.0,115.0,1872.0,4793,94,1346
122,32,3,2838,4931.0,3845.0,261.0,998.0,4229,215,748
123,32,3,2841,2720.0,2142.0,101.0,252.0,2211,84,190
124,32,3,2842,5797.0,3113.0,217.0,1494.0,4104,160,1028
125,32,3,2843,9187.0,5190.0,803.0,1849.0,6359,528,1328
126,32,3,2844,6407.0,3919.0,689.0,948.0,4864,652,726
127,32,3,2845,4895.0,3521.0,476.0,1663.0,3472,291,996
128,32,3,2846,7756.0,4693.0,900.0,1547.0,5886,563,855
129,32,3,2847,3726.0,2443.0,515.0,1221.0,2769,304,793
130,32,3,2848,3411.0,2345.0,296.0,938.0,2854,229,757
131,32,3,2905,4853.0,2835.0,479.0,1000.0,3902,427,724
132,32,3,2915,4795.0,3399.0,419.0,750.0,4078,256,561
133,32,3,2916,2743.0,1915.0,376.0,342.0,2288,315,260
134,32,3,2919,3825.0,2439.0,306.0,878.0,3104,198,546
135,32,3,2935,1540.0,942.0,159.0,309.0,1262,78,212
136,32,3,2936,3354.0,1480.0,720.0,687.0,2787,480,546
137,32,3,2937,5129.0,2364.0,717.0,2182.0,4189,543,1572
138,32,3,2938,1442.0,947.0,167.0,154.0,1150,114,123
139,32,3,2939,1740.0,1359.0,72.0,140.0,1553,68,124
140,32,3,2940,3766.0,1703.0,545.0,536.0,3092,376,363
141,32,3,2941,4682.0,3225.0,473.0,1868.0,3670,438,1291
142,32,3,2942,4522.0,2802.0,404.0,935.0,3812,306,645
143,32,3,2944,3648.0,2065.0,215.0,549.0,3031,157,332
144,32,3,2946,2167.0,1356.0,130.0,402.0,1886,115,330
145,32,3,2947,2971.0,2214.0,23.0,326.0,2538,23,250
146,32,3,2948,3399.0,2266.0,150.0,1806.0,2599,123,1142
147,32,3,2949,3268.0,2065.0,191.0,1196.0,2844,165,915
148,32,3,2950,4681.0,2416.0,645.0,953.0,3720,503,724
149,32,3,2951,7360.0,4013.0,457.0,1205.0,6091,341,1001
150,32,3,2952,2720.0,1817.0,430.0,223.0,2247,334,144
151,32,3,2953,4632.0,3084.0,326.0,1049.0,3713,226,818
152,32,3,2954,3713.0,2428.0,193.0,1150.0,3091,160,807
153,32,3,2956,2531.0,1242.0,520.0,640.0,2246,409,570
154,32,3,2957,1902.0,1627.0,109.0,234.0,1688,98,213
155,32,3,2958,5757.0,2833.0,731.0,1456.0,4727,675,947
156,32,3,2961,2190.0,1598.0,210.0,250.0,1830,181,158
157,32,3,2962,1547.0,1069.0,271.0,253.0,1330,238,200
158,32,3,2964,4729.0,2464.0,913.0,1551.0,3675,719,977
159,32,3,2965,4191.0,3495.0,262.0,1813.0,3656,250,1389
160,32,3,2966,4712.0,2173.0,1358.0,1051.0,3797,1090,752
161,32,3,2967,3569.0,1755.0,934.0,756.0,3003,741,625
162,32,3,2968,2808.0,1492.0,395.0,411.0,2278,252,274
163,32,3,2969,1466.0,754.0,308.0,398.0,1212,246,315
164,32,3,2970,3847.0,1598.0,603.0,1055.0,3072,422,736
165,32,3,2974,5404.0,3269.0,613.0,910.0,4450,390,580
166,32,3,2975,6119.0,2803.0,839.0,1415.0,4846,531,1103
167,32,3,2976,4429.0,2674.0,208.0,490.0,3343,109,337
168,32,3,2977,3169.0,1996.0,152.0,665.0,2357,107,469
169,32,3,2978,3380.0,1910.0,340.0,708.0,2692,204,496
170,32,3,2979,2355.0,1632.0,168.0,539.0,1964,154,339
171,32,3,2980,6791.0,2546.0,647.0,701.0,4958,474,315
172,32,3,2981,4850.0,2412.0,427.0,1332.0,3594,306,708
173,32,3,2982,7064.0,3144.0,566.0,1697.0,5439,461,899
174,32,3,2983,3080.0,1243.0,595.0,519.0,2233,374,352
175,32,3,2984,5382.0,2367.0,419.0,1038.0,4200,383,786
176,32,3,2985,4485.0,2162.0,536.0,884.0,3400,300,629
177,32,3,2995,2683.0,1337.0,216.0,1316.0,2113,216,944
178,32,3,2996,5086.0,2791.0,278.0,2606.0,4012,232,1736
179,32,3,3001,3998.0,2875.0,106.0,1478.0,2987,72,977
180,32,3,3003,5508.0,3715.0,332.0,1661.0,4349,279,1092
181,32,3,3004,2266.0,1616.0,449.0,587.0,1851,353,411
182,32,3,3005,3437.0,2773.0,176.0,1102.0,2792,176,684
183,32,3,3006,3867.0,3185.0,162.0,1777.0,2778,150,903
184,32,3,3102,5470.0,3250.0,451.0,2651.0,3904,309,1662
185,32,3,3103,3643.0,2555.0,285.0,1381.0,2780,186,996
