rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,36,1,100,2001.0,503.0,1229.0,486.0,1387,868,238
1,36,1,200,4519.0,557.0,3750.0,534.0,3428,2812,340
2,36,1,300,5244.0,2541.0,1965.0,348.0,4177,1396,279
3,36,1,401,2423.0,2210.0,101.0,107.0,2244,101,107
4,36,1,403,4654.0,3247.0,741.0,391.0,4098,588,334
5,36,1,404,5033.0,3441.0,805.0,550.0,4994,775,550
6,36,1,501,3758.0,2138.0,983.0,784.0,2980,803,454
7,36,1,502,3747.0,2673.0,405.0,235.0,3450,345,208
8,36,1,600,3851.0,1372.0,1654.0,795.0,2758,945,535
9,36,1,700,3927.0,559.0,3139.0,590.0,2658,2096,408
10,36,1,800,2178.0,508.0,1262.0,321.0,1527,839,255
11,36,1,1100,1218.0,606.0,458.0,69.0,1131,417,62
12,36,1,1400,3330.0,2486.0,358.0,277.0,3203,358,277
13,36,1,1500,4614.0,3274.0,699.0,387.0,4246,642,386
14,36,1,1600,4210.0,3108.0,427.0,278.0,3638,394,222
15,36,1,1700,4870.0,3338.0,754.0,384.0,4192,606,310
16,36,1,1801,6875.0,5610.0,664.0,133.0,5952,495,85
17,36,1,1802,3988.0,3131.0,400.0,67.0,3509,352,56
18,36,1,1901,2544.0,2088.0,138.0,145.0,2132,138,107
19,36,1,1902,2720.0,2411.0,221.0,7.0,2180,140,7
20,36,1,2000,6980.0,3459.0,1818.0,951.0,5298,1309,397
21,36,1,2100,2954.0,1548.0,774.0,279.0,2483,547,254
22,36,1,2200,2424.0,1626.0,395.0,265.0,2190,252,171
23,36,1,2300,1988.0,617.0,987.0,292.0,1649,958,142
24,36,1,2500,2790.0,303.0,2210.0,229.0,2129,1639,160
25,36,1,2600,5628.0,1277.0,3141.0,504.0,4015,2182,246
26,36,1,12700,2309.0,2063.0,144.0,65.0,2070,112,52
27,36,1,12800,3806.0,3023.0,100.0,550.0,2897,90,251
28,36,1,12900,3296.0,2727.0,168.0,191.0,2481,122,144
29,36,1,13000,6870.0,6574.0,223.0,124.0,5842,142,124
30,36,1,13100,2629.0,2411.0,27.0,227.0,2063,11,98
31,36,1,13200,3343.0,2984.0,57.0,138.0,2583,41,75
32,36,1,13300,4845.0,3818.0,793.0,210.0,3826,508,187
33,36,1,13400,2053.0,1822.0,83.0,111.0,1661,71,93
34,36,1,13503,4601.0,3664.0,169.0,140.0,3543,131,119
35,36,1,13505,2625.0,2455.0,12.0,105.0,2167,12,95
36,36,1,13506,6651.0,4989.0,551.0,722.0,5264,395,435
37,36,1,13507,2432.0,1900.0,144.0,38.0,1979,102,38
38,36,1,13508,6755.0,5896.0,199.0,290.0,5322,137,227
39,36,1,13601,10073.0,8038.0,526.0,683.0,8334,346,463
40,36,1,13602,4269.0,2921.0,576.0,261.0,3337,318,125
41,36,1,13703,2568.0,1854.0,463.0,83.0,2180,430,83
42,36,1,13705,6250.0,5982.0,142.0,48.0,5306,82,20
43,36,1,13706,2165.0,1922.0,0.0,70.0,1591,0,60
44,36,1,13707,6070.0,5058.0,409.0,306.0,4864,255,222
45,36,1,13801,7601.0,6423.0,817.0,284.0,6005,585,130
46,36,1,13802,4459.0,4157.0,18.0,13.0,3451,18,13
47,36,1,13901,2525.0,2188.0,42.0,166.0,2003,42,126
48,36,1,13902,5373.0,4629.0,131.0,166.0,4409,131,91
49,36,1,14001,3993.0,2881.0,440.0,66.0,3497,310,51
50,36,1,14002,4340.0,3795.0,181.0,300.0,3596,123,191
51,36,1,14100,5089.0,4565.0,73.0,134.0,4013,73,104
52,36,1,14201,6023.0,5217.0,170.0,227.0,4543,170,122
53,36,1,14202,5850.0,5396.0,72.0,75.0,4611,45,75
54,36,1,14203,6331.0,5842.0,220.0,60.0,4796,111,60
55,36,1,14301,2855.0,2672.0,144.0,26.0,2307,139,4
56,36,1,14302,8282.0,7669.0,168.0,53.0,6232,130,33
57,36,1,14401,4168.0,4074.0,51.0,74.0,3412,51,56
58,36,1,14402,3289.0,2930.0,293.0,141.0,2537,197,45
59,36,1,14501,2433.0,2407.0,0.0,37.0,1979,0,37
60,36,1,14502,3500.0,3408.0,0.0,74.0,2729,0,74
61,36,1,14503,2820.0,2616.0,15.0,181.0,2159,15,115
62,36,1,14606,3640.0,3415.0,72.0,54.0,2773,72,30
63,36,1,14607,7851.0,7226.0,59.0,235.0,5985,59,194
64,36,1,14608,4136.0,3413.0,314.0,179.0,3725,288,171
65,36,1,14609,4807.0,3931.0,389.0,189.0,4031,237,43
66,36,1,14611,2017.0,1778.0,40.0,18.0,1567,32,18
67,36,1,14612,1610.0,1572.0,11.0,53.0,1281,3,18
68,36,1,14613,3325.0,3144.0,90.0,90.0,2711,69,90
69,36,1,14614,5392.0,4382.0,269.0,86.0,4145,244,86
70,36,1,14615,2897.0,1928.0,199.0,141.0,2429,85,73
71,36,1,14700,2769.0,2719.0,13.0,27.0,2120,13,11
72,36,1,14801,2823.0,2726.0,22.0,14.0,2301,22,14
73,36,1,14802,1797.0,1738.0,13.0,11.0,1428,5,5
74,36,1,14803,3390.0,3308.0,22.0,43.0,2769,11,43
75,36,3,940200,20.0,0.0,0.0,0.0,20,0,0
76,36,3,950100,2560.0,2460.0,0.0,50.0,1921,0,33
77,36,3,950300,4714.0,4478.0,97.0,60.0,3807,86,58
78,36,3,950400,3765.0,3696.0,10.0,62.0,2866,10,30
79,36,3,950500,3617.0,3538.0,2.0,57.0,2885,2,31
80,36,3,950600,3760.0,3602.0,46.0,30.0,2848,35,30
81,36,3,950700,3711.0,3613.0,25.0,36.0,3007,25,13
82,36,3,950800,6425.0,5503.0,426.0,248.0,5688,426,213
83,36,3,950900,3702.0,3613.0,15.0,41.0,2932,5,22
84,36,3,951000,3273.0,3232.0,23.0,29.0,2492,4,5
85,36,3,951100,3932.0,3852.0,19.0,80.0,3115,19,57
86,36,3,951200,4611.0,4500.0,14.0,33.0,3571,3,18
87,36,3,951300,3980.0,3895.0,0.0,8.0,2877,0,8
88,36,5,100,7703.0,763.0,4846.0,2307.0,7326,4543,2232
89,36,5,200,5403.0,2303.0,1127.0,4095.0,4239,924,3110
90,36,5,400,5915.0,2081.0,2112.0,3709.0,4516,1685,2804
91,36,5,1600,5879.0,2291.0,2199.0,3829.0,4390,1655,2847
92,36,5,1900,2591.0,494.0,890.0,1436.0,1962,698,1004
93,36,5,2000,8516.0,2628.0,3497.0,5200.0,6329,2762,3783
94,36,5,2300,4774.0,866.0,1981.0,2975.0,3362,1225,2262
95,36,5,2400,150.0,78.0,72.0,0.0,113,72,0
96,36,5,2500,5355.0,1208.0,1182.0,4096.0,3561,818,2696
97,36,5,2701,3016.0,522.0,1132.0,2051.0,1983,760,1316
98,36,5,2702,4778.0,774.0,1535.0,3408.0,3294,944,2401
99,36,5,2800,5299.0,172.0,4048.0,1217.0,4337,3381,1021
100,36,5,3100,1466.0,244.0,440.0,1060.0,1101,255,862
101,36,5,3300,3912.0,593.0,1590.0,2568.0,2515,898,1779
102,36,5,3500,3948.0,394.0,1176.0,2901.0,2766,899,1989
103,36,5,3700,246.0,93.0,44.0,142.0,224,34,130
104,36,5,3800,1193.0,377.0,545.0,634.0,933,440,471
105,36,5,3900,6614.0,1230.0,1297.0,5423.0,4610,843,3803
106,36,5,4001,1419.0,387.0,168.0,728.0,1097,154,569
107,36,5,4100,6476.0,1113.0,2081.0,4909.0,4445,1301,3459
108,36,5,4200,7120.0,1912.0,3793.0,3308.0,5601,2986,2610
109,36,5,4300,6057.0,798.0,1793.0,4487.0,4113,1154,3058
110,36,5,4400,4754.0,672.0,1975.0,2881.0,3517,1395,2204
111,36,5,4600,1869.0,572.0,763.0,1116.0,1301,543,799
112,36,5,4800,3999.0,439.0,1111.0,2866.0,2963,812,2127
113,36,5,5001,4885.0,587.0,1953.0,2852.0,3474,1422,2008
114,36,5,5002,5650.0,830.0,1147.0,4133.0,4136,823,3096
115,36,5,5100,5653.0,647.0,2136.0,3940.0,3939,1523,2605
116,36,5,5200,2277.0,471.0,628.0,1587.0,1646,488,1118
117,36,5,5300,3727.0,313.0,1987.0,1643.0,2526,1290,1194
118,36,5,5400,6219.0,1136.0,1622.0,4461.0,4656,1273,3271
119,36,5,5600,2468.0,366.0,710.0,1639.0,1831,526,1211
120,36,5,5902,3131.0,322.0,992.0,2205.0,2491,785,1735
121,36,5,6000,1256.0,164.0,277.0,872.0,940,184,665
122,36,5,6100,3706.0,189.0,2942.0,622.0,3316,2676,491
123,36,5,6200,7610.0,872.0,3162.0,5293.0,5532,2241,3986
124,36,5,6300,4431.0,1148.0,1160.0,3062.0,3524,943,2311
125,36,5,6400,3590.0,1008.0,1286.0,1968.0,2556,972,1488
126,36,5,6500,5487.0,802.0,1851.0,3321.0,3967,1209,2467
127,36,5,6700,7421.0,922.0,2393.0,4922.0,5068,1538,3380
128,36,5,6800,3288.0,382.0,1090.0,1943.0,2310,801,1377
129,36,5,6900,8554.0,950.0,3458.0,5027.0,5606,2097,3452
130,36,5,7000,4568.0,1036.0,1213.0,2928.0,3163,851,2021
131,36,5,7100,2547.0,239.0,1109.0,1546.0,1898,742,1228
132,36,5,7200,5822.0,1022.0,1124.0,2932.0,4186,639,2212
133,36,5,7300,3761.0,285.0,1378.0,2371.0,2522,1052,1458
134,36,5,7400,3635.0,1095.0,998.0,2645.0,2829,894,1933
135,36,5,7500,5599.0,528.0,2552.0,3291.0,3802,1542,2393
136,36,5,7600,5587.0,1264.0,1373.0,3558.0,3977,997,2565
137,36,5,7700,1933.0,275.0,513.0,1368.0,1405,421,962
138,36,5,7800,6518.0,1434.0,1339.0,4314.0,4659,927,3004
139,36,5,7900,6420.0,956.0,1655.0,4985.0,4488,1072,3607
140,36,5,8300,6882.0,590.0,1623.0,5445.0,4810,950,3823
141,36,5,8400,2289.0,612.0,922.0,1392.0,1691,688,1026
142,36,5,8500,5959.0,574.0,1386.0,4615.0,4281,1038,3213
143,36,5,8600,3874.0,1254.0,1091.0,2681.0,2887,810,2025
144,36,5,8700,6002.0,920.0,1538.0,4614.0,4490,1000,3616
145,36,5,8900,3438.0,458.0,1004.0,2746.0,2329,465,1985
146,36,5,9000,3476.0,1334.0,1161.0,2310.0,2666,800,1741
147,36,5,9200,5622.0,938.0,817.0,3423.0,4235,674,2452
148,36,5,9300,6517.0,1156.0,1830.0,4732.0,4825,1453,3374
149,36,5,9600,2562.0,526.0,561.0,1467.0,1946,358,1146
150,36,5,9800,5041.0,1840.0,1525.0,3534.0,4032,1189,2784
151,36,5,11000,153.0,0.0,0.0,153.0,141,0,141
152,36,5,11502,4566.0,974.0,1654.0,3079.0,3033,1036,2097
153,36,5,11700,1603.0,370.0,524.0,1155.0,1162,387,803
154,36,5,11800,5364.0,4390.0,101.0,1080.0,4561,93,806
155,36,5,11900,5603.0,692.0,1853.0,3856.0,3912,1193,2811
156,36,5,12101,3057.0,438.0,829.0,2225.0,2265,597,1628
157,36,5,12102,1835.0,272.0,427.0,1503.0,1309,296,1113
158,36,5,12300,4379.0,302.0,1465.0,2904.0,2997,1014,1990
159,36,5,12500,4272.0,513.0,1019.0,3032.0,2899,719,2038
160,36,5,12701,1992.0,359.0,482.0,1560.0,1486,378,1143
161,36,5,12901,4017.0,517.0,1701.0,2334.0,2706,1192,1446
162,36,5,13000,1364.0,953.0,106.0,562.0,1179,81,437
163,36,5,13100,4685.0,399.0,1360.0,3344.0,3149,872,2217
164,36,5,13200,7426.0,3806.0,980.0,3713.0,5962,865,2976
165,36,5,13300,7284.0,575.0,2423.0,5086.0,5565,1902,3879
166,36,5,13500,3908.0,367.0,1370.0,2423.0,2800,931,1727
167,36,5,13800,2989.0,2275.0,146.0,645.0,2397,103,546
168,36,5,14100,5355.0,861.0,2103.0,3279.0,3713,1449,2284
169,36,5,14300,968.0,136.0,408.0,447.0,689,266,322
170,36,5,14400,6049.0,1165.0,2772.0,3550.0,4201,1814,2385
171,36,5,14500,7360.0,476.0,2915.0,4441.0,4453,1756,2657
172,36,5,14701,7023.0,783.0,3563.0,3709.0,4590,2488,2207
173,36,5,14702,5243.0,442.0,2250.0,3116.0,3604,1421,2302
174,36,5,14900,4348.0,330.0,1719.0,2569.0,3039,1343,1687
175,36,5,15100,5458.0,580.0,2386.0,3106.0,3809,1651,2142
176,36,5,15200,2803.0,1111.0,330.0,1701.0,2177,199,1240
177,36,5,15300,4466.0,321.0,2327.0,2348.0,3021,1540,1627
178,36,5,15500,3178.0,268.0,641.0,2562.0,2313,456,1876
179,36,5,15700,4054.0,363.0,1365.0,2691.0,3092,1038,2039
180,36,5,15800,1202.0,713.0,76.0,596.0,913,38,401
181,36,5,15900,1420.0,329.0,162.0,1295.0,1143,114,1043
182,36,5,16000,4274.0,3337.0,32.0,986.0,3288,32,727
183,36,5,16100,4140.0,570.0,1303.0,2963.0,2896,987,1995
184,36,5,16200,1969.0,1326.0,141.0,785.0,1548,119,615
185,36,5,16300,0.0,0.0,0.0,0.0,0,0,0
186,36,5,16400,885.0,692.0,77.0,248.0,715,46,203
187,36,5,16500,1189.0,82.0,704.0,523.0,887,552,353
188,36,5,16600,2252.0,1097.0,181.0,1166.0,1806,145,844
189,36,5,16700,2733.0,199.0,1485.0,1234.0,1678,904,806
190,36,5,16900,1338.0,124.0,774.0,571.0,996,587,413
191,36,5,17100,0.0,0.0,0.0,0.0,0,0,0
192,36,5,17300,6301.0,806.0,1820.0,3859.0,4545,1287,2865
193,36,5,17500,7004.0,394.0,3371.0,4089.0,4724,2262,2687
194,36,5,17701,4946.0,226.0,1782.0,3098.0,3144,1256,1829
195,36,5,17702,5388.0,388.0,1720.0,3540.0,3842,1229,2432
196,36,5,17901,4661.0,423.0,1708.0,3221.0,3574,1242,2545
197,36,5,17902,3600.0,299.0,1498.0,2074.0,2603,1025,1533
198,36,5,18101,2921.0,173.0,1517.0,1507.0,2294,1139,1221
199,36,5,18102,5626.0,572.0,2102.0,3050.0,4206,1611,2233
200,36,5,18301,4202.0,486.0,1972.0,2375.0,3459,1681,2015
201,36,5,18302,4078.0,620.0,1256.0,2749.0,2974,782,2147
202,36,5,18400,3676.0,2428.0,179.0,1414.0,2911,143,976
203,36,5,18500,6885.0,421.0,3136.0,3681.0,4703,2292,2345
204,36,5,18900,8304.0,1334.0,2339.0,6172.0,5524,1663,3905
205,36,5,19300,5737.0,721.0,2761.0,3193.0,3965,2051,2068
206,36,5,19400,2231.0,885.0,356.0,1114.0,1761,310,817
207,36,5,19500,7622.0,956.0,2275.0,5578.0,5526,1749,3932
208,36,5,19700,7104.0,983.0,2147.0,4497.0,4839,1395,3156
209,36,5,19900,8015.0,1044.0,2516.0,5418.0,5653,1705,3885
210,36,5,20000,4722.0,747.0,318.0,2627.0,3404,224,2071
211,36,5,20100,4340.0,508.0,1394.0,2972.0,2949,976,1999
212,36,5,20200,2232.0,518.0,398.0,1266.0,1620,319,915
213,36,5,20400,3131.0,649.0,600.0,2145.0,2283,443,1541
214,36,5,20501,7030.0,548.0,2617.0,4906.0,4999,1910,3374
215,36,5,20502,2123.0,296.0,708.0,1360.0,1523,541,963
216,36,5,20601,2724.0,458.0,417.0,1094.0,2279,393,831
217,36,5,20900,4351.0,484.0,1456.0,2789.0,3269,1071,2165
218,36,5,21001,9254.0,856.0,5195.0,3575.0,7173,4458,2406
219,36,5,21002,6416.0,722.0,3477.0,1803.0,5351,2959,1496
220,36,5,21100,5506.0,603.0,2370.0,3200.0,3620,1466,2154
221,36,5,21200,5257.0,510.0,2013.0,1811.0,4228,1702,1535
222,36,5,21301,1194.0,120.0,283.0,942.0,861,226,661
223,36,5,21302,6061.0,600.0,3313.0,3033.0,4108,2281,2078
224,36,5,21501,4726.0,558.0,1236.0,3499.0,3077,844,2307
225,36,5,21502,6013.0,518.0,1444.0,4509.0,4254,1132,3101
