rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,39,1,770100,4699.0,4542.0,55.0,68.0,3532,55,51
1,39,1,770200,4966.0,4816.0,0.0,77.0,3612,0,46
2,39,1,770300,7019.0,6955.0,0.0,27.0,5091,0,27
3,39,1,770400,4697.0,4636.0,50.0,11.0,3655,50,11
4,39,1,770500,3301.0,3156.0,3.0,0.0,2602,3,0
5,39,1,770600,3547.0,3398.0,0.0,64.0,2781,0,27
6,39,3,10100,4433.0,4213.0,126.0,135.0,3366,104,26
7,39,3,10200,4105.0,4059.0,15.0,52.0,3134,15,45
8,39,3,10300,1533.0,1529.0,0.0,55.0,1201,0,25
9,39,3,10600,5052.0,4793.0,46.0,25.0,3726,33,18
10,39,3,10800,7673.0,7336.0,179.0,190.0,5858,172,108
11,39,3,10900,4796.0,4025.0,470.0,242.0,3890,418,128
12,39,3,11000,5796.0,4696.0,695.0,238.0,4549,538,172
13,39,3,11200,2635.0,1909.0,642.0,141.0,2368,642,84
14,39,3,11300,7419.0,6937.0,146.0,149.0,6143,146,118
15,39,3,11400,2988.0,2980.0,0.0,51.0,2414,0,9
16,39,3,11500,2748.0,2652.0,0.0,160.0,1943,0,73
17,39,3,11600,2768.0,2673.0,43.0,18.0,2251,43,18
18,39,3,11800,2606.0,2272.0,237.0,89.0,2139,202,81
19,39,3,11900,3025.0,2803.0,35.0,0.0,2480,35,0
20,39,3,12000,2243.0,2121.0,63.0,22.0,1763,27,22
21,39,3,12100,3467.0,3065.0,174.0,19.0,2629,116,14
22,39,3,12200,3559.0,2381.0,925.0,33.0,2365,613,21
23,39,3,12300,3855.0,3239.0,410.0,168.0,2929,322,77
24,39,3,12400,2630.0,1990.0,459.0,43.0,1869,296,43
25,39,3,12600,1969.0,1595.0,240.0,111.0,1572,183,43
26,39,3,12700,1898.0,1121.0,644.0,12.0,1203,381,0
27,39,3,12900,1483.0,935.0,369.0,60.0,1043,281,28
28,39,3,13000,4392.0,3606.0,522.0,217.0,3363,377,194
29,39,3,13100,2347.0,1968.0,306.0,218.0,1851,225,170
30,39,3,13200,1914.0,1158.0,608.0,47.0,1464,467,43
31,39,3,13300,1308.0,695.0,468.0,8.0,954,366,8
32,39,3,13400,2457.0,1532.0,775.0,76.0,1556,440,44
33,39,3,13600,1290.0,630.0,646.0,3.0,893,380,3
34,39,3,13700,1165.0,449.0,670.0,20.0,717,424,5
35,39,3,13800,2827.0,989.0,1624.0,19.0,1993,1050,19
36,39,3,13900,3347.0,3283.0,27.0,74.0,2630,14,53
37,39,3,14000,3413.0,3241.0,172.0,20.0,2712,67,11
38,39,3,14100,2055.0,1011.0,949.0,98.0,1528,603,72
39,39,5,970100,8296.0,8181.0,0.0,125.0,5688,0,48
40,39,5,970200,5818.0,5716.0,15.0,74.0,4242,13,28
41,39,5,970300,3942.0,3853.0,17.0,0.0,2818,0,0
42,39,5,970400,3657.0,3485.0,0.0,92.0,2862,0,75
43,39,5,970500,2888.0,2747.0,22.0,61.0,2287,18,51
44,39,5,970600,5265.0,4918.0,133.0,103.0,4484,133,85
45,39,5,970700,5424.0,5125.0,163.0,46.0,4366,95,46
46,39,5,970800,3974.0,3752.0,66.0,28.0,3189,66,20
47,39,5,970900,5174.0,5118.0,3.0,38.0,4063,3,5
48,39,5,971000,4945.0,4909.0,4.0,27.0,3910,4,15
49,39,5,971100,3806.0,3756.0,22.0,13.0,2971,12,10
50,39,7,101,4824.0,3755.0,951.0,281.0,4183,933,186
51,39,7,102,3306.0,3223.0,30.0,31.0,2594,30,31
52,39,7,103,3830.0,3701.0,44.0,22.0,2982,44,12
53,39,7,200,4262.0,4054.0,67.0,122.0,3374,28,45
54,39,7,300,2065.0,1892.0,61.0,51.0,1693,28,29
55,39,7,400,1783.0,1683.0,52.0,19.0,1437,49,19
56,39,7,500,4387.0,4135.0,111.0,107.0,3422,111,74
57,39,7,601,2638.0,2151.0,312.0,120.0,2115,254,62
58,39,7,602,3159.0,3022.0,20.0,47.0,2560,20,15
59,39,7,603,4275.0,3825.0,136.0,173.0,3226,101,109
60,39,7,701,3252.0,2451.0,545.0,291.0,2403,453,222
61,39,7,702,2512.0,2384.0,82.0,295.0,1999,82,148
62,39,7,703,3596.0,2902.0,429.0,317.0,2551,262,219
63,39,7,704,4259.0,3706.0,238.0,545.0,3271,192,237
64,39,7,801,1850.0,1818.0,0.0,91.0,1453,0,61
65,39,7,802,5476.0,5174.0,15.0,523.0,4106,15,282
66,39,7,900,4502.0,4426.0,23.0,120.0,3693,23,104
67,39,7,1001,5431.0,5316.0,88.0,41.0,4246,88,13
68,39,7,1002,3330.0,3275.0,8.0,81.0,2778,8,77
69,39,7,1101,2049.0,2049.0,0.0,15.0,1657,0,15
70,39,7,1102,5898.0,5817.0,30.0,106.0,4644,30,60
71,39,7,1200,7538.0,7398.0,88.0,37.0,5566,71,19
72,39,7,1301,3511.0,3245.0,10.0,24.0,2696,10,24
73,39,7,1302,4032.0,3841.0,7.0,225.0,2924,7,104
74,39,7,1400,8012.0,7805.0,52.0,71.0,5463,52,17
