rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,41,1,950100,2915.0,2799.0,14.0,171.0,2433,14,95
1,41,1,950200,3262.0,3173.0,0.0,173.0,2497,0,142
2,41,1,950300,2496.0,2351.0,0.0,31.0,1983,0,21
3,41,1,950400,2807.0,2691.0,0.0,0.0,2209,0,0
4,41,1,950500,2952.0,2676.0,22.0,213.0,2396,18,111
5,41,1,950600,1620.0,1550.0,5.0,15.0,1375,5,8
6,41,3,100,8034.0,7301.0,12.0,1117.0,6431,0,680
7,41,3,202,5190.0,4388.0,116.0,142.0,4203,116,115
8,41,3,400,7795.0,6598.0,0.0,311.0,6253,0,275
9,41,3,500,3237.0,2921.0,7.0,152.0,2645,7,110
10,41,3,600,4292.0,3503.0,213.0,386.0,3534,168,257
11,41,3,900,5419.0,4672.0,49.0,159.0,4623,49,105
12,41,3,1001,4085.0,3372.0,63.0,957.0,3232,38,546
13,41,3,1002,3213.0,2823.0,1.0,123.0,2826,1,108
14,41,3,1101,3677.0,2953.0,44.0,229.0,3601,44,223
15,41,3,1102,4746.0,3958.0,3.0,380.0,4422,3,308
16,41,3,10100,8507.0,8139.0,12.0,395.0,6550,0,223
17,41,3,10200,4348.0,3954.0,58.0,117.0,3436,42,92
18,41,3,10300,3280.0,3140.0,0.0,80.0,2656,0,50
19,41,3,10400,4189.0,3747.0,89.0,495.0,3008,45,243
20,41,3,10600,4896.0,4106.0,11.0,305.0,4725,0,305
21,41,3,10702,3248.0,2492.0,31.0,259.0,2987,25,226
22,41,3,10800,3792.0,3494.0,29.0,223.0,2927,0,130
23,41,3,10900,4547.0,4067.0,23.0,145.0,3676,23,117
24,41,5,20100,3872.0,3563.0,12.0,238.0,2934,12,145
25,41,5,20200,6473.0,5651.0,0.0,62.0,5077,0,48
26,41,5,20302,3884.0,3395.0,4.0,142.0,3103,4,115
27,41,5,20303,4885.0,4472.0,0.0,143.0,4153,0,125
28,41,5,20304,5826.0,4957.0,32.0,211.0,4187,14,183
29,41,5,20401,5017.0,4498.0,10.0,452.0,4038,10,275
30,41,5,20403,3279.0,3020.0,0.0,57.0,2475,0,27
31,41,5,20404,3736.0,3506.0,38.0,200.0,2789,0,92
32,41,5,20501,7096.0,6215.0,63.0,327.0,5401,39,185
33,41,5,20503,2235.0,2110.0,0.0,76.0,1697,0,53
34,41,5,20504,6678.0,5770.0,119.0,200.0,5182,90,165
35,41,5,20505,2837.0,2556.0,10.0,69.0,2397,0,32
36,41,5,20600,8281.0,7313.0,117.0,694.0,6120,69,482
37,41,5,20700,3923.0,3722.0,0.0,91.0,2916,0,76
38,41,5,20800,4307.0,3613.0,52.0,378.0,3530,32,327
39,41,5,20900,3818.0,3470.0,130.0,381.0,3100,65,220
40,41,5,21000,4528.0,4105.0,86.0,553.0,3712,79,361
41,41,5,21100,6016.0,5187.0,153.0,321.0,4583,123,183
42,41,5,21200,4000.0,3657.0,0.0,745.0,3213,0,479
43,41,5,21300,5989.0,5527.0,88.0,427.0,4619,49,294
44,41,5,21400,4709.0,4217.0,112.0,654.0,3878,54,520
45,41,5,21500,4877.0,4415.0,33.0,154.0,4119,33,118
46,41,5,21601,5956.0,5313.0,48.0,839.0,4612,46,317
47,41,5,21602,5318.0,4622.0,33.0,897.0,3990,17,436
48,41,5,21700,6268.0,5451.0,231.0,530.0,5197,231,387
49,41,5,21801,5781.0,5242.0,138.0,144.0,4615,60,72
50,41,5,21802,4316.0,3500.0,29.0,671.0,3246,29,386
51,41,5,21900,3653.0,3353.0,7.0,403.0,2873,7,278
52,41,5,22000,6967.0,6337.0,174.0,591.0,5163,115,358
53,41,5,22101,6923.0,6204.0,61.0,825.0,5535,31,491
54,41,5,22103,6348.0,4543.0,18.0,432.0,4753,18,392
55,41,5,22105,6086.0,4908.0,98.0,503.0,4664,98,315
56,41,5,22107,4013.0,3259.0,208.0,621.0,3157,157,359
57,41,5,22108,2862.0,2661.0,117.0,591.0,2167,117,273
58,41,5,22201,5174.0,3993.0,47.0,1600.0,4026,36,1098
59,41,5,22205,3481.0,2682.0,106.0,229.0,2718,90,143
60,41,5,22206,6557.0,4647.0,144.0,97.0,5294,84,97
61,41,5,22207,5553.0,4222.0,53.0,281.0,4062,29,167
62,41,5,22208,7088.0,5508.0,152.0,117.0,5099,152,67
63,41,5,22301,4054.0,3781.0,16.0,103.0,3125,8,82
64,41,5,22302,5481.0,5166.0,0.0,213.0,4187,0,127
65,41,5,22400,4103.0,3725.0,31.0,193.0,3221,31,119
66,41,5,22500,7981.0,7229.0,136.0,740.0,5985,78,269
67,41,5,22602,4066.0,3732.0,90.0,257.0,3267,90,160
