rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,42,1,30101,2586.0,2451.0,18.0,117.0,2100,5,104
1,42,1,30102,5809.0,5725.0,0.0,272.0,4508,0,191
2,42,1,30200,5198.0,4595.0,32.0,766.0,4016,32,474
3,42,1,30300,4258.0,3842.0,69.0,343.0,3205,56,219
4,42,1,30400,5796.0,5453.0,8.0,368.0,4724,8,222
5,42,1,30500,3756.0,3379.0,14.0,601.0,3067,9,387
6,42,1,30600,4937.0,4434.0,60.0,418.0,4043,60,266
7,42,1,30700,6574.0,6076.0,71.0,585.0,4981,61,276
8,42,1,30800,7132.0,6734.0,80.0,336.0,5553,40,236
9,42,1,30900,7826.0,7028.0,141.0,867.0,5784,49,465
10,42,1,31000,1912.0,1897.0,7.0,0.0,1434,7,0
11,42,1,31101,4929.0,4531.0,50.0,231.0,3845,34,93
12,42,1,31102,3352.0,3167.0,0.0,106.0,2616,0,63
13,42,1,31201,3680.0,3465.0,49.0,95.0,2952,40,44
14,42,1,31202,2712.0,2712.0,0.0,0.0,2056,0,0
15,42,1,31203,3163.0,3140.0,0.0,57.0,2497,0,30
16,42,1,31300,4442.0,4239.0,43.0,65.0,3408,0,55
17,42,1,31401,4208.0,3631.0,226.0,226.0,3461,185,163
18,42,1,31402,2004.0,1934.0,31.0,48.0,1663,20,32
19,42,1,31501,3401.0,2893.0,236.0,127.0,3208,206,123
20,42,1,31502,4214.0,3138.0,385.0,664.0,3373,290,334
21,42,1,31600,7119.0,6879.0,32.0,265.0,5503,23,93
22,42,1,31700,2759.0,2584.0,24.0,56.0,2337,19,54
23,42,3,10300,6294.0,4384.0,1435.0,195.0,6223,1430,195
24,42,3,20100,4060.0,3174.0,401.0,116.0,3991,389,116
25,42,3,20300,747.0,621.0,59.0,9.0,714,33,9
26,42,3,30500,2225.0,216.0,1764.0,118.0,1805,1427,62
27,42,3,40200,1717.0,635.0,885.0,18.0,1498,675,18
28,42,3,40400,2098.0,1197.0,239.0,89.0,2084,239,89
29,42,3,40500,3629.0,3055.0,171.0,99.0,3598,159,91
30,42,3,40600,2193.0,1737.0,156.0,81.0,2168,156,81
31,42,3,40900,2921.0,2112.0,360.0,40.0,2697,250,40
32,42,3,50100,1760.0,216.0,1453.0,0.0,1547,1259,0
33,42,3,50600,1884.0,276.0,1403.0,7.0,1630,1156,7
34,42,3,50900,1349.0,56.0,1247.0,35.0,872,811,25
35,42,3,51000,1965.0,912.0,848.0,45.0,1801,701,45
36,42,3,51100,327.0,0.0,327.0,0.0,229,229,0
37,42,3,60300,2572.0,1996.0,367.0,152.0,2152,292,123
38,42,3,60500,1331.0,1209.0,85.0,52.0,1236,74,52
39,42,3,70300,2000.0,1696.0,164.0,40.0,1819,134,29
40,42,3,70500,3106.0,2319.0,83.0,113.0,2949,83,113
41,42,3,70600,2118.0,1716.0,21.0,62.0,2002,21,53
42,42,3,70800,1850.0,1293.0,54.0,101.0,1680,54,101
43,42,3,70900,4488.0,2434.0,271.0,57.0,4272,271,43
44,42,3,80200,1710.0,1581.0,110.0,92.0,1537,89,58
45,42,3,80400,1551.0,1225.0,68.0,60.0,1519,68,60
46,42,3,80600,2055.0,1827.0,101.0,0.0,1780,101,0
47,42,3,80700,1840.0,1162.0,231.0,106.0,1722,228,106
48,42,3,80900,1701.0,1390.0,214.0,13.0,1606,176,10
49,42,3,90100,1794.0,1558.0,151.0,71.0,1712,151,67
50,42,3,90200,2981.0,2595.0,205.0,122.0,2696,196,101
51,42,3,90300,1652.0,1461.0,157.0,16.0,1557,110,10
52,42,3,100500,2256.0,627.0,1490.0,11.0,1810,1233,11
53,42,3,101100,2754.0,2236.0,337.0,53.0,2232,180,43
54,42,3,101400,3262.0,2693.0,392.0,119.0,2743,365,80
55,42,3,101600,990.0,26.0,948.0,11.0,617,581,11
56,42,3,101700,1539.0,402.0,1067.0,27.0,1265,806,27
57,42,3,101800,2505.0,1968.0,445.0,26.0,2085,377,26
58,42,3,110200,4260.0,2549.0,1400.0,194.0,3331,853,163
59,42,3,110600,2523.0,2076.0,312.0,56.0,1966,209,43
60,42,3,111300,2494.0,990.0,1303.0,141.0,2005,990,95
61,42,3,111400,1437.0,165.0,1045.0,52.0,1084,810,21
