rn,D00,R00,D04,R04,D08,R08,DNorm,RNorm,D12,R12
0,303,711,349,944,409,890,378,920,344,916
1,575,1103,674,1660,853,1552,810,1594,753,1623
2,373,1084,521,1686,695,1414,621,1487,553,1383
3,295,918,392,1197,536,1132,511,1156,458,1123
4,750,1290,827,1659,988,1547,946,1588,871,1528
5,416,1028,451,1279,555,1080,526,1108,498,1098
6,675,1045,812,1421,926,1225,873,1277,812,1235
7,716,1184,792,1615,1005,1511,963,1552,861,1568
8,669,1425,886,2064,1206,2031,1113,2123,1015,2115
9,704,1271,849,1704,1153,1592,1073,1671,1012,1635
11,1139,1670,1310,2449,1702,2310,1621,2390,1437,2446
13,501,881,579,1153,749,1158,689,1217,638,1193
14,272,578,287,878,364,859,349,873,320,867
15,350,723,407,940,440,934,428,945,352,983
16,505,910,509,1247,608,1126,584,1149,541,1067
17,642,920,742,1174,962,1146,866,1241,965,1269
18,424,695,484,810,565,724,529,759,468,744
19,759,630,1314,945,2859,1233,2539,1552,1506,918
21,407,829,528,1036,1337,2113,1228,2221,1246,2229
22,397,642,427,903,512,831,492,850,441,827
23,150,31,211,39,239,42,232,48,250,31
24,634,303,1142,498,1805,621,1697,728,1610,694
25,297,98,409,138,535,191,533,192,549,230
26,1082,33,1062,92,1241,21,1187,74,1181,26
27,446,56,607,79,778,99,778,98,729,103
28,581,192,634,224,626,203,612,216,558,195
29,416,105,843,254,1172,314,1127,358,958,350
30,515,132,955,242,1130,271,1101,299,965,284
31,657,133,853,171,906,162,882,185,815,137
32,811,24,810,45,1043,14,1007,49,984,9
33,1163,38,1243,68,1393,25,1337,80,1295,25
34,662,8,517,16,583,3,571,14,652,8
35,474,12,519,45,680,23,658,44,748,25
36,388,5,557,18,573,0,562,10,228,2
37,466,123,595,145,605,160,624,140,652,125
38,407,173,501,200,499,188,512,174,509,159
39,966,523,1205,477,1358,427,1249,535,1081,473
40,692,276,989,291,1049,295,1002,341,912,313
41,611,236,712,278,848,247,800,294,747,256
42,673,251,780,234,877,213,812,277,745,246
43,825,346,1063,393,1231,327,1136,421,972,348
44,658,252,787,325,862,364,903,322,813,308
45,179,102,280,125,296,105,289,111,237,104
46,476,161,685,172,761,153,726,187,722,155
47,468,99,632,120,719,100,683,135,609,87
48,581,242,783,250,739,234,748,224,784,191
49,561,187,641,205,662,247,712,196,711,160
50,723,284,832,300,830,320,870,279,825,255
51,492,161,550,223,603,215,624,193,600,169
52,1116,146,1212,203,1260,165,1219,205,1368,143
53,822,339,918,390,1002,395,1030,366,1055,298
54,1099,434,1285,511,1289,501,1338,451,1329,454
55,191,4,236,9,273,4,266,10,162,1
56,600,75,876,92,1035,57,1005,86,918,39
57,1094,465,1148,542,1026,631,1162,494,1117,459
58,1072,285,1320,317,1502,269,1432,338,1396,240
59,950,257,1142,271,1189,238,1139,287,1160,215
