rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,44,1,30100,4757.0,4313.0,81.0,97.0,3480,48,68
1,44,1,30200,2987.0,2791.0,10.0,59.0,2351,10,35
2,44,1,30300,4522.0,4319.0,33.0,67.0,3335,33,43
3,44,1,30400,4014.0,3906.0,3.0,89.0,2798,2,29
4,44,1,30500,3175.0,3059.0,16.0,123.0,2502,15,94
5,44,1,30601,3504.0,3471.0,0.0,94.0,2704,0,48
6,44,1,30602,3853.0,3810.0,11.0,53.0,3407,11,44
7,44,1,30700,3966.0,3855.0,0.0,118.0,3370,0,118
8,44,1,30800,5812.0,5290.0,261.0,136.0,5280,120,90
9,44,1,30901,5935.0,5793.0,6.0,262.0,4649,6,143
10,44,1,30902,6651.0,6256.0,201.0,66.0,5567,189,66
11,44,3,20101,6302.0,5852.0,179.0,97.0,5114,179,56
12,44,3,20102,5020.0,4601.0,215.0,493.0,4200,189,378
13,44,3,20200,4724.0,3736.0,120.0,279.0,3844,103,143
14,44,3,20300,5922.0,5433.0,65.0,463.0,4569,65,296
15,44,3,20400,2586.0,2377.0,90.0,43.0,2017,70,43
16,44,3,20500,4337.0,3924.0,44.0,76.0,3554,44,49
17,44,3,20601,6367.0,6022.0,17.0,186.0,4865,17,72
18,44,3,20602,3331.0,3218.0,7.0,117.0,2895,0,65
19,44,3,20603,6289.0,6177.0,5.0,31.0,5332,2,16
20,44,3,20604,5530.0,5529.0,0.0,132.0,4134,0,44
21,44,3,20701,1893.0,1736.0,38.0,0.0,1556,38,0
22,44,3,20702,4702.0,4666.0,20.0,36.0,3770,20,36
23,44,3,20703,6869.0,6602.0,122.0,1.0,5688,112,1
24,44,3,20800,6117.0,5402.0,69.0,214.0,4497,46,121
25,44,3,20901,3593.0,3306.0,94.0,163.0,2848,94,56
26,44,3,20903,5945.0,5653.0,25.0,165.0,4341,25,96
27,44,3,20904,3576.0,3197.0,48.0,48.0,2625,48,29
28,44,3,21001,2734.0,2513.0,19.0,497.0,2120,19,298
29,44,3,21002,5051.0,4367.0,68.0,508.0,4215,68,315
30,44,3,21100,4847.0,4091.0,139.0,279.0,3790,93,177
31,44,3,21200,3576.0,3282.0,47.0,119.0,2907,47,110
32,44,3,21300,4802.0,4219.0,237.0,376.0,3996,225,258
33,44,3,21401,3965.0,3638.0,19.0,164.0,3101,19,144
34,44,3,21402,3668.0,3343.0,138.0,105.0,3012,107,92
35,44,3,21501,2990.0,2891.0,20.0,93.0,2361,18,55
36,44,3,21502,4242.0,3964.0,54.0,200.0,3333,54,173
37,44,3,21600,1424.0,1342.0,16.0,32.0,1165,7,23
38,44,3,21700,4722.0,4533.0,95.0,89.0,3656,66,58
39,44,3,21800,4176.0,3825.0,36.0,40.0,3373,36,40
40,44,3,21901,3404.0,3137.0,32.0,106.0,2780,22,83
41,44,3,21902,2585.0,2415.0,47.0,193.0,2135,29,129
42,44,3,21903,3818.0,3583.0,21.0,214.0,3221,10,137
43,44,3,22000,3438.0,3331.0,24.0,108.0,2856,24,26
44,44,3,22100,5586.0,5349.0,20.0,223.0,4490,20,89
45,44,3,22201,6551.0,6053.0,87.0,274.0,5419,87,187
46,44,3,22202,3958.0,3542.0,22.0,146.0,3412,22,81
47,44,3,22300,4050.0,3637.0,1.0,113.0,3430,1,87
48,44,3,22400,2268.0,2174.0,8.0,126.0,1896,8,101
49,44,3,980000,0.0,0.0,0.0,0.0,0,0,0
