rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,45,1,950100,3066.0,2503.0,471.0,72.0,2478,431,57
1,45,1,950200,4085.0,3133.0,797.0,70.0,3214,648,70
2,45,1,950300,3285.0,3082.0,188.0,59.0,2787,183,59
3,45,1,950400,6277.0,4479.0,1767.0,84.0,4538,1203,46
4,45,1,950500,5184.0,2723.0,2384.0,9.0,4165,1932,9
5,45,1,950600,3100.0,1550.0,1379.0,7.0,2377,1030,7
6,45,3,20100,4798.0,3418.0,1219.0,367.0,3819,1009,327
7,45,3,20200,5459.0,3886.0,1376.0,97.0,4327,976,47
8,45,3,20301,2255.0,2023.0,186.0,99.0,1752,144,65
9,45,3,20302,5754.0,2766.0,2844.0,220.0,4513,2297,220
10,45,3,20400,7445.0,5502.0,1856.0,550.0,5498,1177,415
11,45,3,20500,8493.0,6528.0,1588.0,327.0,6610,1256,191
12,45,3,20601,3761.0,2703.0,888.0,60.0,2835,647,37
13,45,3,20602,6357.0,3415.0,1852.0,747.0,4620,1357,334
14,45,3,20701,5599.0,4403.0,1055.0,139.0,4622,739,105
15,45,3,20702,4686.0,2446.0,1433.0,1101.0,3377,958,659
16,45,3,20801,2786.0,2562.0,159.0,35.0,2326,116,35
17,45,3,20802,5324.0,3938.0,965.0,340.0,4126,716,182
18,45,3,20901,2626.0,1810.0,738.0,80.0,2047,612,61
19,45,3,20902,6311.0,4041.0,2094.0,48.0,4742,1587,31
20,45,3,21001,4757.0,3442.0,845.0,373.0,3579,600,227
21,45,3,21002,5328.0,3918.0,968.0,772.0,4198,800,423
22,45,3,21101,2968.0,2578.0,362.0,0.0,2199,205,0
23,45,3,21102,3331.0,3093.0,182.0,0.0,2639,182,0
24,45,3,21201,5862.0,5180.0,531.0,61.0,4719,413,61
25,45,3,21202,3589.0,3240.0,225.0,70.0,2948,196,33
26,45,3,21203,8033.0,6988.0,516.0,354.0,6689,443,304
27,45,3,21300,4927.0,3778.0,1054.0,96.0,4273,877,96
28,45,3,21400,5983.0,1158.0,4702.0,90.0,4610,3580,64
29,45,3,21500,4594.0,3360.0,963.0,157.0,3918,773,89
30,45,3,21601,6880.0,2801.0,3602.0,468.0,4649,1959,212
31,45,3,21602,8469.0,6442.0,1466.0,309.0,6465,1103,210
32,45,3,21700,4671.0,3010.0,1465.0,135.0,3491,1028,60
33,45,3,21800,2535.0,1306.0,1175.0,19.0,1939,808,0
34,45,3,21900,5740.0,3726.0,973.0,944.0,4264,613,585
35,45,3,22001,4416.0,3461.0,799.0,309.0,3771,626,266
36,45,3,22002,6882.0,4987.0,1670.0,164.0,5265,1312,113
37,45,3,22100,3289.0,2290.0,902.0,83.0,2592,772,73
38,45,3,980100,0.0,0.0,0.0,0.0,0,0,0
39,45,5,970200,4942.0,761.0,4043.0,190.0,3769,3044,110
40,45,5,970300,995.0,674.0,319.0,53.0,790,241,21
41,45,5,970400,3901.0,992.0,2899.0,34.0,3253,2351,34
42,45,7,200,4424.0,3597.0,669.0,313.0,3467,360,144
43,45,7,300,4545.0,3163.0,1056.0,114.0,3637,692,83
44,45,7,500,3275.0,686.0,2556.0,15.0,2294,1657,15
45,45,7,600,3042.0,654.0,2296.0,56.0,2303,1598,56
46,45,7,700,4366.0,1540.0,2567.0,233.0,3258,1947,184
47,45,7,800,2527.0,1829.0,685.0,202.0,1940,482,80
48,45,7,900,3219.0,1850.0,1242.0,256.0,2184,772,124
49,45,7,1000,2649.0,2140.0,408.0,397.0,2034,340,201
50,45,7,1100,5127.0,4232.0,692.0,57.0,4071,461,34
51,45,7,10102,7249.0,6789.0,309.0,115.0,5197,190,110
52,45,7,10103,7682.0,7010.0,609.0,687.0,5579,492,391
53,45,7,10104,7647.0,6883.0,570.0,107.0,5664,354,60
54,45,7,10200,5219.0,5040.0,166.0,23.0,3850,100,23
55,45,7,10300,4164.0,3883.0,122.0,165.0,3105,89,63
56,45,7,10401,5805.0,5127.0,509.0,229.0,4412,509,229
57,45,7,10402,6597.0,6129.0,337.0,68.0,4957,283,68
58,45,7,10500,6357.0,5528.0,392.0,484.0,4792,307,116
59,45,7,10600,7642.0,6696.0,544.0,35.0,5861,390,35
60,45,7,10700,5636.0,3899.0,1462.0,282.0,4404,1055,189
61,45,7,10800,4882.0,4323.0,460.0,0.0,4088,359,0
62,45,7,10900,4598.0,4429.0,104.0,5.0,3831,95,5
63,45,7,11001,4997.0,4521.0,204.0,109.0,4129,183,82
64,45,7,11002,4331.0,3613.0,432.0,49.0,3440,383,49
65,45,7,11100,2670.0,2219.0,363.0,20.0,2118,328,20
66,45,7,11201,4103.0,3478.0,289.0,0.0,3123,231,0
67,45,7,11202,8162.0,6878.0,953.0,259.0,6059,724,168
68,45,7,11300,7472.0,6090.0,1174.0,228.0,5981,974,195
69,45,7,11401,4064.0,3273.0,663.0,214.0,3173,455,129
70,45,7,11402,3497.0,2747.0,611.0,138.0,2596,436,48
71,45,7,11500,6612.0,5740.0,682.0,53.0,5099,536,34
72,45,7,11600,2035.0,1943.0,41.0,0.0,1565,36,0
73,45,7,11700,5391.0,4733.0,557.0,44.0,4160,390,25
74,45,7,11800,3756.0,3281.0,316.0,202.0,2774,185,57
75,45,7,11901,5530.0,3837.0,1539.0,377.0,4447,1242,335
76,45,7,11902,2784.0,1659.0,1113.0,25.0,2014,746,20
77,45,7,12001,4675.0,3671.0,800.0,353.0,3706,682,199
78,45,7,12002,4675.0,3271.0,1240.0,387.0,3780,1057,355
79,45,7,12200,6334.0,5137.0,911.0,0.0,4693,739,0
80,45,7,12300,3475.0,1592.0,1690.0,96.0,2646,1178,96
81,45,9,960100,5454.0,751.0,4565.0,63.0,4516,3662,63
82,45,9,960200,7137.0,2838.0,4221.0,99.0,5491,3118,99
83,45,9,960300,1320.0,926.0,342.0,31.0,1030,309,2
84,45,9,960400,1521.0,1014.0,487.0,0.0,1199,411,0
85,45,11,970100,5844.0,3718.0,2047.0,0.0,4353,1573,0
86,45,11,970200,3761.0,953.0,2609.0,92.0,2839,2019,52
87,45,11,970300,4170.0,1600.0,2506.0,62.0,2744,1457,41
88,45,11,970400,4282.0,3304.0,649.0,317.0,3404,508,212
89,45,11,970500,4041.0,1854.0,2128.0,41.0,3170,1510,24
90,45,11,980100,0.0,0.0,0.0,0.0,0,0,0
91,45,13,100,4702.0,1387.0,3256.0,166.0,3505,2319,84
92,45,13,200,4754.0,1935.0,2781.0,64.0,3278,1967,24
93,45,13,300,5069.0,3720.0,838.0,540.0,2920,495,234
94,45,13,400,675.0,466.0,124.0,166.0,666,119,166
95,45,13,501,6195.0,3380.0,2172.0,806.0,4698,1606,449
96,45,13,502,5525.0,3256.0,1720.0,606.0,3583,1123,364
97,45,13,503,5289.0,3223.0,1945.0,481.0,3874,1409,196
98,45,13,600,2499.0,1733.0,672.0,43.0,1927,494,43
99,45,13,700,5746.0,3746.0,1071.0,836.0,4539,816,377
100,45,13,800,5310.0,2925.0,1926.0,206.0,4061,1352,140
101,45,13,901,2883.0,2151.0,440.0,339.0,2376,375,244
102,45,13,902,8097.0,6692.0,1188.0,265.0,6128,843,184
103,45,13,903,1852.0,1190.0,484.0,162.0,1411,379,98
104,45,13,1000,4484.0,3414.0,506.0,825.0,4092,489,764
105,45,13,1101,3614.0,2041.0,1516.0,5.0,2980,1046,5
106,45,13,1102,5831.0,1237.0,3906.0,404.0,4930,3333,327
107,45,13,1200,944.0,904.0,0.0,32.0,881,0,32
108,45,13,2101,599.0,591.0,0.0,0.0,439,0,0
109,45,13,2102,1834.0,1645.0,114.0,285.0,1544,74,215
110,45,13,2103,3692.0,2997.0,393.0,416.0,2583,248,263
111,45,13,2104,12547.0,12117.0,215.0,137.0,12274,215,79
112,45,13,2105,3146.0,2700.0,343.0,162.0,2235,266,98
113,45,13,2106,9043.0,6681.0,1372.0,1098.0,6528,963,624
114,45,13,2107,11260.0,8398.0,964.0,4548.0,8426,826,2980
115,45,13,2108,4863.0,3844.0,455.0,1278.0,3596,220,682
116,45,13,2201,7602.0,7094.0,339.0,251.0,6641,218,194
117,45,13,2202,3346.0,3134.0,127.0,57.0,2929,109,57
