rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,46,3,973600,2729.0,2549.0,11.0,166.0,2028,7,100
1,46,5,956600,1842.0,1753.0,17.0,22.0,1423,17,4
2,46,5,956700,1921.0,1921.0,0.0,56.0,1441,0,26
3,46,5,956800,1766.0,1515.0,2.0,186.0,1449,2,151
4,46,5,956900,3432.0,2897.0,19.0,547.0,2296,19,311
5,46,5,957000,5887.0,5152.0,8.0,595.0,4424,8,301
6,46,5,957100,3320.0,2731.0,0.0,216.0,2533,0,140
7,46,7,941000,1426.0,493.0,10.0,58.0,1021,10,38
8,46,7,941200,2012.0,583.0,23.0,82.0,1233,12,34
9,46,9,967600,3284.0,3135.0,1.0,138.0,2570,1,71
10,46,9,967700,3729.0,3207.0,69.0,142.0,3077,69,133
11,46,11,958600,3786.0,3534.0,17.0,165.0,2844,15,97
12,46,11,958700,5232.0,5079.0,54.0,133.0,3777,28,41
13,46,11,958802,5604.0,5301.0,15.0,149.0,5153,15,120
14,46,11,958803,5119.0,4788.0,17.0,63.0,3630,17,18
15,46,11,958900,7680.0,7001.0,80.0,235.0,7095,80,187
16,46,11,959000,5625.0,4943.0,245.0,30.0,4073,147,30
17,46,13,951300,5819.0,5640.0,0.0,159.0,4532,0,88
18,46,13,951400,6533.0,5742.0,344.0,94.0,4936,169,61
19,46,13,951500,2754.0,2129.0,3.0,180.0,2108,2,144
20,46,13,951600,4496.0,3745.0,34.0,54.0,3574,34,54
21,46,13,951700,4807.0,4474.0,19.0,215.0,3414,19,161
22,46,13,951800,5350.0,5170.0,141.0,0.0,4254,68,0
23,46,13,951900,3677.0,3597.0,6.0,145.0,2761,6,54
24,46,13,952000,4624.0,4521.0,26.0,10.0,3543,0,10
25,46,15,973100,2460.0,2347.0,0.0,12.0,1803,0,8
26,46,15,973200,2870.0,2245.0,0.0,10.0,2159,0,10
27,46,17,940200,2038.0,377.0,4.0,21.0,1291,4,3
28,46,19,967600,3374.0,3139.0,0.0,104.0,2556,0,26
29,46,19,967700,6918.0,6599.0,7.0,254.0,5171,7,204
30,46,21,964100,1548.0,1472.0,0.0,3.0,1166,0,3
31,46,23,940200,3128.0,1246.0,3.0,55.0,2004,3,22
32,46,23,940300,3370.0,1970.0,0.0,166.0,2365,0,84
33,46,23,970100,2741.0,2689.0,1.0,11.0,2146,1,5
34,46,25,955800,3625.0,3440.0,35.0,92.0,2783,30,69
35,46,27,965700,5072.0,4311.0,80.0,114.0,4041,80,91
