rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,47,1,20100,2952.0,1897.0,682.0,0.0,2281,546,0
1,47,1,20201,4148.0,3460.0,237.0,89.0,3432,237,41
2,47,1,20202,4149.0,3737.0,89.0,370.0,3376,56,238
3,47,1,20300,3833.0,3172.0,351.0,384.0,2886,153,217
4,47,1,20400,4289.0,3963.0,102.0,308.0,3322,72,250
5,47,1,20500,4066.0,3087.0,573.0,222.0,2968,392,168
6,47,1,20600,2694.0,2334.0,184.0,88.0,2081,126,74
7,47,1,20700,1555.0,1547.0,0.0,0.0,1209,0,0
8,47,1,20800,4587.0,4500.0,16.0,10.0,3608,16,10
9,47,1,20901,6439.0,6283.0,16.0,24.0,5154,7,20
10,47,1,20902,5829.0,5712.0,0.0,41.0,4760,0,29
11,47,1,21000,6204.0,6090.0,76.0,0.0,4419,76,0
12,47,1,21100,3795.0,3611.0,100.0,43.0,3133,81,35
13,47,1,21201,4990.0,4762.0,128.0,8.0,4027,105,8
14,47,1,21202,5139.0,4851.0,80.0,137.0,4183,80,75
15,47,1,21301,3219.0,3180.0,22.0,57.0,2612,22,39
16,47,1,21302,7542.0,7170.0,184.0,103.0,5969,184,9
17,47,1,980100,0.0,0.0,0.0,0.0,0,0,0
18,47,3,950100,3617.0,3157.0,225.0,68.0,2911,213,40
19,47,3,950200,7005.0,6556.0,193.0,155.0,5213,142,91
20,47,3,950300,3847.0,3493.0,66.0,112.0,2828,34,42
21,47,3,950401,5778.0,4608.0,395.0,1171.0,4145,358,619
22,47,3,950402,6734.0,4980.0,570.0,1607.0,5046,491,1004
23,47,3,950500,5470.0,4583.0,452.0,620.0,4167,417,451
24,47,3,950600,8025.0,5964.0,1220.0,1311.0,5422,900,645
25,47,3,950700,2787.0,2526.0,63.0,274.0,2008,62,82
26,47,3,950800,2723.0,2651.0,60.0,0.0,2201,60,0
27,47,5,963000,3081.0,3039.0,0.0,17.0,2632,0,17
28,47,5,963100,3094.0,2792.0,260.0,34.0,2462,152,34
29,47,5,963200,2495.0,2393.0,79.0,76.0,1875,61,48
30,47,5,963300,3754.0,3511.0,148.0,136.0,2912,101,94
31,47,5,963400,3837.0,3748.0,76.0,76.0,3134,68,29
32,47,7,953000,3661.0,3382.0,0.0,28.0,2788,0,7
33,47,7,953100,5748.0,5418.0,224.0,173.0,4539,160,107
34,47,7,953200,4277.0,3855.0,349.0,104.0,3622,309,104
35,47,9,10100,3104.0,1970.0,1050.0,366.0,2191,768,168
36,47,9,10200,5950.0,5479.0,241.0,442.0,4663,194,323
