rn,D16,R16
0,521.0,324.0
1,784.0,849.0
2,1180.0,1384.0
3,608.0,763.0
4,884.0,1047.0
5,434.0,496.0
7,69.0,296.0
8,341.0,1522.0
9,709.0,2177.0
10,304.0,1149.0
11,450.0,1691.0
12,835.0,2122.0
13,87.0,453.0
14,245.0,809.0
15,177.0,674.0
16,424.0,1397.0
17,574.0,740.0
18,511.0,2399.0
19,289.0,1472.0
20,308.0,1582.0
21,385.0,1011.0
22,436.0,744.0
23,445.0,837.0
24,374.0,490.0
25,230.0,974.0
26,514.0,2450.0
27,251.0,819.0
28,247.0,782.0
29,213.0,846.0
30,270.0,760.0
31,493.0,1509.0
32,129.0,1042.0
33,560.0,1616.0
34,208.0,964.0
35,507.0,346.0
36,589.0,1477.0
37,518.0,1005.0
39,377.0,898.0
42,832.0,1986.0
44,661.0,2100.0
45,565.0,1461.0
46,551.0,2168.0
47,352.0,574.0
48,1401.0,2866.0
49,480.0,1114.0
50,529.0,2455.0
51,319.0,1461.0
52,151.0,591.0
53,657.0,2589.0
54,236.0,1187.0
56,603.0,2498.0
57,852.0,3843.0
58,230.0,1217.0
59,378.0,1428.0
60,837.0,2825.0
61,139.0,333.0
62,336.0,1021.0
63,481.0,1471.0
64,626.0,2259.0
66,518.0,998.0
69,334.0,646.0
71,193.0,886.0
72,454.0,1736.0
73,472.0,2472.0
74,497.0,2275.0
75,749.0,3208.0
76,1044.0,5599.0
78,820.0,2316.0
79,393.0,2491.0
80,310.0,1998.0
81,179.0,1413.0
82,97.0,525.0
83,215.0,610.0
84,96.0,494.0
85,341.0,1456.0
86,473.0,2465.0
87,168.0,594.0
88,375.0,1416.0
89,243.0,1253.0
90,65.0,345.0
92,175.0,712.0
93,284.0,821.0
94,690.0,2389.0
95,153.0,797.0
96,267.0,855.0
97,690.0,2262.0
98,245.0,475.0
99,341.0,1237.0
100,414.0,1178.0
101,145.0,718.0
102,225.0,1031.0
105,293.0,1139.0
106,539.0,1575.0
108,219.0,1154.0
109,161.0,989.0
110,795.0,3032.0
113,206.0,986.0
114,105.0,504.0
115,335.0,1645.0
116,372.0,2597.0
118,142.0,1043.0
119,135.0,1009.0
120,151.0,1225.0
121,700.0,1807.0
123,1194.0,3431.0
124,542.0,2138.0
125,230.0,848.0
126,307.0,1134.0
129,905.0,1939.0
130,320.0,1705.0
132,923.0,3376.0
133,314.0,1600.0
135,288.0,1226.0
136,48.0,141.0
137,165.0,948.0
