rn,state,cid,tract,pop,white,black,hispanic
0,48,1,950100,4782.0,4090.0,423.0,451.0
1,48,1,950401,5166.0,3064.0,2025.0,1392.0
2,48,1,950402,6802.0,3770.0,2964.0,1577.0
3,48,1,950500,4587.0,3211.0,964.0,1451.0
4,48,1,950600,6658.0,4248.0,1974.0,1204.0
5,48,1,950700,2644.0,1484.0,857.0,991.0
6,48,1,950800,4871.0,3141.0,1191.0,364.0
7,48,1,950901,5751.0,4774.0,650.0,829.0
8,48,1,950902,4980.0,4480.0,433.0,380.0
9,48,1,951000,7079.0,6664.0,281.0,569.0
10,48,1,951100,4595.0,4033.0,503.0,541.0
11,48,3,950100,2160.0,2016.0,26.0,553.0
12,48,3,950200,7008.0,6414.0,216.0,3755.0
13,48,3,950300,4622.0,4202.0,29.0,3037.0
14,48,3,950400,2985.0,2858.0,58.0,1580.0
15,48,5,101,6093.0,5616.0,178.0,583.0
16,48,5,102,4801.0,4226.0,149.0,999.0
17,48,5,200,6588.0,5417.0,744.0,1277.0
18,48,5,301,4967.0,4451.0,475.0,587.0
19,48,5,302,4670.0,3899.0,521.0,1007.0
20,48,5,400,5187.0,3321.0,1785.0,1302.0
21,48,5,500,3666.0,1047.0,2567.0,425.0
22,48,5,600,7010.0,4570.0,1883.0,3391.0
23,48,5,700,4048.0,2430.0,1036.0,2484.0
24,48,5,800,6175.0,4701.0,1100.0,899.0
25,48,5,901,6846.0,5422.0,1086.0,729.0
26,48,5,902,3161.0,2345.0,272.0,404.0
27,48,5,1001,5629.0,3980.0,864.0,2421.0
28,48,5,1002,4452.0,4057.0,137.0,1060.0
29,48,5,1100,6237.0,5767.0,347.0,277.0
30,48,5,1200,2944.0,2621.0,45.0,160.0
31,48,5,1300,5274.0,4957.0,57.0,348.0
32,48,7,950100,5610.0,5068.0,38.0,744.0
33,48,7,950200,1121.0,1060.0,0.0,100.0
34,48,7,950300,7231.0,6150.0,186.0,2131.0
35,48,7,950400,3997.0,3463.0,164.0,1595.0
36,48,7,950500,6333.0,5797.0,21.0,1773.0
37,48,9,20100,2835.0,2723.0,6.0,48.0
38,48,9,20200,2540.0,2420.0,33.0,211.0
39,48,9,20300,3404.0,3117.0,52.0,449.0
40,48,11,950100,1943.0,1751.0,23.0,230.0
41,48,13,960100,7307.0,6686.0,74.0,3677.0
42,48,13,960201,7169.0,6571.0,40.0,4524.0
43,48,13,960202,9878.0,8870.0,151.0,7094.0
44,48,13,960300,3847.0,3527.0,0.0,3461.0
45,48,13,960401,2136.0,1863.0,0.0,1681.0
46,48,13,960402,7963.0,7383.0,84.0,4034.0
47,48,13,960500,2839.0,2694.0,19.0,2116.0
48,48,13,960600,5911.0,5560.0,1.0,2954.0
49,48,15,760100,2484.0,1879.0,358.0,725.0
50,48,15,760200,5950.0,4440.0,810.0,2239.0
51,48,15,760300,7171.0,6257.0,370.0,2199.0
52,48,15,760400,3292.0,3015.0,207.0,255.0
53,48,15,760501,4736.0,4414.0,157.0,788.0
54,48,15,760502,5253.0,4478.0,651.0,1121.0
55,48,17,950100,7126.0,6050.0,147.0,4280.0
56,48,19,101,4705.0,4636.0,0.0,898.0
57,48,19,102,4871.0,4616.0,14.0,777.0
58,48,19,200,2817.0,2527.0,276.0,333.0
59,48,19,300,6025.0,5380.0,4.0,1332.0
60,48,19,400,2378.0,2282.0,0.0,304.0
61,48,21,950100,8626.0,7569.0,152.0,2531.0
62,48,21,950200,8046.0,5577.0,1230.0,3829.0
63,48,21,950300,14320.0,10784.0,2028.0,3111.0
64,48,21,950400,8201.0,6909.0,841.0,1644.0
65,48,21,950501,8135.0,6717.0,467.0,3660.0
66,48,21,950502,5929.0,5611.0,193.0,1126.0
67,48,21,950600,5272.0,4693.0,287.0,869.0
68,48,21,950700,4377.0,3215.0,716.0,590.0
69,48,21,950801,7206.0,5414.0,48.0,5399.0
70,48,21,950802,6836.0,5879.0,107.0,3772.0
71,48,23,950300,3628.0,3378.0,69.0,322.0
72,48,25,950100,1901.0,1786.0,11.0,635.0
73,48,25,950201,8337.0,5779.0,2379.0,3519.0
74,48,25,950202,5207.0,4735.0,67.0,2666.0
75,48,25,950300,5152.0,4794.0,107.0,2933.0
76,48,25,950400,2268.0,2015.0,63.0,1539.0
77,48,25,950500,7370.0,5668.0,150.0,6040.0
78,48,25,950600,2424.0,2071.0,71.0,1394.0
79,48,27,20100,6264.0,5949.0,51.0,1102.0
80,48,27,20201,7593.0,6954.0,321.0,642.0
81,48,27,20202,5959.0,5685.0,55.0,958.0
82,48,27,20300,9236.0,7282.0,914.0,2203.0
83,48,27,20401,2976.0,1844.0,828.0,523.0
84,48,27,20402,2160.0,1680.0,406.0,696.0
85,48,27,20500,3968.0,3152.0,504.0,1657.0
86,48,27,20600,2968.0,2438.0,427.0,475.0
87,48,27,20701,1417.0,1114.0,255.0,569.0
88,48,27,20702,2030.0,1377.0,390.0,1101.0
89,48,27,20800,4071.0,1963.0,1922.0,1370.0
90,48,27,20900,2579.0,1694.0,757.0,789.0
91,48,27,21000,4270.0,3154.0,633.0,1703.0
92,48,27,21100,5844.0,4727.0,793.0,1938.0
93,48,27,21201,2676.0,1643.0,506.0,421.0
94,48,27,21202,4411.0,3416.0,562.0,896.0
95,48,27,21203,3970.0,3519.0,229.0,607.0
96,48,27,21301,4779.0,3876.0,659.0,709.0
97,48,27,21302,3378.0,2914.0,288.0,193.0
98,48,27,21303,6939.0,4886.0,1067.0,1095.0
99,48,27,21400,3875.0,3660.0,40.0,629.0
100,48,27,21500,6621.0,5323.0,867.0,2175.0
101,48,27,21601,5407.0,4587.0,530.0,2665.0
102,48,27,21602,2628.0,1940.0,501.0,800.0
103,48,27,21700,8610.0,7640.0,132.0,1130.0
104,48,27,21800,7640.0,5583.0,799.0,1618.0
105,48,27,21901,3768.0,2553.0,588.0,772.0
106,48,27,21903,8969.0,5442.0,1502.0,1732.0
107,48,27,21904,9741.0,7854.0,961.0,1875.0
108,48,27,22000,7909.0,4859.0,2239.0,1877.0
109,48,27,22101,4383.0,2469.0,1027.0,893.0
110,48,27,22103,5015.0,2349.0,1728.0,1201.0
111,48,27,22104,3812.0,1497.0,1494.0,784.0
112,48,27,22105,2153.0,1234.0,539.0,353.0
113,48,27,22200,3302.0,1325.0,1701.0,660.0
114,48,27,22300,4035.0,1861.0,1328.0,988.0
115,48,27,22401,6542.0,2909.0,2644.0,1654.0
116,48,27,22402,6612.0,2701.0,2243.0,1647.0
117,48,27,22403,4124.0,2232.0,1355.0,757.0
118,48,27,22404,8375.0,3663.0,3201.0,2056.0
119,48,27,22405,1983.0,1143.0,458.0,666.0
120,48,27,22501,2866.0,1837.0,432.0,560.0
121,48,27,22502,9872.0,4379.0,3604.0,1879.0
122,48,27,22600,3903.0,2079.0,906.0,1498.0
123,48,27,22801,2335.0,1131.0,751.0,712.0
124,48,27,22900,3817.0,1828.0,1055.0,1408.0
125,48,27,23000,8581.0,4979.0,2056.0,2344.0
126,48,27,23103,4480.0,1957.0,1673.0,851.0
127,48,27,23104,3853.0,1549.0,1683.0,837.0
128,48,27,23105,11531.0,5659.0,4256.0,2258.0
129,48,27,23106,10444.0,5180.0,3281.0,2095.0
130,48,27,23107,7052.0,2750.0,3064.0,1848.0
131,48,27,23108,14343.0,5301.0,4763.0,4439.0
132,48,27,23201,2155.0,1486.0,360.0,387.0
133,48,27,23202,6535.0,3884.0,1699.0,1864.0
134,48,27,23203,2722.0,1755.0,520.0,863.0
135,48,27,23204,4758.0,3343.0,808.0,964.0
136,48,27,23300,8400.0,6409.0,900.0,1303.0
137,48,27,23402,4599.0,4345.0,88.0,897.0
138,48,27,23403,5434.0,5085.0,142.0,683.0
139,48,27,23404,3269.0,3073.0,43.0,713.0
140,48,27,23500,1974.0,834.0,634.0,768.0
141,48,27,980001,126.0,67.0,43.0,11.0
142,48,27,980002,0.0,0.0,0.0,0.0
143,48,27,980003,0.0,0.0,0.0,0.0
144,48,29,110100,3347.0,2634.0,165.0,2187.0
145,48,29,110300,2756.0,1791.0,408.0,1964.0
146,48,29,110500,2002.0,1659.0,30.0,1890.0
147,48,29,110600,5097.0,3583.0,482.0,4141.0
148,48,29,110700,1673.0,1472.0,62.0,1429.0
149,48,29,110800,1858.0,1585.0,51.0,1371.0
150,48,29,110900,1214.0,1065.0,34.0,661.0
151,48,29,111000,2142.0,1591.0,160.0,1629.0
152,48,29,120100,6568.0,4159.0,1159.0,1400.0
153,48,29,120300,7593.0,6618.0,109.0,1636.0
154,48,29,120400,5920.0,5746.0,5.0,873.0
155,48,29,120501,8841.0,6355.0,1324.0,5315.0
156,48,29,120502,5401.0,4034.0,806.0,3278.0
157,48,29,120600,5780.0,4974.0,202.0,1266.0
158,48,29,120701,5261.0,4359.0,243.0,3088.0
159,48,29,120702,4698.0,3834.0,185.0,1098.0
160,48,29,120800,6588.0,6370.0,24.0,1418.0
161,48,29,120901,2150.0,1769.0,179.0,588.0
162,48,29,120902,7098.0,5026.0,1022.0,2732.0
163,48,29,121000,7340.0,6346.0,475.0,2895.0
164,48,29,121108,7365.0,6369.0,289.0,2465.0
165,48,29,121110,5423.0,4552.0,102.0,2184.0
166,48,29,121111,6653.0,5825.0,457.0,3097.0
167,48,29,121112,3916.0,3325.0,224.0,1497.0
168,48,29,121115,5305.0,4770.0,216.0,1567.0
169,48,29,121116,5524.0,4646.0,171.0,2085.0
170,48,29,121117,4356.0,3580.0,252.0,1640.0
171,48,29,121118,6206.0,4975.0,500.0,2028.0
172,48,29,121119,5272.0,4769.0,211.0,1780.0
173,48,29,121120,5504.0,4944.0,203.0,2442.0
174,48,29,121121,3156.0,2702.0,195.0,1004.0
175,48,29,121122,5436.0,4681.0,255.0,1938.0
176,48,29,121203,4080.0,3111.0,408.0,2587.0
177,48,29,121204,7269.0,5202.0,1522.0,2690.0
178,48,29,121205,4598.0,3742.0,608.0,2572.0
179,48,29,121206,8284.0,7202.0,746.0,4237.0
180,48,29,121300,6318.0,4969.0,827.0,2196.0
181,48,29,121402,6150.0,3676.0,1226.0,3903.0
182,48,29,121403,5975.0,3521.0,1287.0,2735.0
183,48,29,121404,4853.0,2967.0,1144.0,2794.0
184,48,29,121501,8762.0,5574.0,1652.0,3201.0
185,48,29,121504,7681.0,5638.0,1057.0,3288.0
186,48,29,121505,5102.0,3163.0,892.0,1741.0
187,48,29,121506,4750.0,3476.0,732.0,2510.0
188,48,29,121507,4498.0,3072.0,795.0,1663.0
189,48,29,121508,4727.0,2531.0,1403.0,1899.0
190,48,29,121601,5025.0,4032.0,527.0,2262.0
191,48,29,121604,8383.0,5855.0,1107.0,3155.0
192,48,29,121605,2186.0,1760.0,102.0,835.0
193,48,29,121606,5085.0,3852.0,774.0,1210.0
194,48,29,121701,3946.0,3291.0,194.0,1443.0
195,48,29,121702,7200.0,5481.0,592.0,2218.0
196,48,29,121802,8672.0,6956.0,582.0,4338.0
197,48,29,121803,4664.0,3554.0,492.0,2388.0
198,48,29,121804,7444.0,5735.0,865.0,3369.0
199,48,29,121808,3660.0,3090.0,203.0,1781.0
200,48,29,121809,5190.0,4472.0,272.0,2194.0
201,48,29,121810,4801.0,3906.0,501.0,2149.0
202,48,29,121811,5090.0,4601.0,262.0,2163.0
203,48,29,121812,6170.0,5248.0,323.0,2634.0
204,48,29,121813,1467.0,1362.0,40.0,611.0
205,48,29,121903,5512.0,5052.0,106.0,1120.0
206,48,29,121904,3649.0,2713.0,411.0,941.0
207,48,29,121905,5956.0,4437.0,328.0,1424.0
208,48,29,121906,5661.0,4855.0,223.0,1698.0
209,48,29,121907,10923.0,9084.0,664.0,4329.0
210,48,29,121908,2765.0,2252.0,87.0,876.0
211,48,29,121909,5933.0,3928.0,805.0,2347.0
212,48,29,121910,4840.0,3426.0,626.0,1623.0
213,48,29,130200,2269.0,802.0,575.0,1588.0
214,48,29,130300,3595.0,2503.0,386.0,3086.0
215,48,29,130401,4072.0,2927.0,479.0,3373.0
216,48,29,130402,4457.0,2613.0,1165.0,3173.0
217,48,29,130500,4920.0,2109.0,1662.0,3004.0
218,48,29,130600,4376.0,1791.0,1836.0,2297.0
219,48,29,130700,2262.0,1549.0,478.0,1510.0
220,48,29,130800,5651.0,2096.0,3011.0,2446.0
221,48,29,130900,4454.0,1966.0,1984.0,2105.0
222,48,29,131000,5394.0,2198.0,2552.0,2357.0
223,48,29,131100,2239.0,810.0,1086.0,1127.0
224,48,29,131200,3019.0,1734.0,1088.0,1439.0
225,48,29,131300,5401.0,3153.0,1782.0,2752.0
