rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,49,1,100100,3544.0,3522.0,9.0,283.0,2358,9,167
1,49,1,100200,2917.0,2710.0,1.0,411.0,2003,0,236
2,49,3,960100,2895.0,2829.0,15.0,78.0,1867,7,61
3,49,3,960200,7028.0,6850.0,0.0,418.0,4638,0,251
4,49,3,960300,8383.0,7142.0,0.0,1516.0,5515,0,771
5,49,3,960400,4770.0,4522.0,0.0,247.0,3184,0,139
6,49,3,960500,4994.0,4602.0,57.0,446.0,3458,50,355
7,49,3,960601,3661.0,3587.0,57.0,111.0,2533,12,68
8,49,3,960602,2483.0,2367.0,0.0,108.0,1833,0,88
9,49,3,960701,5167.0,4914.0,4.0,772.0,3445,0,457
10,49,3,960702,2452.0,2238.0,0.0,251.0,1795,0,147
11,49,3,960801,4647.0,4322.0,30.0,362.0,3066,3,205
12,49,3,960802,4511.0,4151.0,11.0,239.0,2847,11,139
13,49,5,101,4872.0,4684.0,19.0,285.0,3244,10,163
14,49,5,102,1663.0,1602.0,1.0,189.0,1116,0,105
15,49,5,201,3501.0,3412.0,0.0,229.0,2313,0,70
16,49,5,202,7323.0,6816.0,0.0,374.0,4449,0,227
17,49,5,300,7716.0,7170.0,64.0,1249.0,4825,36,681
18,49,5,401,3959.0,3472.0,16.0,263.0,2863,16,167
19,49,5,402,3416.0,3241.0,0.0,67.0,2325,0,59
20,49,5,403,6316.0,5880.0,8.0,230.0,3980,8,130
21,49,5,501,5494.0,4647.0,41.0,1160.0,3991,41,589
22,49,5,502,6185.0,4754.0,124.0,1337.0,4400,68,707
23,49,5,600,6162.0,5602.0,31.0,753.0,5297,22,488
24,49,5,701,4683.0,4350.0,157.0,113.0,3719,56,113
25,49,5,702,2975.0,2461.0,46.0,250.0,2747,22,235
26,49,5,800,4981.0,4611.0,65.0,453.0,4394,65,421
27,49,5,900,3223.0,2877.0,0.0,234.0,2556,0,174
28,49,5,1001,2764.0,1792.0,18.0,634.0,1947,13,475
29,49,5,1002,5044.0,3972.0,31.0,1376.0,3262,31,721
30,49,5,1101,5453.0,5192.0,0.0,305.0,3775,0,140
31,49,5,1102,4491.0,4281.0,22.0,74.0,3240,22,40
32,49,5,1201,5067.0,4788.0,15.0,172.0,3190,15,77
33,49,5,1202,6057.0,5546.0,53.0,707.0,3215,53,381
34,49,5,1300,6054.0,5847.0,83.0,143.0,3784,0,89
35,49,5,1401,4214.0,3803.0,87.0,556.0,2467,77,302
36,49,5,1402,3651.0,3374.0,0.0,883.0,2196,0,384
37,49,5,1500,2067.0,2020.0,5.0,89.0,1421,0,61
38,49,5,980100,118.0,118.0,0.0,0.0,97,0,0
39,49,7,100,3881.0,3742.0,0.0,528.0,2690,0,298
40,49,7,200,4686.0,4250.0,0.0,620.0,3454,0,347
41,49,7,300,4405.0,3714.0,136.0,672.0,3196,118,435
42,49,7,500,3980.0,3796.0,0.0,520.0,2879,0,411
43,49,7,600,3975.0,3839.0,1.0,374.0,3078,0,252
44,49,9,960100,776.0,755.0,0.0,18.0,593,0,15
45,49,11,125102,4446.0,4252.0,31.0,15.0,3023,31,15
46,49,11,125103,5062.0,4399.0,136.0,517.0,3270,90,312
47,49,11,125104,6435.0,6041.0,41.0,402.0,4199,36,253
48,49,11,125200,3350.0,2578.0,219.0,676.0,2130,171,364
49,49,11,125301,5141.0,4115.0,161.0,1069.0,3442,114,669
50,49,11,125303,10615.0,9927.0,138.0,942.0,6733,48,563
51,49,11,125304,5403.0,4549.0,47.0,613.0,3622,43,373
52,49,11,125305,6729.0,5455.0,65.0,1166.0,4636,54,789
53,49,11,125401,11976.0,11385.0,59.0,517.0,7346,17,390
54,49,11,125403,12611.0,11639.0,205.0,870.0,7228,124,359
55,49,11,125405,10204.0,9242.0,115.0,1378.0,5736,47,597
56,49,11,125406,7487.0,6410.0,219.0,817.0,4656,110,431
57,49,11,125501,5868.0,4722.0,0.0,893.0,3706,0,517
58,49,11,125502,5472.0,4800.0,92.0,980.0,3665,92,649
59,49,11,125503,5048.0,4590.0,43.0,434.0,3020,19,225
60,49,11,125600,163.0,112.0,27.0,39.0,140,19,31
61,49,11,125701,3931.0,3121.0,170.0,467.0,2584,105,241
62,49,11,125702,3764.0,3208.0,168.0,494.0,2379,89,335
63,49,11,125801,6886.0,5597.0,118.0,1729.0,5026,72,1137
64,49,11,125804,6825.0,5940.0,215.0,334.0,4787,192,205
65,49,11,125805,6588.0,5821.0,88.0,772.0,4580,76,562
66,49,11,125807,2961.0,1879.0,172.0,1055.0,2027,111,491
67,49,11,125808,5860.0,4539.0,77.0,1125.0,4569,77,726
68,49,11,125905,5840.0,4950.0,81.0,518.0,4313,81,267
69,49,11,125906,6944.0,6012.0,42.0,557.0,4744,0,366
70,49,11,125907,2003.0,1918.0,22.0,82.0,1513,22,33
71,49,11,125908,4695.0,4134.0,39.0,325.0,3310,39,249
72,49,11,126001,5009.0,4210.0,94.0,832.0,3636,94,582
73,49,11,126002,6241.0,5787.0,16.0,478.0,3643,0,317
