rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,51,1,90100,2930.0,2751.0,77.0,38.0,2480,37,28
1,51,1,90200,6505.0,4809.0,1669.0,331.0,4962,1164,186
2,51,1,90300,2458.0,1808.0,522.0,164.0,1979,462,90
3,51,1,90400,6328.0,3382.0,2459.0,1534.0,4869,2089,818
4,51,1,90500,2501.0,1722.0,749.0,237.0,1958,576,142
5,51,1,90600,3584.0,2864.0,668.0,30.0,3047,503,30
6,51,1,90700,4995.0,2952.0,1853.0,367.0,3803,1299,200
7,51,1,90800,3814.0,2233.0,1499.0,208.0,3077,1166,176
8,51,1,980100,0.0,0.0,0.0,0.0,0,0,0
9,51,1,980200,0.0,0.0,0.0,0.0,0,0,0
10,51,1,990100,0.0,0.0,0.0,0.0,0,0,0
11,51,3,10100,5423.0,4809.0,332.0,55.0,4367,241,21
12,51,3,10201,4536.0,3575.0,528.0,519.0,3480,437,316
13,51,3,10202,3155.0,2897.0,82.0,154.0,2435,49,90
14,51,3,10300,8833.0,7201.0,430.0,386.0,6276,357,209
15,51,3,10401,4516.0,3876.0,499.0,2.0,3560,394,2
16,51,3,10402,3245.0,3067.0,123.0,95.0,2594,101,76
17,51,3,10500,5238.0,4176.0,762.0,14.0,4144,594,0
18,51,3,10601,5841.0,4742.0,649.0,274.0,4506,555,127
19,51,3,10602,3341.0,2746.0,344.0,33.0,2533,175,33
20,51,3,10700,5788.0,3709.0,1471.0,741.0,4624,1159,516
21,51,3,10800,4736.0,3383.0,786.0,289.0,3931,484,280
22,51,3,10901,1835.0,1164.0,78.0,92.0,1717,78,87
23,51,3,10902,3229.0,2061.0,296.0,210.0,2997,293,165
24,51,3,10903,3838.0,2737.0,370.0,263.0,3813,370,248
25,51,3,11000,6071.0,5603.0,246.0,84.0,4608,116,48
26,51,3,11100,8077.0,7052.0,345.0,112.0,5619,243,47
27,51,3,11201,3870.0,3627.0,37.0,233.0,3137,37,208
28,51,3,11202,3361.0,2655.0,355.0,274.0,2508,269,160
29,51,3,11301,5648.0,5262.0,302.0,58.0,4712,214,58
30,51,3,11302,4267.0,3025.0,554.0,1395.0,3428,543,795
31,51,3,11303,3749.0,3115.0,296.0,322.0,3067,265,228
32,51,3,11400,4511.0,3577.0,773.0,246.0,3352,596,157
33,51,5,70100,4079.0,3405.0,478.0,147.0,3196,330,98
34,51,5,80100,2930.0,2808.0,95.0,0.0,2473,95,0
35,51,5,80201,2691.0,2565.0,105.0,60.0,2202,72,38
36,51,5,80202,2674.0,2530.0,144.0,13.0,2096,100,13
37,51,5,80301,2211.0,2166.0,23.0,3.0,1702,12,3
38,51,5,80302,1481.0,1430.0,5.0,9.0,1211,5,9
39,51,7,930100,7289.0,5122.0,1917.0,130.0,5461,1502,43
40,51,7,930200,5488.0,4249.0,1191.0,0.0,4590,1067,0
41,51,9,10100,5040.0,4217.0,615.0,174.0,4014,539,174
42,51,9,10200,7596.0,5831.0,1421.0,213.0,6327,1239,144
43,51,9,10300,3674.0,3192.0,315.0,26.0,2965,298,26
44,51,9,10401,3697.0,2793.0,783.0,47.0,2708,551,7
45,51,9,10402,3066.0,2331.0,477.0,80.0,2445,437,35
46,51,9,10502,339.0,265.0,65.0,0.0,291,57,0
47,51,9,10503,2321.0,1666.0,570.0,118.0,1746,362,59
48,51,9,10504,3534.0,2483.0,767.0,21.0,2886,557,10
49,51,9,10600,2881.0,1923.0,900.0,8.0,2219,734,8
50,51,11,40100,6542.0,4958.0,1454.0,69.0,5207,1086,32
51,51,11,40200,4486.0,3474.0,906.0,63.0,3374,700,39
52,51,11,40300,4180.0,3355.0,725.0,53.0,3292,491,51
53,51,13,100100,5083.0,4423.0,52.0,217.0,3580,37,166
54,51,13,100200,6848.0,6296.0,39.0,434.0,4797,39,222
55,51,13,100300,6017.0,5636.0,90.0,118.0,4567,68,78
56,51,13,100400,3919.0,3666.0,17.0,381.0,2726,17,240
57,51,13,100500,4799.0,3833.0,73.0,563.0,3564,73,365
58,51,13,100600,3268.0,2647.0,249.0,485.0,2608,211,370
59,51,13,100700,5680.0,4381.0,120.0,550.0,4191,120,447
60,51,13,100800,1617.0,817.0,482.0,220.0,1322,412,148
61,51,13,100900,4755.0,3864.0,191.0,539.0,3527,147,353
62,51,13,101000,3274.0,2690.0,183.0,139.0,2428,158,109
63,51,13,101100,5772.0,5238.0,4.0,234.0,4646,4,234
64,51,13,101200,4405.0,3119.0,194.0,952.0,3239,123,661
65,51,13,101300,6902.0,5551.0,66.0,494.0,5385,66,368
66,51,13,101401,1355.0,1102.0,147.0,69.0,1240,92,61
67,51,13,101402,3046.0,2352.0,91.0,204.0,2785,74,163
68,51,13,101403,5515.0,4299.0,148.0,408.0,5401,132,408
69,51,13,101404,4638.0,3467.0,182.0,520.0,4447,182,460
70,51,13,101500,7394.0,6287.0,271.0,748.0,6411,244,672
71,51,13,101601,1328.0,1077.0,14.0,208.0,1186,14,153
72,51,13,101602,1674.0,1324.0,84.0,234.0,1472,47,161
73,51,13,101603,3621.0,2655.0,377.0,226.0,3499,377,226
74,51,13,101701,3490.0,2743.0,293.0,684.0,3088,293,353
75,51,13,101702,4757.0,3291.0,162.0,659.0,4486,151,508
76,51,13,101703,1984.0,1664.0,155.0,42.0,1875,134,42
77,51,13,101801,2684.0,2132.0,23.0,143.0,2343,23,128
78,51,13,101802,6818.0,4594.0,194.0,1380.0,5935,194,1022
79,51,13,101803,4070.0,3169.0,225.0,480.0,3595,138,431
80,51,13,101900,3277.0,3010.0,46.0,223.0,2610,46,163
