rn,D16,R16
1,1149.185284730388,1393.7373393801965
2,207.19301192675962,535.2210884353741
3,885.3821602553335,391.4142101284958
4,246.8200907105661,528.7335600907029
5,1461.6731059969761,1744.0638699924416
6,1902.0997816227111,1491.0502645502645
7,156.24391063329415,377.3578987150416
8,502.6977994288594,1284.5306122448978
9,198.13539391903242,597.9338624338625
11,2402.6128016789085,1687.7356051028617
12,2540.2381951731377,2194.6096425698197
13,2400.280167890871,1584.811400988392
14,1132.49370409234,723.789564417883
15,1250.2917103882478,1025.9219055281
16,1060.1820566631689,1103.391736582002
17,1897.5975865687303,910.823870819446
18,2027.0587618048269,982.7601425123548
19,1589.6899265477439,655.1734283415699
20,1560.5320041972718,440.4713251350419
21,1289.94648478489,449.32502011263074
25,2939.1185729275976,1497.3811630847028
27,3692.5592864637983,2359.5097115274107
29,2154.1873032528856,1872.5564877600277
31,2563.5645330535153,890.9030571198713
32,685.794333683106,429.404206413056
33,795.9663608562691,963.6398062527521
34,322.3608562691131,757.6054601497137
35,336.71253822629967,869.2073976221928
36,459.2538226299694,1413.2668428005284
37,220.04699055596257,560.5114330875529
38,170.01223241590213,521.5244385733157
39,1276.8000000000002,2940.6754113999523
40,851.2,1767.3245886000477
41,873.6641692375495,2509.892884721456
42,1278.1795945350375,2048.8702702702703
43,241.81776112825034,636.8544953116382
44,216.1873071837814,413.84820739106453
45,792.3153371529309,1594.280529509101
48,908.2095636844425,1521.3746276889135
49,746.6262670780079,993.8789851075564
50,751.9209968186638,2586.3737392603657
51,699.3616118769884,1672.656892043332
52,571.7173913043478,1455.9693686963017
53,2710.2294077940037,801.4100976574966
54,3070.7853603121553,898.0431480181273
55,1343.7526465697492,628.7590476798366
56,1352.8422924315514,444.51203165890087
57,1860.347519715504,530.8375566477309
58,1772.4809430514167,383.95532009957236
59,2260.291937634798,456.10799770217653
61,3679.7916330528988,811.7176230292972
63,1895.1911621857457,434.2045062871003
64,2763.25234198785,651.950979766388
65,3294.9966249032746,792.3910129571711
67,1490.7019213355507,288.6107104104168
