rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,50,1,960100,3811.0,3689.0,9.0,26.0,2907,3,19
1,50,1,960200,2774.0,2715.0,19.0,38.0,2241,6,38
2,50,1,960300,2629.0,2458.0,42.0,19.0,2179,41,4
3,50,1,960400,5095.0,4965.0,16.0,160.0,4035,15,114
4,50,1,960500,3903.0,3769.0,81.0,61.0,3084,54,49
5,50,1,960600,2702.0,2619.0,0.0,22.0,2179,0,10
6,50,1,960700,3909.0,3480.0,77.0,29.0,3121,51,29
7,50,1,960800,4621.0,4059.0,72.0,228.0,4268,60,216
8,50,1,960900,5147.0,5027.0,30.0,132.0,4126,16,111
9,50,1,961000,2352.0,2272.0,9.0,44.0,1891,0,23
10,50,3,970200,2172.0,2159.0,0.0,32.0,1719,0,19
11,50,3,970300,1076.0,1031.0,9.0,18.0,865,9,5
12,50,3,970400,4339.0,4269.0,10.0,84.0,3426,6,59
13,50,3,970500,983.0,973.0,4.0,30.0,840,3,30
14,50,3,970600,3064.0,3021.0,1.0,21.0,2564,1,21
15,50,3,970700,2453.0,2396.0,2.0,28.0,1999,0,28
16,50,3,970800,3535.0,3503.0,0.0,57.0,2770,0,57
17,50,3,970900,2017.0,1943.0,2.0,35.0,1566,2,16
18,50,3,971000,3841.0,3518.0,61.0,206.0,3204,58,176
19,50,3,971100,4740.0,4572.0,6.0,50.0,3706,6,8
20,50,3,971200,4885.0,4534.0,85.0,64.0,4059,82,64
21,50,3,971300,3484.0,3335.0,0.0,0.0,2750,0,0
22,50,5,957000,4316.0,4184.0,19.0,50.0,3351,6,20
23,50,5,957100,2012.0,1971.0,8.0,27.0,1523,6,12
24,50,5,957200,2626.0,2600.0,0.0,16.0,2185,0,12
25,50,5,957300,3322.0,3170.0,68.0,27.0,2590,68,27
26,50,5,957400,3693.0,3471.0,28.0,74.0,3016,28,74
27,50,5,957500,3842.0,3691.0,0.0,182.0,3109,0,142
28,50,5,957600,2203.0,2199.0,0.0,21.0,1807,0,8
29,50,5,957700,2949.0,2756.0,36.0,0.0,2225,36,0
30,50,5,957800,2884.0,2823.0,9.0,14.0,2324,9,14
31,50,5,957900,3165.0,3062.0,23.0,17.0,2481,0,5
32,50,7,100,4257.0,3661.0,282.0,306.0,3276,72,136
33,50,7,200,5624.0,5046.0,180.0,47.0,4371,88,47
34,50,7,300,3589.0,2293.0,363.0,0.0,2935,242,0
35,50,7,400,3333.0,2493.0,225.0,17.0,3043,192,17
36,50,7,500,4461.0,4023.0,273.0,80.0,4297,213,78
37,50,7,600,5121.0,4551.0,197.0,123.0,4708,160,119
38,50,7,800,2723.0,2463.0,59.0,122.0,2126,16,102
39,50,7,900,2627.0,2445.0,62.0,44.0,2430,62,44
40,50,7,1000,2398.0,2006.0,167.0,100.0,2192,131,100
41,50,7,1100,2178.0,1999.0,26.0,70.0,1732,13,52
42,50,7,2101,2728.0,2610.0,8.0,22.0,2084,8,22
43,50,7,2102,7882.0,7589.0,20.0,30.0,6082,10,20
44,50,7,2200,8308.0,7703.0,120.0,237.0,7051,92,219
45,50,7,2301,2319.0,2194.0,8.0,26.0,1793,4,14
46,50,7,2302,6666.0,6453.0,61.0,59.0,5250,19,31
47,50,7,2400,3093.0,2567.0,203.0,83.0,2447,116,67
48,50,7,2500,4130.0,3565.0,106.0,82.0,3591,71,56
49,50,7,2601,5448.0,4960.0,185.0,38.0,4213,69,38
50,50,7,2602,4261.0,3835.0,102.0,80.0,3245,76,69
51,50,7,2701,5685.0,5069.0,342.0,212.0,4425,236,116
52,50,7,2702,5025.0,4940.0,18.0,96.0,3759,14,40
53,50,7,2800,5043.0,4943.0,24.0,41.0,3741,12,41
54,50,7,2900,6310.0,6121.0,21.0,33.0,4992,8,24
55,50,7,3000,4115.0,3941.0,50.0,8.0,3133,12,0
56,50,7,3100,9054.0,8536.0,104.0,136.0,6854,57,99
57,50,7,3301,3794.0,3424.0,51.0,62.0,2878,28,19
58,50,7,3304,6038.0,5485.0,136.0,91.0,5011,122,90
