rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,53,1,950100,2395.0,2248.0,4.0,112.0,1812,4,70
1,53,1,950200,1621.0,1454.0,0.0,205.0,1178,0,129
2,53,1,950300,7099.0,4130.0,27.0,5336.0,4380,27,2906
3,53,1,950400,3123.0,2236.0,8.0,2124.0,1964,0,1213
4,53,1,950500,4843.0,2825.0,0.0,3951.0,3024,0,2314
5,53,3,960100,4247.0,3798.0,0.0,81.0,3396,0,42
6,53,3,960200,4845.0,4585.0,39.0,166.0,3921,10,103
7,53,3,960300,3314.0,3117.0,22.0,60.0,2613,22,42
8,53,3,960400,2250.0,2131.0,29.0,107.0,1810,5,60
9,53,3,960500,3868.0,3602.0,8.0,249.0,2941,8,103
10,53,3,960600,3516.0,3381.0,0.0,121.0,2721,0,107
11,53,5,10100,4521.0,4056.0,0.0,178.0,3575,0,121
12,53,5,10201,5057.0,4487.0,185.0,359.0,3813,87,210
13,53,5,10202,6375.0,5100.0,16.0,1239.0,4788,16,502
14,53,5,10300,5704.0,4881.0,9.0,558.0,4213,9,346
15,53,5,10400,3453.0,2986.0,29.0,478.0,2646,29,279
16,53,5,10500,3411.0,2570.0,53.0,567.0,2063,31,242
17,53,5,10600,4177.0,3420.0,79.0,632.0,3114,24,355
18,53,5,10701,2153.0,1957.0,36.0,161.0,1623,11,75
19,53,5,10703,3348.0,2849.0,13.0,454.0,2511,0,232
20,53,5,10705,5300.0,5042.0,32.0,353.0,3909,32,168
21,53,5,10707,3028.0,2806.0,9.0,264.0,2003,0,119
22,53,5,10708,2449.0,2091.0,21.0,410.0,1841,21,248
23,53,5,10803,7611.0,6554.0,52.0,923.0,5834,8,411
24,53,5,10805,6149.0,5053.0,213.0,296.0,4779,95,187
25,53,5,10807,1151.0,1001.0,0.0,107.0,785,0,98
26,53,5,10809,6210.0,5455.0,61.0,760.0,4773,25,519
27,53,5,10810,5267.0,4970.0,0.0,234.0,3941,0,123
