rn,state,cid,tract,bgroup,pop,black,hispanic,total_vap,black_vap,hispanic_vap
0,55,1,950100,1,1057,1,17,915,1,7
1,55,1,950100,2,797,0,3,702,0,2
2,55,1,950100,3,1119,2,8,968,2,5
3,55,1,950201,1,1379,5,24,1164,3,15
4,55,1,950202,1,823,0,20,697,0,14
5,55,1,950202,2,926,3,21,806,2,14
6,55,1,950202,3,925,7,22,792,6,17
7,55,1,950400,1,710,1,18,586,1,13
8,55,1,950400,2,1105,6,43,864,3,25
9,55,1,950400,3,1161,18,29,870,12,11
10,55,1,950400,4,1791,28,62,1444,21,30
11,55,1,950501,1,854,1,27,695,1,16
12,55,1,950501,2,615,3,2,542,3,2
13,55,1,950502,1,2632,528,369,2371,527,355
14,55,1,950502,2,1480,4,31,1180,3,16
15,55,1,950700,1,961,12,18,830,8,10
16,55,1,950700,2,979,6,33,796,4,18
17,55,1,950700,3,1561,8,36,1232,6,18
18,55,3,940000,1,1867,4,77,1277,2,40
19,55,3,950300,1,1906,5,40,1592,5,28
20,55,3,950300,2,790,8,25,606,3,14
21,55,3,950400,1,1005,0,22,801,0,12
22,55,3,950400,2,654,3,18,481,3,6
23,55,3,950400,3,751,6,7,638,3,6
24,55,3,950500,1,1430,0,11,976,0,5
25,55,3,950500,2,771,2,0,559,1,0
26,55,3,950600,1,805,2,13,636,1,9
27,55,3,950600,2,586,0,6,496,0,4
28,55,3,950700,1,794,0,3,620,0,2
29,55,3,950700,2,532,0,1,410,0,1
30,55,3,950700,3,880,2,9,710,1,4
31,55,3,950800,1,261,1,6,221,1,2
32,55,3,950800,2,1362,10,28,1028,6,14
33,55,3,950800,3,974,1,17,738,1,10
34,55,3,950800,4,789,4,19,624,3,10
35,55,5,100,1,864,0,7,715,0,4
36,55,5,100,2,1272,7,15,997,4,8
37,55,5,100,3,985,7,8,794,3,6
38,55,5,100,4,708,0,7,569,0,2
39,55,5,200,1,1026,2,17,779,0,9
40,55,5,200,2,1704,9,43,1382,3,22
41,55,5,200,3,1203,1,25,957,1,17
42,55,5,300,1,1381,1,11,1107,1,9
43,55,5,300,2,1085,2,16,856,0,7
44,55,5,300,3,963,0,6,725,0,4
45,55,5,300,4,786,1,23,592,1,12
46,55,5,400,1,1014,3,46,771,2,25
47,55,5,400,2,1631,202,53,1262,143,30
48,55,5,400,3,647,2,25,492,1,14
49,55,5,400,4,1217,64,36,949,53,22
50,55,5,400,5,956,38,32,745,25,21
51,55,5,500,1,674,4,5,509,3,1
52,55,5,500,2,1545,4,23,1190,4,13
53,55,5,500,3,1210,3,27,950,2,14
54,55,5,500,4,813,7,18,630,3,9
55,55,5,600,1,1443,1,22,1141,0,11
56,55,5,600,2,773,3,17,657,3,12
57,55,5,600,3,873,1,34,705,1,21
58,55,5,600,4,2099,5,66,1687,3,44
59,55,5,600,5,994,4,37,760,2,22
60,55,5,800,1,1033,5,29,737,5,17
61,55,5,800,2,2121,3,27,1638,3,15
62,55,5,800,3,2281,7,35,1702,5,21
63,55,5,900,1,788,2,8,601,1,5
64,55,5,900,2,1317,1,25,957,0,11
65,55,5,900,3,1063,6,7,792,1,4
66,55,5,900,4,893,1,13,671,0,10
67,55,5,900,5,1062,1,21,814,1,12
68,55,5,1001,1,642,0,2,502,0,1
69,55,5,1001,2,1232,2,7,928,1,3
70,55,5,1002,1,1030,2,18,794,1,7
71,55,5,1002,2,744,0,2,619,0,2
72,55,5,1002,3,1569,3,20,1274,3,8
73,55,5,1002,4,1514,2,22,1243,0,15
74,55,5,1002,5,715,1,7,527,1,4
75,55,7,960100,1,723,1,13,623,1,5
76,55,7,960100,2,1990,6,47,1514,1,20
77,55,7,960200,1,716,2,9,541,0,6
78,55,7,960200,2,963,0,4,842,0,4
79,55,7,960300,1,1059,7,23,800,2,15
80,55,7,960300,2,1353,13,11,1111,8,9
81,55,7,960300,3,1249,1,13,1026,0,11
82,55,7,960400,1,1495,3,8,1190,1,4
83,55,7,960400,2,730,6,11,548,3,4
84,55,7,960400,3,871,0,4,657,0,3
85,55,7,960400,4,1830,5,8,1526,5,5
86,55,7,960600,1,1259,2,4,1082,0,4
87,55,7,960600,2,776,0,3,701,0,1
88,55,7,990000,0,0,0,0,0,0,0
89,55,9,100,1,1457,86,140,1055,52,67
90,55,9,100,2,1233,102,183,820,48,92
91,55,9,200,1,808,71,36,580,44,21
92,55,9,200,2,849,40,38,660,25,18
93,55,9,200,3,1074,66,95,791,42,44
94,55,9,200,4,1046,14,26,805,7,10
95,55,9,200,5,963,18,38,783,13,26
96,55,9,200,6,1223,12,49,956,8,30
97,55,9,302,1,1259,127,176,953,79,107
98,55,9,302,2,1471,41,68,1202,30,34
99,55,9,302,3,1823,52,68,1455,34,41
100,55,9,303,1,1339,28,55,1014,13,19
101,55,9,303,2,1472,103,75,1186,75,38
102,55,9,401,1,1321,24,51,1036,14,25
103,55,9,401,2,819,33,91,647,22,61
104,55,9,401,3,924,62,101,768,40,61
105,55,9,401,4,1568,54,150,1288,36,93
106,55,9,402,1,828,3,51,658,0,28
107,55,9,402,2,824,6,12,651,3,6
108,55,9,402,3,691,11,28,544,4,12
109,55,9,500,1,800,63,87,574,31,36
110,55,9,500,2,741,72,89,509,46,46
111,55,9,500,3,760,23,76,548,15,38
112,55,9,500,4,652,24,24,486,16,15
113,55,9,600,1,826,2,13,654,2,6
114,55,9,600,2,702,10,27,563,5,16
115,55,9,600,3,770,16,40,589,9,17
116,55,9,600,4,722,7,26,576,6,16
117,55,9,600,5,1077,14,41,828,9,22
118,55,9,700,1,900,24,115,679,21,63
119,55,9,700,2,1203,53,100,851,31,56
120,55,9,700,3,1200,41,114,900,26,68
121,55,9,700,4,1642,21,87,1291,11,38
122,55,9,800,1,786,73,94,641,50,69
123,55,9,800,2,1049,133,202,659,64,90
124,55,9,900,1,670,13,212,491,9,124
125,55,9,900,2,959,22,471,673,12,284
126,55,9,900,3,778,60,261,512,36,133
127,55,9,900,4,808,18,332,523,11,175
128,55,9,900,5,814,39,377,534,26,206
129,55,9,1000,1,1538,120,91,1373,96,74
130,55,9,1100,1,552,44,141,356,21,67
131,55,9,1100,2,1529,72,500,1045,46,273
132,55,9,1200,1,1233,161,376,827,83,202
133,55,9,1200,2,1090,126,231,750,67,121
134,55,9,1300,1,649,38,148,450,18,75
135,55,9,1300,2,726,43,92,583,27,50
136,55,9,1300,3,808,11,71,585,7,40
137,55,9,1300,4,839,15,43,621,8,22
138,55,9,1400,1,828,36,176,607,19,102
139,55,9,1400,2,744,13,86,559,8,47
140,55,9,1400,3,710,5,36,548,3,22
141,55,9,1400,4,919,51,282,639,31,157
142,55,9,1400,5,603,22,97,458,10,54
143,55,9,1600,1,1720,42,368,1252,23,203
144,55,9,1600,2,1660,89,393,1193,54,236
145,55,9,1600,3,1287,63,414,915,34,226
146,55,9,1600,4,1838,125,997,1206,71,586
147,55,9,1701,1,941,25,366,637,12,216
148,55,9,1701,2,2587,97,962,1899,58,562
149,55,9,1702,1,1173,40,299,926,32,168
150,55,9,1702,2,1136,95,580,799,59,356
151,55,9,1702,3,1220,31,274,1007,26,163
152,55,9,1801,1,1238,6,37,959,6,22
153,55,9,1801,2,1060,15,117,829,15,62
154,55,9,1801,3,1374,143,158,1130,125,116
155,55,9,1801,4,1299,8,89,1035,5,55
156,55,9,1802,1,2119,16,54,2009,15,38
157,55,9,1802,2,3330,41,65,2298,20,35
158,55,9,2001,1,1943,31,471,1597,23,297
159,55,9,2001,2,1104,32,81,832,17,46
160,55,9,2001,3,853,36,128,651,22,78
161,55,9,2001,4,1476,26,79,1102,13,39
162,55,9,2001,5,1227,14,108,953,8,62
163,55,9,2001,6,678,5,21,530,3,14
164,55,9,2001,7,941,24,55,660,11,24
165,55,9,2002,1,2968,43,320,2250,26,181
166,55,9,2002,2,2189,25,198,1595,15,111
167,55,9,2003,1,3278,38,173,2373,18,84
168,55,9,10100,1,2567,11,46,1829,11,21
169,55,9,10100,2,1081,7,10,810,3,8
170,55,9,10100,3,874,9,6,715,4,3
171,55,9,10100,4,1732,14,37,1255,9,16
172,55,9,10201,1,1070,13,25,891,10,17
173,55,9,10201,2,2493,23,74,2345,22,63
174,55,9,10201,3,1018,28,26,735,16,16
175,55,9,10202,1,909,3,8,759,1,4
176,55,9,10202,2,1993,22,40,1450,12,21
177,55,9,10202,3,2100,26,42,1564,12,15
178,55,9,10300,1,581,9,14,428,7,10
179,55,9,10300,2,1115,6,17,811,1,9
180,55,9,10300,3,1012,12,56,730,8,33
181,55,9,10300,4,566,2,18,454,2,11
182,55,9,10300,5,2465,19,32,1787,16,24
183,55,9,10300,6,1153,3,20,860,3,8
184,55,9,20100,1,1930,4,32,1471,2,15
185,55,9,20100,2,2718,3,39,2110,2,20
186,55,9,20100,3,997,0,5,772,0,3
187,55,9,20203,1,2323,6,20,1687,3,9
188,55,9,20203,2,1839,2,21,1407,1,13
189,55,9,20203,3,2205,7,25,1515,3,11
190,55,9,20204,1,1127,3,19,870,1,11
191,55,9,20204,2,2073,8,18,1471,3,10
192,55,9,20204,3,1779,4,9,1272,2,5
193,55,9,20502,1,1273,56,49,975,36,22
194,55,9,20502,2,2830,136,145,2176,82,84
195,55,9,20502,3,1203,13,20,880,7,10
196,55,9,20503,1,2525,9,46,1886,5,23
197,55,9,20503,2,1185,3,26,893,1,12
198,55,9,20503,3,1215,3,12,955,2,8
199,55,9,20503,4,2780,25,49,1926,9,19
200,55,9,20504,1,2558,8,38,1809,2,19
201,55,9,20504,2,1830,8,25,1256,3,9
202,55,9,20600,1,1508,2,3,1137,2,1
203,55,9,20600,2,1166,0,9,854,0,2
204,55,9,20600,3,1517,8,32,1139,6,21
205,55,9,20600,4,981,0,21,742,0,6
206,55,9,20702,1,4793,68,59,3211,34,33
207,55,9,20702,2,1091,0,16,806,0,6
208,55,9,20703,1,1220,1,26,873,0,15
209,55,9,20703,2,3109,31,75,2253,14,40
210,55,9,20703,3,2634,25,100,1906,12,57
211,55,9,20704,1,2216,22,198,1640,9,113
212,55,9,20704,2,1549,39,124,1285,26,74
213,55,9,20704,3,2309,27,802,1727,20,423
214,55,9,20704,4,1636,4,59,1212,4,27
215,55,9,20800,1,1198,8,60,929,4,30
216,55,9,20800,2,1032,5,39,872,3,22
217,55,9,20900,1,786,14,28,607,7,19
218,55,9,20900,2,1035,2,15,805,2,6
219,55,9,20900,3,950,9,20,729,4,10
220,55,9,21000,1,709,10,20,532,7,8
221,55,9,21000,2,1268,8,20,995,4,10
222,55,9,21000,3,754,4,17,629,4,11
223,55,9,21100,1,1092,574,11,1089,572,11
224,55,9,21200,1,954,4,34,745,4,16
225,55,9,21200,2,996,6,28,775,2,15
226,55,9,21200,3,2544,50,76,1887,24,43
227,55,9,21200,4,657,9,15,515,1,6
228,55,9,21301,1,912,5,15,780,3,12
229,55,9,21301,2,615,4,9,479,2,3
230,55,9,21301,3,1778,13,70,1358,11,28
231,55,9,21302,1,2343,9,79,1778,3,37
232,55,9,21302,2,1905,17,42,1452,11,25
233,55,9,21302,3,1935,16,34,1523,9,21
234,55,9,21303,1,999,10,36,747,7,13
235,55,9,21303,2,751,29,67,600,25,46
236,55,9,21303,3,868,34,29,692,20,14
237,55,9,21303,4,1337,23,37,1143,16,24
238,55,9,21304,1,2117,35,62,1747,23,40
239,55,9,21400,1,2151,16,45,1559,10,18
240,55,9,21400,2,1844,11,90,1326,1,60
241,55,9,21400,3,3043,23,130,2095,14,83
242,55,9,21500,1,1636,0,24,1170,0,13
243,55,9,21500,2,1482,3,32,1105,1,15
244,55,9,21600,1,1320,8,3,1041,6,2
245,55,9,21600,2,2178,10,53,1550,4,31
246,55,9,21600,3,1212,0,14,883,0,8
247,55,9,21600,4,1219,2,13,874,0,7
248,55,9,940001,1,821,7,7,589,2,4
249,55,9,940001,2,2343,11,44,1722,6,25
250,55,9,940001,3,6653,45,100,4979,30,58
251,55,9,940001,4,1952,6,22,1340,3,8
252,55,9,940001,5,1631,7,19,1196,3,11
253,55,9,940001,6,1185,6,68,852,4,30
254,55,9,940002,1,2865,23,52,2045,15,28
255,55,9,940002,2,1864,34,86,1350,17,35
256,55,9,940003,1,1708,27,82,1333,18,50
257,55,9,940003,2,1590,25,39,1246,15,19
258,55,9,940004,1,742,19,32,580,16,17
259,55,9,940004,2,887,25,42,642,11,18
260,55,9,940004,3,1040,5,36,789,2,19
261,55,11,960100,1,1243,1,16,917,0,9
262,55,11,960100,2,710,3,19,530,1,9
263,55,11,960100,3,773,0,7,548,0,4
264,55,11,960200,1,1315,9,17,1026,5,12
265,55,11,960200,2,1585,10,23,1178,7,9
266,55,11,960300,1,703,0,5,582,0,4
267,55,11,960300,2,726,1,11,608,1,5
268,55,11,960300,3,734,0,28,589,0,20
269,55,11,960400,1,772,2,27,620,1,21
270,55,11,960400,2,1746,1,11,1407,0,6
271,55,11,960500,1,1112,4,5,846,0,3
272,55,11,960500,2,834,1,9,704,1,3
273,55,11,960500,3,1334,5,59,1011,1,31
274,55,13,970400,1,875,6,5,772,4,2
275,55,13,970400,2,1306,6,15,1136,5,9
276,55,13,970400,3,1599,20,21,1263,7,9
277,55,13,970600,1,1226,10,14,999,4,7
278,55,13,970600,2,687,1,7,544,1,7
279,55,13,970700,1,1223,2,5,1028,0,4
280,55,13,970700,2,1266,2,24,1016,2,11
281,55,13,970800,1,1288,2,16,987,0,6
282,55,13,970800,2,1041,3,18,827,0,11
283,55,13,970900,1,1554,12,29,1146,4,17
284,55,13,970900,2,1465,14,15,1131,5,7
285,55,13,971000,1,681,0,16,526,0,14
286,55,13,971000,2,1246,3,9,1000,3,3
287,55,15,20100,1,1385,3,16,1030,1,7
288,55,15,20100,2,1162,0,32,886,0,21
289,55,15,20100,3,1235,2,48,919,2,29
290,55,15,20100,4,852,3,9,616,0,4
291,55,15,20200,1,933,3,32,677,0,20
292,55,15,20200,2,1243,0,92,938,0,55
293,55,15,20200,3,935,3,12,691,0,6
294,55,15,20200,4,797,8,9,607,3,6
295,55,15,20303,1,1390,13,82,1024,5,50
296,55,15,20303,2,1179,5,64,872,3,41
297,55,15,20303,3,1309,5,47,1003,4,24
298,55,15,20304,1,1079,29,98,761,16,48
299,55,15,20304,2,839,10,27,592,8,13
300,55,15,20304,3,1909,57,199,1407,39,112
301,55,15,20306,1,2176,10,28,1634,5,10
302,55,15,20306,2,2792,14,72,1831,5,32
303,55,15,20306,3,1485,7,24,1082,2,10
304,55,15,20308,1,1650,0,31,1149,0,19
305,55,15,20308,2,1347,11,84,985,9,41
306,55,15,20400,1,1097,1,10,875,1,5
307,55,15,20400,2,989,0,8,797,0,5
308,55,15,20400,3,1335,3,27,1028,2,12
309,55,15,20500,1,1348,4,45,1004,3,20
310,55,15,20500,2,2629,6,105,2044,4,58
311,55,15,20500,3,1129,3,28,836,2,16
312,55,15,20600,1,1085,1,50,852,1,29
313,55,15,20600,2,1013,4,23,781,4,10
314,55,15,20600,3,1794,2,39,1451,2,20
315,55,15,20600,4,1161,0,25,876,0,11
316,55,15,20700,1,4136,12,72,2623,6,33
317,55,15,20800,1,1819,3,170,1289,0,90
318,55,15,20800,2,1957,15,43,1408,11,20
319,55,15,20800,3,1782,9,39,1165,5,24
320,55,17,10100,1,1185,4,14,913,1,8
321,55,17,10100,2,1819,24,29,1301,12,16
322,55,17,10200,1,2312,14,30,1786,8,18
323,55,17,10200,2,2764,16,67,1991,7,31
324,55,17,10200,3,1691,8,28,1302,4,17
325,55,17,10300,1,729,12,16,627,7,12
326,55,17,10300,2,791,0,14,594,0,11
327,55,17,10300,3,754,5,4,556,1,2
328,55,17,10300,4,944,7,13,710,3,7
329,55,17,10300,5,1281,4,14,963,0,7
330,55,17,10300,6,966,2,25,733,2,11
331,55,17,10400,1,2340,4,22,1779,2,15
332,55,17,10400,2,1191,2,9,899,0,7
333,55,17,10400,3,1345,5,10,1032,2,4
334,55,17,10500,1,778,7,14,597,4,7
335,55,17,10500,2,1076,13,11,798,7,9
336,55,17,10500,3,1047,6,7,755,4,6
337,55,17,10500,4,2477,158,55,2054,150,39
338,55,17,10700,1,961,6,7,777,4,4
339,55,17,10700,2,2505,7,20,1910,3,12
340,55,17,10700,3,3760,17,43,2815,8,27
341,55,17,10800,1,850,4,0,630,4,0
342,55,17,10800,2,1061,1,11,766,0,6
343,55,17,10800,3,1563,1,7,1211,1,3
344,55,17,10800,4,1102,1,21,736,0,11
345,55,17,10800,5,2485,573,88,2250,573,84
346,55,17,10900,1,933,1,11,712,0,6
347,55,17,10900,2,827,0,4,636,0,4
348,55,17,10900,3,1075,0,17,779,0,16
349,55,17,10900,4,1985,29,29,1473,11,16
350,55,17,11000,1,1391,1,16,1122,1,10
351,55,17,11000,2,813,3,1,602,0,1
352,55,17,11000,3,914,9,8,718,5,2
353,55,17,11000,4,1395,1,7,1102,0,5
354,55,17,11000,5,1403,8,6,1098,4,3
355,55,17,11000,6,1169,2,22,882,2,9
356,55,17,11100,1,838,2,4,704,2,2
357,55,17,11100,2,868,2,2,664,2,2
358,55,17,11100,3,1084,4,8,834,2,4
359,55,17,11100,4,1287,4,16,925,1,12
360,55,17,11200,1,677,2,5,525,2,3
361,55,17,11200,2,1640,5,19,1275,4,9
362,55,17,11200,3,820,1,7,620,1,3
363,55,17,11200,4,1288,1,7,957,0,6
364,55,17,11200,5,692,1,2,502,1,2
365,55,17,11200,6,1539,5,30,1091,4,14
366,55,19,950100,1,1311,6,149,964,3,88
367,55,19,950100,2,1101,4,139,793,4,87
368,55,19,950100,3,1087,1,193,792,1,116
369,55,19,950100,4,1451,8,148,1092,1,75
370,55,19,950200,1,1376,2,22,879,1,15
371,55,19,950200,2,914,5,37,714,2,23
372,55,19,950200,3,1276,6,119,840,3,72
373,55,19,950200,4,954,0,14,749,0,8
374,55,19,950300,1,1165,0,13,744,0,5
375,55,19,950300,2,1434,1,27,914,1,13
376,55,19,950300,3,1125,0,10,849,0,6
377,55,19,950300,4,626,0,5,467,0,4
378,55,19,950400,1,900,0,7,580,0,5
379,55,19,950400,2,769,3,0,543,1,0
380,55,19,950400,3,1169,2,6,698,1,1
381,55,19,950400,4,1150,10,15,894,5,9
382,55,19,950500,1,1579,4,42,1087,3,25
383,55,19,950500,2,1258,0,18,733,0,10
384,55,19,950500,3,1482,2,28,979,1,16
385,55,19,950500,4,958,0,6,701,0,4
386,55,19,950600,1,978,3,27,703,3,15
387,55,19,950600,2,1819,2,80,1194,0,54
388,55,19,950600,3,1140,0,32,782,0,22
389,55,19,950600,4,860,0,19,645,0,14
390,55,19,950700,1,1930,3,45,1417,3,27
391,55,19,950700,2,1037,4,16,805,3,8
392,55,19,950700,3,668,7,18,548,6,14
393,55,19,950800,1,1186,2,13,940,2,8
394,55,19,950800,2,1987,5,44,1553,4,26
395,55,21,970100,1,1113,8,22,796,4,15
396,55,21,970100,2,1217,1,11,852,1,7
397,55,21,970100,3,831,6,93,601,2,49
398,55,21,970100,4,992,2,32,711,1,15
399,55,21,970200,1,941,0,32,634,0,22
400,55,21,970200,2,1417,1,6,1141,1,4
401,55,21,970200,3,1841,6,38,1385,3,19
402,55,21,970200,4,1669,6,24,1291,2,16
403,55,21,970300,1,1420,3,87,1108,3,56
404,55,21,970300,2,1304,1,30,1079,1,22
405,55,21,970300,3,1284,16,71,1056,12,50
406,55,21,970400,1,2655,414,137,2259,407,105
407,55,21,970400,2,1190,19,44,865,8,22
408,55,21,970400,3,843,0,21,631,0,9
409,55,21,970400,4,623,2,16,450,2,10
410,55,21,970400,5,1246,14,35,990,10,23
411,55,21,970500,1,665,4,33,513,4,22
412,55,21,970500,2,1643,53,62,1245,47,47
413,55,21,970500,3,1361,5,58,1027,5,33
414,55,21,970500,4,647,8,24,482,5,14
415,55,21,970600,1,1330,6,17,1077,6,12
416,55,21,970600,2,1764,0,37,1350,0,17
417,55,21,970600,3,1538,7,4,1295,3,1
418,55,21,970700,1,626,1,6,508,1,4
419,55,21,970700,2,1324,4,22,995,3,12
420,55,21,970700,3,901,1,1,734,1,1
421,55,21,970700,4,1355,20,14,992,9,7
422,55,21,970800,1,1621,9,33,1182,3,17
423,55,21,970800,2,1963,4,34,1477,4,19
424,55,21,970800,3,928,1,21,729,1,11
425,55,21,970800,4,1093,2,9,815,0,2
426,55,21,970900,1,1505,12,15,1114,7,7
427,55,21,970900,2,1931,5,28,1442,2,13
428,55,21,970900,3,1259,4,15,1029,0,14
429,55,21,971000,1,1107,2,14,825,2,5
430,55,21,971000,2,1092,2,21,865,1,11
431,55,21,971000,3,805,2,8,642,1,8
432,55,21,971000,4,967,0,17,780,0,10
433,55,21,971100,1,1540,6,44,1177,1,19
434,55,21,971100,2,2082,12,43,1455,7,18
435,55,21,971200,1,747,9,41,571,7,24
436,55,21,971200,2,1436,10,48,1106,9,28
437,55,21,971200,3,1815,27,36,1419,18,18
438,55,21,971200,4,1202,2,40,871,0,27
439,55,23,960100,1,1047,1,6,819,0,3
440,55,23,960100,2,862,1,8,675,1,6
