rn,D04,R04,D08,R08,D12,R12,D16,R16
0,416.0,524.0,437.0,489.0,228.0,324.0,167.0,360.0
1,157.0,186.0,162.0,166.0,151.0,187.0,132.0,215.0
2,330.0,392.0,355.0,360.0,497.0,616.0,434.0,710.0
3,489.0,404.0,513.0,327.0,434.0,355.0,284.0,480.0
4,178.0,143.0,183.0,100.0,332.0,252.0,226.0,349.0
5,147.0,127.0,149.0,107.0,135.0,126.0,102.0,129.0
6,354.0,264.0,381.0,223.0,345.0,267.0,211.0,385.0
7,99.0,88.0,86.0,73.0,115.0,103.0,93.0,129.0
8,503.0,429.0,585.0,313.0,404.0,280.0,249.0,380.0
9,268.0,189.0,290.0,123.0,234.0,140.0,155.0,180.0
10,374.0,294.0,408.0,213.0,370.0,234.0,228.0,317.0
11,193.0,133.0,195.0,94.0,101.0,51.0,55.0,73.0
12,226.0,154.0,233.0,111.0,396.0,202.0,214.0,284.0
13,532.0,387.0,537.0,316.0,415.0,291.0,229.0,428.0
14,324.0,312.0,308.0,240.0,434.0,390.0,289.0,569.0
15,256.0,294.0,293.0,220.0,310.0,253.0,225.0,314.0
16,188.0,210.0,238.0,142.0,207.0,152.0,145.0,176.0
17,413.0,360.0,453.0,357.0,434.0,421.0,307.0,488.0
18,577.0,174.0,558.0,141.0,550.0,112.0,436.0,126.0
19,285.0,151.0,916.0,318.0,788.0,350.0,754.0,373.0
20,66.0,58.0,300.0,101.0,289.0,110.0,271.0,100.0
21,141.0,119.0,543.0,303.0,444.0,318.0,201.0,107.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,127.0,51.0,236.0,76.0,216.0,84.0,159.0,90.0
24,528.0,356.0,464.0,338.0,458.0,382.0,539.0,714.0
25,347.0,181.0,343.0,153.0,336.0,187.0,236.0,248.0
26,92.0,77.0,98.0,64.0,156.0,104.0,125.0,115.0
27,386.0,247.0,395.0,174.0,330.0,187.0,189.0,246.0
28,216.0,225.0,244.0,174.0,216.0,156.0,120.0,204.0
29,259.0,178.0,244.0,161.0,185.0,181.0,130.0,198.0
30,220.0,241.0,211.0,195.0,218.0,220.0,157.0,249.0
31,173.0,67.0,190.0,57.0,209.0,51.0,159.0,53.0
32,159.0,95.0,504.0,159.0,469.0,173.0,360.0,193.0
33,264.0,190.0,572.0,220.0,535.0,205.0,390.0,287.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,259.0,348.0,292.0,315.0,268.0,376.0,210.0,471.0
36,264.0,219.0,285.0,202.0,255.0,241.0,177.0,298.0
37,275.0,228.0,296.0,217.0,275.0,229.0,198.0,311.0
38,284.0,266.0,296.0,241.0,272.0,297.0,201.0,341.0
39,250.0,222.0,258.0,213.0,238.0,239.0,208.0,259.0
40,449.0,356.0,483.0,283.0,461.0,339.0,346.0,450.0
