rn,state,cid,tract,pop,white,black,hispanic
0,55,1,950100,2992.0,2943.0,0.0,7.0
1,55,1,950201,1289.0,1273.0,0.0,28.0
2,55,1,950202,2663.0,2618.0,5.0,83.0
3,55,1,950400,4626.0,4390.0,31.0,168.0
4,55,1,950501,1511.0,1473.0,23.0,44.0
5,55,1,950502,3772.0,2921.0,557.0,320.0
6,55,1,950700,3598.0,3440.0,8.0,134.0
7,55,3,940000,1826.0,788.0,8.0,104.0
8,55,3,950300,2735.0,2407.0,20.0,140.0
9,55,3,950400,2286.0,2143.0,30.0,36.0
10,55,3,950500,2280.0,2183.0,1.0,12.0
11,55,3,950600,1431.0,1372.0,11.0,28.0
12,55,3,950700,2143.0,2093.0,0.0,28.0
13,55,3,950800,3292.0,2602.0,14.0,20.0
14,55,5,100,3922.0,3824.0,0.0,68.0
15,55,5,200,3924.0,3659.0,0.0,169.0
16,55,5,300,4220.0,3849.0,83.0,214.0
17,55,5,400,5184.0,4625.0,465.0,117.0
18,55,5,500,4628.0,4488.0,0.0,41.0
19,55,5,600,5766.0,5691.0,8.0,165.0
20,55,5,800,5516.0,5329.0,5.0,26.0
21,55,5,900,4994.0,4812.0,18.0,94.0
22,55,5,1001,1870.0,1808.0,0.0,25.0
23,55,5,1002,5662.0,5619.0,0.0,130.0
24,55,7,960100,2780.0,1416.0,60.0,33.0
25,55,7,960200,1695.0,1643.0,5.0,25.0
26,55,7,960300,3635.0,3320.0,4.0,43.0
27,55,7,960400,4796.0,4553.0,18.0,112.0
28,55,7,960600,2144.0,2068.0,13.0,8.0
29,55,9,100,2795.0,1848.0,155.0,453.0
30,55,9,200,6393.0,5527.0,271.0,679.0
31,55,9,302,4421.0,3665.0,0.0,428.0
32,55,9,303,2855.0,1978.0,220.0,367.0
33,55,9,401,4591.0,3436.0,453.0,256.0
34,55,9,402,2264.0,2173.0,0.0,106.0
35,55,9,500,3269.0,2614.0,268.0,151.0
36,55,9,600,4077.0,3333.0,261.0,469.0
37,55,9,700,4867.0,3993.0,86.0,269.0
38,55,9,800,1781.0,1203.0,114.0,236.0
39,55,9,900,4221.0,3316.0,27.0,1700.0
40,55,9,1000,1205.0,945.0,88.0,26.0
41,55,9,1100,2039.0,1715.0,53.0,647.0
42,55,9,1200,2038.0,1363.0,233.0,510.0
43,55,9,1300,2997.0,2441.0,198.0,304.0
44,55,9,1400,3826.0,3007.0,60.0,849.0
45,55,9,1600,6070.0,3264.0,319.0,1803.0
46,55,9,1701,3595.0,2230.0,118.0,1401.0
47,55,9,1702,3789.0,2913.0,65.0,1166.0
48,55,9,1801,5012.0,4253.0,185.0,504.0
49,55,9,1802,5873.0,5609.0,45.0,99.0
50,55,9,2001,8471.0,6972.0,135.0,1127.0
51,55,9,2002,5141.0,4225.0,111.0,584.0
52,55,9,2003,3458.0,3152.0,223.0,84.0
53,55,9,10100,5966.0,5480.0,140.0,354.0
54,55,9,10201,4645.0,4293.0,4.0,313.0
55,55,9,10202,5072.0,4727.0,180.0,77.0
56,55,9,10300,6637.0,5949.0,254.0,298.0
57,55,9,20100,5622.0,5508.0,0.0,64.0
58,55,9,20203,6485.0,6352.0,12.0,32.0
59,55,9,20204,5302.0,5223.0,14.0,8.0
60,55,9,20502,5576.0,4581.0,234.0,435.0
61,55,9,20503,8138.0,7538.0,13.0,474.0
62,55,9,20504,4954.0,4812.0,26.0,57.0
63,55,9,20600,5107.0,4979.0,9.0,75.0
64,55,9,20702,6839.0,6280.0,112.0,52.0
65,55,9,20703,7025.0,6606.0,0.0,331.0
66,55,9,20704,8023.0,6611.0,50.0,1005.0
67,55,9,20800,2459.0,2055.0,37.0,82.0
68,55,9,20900,2681.0,2209.0,24.0,245.0
69,55,9,21000,2644.0,2534.0,28.0,41.0
70,55,9,21100,1237.0,531.0,643.0,103.0
