rn,D04,R04,D08,R08,D12,R12,D16,R16
0,903,1102,954,1015,876,1127,733,1285
1,962,809,1037,643,1022,789,683,1046
2,620,465,655,374,449,342,281,488
3,830,664,903,462,988,680,628,893
4,419,287,428,205,497,253,269,357
5,824,667,811,532,788,678,519,956
6,887,892,1011,731,924,782,655,932
7,544,125,518,87,585,119,464,136
8,1107,614,2561,924,2357,981,1986,1151
9,496,358,1036,541,905,572,751,655
10,792,630,807,567,780,637,526,806
11,551,385,569,286,486,291,314,361
12,436,421,451,346,410,355,253,416
13,173,67,190,57,209,51,159,53
14,798,795,873,734,852,904,622,1142
15,1610,1331,1648,1165,1407,1238,1083,1531
16,1090,970,979,834,952,985,629,1224
17,1303,1599,1361,1348,1236,1402,871,1590
18,1940,2106,2026,1700,1729,1691,1282,2018
19,1588,1619,1782,1474,1636,1562,1191,1740
20,486,586,542,539,595,763,408,896
21,859,901,835,760,784,882,519,1087
22,469,592,509,550,379,511,284,573
23,1716,1657,1702,1481,1554,1667,1169,1981
24,1026,389,1068,294,1185,312,985,308
25,723,468,679,469,686,521,570,592
26,1642,914,1718,801,1754,829,1538,902
27,781,531,771,509,734,564,559,649
28,1072,951,1083,853,1019,896,831,1041
29,571,497,648,333,617,259,478,283
30,1191,1189,1319,932,1479,1067,1113,1077
31,539,697,594,519,1521,1351,1209,1389
32,1580,1686,1768,1245,1752,1627,1365,1634
33,1389,1155,1528,813,1506,942,1133,982
34,492,647,575,491,434,437,359,421
35,1447,960,1597,609,1345,559,959,658
36,1456,1417,1577,1027,1090,761,852,873
37,0,0,0,0,694,457,515,508
38,939,860,1111,604,708,425,497,465
39,434,258,395,118,489,193,403,207
40,216,121,239,107,557,217,453,222
41,856,539,932,340,529,257,416,281
42,438,178,401,102,807,294,628,295
43,1024,680,1091,496,649,320,606,304
44,1306,958,1296,695,1180,740,992,735
45,1135,1028,1271,785,1302,895,991,919
46,1434,1009,1497,696,1177,629,1023,630
47,920,745,1047,491,1094,651,909,672
48,1062,1248,1225,993,1853,1667,1660,1638
49,1397,1531,1869,1278,803,941,741,983
50,1317,1538,1527,1270,1315,1228,1158,1172
51,1785,2389,2397,2017,1483,1312,1169,1270
52,690,932,1002,859,1306,1522,1099,1568
53,2381,3424,3365,3068,2727,2966,2785,3022
54,1836,2245,2285,1793,1939,2045,1426,1504
55,1526,2131,2334,2093,2476,2909,2216,3083
56,642,1168,1067,1302,1256,2049,1376,2097
57,1500,1944,1866,1698,1634,2167,1296,2383
