rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,54,1,965500,4207.0,4186.0,21.0,27.0,3375,21,9
1,54,1,965600,3651.0,3398.0,119.0,11.0,3003,82,6
2,54,1,965700,4995.0,4882.0,0.0,68.0,3866,0,36
3,54,1,965800,3878.0,3737.0,0.0,17.0,2995,0,2
4,54,3,971101,5955.0,5164.0,325.0,119.0,4417,281,94
5,54,3,971102,8700.0,7977.0,495.0,377.0,6983,366,204
6,54,3,971201,9901.0,9097.0,557.0,236.0,7460,426,169
7,54,3,971202,4810.0,4770.0,0.0,125.0,3995,0,70
8,54,3,971300,9220.0,7762.0,903.0,413.0,7007,626,218
9,54,3,971400,9994.0,8706.0,662.0,385.0,7164,505,288
10,54,3,971500,3994.0,2932.0,440.0,207.0,2887,300,124
11,54,3,971600,4368.0,3675.0,507.0,114.0,3300,409,33
12,54,3,971700,5909.0,5067.0,507.0,615.0,4441,418,415
13,54,3,971800,7939.0,7845.0,0.0,320.0,6097,0,177
14,54,3,971900,10126.0,8772.0,797.0,348.0,7629,507,249
15,54,3,972000,12386.0,9955.0,1676.0,530.0,9301,1415,247
16,54,3,972101,5530.0,4932.0,472.0,0.0,4312,357,0
17,54,3,972102,9892.0,8807.0,632.0,446.0,7240,429,223
18,54,5,958200,4348.0,4328.0,0.0,0.0,3390,0,0
19,54,5,958300,3989.0,3942.0,12.0,2.0,3151,9,2
20,54,5,958400,2315.0,2239.0,51.0,9.0,1787,9,4
21,54,5,958501,2618.0,2617.0,0.0,24.0,2120,0,24
22,54,5,958502,3423.0,3339.0,64.0,17.0,2588,61,2
23,54,5,958600,2209.0,2188.0,0.0,16.0,1638,0,16
24,54,5,958700,2189.0,2169.0,0.0,11.0,1515,0,11
25,54,5,958800,2909.0,2773.0,35.0,38.0,2378,35,21
26,54,7,967900,5319.0,5186.0,39.0,24.0,4362,39,10
27,54,7,968000,4355.0,4340.0,0.0,6.0,3409,0,3
28,54,7,968100,4792.0,4638.0,33.0,53.0,3727,18,25
29,54,9,31101,4832.0,4534.0,187.0,32.0,4181,155,32
30,54,9,31102,4560.0,4534.0,19.0,29.0,3701,16,22
31,54,9,31200,3430.0,3337.0,52.0,13.0,2645,39,5
32,54,9,31400,3973.0,3930.0,38.0,0.0,3211,38,0
33,54,9,31600,4151.0,3945.0,75.0,82.0,3484,75,74
34,54,9,31700,2719.0,2632.0,42.0,35.0,2123,11,6
35,54,11,101,1857.0,1716.0,70.0,125.0,1384,70,41
36,54,11,102,2172.0,1999.0,132.0,33.0,1747,88,11
37,54,11,200,2888.0,2733.0,37.0,39.0,2270,37,13
38,54,11,300,2324.0,2269.0,5.0,26.0,1836,5,26
39,54,11,400,2843.0,2595.0,112.0,27.0,2469,102,27
40,54,11,500,2815.0,2161.0,442.0,74.0,2751,442,74
41,54,11,600,1527.0,1217.0,141.0,3.0,1469,141,3
42,54,11,900,1628.0,1436.0,117.0,26.0,1122,61,1
43,54,11,1000,2160.0,1949.0,0.0,51.0,1617,0,51
44,54,11,1100,1704.0,1616.0,39.0,24.0,1409,28,18
45,54,11,1200,3055.0,2601.0,389.0,56.0,2420,293,56
46,54,11,1300,2906.0,2655.0,163.0,72.0,2544,163,72
47,54,11,1400,2489.0,1626.0,825.0,123.0,2020,606,68
48,54,11,1500,2162.0,1198.0,625.0,0.0,1754,479,0
49,54,11,1600,1250.0,996.0,167.0,0.0,933,104,0
50,54,11,1800,3973.0,3183.0,497.0,18.0,3010,396,10
51,54,11,1900,2205.0,2058.0,1.0,72.0,1775,1,2
52,54,11,2000,3369.0,2948.0,143.0,81.0,2686,129,66
53,54,11,2100,3235.0,3174.0,7.0,22.0,2685,7,22
54,54,11,10102,6105.0,5985.0,63.0,81.0,4706,63,63
55,54,11,10201,5444.0,4915.0,144.0,29.0,4353,94,29
56,54,11,10202,3681.0,3532.0,31.0,40.0,2883,0,25
57,54,11,10300,2886.0,2817.0,0.0,0.0,2346,0,0
58,54,11,10400,6802.0,6297.0,263.0,122.0,5612,260,122
59,54,11,10500,5602.0,5473.0,0.0,37.0,4209,0,0
60,54,11,10600,3854.0,3727.0,32.0,0.0,2976,32,0
61,54,11,10700,7730.0,7566.0,10.0,49.0,6052,5,25
62,54,11,10800,6396.0,6304.0,22.0,0.0,4938,22,0
63,54,11,10900,1762.0,1431.0,188.0,41.0,1537,188,38
64,54,13,962600,3630.0,3534.0,2.0,79.0,2773,2,31
65,54,13,962700,3927.0,3891.0,5.0,0.0,3293,5,0
66,54,15,957900,3747.0,3622.0,0.0,0.0,2838,0,0
67,54,15,958000,3357.0,3332.0,0.0,0.0,2659,0,0
68,54,15,958100,2037.0,2008.0,0.0,13.0,1563,0,13
69,54,17,965000,3733.0,3611.0,13.0,0.0,3200,1,0
