rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,56,1,962700,3509.0,3197.0,14.0,337.0,2718,4,230
1,56,1,962800,3570.0,3174.0,0.0,356.0,2713,0,241
2,56,1,962900,2003.0,1661.0,1.0,641.0,1551,1,456
3,56,1,963000,2343.0,2009.0,127.0,162.0,2053,116,136
4,56,1,963100,6987.0,6266.0,163.0,659.0,5616,100,432
5,56,1,963400,3852.0,3303.0,3.0,214.0,3465,3,163
6,56,1,963500,2587.0,2182.0,49.0,145.0,2507,49,132
7,56,1,963600,4458.0,4320.0,2.0,175.0,3715,2,161
8,56,1,963700,6253.0,5657.0,118.0,652.0,5220,102,488
9,56,1,963900,2003.0,1847.0,4.0,90.0,1768,4,74
10,56,3,962600,2615.0,2444.0,7.0,112.0,2059,6,80
11,56,3,962700,3602.0,3425.0,0.0,427.0,2785,0,247
12,56,3,962800,5678.0,5436.0,0.0,516.0,4041,0,337
13,56,5,100,9871.0,9099.0,171.0,756.0,7036,72,520
14,56,5,200,7245.0,7050.0,22.0,387.0,5082,22,176
15,56,5,300,5808.0,5224.0,1.0,657.0,4295,1,400
16,56,5,400,4300.0,3862.0,18.0,812.0,3167,18,420
17,56,5,500,6851.0,6416.0,0.0,435.0,4679,0,194
18,56,5,600,5457.0,5277.0,16.0,465.0,4112,15,331
19,56,5,700,8481.0,7999.0,152.0,423.0,6181,137,316
20,56,7,967600,2090.0,1857.0,43.0,262.0,1745,43,209
21,56,7,967700,4593.0,4239.0,73.0,1002.0,3324,73,612
22,56,7,967800,4136.0,3677.0,90.0,1317.0,3250,90,903
23,56,7,968000,3523.0,3340.0,0.0,64.0,2567,0,36
24,56,7,968100,1397.0,1303.0,16.0,86.0,1139,16,64
25,56,9,956400,4944.0,4678.0,1.0,541.0,3791,1,362
26,56,9,956500,3113.0,3040.0,0.0,127.0,2151,0,50
27,56,9,956600,3345.0,3261.0,0.0,194.0,2577,0,169
28,56,9,956700,2699.0,2432.0,19.0,192.0,2034,5,69
29,56,11,950200,4537.0,4468.0,14.0,126.0,3372,4,110
30,56,11,950300,2692.0,2684.0,0.0,57.0,2188,0,57
31,56,13,100,4140.0,3506.0,12.0,320.0,2941,12,190
32,56,13,200,3496.0,3367.0,0.0,92.0,2705,0,79
33,56,13,300,4406.0,3971.0,15.0,221.0,3673,15,166
34,56,13,400,1714.0,1615.0,23.0,50.0,1500,23,50
35,56,13,940100,3930.0,606.0,10.0,195.0,2690,9,115
36,56,13,940201,4089.0,3669.0,0.0,101.0,3027,0,62
37,56,13,940202,4951.0,1704.0,8.0,286.0,3248,8,147
38,56,13,940300,5545.0,4601.0,59.0,501.0,4255,31,333
39,56,13,940400,5871.0,4934.0,8.0,554.0,4486,8,281
