rn,seq,eid,rev,nodea,nodeb
0,1,90,False,700,74
0,2,947,True,702,700
0,3,946,True,701,702
0,4,945,False,552,701
0,5,738,False,548,552
0,6,732,False,74,548
1,1,90,True,74,700
1,2,732,True,548,74
1,3,734,True,549,548
1,4,1720,True,1229,549
1,5,2412,True,1702,1229
1,6,1729,True,1236,1702
1,7,944,True,700,1236
2,1,1721,False,1237,1230
2,2,1731,False,1236,1237
2,3,1729,False,1702,1236
2,4,2412,False,1229,1702
2,5,1722,False,1230,1229
3,1,731,True,546,1225
3,2,1730,True,1237,546
3,3,1721,True,1230,1237
3,4,1715,True,1226,1230
3,5,1714,True,1225,1226
4,1,1714,False,1226,1225
4,2,1717,True,1227,1226
4,3,1728,True,1235,1227
4,4,1716,True,1225,1235
5,1,733,True,547,552
5,2,740,True,554,547
5,3,735,True,549,554
5,4,734,False,548,549
5,5,738,True,552,548
6,1,735,False,554,549
6,2,741,False,1228,554
6,3,3082,True,2153,1228
6,4,1719,True,1227,2153
6,5,1717,False,1226,1227
6,6,1715,False,1230,1226
6,7,1722,True,1229,1230
6,8,1720,False,549,1229
7,1,733,False,552,547
7,2,945,True,701,552
7,3,744,True,556,701
7,4,742,True,553,556
7,5,739,True,551,553
7,6,737,False,550,551
7,7,3085,True,2155,550
7,8,1718,True,1228,2155
7,9,741,True,554,1228
7,10,740,False,547,554
8,1,196,False,1231,159
8,2,1727,True,1233,1231
8,3,1725,True,1232,1233
8,4,1724,False,556,1232
8,5,744,False,701,556
8,6,946,False,702,701
8,7,947,False,700,702
8,8,944,False,1236,700
8,9,1731,True,1237,1236
8,10,1730,False,546,1237
8,11,731,False,1225,546
8,12,1716,False,1235,1225
8,13,3744,True,2598,1235
8,14,1732,True,1234,2598
8,15,1726,False,159,1234
9,1,38,True,31,1239
9,2,1723,True,1231,31
9,3,196,True,159,1231
9,4,1599,True,1152,159
9,5,1734,True,1239,1152
10,1,38,False,1239,31
10,2,2066,True,1467,1239
10,3,2064,True,1466,1467
10,4,1735,True,1238,1466
10,5,1733,False,555,1238
10,6,745,False,1232,555
10,7,1725,False,1233,1232
10,8,1727,False,1231,1233
10,9,1723,False,31,1231
11,1,739,False,553,551
11,2,742,False,556,553
11,3,1724,True,1232,556
11,4,745,True,555,1232
11,5,743,False,558,555
11,6,748,True,557,558
11,7,746,False,551,557
12,1,749,False,562,559
12,2,1580,True,1138,562
12,3,1581,True,1139,1138
12,4,1737,True,1241,1139
12,5,1099,True,808,1241
12,6,754,True,561,808
12,7,752,False,560,561
12,8,751,True,559,560
13,1,1585,False,1240,1139
13,2,1740,True,1243,1240
13,3,1742,True,1244,1243
13,4,2475,True,1745,1244
13,5,1738,True,1241,1745
13,6,1737,False,1139,1241
14,1,910,False,1140,676
14,2,3738,True,2593,1140
14,3,1736,True,1240,2593
14,4,1585,True,1139,1240
14,5,1581,False,1138,1139
14,6,1586,True,1142,1138
14,7,1750,True,1250,1142
14,8,1752,True,1251,1250
14,9,1744,True,1247,1251
14,10,1584,True,1141,1247
14,11,1583,False,676,1141
15,1,1584,False,1247,1141
15,2,1745,True,1246,1247
15,3,1747,True,1248,1246
15,4,1746,False,1173,1248
15,5,1630,False,1245,1173
15,6,46725,True,31998,1245
15,7,1748,True,1244,31998
15,8,1742,False,1243,1244
15,9,1741,True,1242,1243
15,10,1739,False,1141,1242
16,1,1582,False,1242,1140
16,2,1741,False,1243,1242
16,3,1740,False,1240,1243
16,4,1736,False,2593,1240
16,5,3738,False,1140,2593
17,1,910,True,676,1140
17,2,1583,True,1141,676
17,3,1739,True,1242,1141
17,4,1582,True,1140,1242
18,1,1749,False,1252,1249
18,2,1767,True,1261,1252
18,3,1765,True,1260,1261
18,4,1762,True,1258,1260
18,5,1759,True,1256,1258
18,6,1754,True,1251,1256
18,7,1752,False,1250,1251
18,8,1751,True,1249,1250
19,1,1631,False,1248,1172
19,2,1747,False,1246,1248
19,3,1745,False,1247,1246
19,4,1744,False,1251,1247
19,5,1754,False,1256,1251
19,6,1761,True,1257,1256
19,7,1760,True,1255,1257
19,8,1758,False,1254,1255
19,9,1780,True,1271,1254
19,10,1770,True,1263,1271
19,11,1757,True,1253,1263
19,12,1755,False,1172,1253
20,1,1759,False,1258,1256
20,2,1763,True,1257,1258
20,3,1761,False,1256,1257
21,1,1753,False,1262,1252
21,1,1760,False,1257,1255
21,2,1769,True,1261,1262
21,2,1763,False,1258,1257
21,3,1762,False,1260,1258
21,3,1767,False,1252,1261
21,4,1766,True,1259,1260
21,5,1764,False,1255,1259
22,1,755,True,563,1259
22,2,1790,True,1278,563
22,3,1756,True,1254,1278
22,4,1758,True,1255,1254
22,5,1764,True,1259,1255
23,1,185,False,1173,149
23,2,1746,True,1248,1173
23,3,1631,True,1172,1248
23,4,1755,True,1253,1172
23,5,1629,True,1171,1253
23,6,1628,False,565,1171
23,7,757,False,149,565
24,1,185,True,149,1173
24,2,757,True,565,149
24,3,756,True,564,565
24,4,1776,True,1268,564
24,5,1809,True,1291,1268
24,6,1812,True,1293,1291
24,7,46724,True,31997,1293
24,8,1743,True,1245,31997
24,9,1630,True,1173,1245
25,1,1629,False,1253,1171
25,2,1757,False,1263,1253
25,3,1773,True,1265,1263
25,4,1778,True,1269,1265
25,5,1774,True,1267,1269
25,6,1772,True,1264,1267
25,7,1771,False,1171,1264
26,1,756,False,565,564
26,2,1628,True,1171,565
26,3,1771,True,1264,1171
26,4,758,True,564,1264
27,1,758,False,1264,564
27,2,1772,False,1267,1264
27,3,1775,True,1266,1267
27,4,1782,True,1272,1266
27,5,1798,True,1283,1272
27,6,1803,True,1287,1283
27,7,1777,True,1268,1287
27,8,1776,False,564,1268
28,1,1770,False,1271,1263
28,2,1788,True,1276,1271
28,3,1781,True,1270,1276
28,4,1785,True,1274,1270
28,5,1779,True,1269,1274
28,6,1778,False,1265,1269
28,7,1773,False,1263,1265
29,1,1774,False,1269,1267
29,2,1779,False,1274,1269
29,3,1787,True,1275,1274
29,4,1786,False,1273,1275
29,5,1784,True,1272,1273
29,6,1782,False,1266,1272
29,7,1775,False,1267,1266
30,1,1756,False,1278,1254
30,2,1791,True,1277,1278
