nid,x,y,nseq,eid
1,-47917.8831450695,71008.6376491456,1,1
1,-47917.8831450695,71008.6376491456,2,3669
1,-47917.8831450695,71008.6376491456,3,3696
2,134990.050480132,460017.85316571,1,2
2,134990.050480132,460017.85316571,2,149
2,134990.050480132,460017.85316571,3,3444
3,112696.704079305,468180.614633559,1,396
3,112696.704079305,468180.614633559,2,3
4,51081.9194329728,457318.145608493,1,4
4,51081.9194329728,457318.145608493,2,714
5,-27489.3809104004,12253.6206909794,1,5
5,-27489.3809104004,12253.6206909794,2,1335
5,-27489.3809104004,12253.6206909794,3,1334
6,93628.0685084111,438453.354237764,1,6
6,93628.0685084111,438453.354237764,2,1367
7,159929.888607609,210473.174228365,1,7
7,159929.888607609,210473.174228365,2,536
8,154553.100359624,202173.422634354,1,666
8,154553.100359624,202173.422634354,2,8
9,148538.697417232,206625.624399191,1,9
9,148538.697417232,206625.624399191,2,1662
10,160271.893170143,211573.090925626,1,11
10,160271.893170143,211573.090925626,2,13
10,160271.893170143,211573.090925626,3,540
11,161284.710976705,210973.537985848,1,15
11,161284.710976705,210973.537985848,2,10
11,161284.710976705,210973.537985848,3,12
12,160118.163957508,211094.532745229,1,13
12,160118.163957508,211094.532745229,2,12
12,160118.163957508,211094.532745229,3,7
13,161926.522025736,212170.942921325,1,16
13,161926.522025736,212170.942921325,2,14
13,161926.522025736,212170.942921325,3,720
14,161767.933498411,210762.103395024,1,199
14,161767.933498411,210762.103395024,2,15
14,161767.933498411,210762.103395024,3,14
15,166017.079686029,204652.607601201,1,17
15,166017.079686029,204652.607601201,2,22
16,166300.294795865,208073.971151764,1,21
16,166300.294795865,208073.971151764,2,19
17,171274.057375314,207131.286414512,1,18
17,171274.057375314,207131.286414512,2,20
17,171274.057375314,207131.286414512,3,244
18,166308.817472836,206514.482126548,1,20
18,166308.817472836,206514.482126548,2,1688
18,166308.817472836,206514.482126548,3,1691
18,166308.817472836,206514.482126548,4,21
19,163347.322332037,202093.951963355,1,23
19,163347.322332037,202093.951963355,2,25
20,165864.65100565,204006.186773742,1,22
20,165864.65100565,204006.186773742,2,1356
20,165864.65100565,204006.186773742,3,24
20,165864.65100565,204006.186773742,4,27
21,163105.50973049,201859.301631823,1,25
21,163105.50973049,201859.301631823,2,924
21,163105.50973049,201859.301631823,3,26
22,162298.870058956,202854.201305728,1,28
22,162298.870058956,202854.201305728,2,926
23,164370.626406236,204246.443843122,1,27
23,164370.626406236,204246.443843122,2,23
23,164370.626406236,204246.443843122,3,1675
24,171453.479251603,203957.322329164,1,1686
24,171453.479251603,203957.322329164,2,31
24,171453.479251603,203957.322329164,3,29
25,169036.080432889,203914.222812722,1,29
25,169036.080432889,203914.222812722,2,33
25,169036.080432889,203914.222812722,3,30
26,150964.332028874,197223.584690628,1,667
26,150964.332028874,197223.584690628,2,32
27,167769.408017716,199051.677126655,1,34
27,167769.408017716,199051.677126655,2,727
28,169039.136521062,203867.085115447,1,35
28,169039.136521062,203867.085115447,2,34
28,169039.136521062,203867.085115447,3,33
29,172084.172422365,200739.759200931,1,36
29,172084.172422365,200739.759200931,2,35
29,172084.172422365,200739.759200931,3,729
30,125732.392829666,467846.101641473,1,37
30,125732.392829666,467846.101641473,2,3428
30,125732.392829666,467846.101641473,3,3399
30,125732.392829666,467846.101641473,4,3400
31,122099.072991101,236325.567112523,1,38
31,122099.072991101,236325.567112523,2,1723
32,-1683.65674948704,402.412829445458,1,1792
32,-1683.65674948704,402.412829445458,2,39
32,-1683.65674948704,402.412829445458,3,1796
33,15069.5148643953,-21880.8812070659,1,40
33,15069.5148643953,-21880.8812070659,2,3761
33,15069.5148643953,-21880.8812070659,3,1795
34,238059.780255766,172136.779386889,1,41
34,238059.780255766,172136.779386889,2,42
35,220487.042122864,160476.858137769,1,43
35,220487.042122864,160476.858137769,2,1818
36,238108.909849684,171473.975563275,1,44
36,238108.909849684,171473.975563275,2,43
36,238108.909849684,171473.975563275,3,42
37,249337.637419724,168151.137016291,1,46
37,249337.637419724,168151.137016291,2,45
37,249337.637419724,168151.137016291,3,44
38,260281.759168882,158735.660621837,1,47
38,260281.759168882,158735.660621837,2,1828
39,261969.192049915,159864.373095811,1,48
39,261969.192049915,159864.373095811,2,47
39,261969.192049915,159864.373095811,3,46
40,265512.365777374,154475.265785903,1,1832
40,265512.365777374,154475.265785903,2,49
40,265512.365777374,154475.265785903,3,48
41,92365.9930043103,452710.473602896,1,50
41,92365.9930043103,452710.473602896,2,3140
42,199552.076859448,352729.606913451,1,51
42,199552.076859448,352729.606913451,2,1921
43,208231.984303539,376325.592461942,1,1973
43,208231.984303539,376325.592461942,2,52
44,183319.332415482,353098.152297095,1,53
44,183319.332415482,353098.152297095,2,1959
45,182945.139176718,354470.027959995,1,55
45,182945.139176718,354470.027959995,2,1961
