rn,seq,eid,rev,nodea,nodeb
0,1,10286,False,7210,7208
0,2,10289,False,7216,7210
0,3,10296,False,7432,7216
0,4,10613,False,8168,7432
0,5,11865,True,8296,8168
0,6,11682,True,8169,8296
0,7,11681,False,7808,8169
0,8,11154,False,7809,7808
0,9,11153,False,7208,7809
1,1,9875,False,7206,6912
1,2,10285,True,7209,7206
1,3,10284,True,7208,7209
1,4,11153,True,7809,7208
1,5,11149,True,7806,7809
1,6,11899,True,8319,7806
1,7,11903,True,8322,8319
1,8,10283,True,7207,8322
1,9,10282,False,6975,7207
1,10,9959,False,6912,6975
2,1,11151,False,8321,7806
2,2,11904,True,8323,8321
2,3,11902,True,8320,8323
2,4,11900,True,8319,8320
2,5,11899,False,7806,8319
3,1,10283,False,8322,7207
3,2,11905,True,8323,8322
3,3,11904,False,8321,8323
3,4,11901,False,7807,8321
3,5,11150,False,7207,7807
4,1,11900,False,8320,8319
4,2,11902,False,8323,8320
4,3,11905,False,8322,8323
4,4,11903,False,8319,8322
5,1,10284,False,7209,7208
5,2,10288,True,7211,7209
5,3,10287,True,7210,7211
5,4,10286,True,7208,7210
6,1,10287,False,7211,7210
6,2,10295,True,7216,7211
6,3,10289,True,7210,7216
7,1,10173,False,7215,7129
7,2,10608,True,7432,7215
7,3,10296,True,7216,7432
7,4,10295,False,7211,7216
7,5,10288,False,7209,7211
7,6,10285,False,7206,7209
7,7,10281,False,7127,7206
7,8,10175,False,7129,7127
8,1,9683,False,6809,6763
8,2,9831,True,6881,6809
8,3,10298,True,7218,6881
8,4,9737,True,6808,7218
8,5,9735,True,6807,6808
8,6,9734,False,6763,6807
9,1,9787,False,7219,6849
9,2,10301,True,7218,7219
9,3,10298,False,6881,7218
9,4,10415,True,7299,6881
9,5,10302,True,7220,7299
9,6,10310,True,7226,7220
9,7,10300,True,7217,7226
9,8,10297,False,6849,7217
10,1,9737,False,7218,6808
10,2,10301,False,7219,7218
10,3,10299,False,7221,7219
10,4,10304,True,6808,7221
11,1,9735,False,6808,6807
11,2,10304,False,7221,6808
11,3,10303,False,6847,7221
11,4,9786,False,6848,6847
11,5,9788,False,7223,6848
11,6,10306,True,7222,7223
11,7,10309,True,7225,7222
11,8,11529,True,8064,7225
11,9,88798,True,60549,8064
11,10,88797,True,60548,60549
11,11,10308,True,7224,60548
11,12,10307,False,6807,7224
12,1,9784,True,6846,6849
12,2,9785,True,6847,6846
12,3,10303,True,7221,6847
12,4,10299,True,7219,7221
12,5,9787,True,6849,7219
13,1,9784,False,6849,6846
13,2,10297,True,7217,6849
13,3,10305,True,7223,7217
13,4,9788,True,6848,7223
13,5,9786,True,6847,6848
13,6,9785,False,6846,6847
14,1,10300,False,7226,7217
14,2,10412,True,7297,7226
14,3,10312,True,7227,7297
14,4,10311,True,7225,7227
14,5,10309,False,7222,7225
14,6,10306,False,7223,7222
14,7,10305,False,7217,7223
15,1,9710,True,6788,8324
15,2,10318,True,7232,6788
15,3,10314,True,7229,7232
15,4,11906,True,8324,7229
16,1,10316,False,7235,7229
16,2,10324,False,7236,7235
16,3,10323,False,8325,7236
16,4,11908,True,8324,8325
16,5,11906,False,7229,8324
17,1,10099,True,7076,7237
17,2,11907,True,8325,7076
17,3,10323,True,7236,8325
17,4,10325,True,7237,7236
18,1,9710,False,8324,6788
18,2,11908,False,8325,8324
18,3,11907,False,7076,8325
18,4,10327,False,7242,7076
18,5,10334,False,8348,7242
18,6,11938,False,6788,8348
19,1,10313,True,7228,8360
19,2,11400,True,7975,7228
19,3,11398,True,7974,7975
19,4,10820,True,7578,7974
19,5,10681,True,7482,7578
19,6,10315,True,7230,7482
19,7,10317,True,7231,7230
19,8,10330,True,7240,7231
19,9,11953,True,8360,7240
20,1,10314,False,7232,7229
20,2,10319,True,7231,7232
20,3,10317,False,7230,7231
20,4,10320,True,7234,7230
20,5,10322,True,7235,7234
20,6,10316,True,7229,7235
21,1,10321,True,7233,7239
21,2,10326,True,7237,7233
