nid,x,y,nseq,eid
6751,370869.528433091,52972.2578730605,1,9670
6751,370869.528433091,52972.2578730605,2,11229
6752,373339.366556062,50388.0147579367,1,9671
6752,373339.366556062,50388.0147579367,2,10194
6752,373339.366556062,50388.0147579367,3,10196
6752,373339.366556062,50388.0147579367,4,11233
6753,198166.418947324,227012.118163052,1,10106
6753,198166.418947324,227012.118163052,2,9672
6754,200589.859581289,234072.865990287,1,9674
6754,200589.859581289,234072.865990287,2,11659
6754,200589.859581289,234072.865990287,3,9708
6755,201670.144870252,228444.775258018,1,9707
6755,201670.144870252,228444.775258018,2,9673
6755,201670.144870252,228444.775258018,3,9675
6756,200667.154557789,228485.775821236,1,9675
6756,200667.154557789,228485.775821236,2,10104
6756,200667.154557789,228485.775821236,3,9676
6757,167834.681406884,220259.760383195,1,9677
6757,167834.681406884,220259.760383195,2,11712
6757,167834.681406884,220259.760383195,3,11828
6758,193141.109585642,222434.122918088,1,11670
6758,193141.109585642,222434.122918088,2,9678
6759,199864.449220069,218150.580881033,1,9679
6759,199864.449220069,218150.580881033,2,9745
6759,199864.449220069,218150.580881033,3,11669
6760,487242.697140031,94125.1616823307,1,9977
6760,487242.697140031,94125.1616823307,2,9680
6761,320111.244499856,220602.658054047,1,10393
6761,320111.244499856,220602.658054047,2,9681
6762,208468.572887601,226803.210208964,1,11643
6762,208468.572887601,226803.210208964,2,9682
6763,450369.312277449,-128934.427891251,1,9734
6763,450369.312277449,-128934.427891251,2,9683
6764,462693.690350269,-113531.096129776,1,9684
6764,462693.690350269,-113531.096129776,2,11939
6765,174584.125360593,161038.474351362,1,9685
6765,174584.125360593,161038.474351362,2,168306
6765,174584.125360593,161038.474351362,3,11586
6766,566169.811272399,93819.4008518292,1,9686
6766,566169.811272399,93819.4008518292,2,9687
6766,566169.811272399,93819.4008518292,3,9820
6767,566216.656231744,91753.4458313607,1,11789
6767,566216.656231744,91753.4458313607,2,10593
6767,566216.656231744,91753.4458313607,3,9688
6767,566216.656231744,91753.4458313607,4,9687
