rn,seq,eid,rev,nodea,nodeb
0,1,6178,True,4495,144561
0,2,9495,True,6637,4495
0,3,7865,True,5600,6637
0,4,6239,True,4537,5600
0,5,6235,True,4534,4537
0,6,7106,True,5099,4534
0,7,211143,True,144561,5099
1,1,6237,False,5098,4534
1,2,7144,True,5124,5098
1,3,134471,True,91944,5124
1,4,37850,True,25866,91944
1,5,7107,True,5099,25866
1,6,7106,False,4534,5099
2,1,6236,False,5108,4535
2,2,7166,True,5138,5108
2,3,134527,True,91985,5138
2,4,7143,True,5123,91985
2,5,7121,True,5109,5123
2,6,7123,True,5110,5109
2,7,7122,False,4535,5110
3,1,7105,False,5125,5098
3,2,7147,True,5109,5125
3,3,7121,False,5123,5109
3,4,134470,True,91943,5123
3,5,7145,True,5124,91943
3,6,7144,False,5098,5124
4,1,8226,False,5830,5829
4,2,8549,True,6025,5830
4,3,8228,True,5829,6025
5,1,7123,False,5109,5110
5,2,7147,False,5125,5109
5,3,7146,False,5829,5125
5,4,8228,False,6025,5829
5,5,8549,False,5830,6025
5,6,8227,False,5110,5830
6,1,6235,False,4537,4534
6,2,6932,True,4988,4537
6,3,6934,True,4989,4988
6,4,7158,True,5133,4989
6,5,6240,True,4536,5133
6,6,6238,False,4535,4536
6,7,7122,True,5110,4535
6,8,8227,True,5830,5110
6,9,8226,True,5829,5830
6,10,7146,True,5125,5829
6,11,7105,True,5098,5125
6,12,6237,True,4534,5098
7,1,5405,True,3969,4536
7,2,6251,True,4545,3969
7,3,6247,True,4542,4545
7,4,6246,True,4541,4542
7,5,7120,True,5108,4541
7,6,6236,True,4535,5108
7,7,6238,True,4536,4535
8,1,5405,False,4536,3969
8,2,6240,False,5133,4536
8,3,7159,True,5132,5133
8,4,7157,False,5134,5132
8,5,7174,True,5144,5134
8,6,7161,True,5131,5144
8,7,7156,False,4545,5131
8,8,6251,False,3969,4545
9,1,6248,False,5137,4541
9,2,135390,True,92573,5137
9,3,7167,True,5138,92573
9,4,7166,False,5108,5138
9,5,7120,False,4541,5108
10,1,6246,False,4542,4541
10,2,6249,True,4543,4542
10,3,134604,True,92040,4543
10,4,134603,True,92039,92040
10,5,7165,True,5137,92039
10,6,6248,True,4541,5137
11,1,6247,False,4545,4542
11,2,7156,True,5131,4545
11,3,6252,True,4544,5131
11,4,7176,True,5145,4544
11,5,135397,True,92578,5145
11,6,135393,True,92575,92578
11,7,6250,True,4543,92575
11,8,6249,False,4542,4543
12,1,6252,False,5131,4544
12,2,7161,False,5144,5131
12,3,7175,True,5143,5144
12,4,7173,False,5147,5143
12,5,7180,True,5146,5147
12,6,7178,True,5142,5146
12,7,7172,False,5064,5142
12,8,7055,False,5140,5064
12,9,7170,True,5139,5140
12,10,7168,False,4546,5139
12,11,6253,False,5141,4546
12,12,134332,True,91837,5141
12,13,7177,True,5145,91837
12,14,7176,False,4544,5145
13,1,6253,True,4546,5141
13,2,7168,True,5139,4546
13,3,7189,True,5154,5139
13,4,7188,True,5153,5154
13,5,7184,True,5151,5153
13,6,7171,True,5141,5151
14,1,7188,False,5154,5153
14,2,7190,False,6644,5154
14,3,9504,False,5153,6644
15,1,6746,False,5149,4867
15,2,7185,True,5151,5149
15,3,7184,False,5153,5151
15,4,9504,True,6644,5153
15,5,7190,True,5154,6644
15,6,7189,False,5139,5154
15,7,7170,False,5140,5139
15,8,7169,False,5152,5140
15,9,9090,True,6373,5152
15,10,9088,True,6372,6373
15,11,7187,True,5150,6372
15,12,7183,True,5148,5150
15,13,7181,False,4867,5148
16,1,6344,False,5157,4611
16,2,7194,True,5156,5157
16,3,7195,True,5158,5156
16,4,7198,True,5160,5158
16,5,7206,True,5167,5160
16,6,7363,True,5271,5167
16,7,7342,True,5257,5271
