nid,x,y,nseq,eid
3791,170689.633186204,289417.073155779,1,7908
3791,170689.633186204,289417.073155779,2,5186
3791,170689.633186204,289417.073155779,3,8594
3791,170689.633186204,289417.073155779,4,8542
3792,180287.908621622,274147.734585754,1,5187
3792,180287.908621622,274147.734585754,2,6071
3793,215554.975476958,247090.834267848,1,5188
3793,215554.975476958,247090.834267848,2,6310
3794,300404.809059694,127844.977013794,1,5189
3794,300404.809059694,127844.977013794,2,6179
3795,177103.717405728,295707.227502356,1,5190
3795,177103.717405728,295707.227502356,2,8678
3796,205984.873079809,292807.309670445,1,7933
3796,205984.873079809,292807.309670445,2,5191
3796,205984.873079809,292807.309670445,3,5746
3796,205984.873079809,292807.309670445,4,6011
3797,181939.804960977,284601.517568525,1,8271
3797,181939.804960977,284601.517568525,2,5192
3797,181939.804960977,284601.517568525,3,5705
3797,181939.804960977,284601.517568525,4,6520
3798,177103.416078998,284518.712502045,1,5193
3798,177103.416078998,284518.712502045,2,6812
3798,177103.416078998,284518.712502045,3,9079
3799,309734.454870798,146864.541647537,1,5194
3799,309734.454870798,146864.541647537,2,6027
3800,215729.877769545,269366.430239423,1,5195
3800,215729.877769545,269366.430239423,2,8089
3801,209282.095988638,305148.719599682,1,5196
3801,209282.095988638,305148.719599682,2,5197
3802,209279.727914622,303942.055087397,1,5197
3802,209279.727914622,303942.055087397,2,7034
3802,209279.727914622,303942.055087397,3,5198
3803,207556.106557681,304918.925935847,1,5200
3803,207556.106557681,304918.925935847,2,7038
3803,207556.106557681,304918.925935847,3,8029
3804,209282.639341966,305553.52951026,1,5199
3804,209282.639341966,305553.52951026,2,5196
3804,209282.639341966,305553.52951026,3,5201
3805,208363.931393385,305544.871460848,1,5201
3805,208363.931393385,305544.871460848,2,5200
3805,208363.931393385,305544.871460848,3,5203
3806,211702.471333069,307171.158437374,1,5202
3806,211702.471333069,307171.158437374,2,5199
3806,211702.471333069,307171.158437374,3,7032
3807,207343.047716568,307165.257994927,1,5204
3807,207343.047716568,307165.257994927,2,5203
3807,207343.047716568,307165.257994927,3,6710
3807,207343.047716568,307165.257994927,4,6705
3808,188250.479533233,298433.010957415,1,5205
3808,188250.479533233,298433.010957415,2,5961
3809,314752.668497486,135882.825393987,1,5206
3809,314752.668497486,135882.825393987,2,6697
3809,314752.668497486,135882.825393987,3,5218
3810,168308.859966952,263307.000431465,1,5207
3810,168308.859966952,263307.000431465,2,7653
3810,168308.859966952,263307.000431465,3,8706
3811,225156.799380742,258899.008354286,1,5208
3811,225156.799380742,258899.008354286,2,6595
3812,231571.439510953,255811.273258064,1,6896
3812,231571.439510953,255811.273258064,2,5209
3812,231571.439510953,255811.273258064,3,6448
3812,231571.439510953,255811.273258064,4,7659
3813,214067.988057376,270588.628945365,1,5211
3813,214067.988057376,270588.628945365,2,5213
3814,218941.090582104,271400.237590749,1,8178
3814,218941.090582104,271400.237590749,2,5210
3814,218941.090582104,271400.237590749,3,5212
3815,215739.712835551,270588.119616444,1,5212
3815,215739.712835551,270588.119616444,2,5195
3815,215739.712835551,270588.119616444,3,5213
3816,208204.710121149,255604.93828974,1,5545
3816,208204.710121149,255604.93828974,2,5214
3816,208204.710121149,255604.93828974,3,8051
3816,208204.710121149,255604.93828974,4,5420
3817,-42109.273064793,568170.998318401,1,5215
3817,-42109.273064793,568170.998318401,2,126100
3818,321378.369045045,118454.564360758,1,5216
3818,321378.369045045,118454.564360758,2,8788
3819,315837.234291518,135887.531085297,1,6620
3819,315837.234291518,135887.531085297,2,5217
3819,315837.234291518,135887.531085297,3,5206
3819,315837.234291518,135887.531085297,4,7624
3820,313142.635016193,136738.830918403,1,5219
3820,313142.635016193,136738.830918403,2,7135
3820,313142.635016193,136738.830918403,3,7128
3821,313168.723907414,134282.24178105,1,7136
3821,313168.723907414,134282.24178105,2,5220
3821,313168.723907414,134282.24178105,3,5895
3821,313168.723907414,134282.24178105,4,6234
3822,303523.373287914,126125.719845023,1,5221
3822,303523.373287914,126125.719845023,2,7162
3822,303523.373287914,126125.719845023,3,5408
3823,313269.168930079,124071.230419426,1,7152
3823,313269.168930079,124071.230419426,2,5224
3823,313269.168930079,124071.230419426,3,5222
3823,313269.168930079,124071.230419426,4,5347
3824,313309.262705136,119747.552280772,1,5222
